<br><font color=teal>*Hassan, Trilliam(ZaVante) says: How have you been? - Tue Dec  8 02:13:58 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Wed Dec  9 03:43:08 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) thinks: We had a wanderer as our leader.. - Wed Dec  9 03:43:08 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Uhh..m... - Wed Dec  9 03:44:00 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) thinks: Great..... - Wed Dec  9 03:44:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Right... - Wed Dec  9 03:44:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Heh, I just hope no one votes for me... - Wed Dec  9 03:44:00 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: I'm too old for this shit... - Wed Dec  9 03:44:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: This is crazy. . .  - Wed Dec  9 03:44:00 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: I vote for Mitsunara, shes such a great person! -omit- - Wed Dec  9 03:44:00 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Well who is going to take over then! - Wed Dec  9 03:44:00 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: Mm.... - Wed Dec  9 03:44:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmmm. - Wed Dec  9 03:44:51 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ...Hey, Ai. - Wed Dec  9 03:44:51 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hrm... - Wed Dec  9 03:44:51 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Hm? - Wed Dec  9 03:44:51 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm cool with Ai being Kazekage. - Wed Dec  9 03:44:51 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ... Well, considering we lack any Jounin.. - Wed Dec  9 03:44:51 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I wouldn't..mind ai being kage. - Wed Dec  9 03:44:51 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: You and the other Chuunin are the highest rank we have left to try and take the seat. - Wed Dec  9 03:44:51 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't want that seat. - Wed Dec  9 03:45:42 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: The fuc--HOW THE HELL AM I B--OH GOD KNOW, I'M TOOK PRETTY FOR THIS KIND OF STRESS! - Wed Dec  9 03:45:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I'd give it a try, but I think there'd be riots, and Tenryu assasination attempts.... Ah, well... - Wed Dec  9 03:45:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Kinami's... not responsible enough... - Wed Dec  9 03:45:42 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I-I can be a kage.. - Wed Dec  9 03:45:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Lera's strong, but she's not the right kind of person for it... - Wed Dec  9 03:46:33 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) thinks: I dare anyone to try to kill Ai... - Wed Dec  9 03:46:33 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: She can't even handle a drink. - Wed Dec  9 03:46:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Momura don't be silly.. - Wed Dec  9 03:46:33 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Wed Dec  9 03:46:33 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I'm not silly.. - Wed Dec  9 03:46:33 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) thinks: that's the best joke that momura's made.. - Wed Dec  9 03:46:33 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) thinks: bwaaaaaaaaaaahahaha. - Wed Dec  9 03:46:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Koji's responsible enough, but he's already got enough on his palte as head of police. - Wed Dec  9 03:46:33 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) thinks: -omit- - Wed Dec  9 03:46:33 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yea. - Wed Dec  9 03:46:33 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: He's a little too young.. - Wed Dec  9 03:46:33 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) says: Why don't we just hold a public vote poll? - Wed Dec  9 03:46:33 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Favoritism...Uhm...people could cheat.. - Wed Dec  9 03:47:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hrm? Democracy, Kiyoko? - Wed Dec  9 03:47:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Since when does Democracy ever work? - Wed Dec  9 03:47:24 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Paine, do you want to be Kazekage? - Wed Dec  9 03:47:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: .... I mean. - Wed Dec  9 03:47:24 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) says: ...I'm talking about to determine who would be best by public opinion, then the top two or three can hash it out. - Wed Dec  9 03:47:24 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) thinks: No... - Wed Dec  9 03:47:24 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) thinks: Paine's too humble... I think she'd decline. - Wed Dec  9 03:47:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I guess we could turn into a self governing pseudo electorate commune. - Wed Dec  9 03:47:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: This'll be such a tough choice... - Wed Dec  9 03:59:21 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Vote Koji...Believe in the force. - Wed Dec  9 04:00:12 2015
<br><br><font color=yellow>*Marco(Gtgoku55) waits to be given paper.

He votes for himself..* - Wed Dec  9 04:00:12 2015
<br><br><font color=teal>*Marco(Gtgoku55) thinks: The barbaric heathens know not the way.. - Wed Dec  9 04:01:04 2015
<br><br><font color=teal>*Marco(Gtgoku55) thinks: I am the solution! - Wed Dec  9 04:01:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hey Sensei are you going to be here for a while? - Wed Dec  9 04:02:46 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) says: ..... - Wed Dec  9 04:02:46 2015
<br><br><font color=teal>*Marco(Gtgoku55) thinks: Hrm. . How long will it take for my victory? - Wed Dec  9 04:04:28 2015
<br><br><font color=teal>*Marco(Gtgoku55) thinks: The world must know a golden age.. - Wed Dec  9 04:04:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: So, Kiyoko. We gettin around to what we started earlier soon, or nah? - Wed Dec  9 04:05:20 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) says: In a while. - Wed Dec  9 04:05:20 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) whispers: Let's spar soon..chikyu. - Wed Dec  9 04:05:20 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Momu? Paine? Iza? - Wed Dec  9 04:05:20 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) says: Well not today, I have to work on the compound first. - Wed Dec  9 04:05:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm.. A'right. - Wed Dec  9 04:05:20 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) says: You don't need to be sitting there for that. - Wed Dec  9 04:05:20 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Uhhhm.. - Wed Dec  9 04:05:20 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Who..can we vote for? - Wed Dec  9 04:06:11 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Chuunins. - Wed Dec  9 04:06:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Well count me out haha, no one is going to vote for an eight year old of course.  - Wed Dec  9 04:07:02 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Gosh..I kinda wanna vote my dad...it seems only natural... - Wed Dec  9 04:07:02 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Lera? The woman with hte worse timezone ever? - Wed Dec  9 04:07:02 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Koji is mature and all but... - Wed Dec  9 04:07:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: I dont think he's cut out to be a Kage, not now.  - Wed Dec  9 04:08:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Need you two to vote. Paine and Iza. - Wed Dec  9 04:08:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uhh... - Wed Dec  9 04:08:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: --omit- - Wed Dec  9 04:08:44 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: I don't need to vote? Well then...  - Wed Dec  9 04:09:36 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: um...h-how do i v-vote? - Wed Dec  9 04:09:36 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Just write the name on a sheet or scroll. - Wed Dec  9 04:10:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hi? - Wed Dec  9 04:10:27 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: s-scroll? - Wed Dec  9 04:10:27 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) thinks: I wonder if anyone ever bothered to think if Koji himself wants to be Kazekage. - Wed Dec  9 04:10:27 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: w-where do i f-find one? - Wed Dec  9 04:11:18 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Use that. - Wed Dec  9 04:12:09 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *cough* - Wed Dec  9 04:13:52 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: its umm...on the ground.. - Wed Dec  9 04:14:43 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: -omit- - Wed Dec  9 04:14:43 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: i-its umm...o-on the g-gound.. - Wed Dec  9 04:14:43 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: She's really simple isn't she. - Wed Dec  9 04:15:34 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: o-oh - Wed Dec  9 04:16:25 2015
<br><br><font color=teal>*Marco(Gtgoku55) thinks: Sunagakure needs me as leader! - Wed Dec  9 04:16:25 2015
<br><br><font color=teal>*Marco(Gtgoku55) thinks: THis woman isn't mentally sound.. - Wed Dec  9 04:17:16 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Indeed... - Wed Dec  9 04:17:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: You can do it Pai-Sensei!!! - Wed Dec  9 04:17:16 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Koji. - Wed Dec  9 04:17:16 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Come up here. - Wed Dec  9 04:17:16 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: a-and umm....i w-write in i-it? - Wed Dec  9 04:17:16 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) thinks: That bitch better back off. - Wed Dec  9 04:18:08 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Come on Paine, you can do it! - Wed Dec  9 04:18:59 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: first character lol - Wed Dec  9 04:19:50 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Oh dear god..This is gonna take a while. - Wed Dec  9 04:20:41 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *yawn* - Wed Dec  9 04:20:41 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: How has the blade been treating you thus far, Izanami? - Wed Dec  9 04:20:41 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I haven't actually used it in practice or combat yet, but when I do i'll let you know. - Wed Dec  9 04:21:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Thank you once again. - Wed Dec  9 04:21:32 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Did I miss anyone? - Wed Dec  9 04:23:15 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Tsuki and Bryson still has to vote. - Wed Dec  9 04:23:15 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Where are they? - Wed Dec  9 04:23:15 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Kinami too. - Wed Dec  9 04:23:15 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Who knows? - Wed Dec  9 04:23:15 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That I don't know. . . .  - Wed Dec  9 04:24:06 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Koji, how far can your eyes go? - Wed Dec  9 04:24:06 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) says: If you wait for every single person to be here you will never end the voting. - Wed Dec  9 04:24:06 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: See kids? This is why you should stay in school. - Wed Dec  9 04:24:57 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Pretty far 150 tiles. - Wed Dec  9 04:24:57 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Do you see Bryson or Kinami? - Wed Dec  9 04:25:48 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Or Tsuki? - Wed Dec  9 04:25:48 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: This'll be some intresting information perhaps.. Mmm..  - Wed Dec  9 04:28:22 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I don't see them in the area. - Wed Dec  9 04:28:22 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: And that's it. - Wed Dec  9 04:29:13 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: Nope. I was not asked.. Oh well. They don't know I'm her anyways. I don't even care anymore.  - Wed Dec  9 04:29:13 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) says: ..... - Wed Dec  9 04:30:56 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: Noted. - Wed Dec  9 04:31:47 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) thinks: I never said the person with the most votes auto wins. - Wed Dec  9 04:31:47 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) thinks: Whatever, maybe she didn't want to be kage. - Wed Dec  9 04:31:47 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Are you feeling okay? Paine?  - Wed Dec  9 04:32:38 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Wait. - Wed Dec  9 04:33:29 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Kiyoko. - Wed Dec  9 04:33:29 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) says: ...Yes? - Wed Dec  9 04:33:29 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: You didn't vote did you? - Wed Dec  9 04:33:29 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) says: ...I did... I voted for you.. I was the first vote. - Wed Dec  9 04:33:29 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: In time I shall go by my fathers wishes and run for Kage one day and lead the country but not today.. - Wed Dec  9 04:33:29 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: -- - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Koji won. It's over. - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Oh.. - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: It's a draw then. - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: What s this gathering? - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Voting for a new Kazekage Bry. - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I didn't added your vote. - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Ismell fish. - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Was my vote counted? - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Indeed. - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: No no no no.... Not him... Not now... - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Well Bry is here. - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) says: I think that age, rank, and accomplishments should be taken into consideration. - Wed Dec  9 04:35:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Maybe he will break the tie. - Wed Dec  9 04:35:12 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh Sanoke is not kage anymore? - Wed Dec  9 04:35:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah... Sanoke stepped down. - Wed Dec  9 04:35:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Koji is one of the most accomplished shinobi here. He's a bit young, at the age of fifteen. - Wed Dec  9 04:35:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: But experience speaks for itself. - Wed Dec  9 04:35:12 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I see - Wed Dec  9 04:35:12 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Bryson, decide between two. Koji or Ai. - Wed Dec  9 04:35:12 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) says: Bryson, would you rather have Koji or Ai as your next kage? - Wed Dec  9 04:35:12 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Hmmm - Wed Dec  9 04:36:03 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Lets not forget the number of young ages we've had before. - Wed Dec  9 04:36:03 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Though illegal most looked up to them. - Wed Dec  9 04:36:03 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Y' gotta be brave to accept the role. - Wed Dec  9 04:36:03 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Because you're a target to many now. - Wed Dec  9 04:36:54 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: Awww. Claudette does have a heart. - Wed Dec  9 04:39:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Fuji! You finally got your ass out of that farm. - Wed Dec  9 04:39:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You. Me. - Wed Dec  9 04:39:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Battle...! - Wed Dec  9 04:39:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Gay - Wed Dec  9 04:39:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Wed Dec  9 04:39:28 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: ... - Wed Dec  9 04:40:19 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm, okay. - Wed Dec  9 04:41:10 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: So, I guess that's that.. - Wed Dec  9 04:42:01 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Battle Of the Retired Fathers I suppose?  - Wed Dec  9 04:42:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh, you wanted to go right now? Hah. Kinda just get back.  - Wed Dec  9 04:44:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Want to relax for a bit! -- I got some epic new moves, though. - Wed Dec  9 04:44:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I think you'll like 'em. - Wed Dec  9 04:44:35 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: We can wait if you want. - Wed Dec  9 04:44:35 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm.. - Wed Dec  9 04:45:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yo, Sanoke, Rice-Farmer-San. - Wed Dec  9 04:45:26 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? - Wed Dec  9 04:45:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: You guys are fighting? - Wed Dec  9 04:45:26 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: And we have a winner! - Wed Dec  9 04:45:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Nah, not right now. - Wed Dec  9 04:45:26 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Koji! - Wed Dec  9 04:45:26 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: MEat pies anyone? - Wed Dec  9 04:45:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah.. mind tellin me - Oh, sound's good. How much? - Wed Dec  9 04:45:26 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: 4 Yen, 20Yen for a 20 Pounder. - Wed Dec  9 04:46:17 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Ground Beef and Bacon with some italian cheese. - Wed Dec  9 04:46:17 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: Please Master... Make the pie my way...  - Wed Dec  9 04:46:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Kiyoko, you okay? - Wed Dec  9 04:48:51 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) says: Yeah. - Wed Dec  9 04:48:51 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: A'right. - Wed Dec  9 04:48:51 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh Sister Devil... I havent seen you in ages! - Wed Dec  9 04:50:33 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: And there we have it. - Wed Dec  9 04:51:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Congrats Koji! - Wed Dec  9 04:51:24 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Problem fix'd. - Wed Dec  9 04:51:24 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Since this is over, back to my daughter and wife. - Wed Dec  9 04:53:07 2015
<br><br><font color=teal>*Marco(Gtgoku55) thinks: . . Hng. I suppose. . I won't become Kage.. - Wed Dec  9 04:53:07 2015
<br><br><font color=yellow>*Marco(Gtgoku55) turns to exit the village!* - Wed Dec  9 04:53:07 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Thank you... If you give me time I'll announce a speech for you all very soon. - Wed Dec  9 04:53:58 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Yes? - Wed Dec  9 04:53:58 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: How're you feeling? - Wed Dec  9 04:54:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *cough* - Wed Dec  9 04:54:49 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: I.... I don't really know. - Wed Dec  9 04:54:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Pai-Sensei, how long are you going to be around? - Wed Dec  9 04:55:40 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Hm..? - Wed Dec  9 04:55:40 2015
<br><br><font color=yellow>*Marco(Gtgoku55) sticks a leg out to trip Ai.* - Wed Dec  9 04:57:23 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: umm...three more years  - Wed Dec  9 04:58:14 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: -omit- - Wed Dec  9 04:58:14 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Of course. - Wed Dec  9 04:59:05 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: u-umm...three m-more...u-uhh y-years - Wed Dec  9 04:59:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmm, when are we going to do some more training? - Wed Dec  9 04:59:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm... - Wed Dec  9 04:59:56 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Just all of this is too confusing for me... I rather leave this to people smarter then me to help decide a right leader. Even just putting out my opinion... is unpleasent. - Wed Dec  9 05:00:48 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Why..? - Wed Dec  9 05:00:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: ... - Wed Dec  9 05:00:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: What happened to her... - Wed Dec  9 05:00:48 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Its because theres no right answer, deciding who should get all the responsibility and stuff. Just not something I feel fit to decide. I feel like my descion is wrong, yet I know I would've felt the same way with any other answer. - Wed Dec  9 05:01:39 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Alright. - Wed Dec  9 05:02:30 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Handle yourself as usual Mistunara. I'll cal for you if I need yah. - Wed Dec  9 05:02:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: A - Wed Dec  9 05:03:21 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: A - Wed Dec  9 05:03:21 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: A'right then. - Wed Dec  9 05:03:21 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Kiyoko, you feel ready to head back to the hospital? - Wed Dec  9 05:03:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't understand Sensei. - Wed Dec  9 05:04:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What time does a nod mean? - Wed Dec  9 05:04:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Wed Dec  9 05:04:12 2015
