<br><font color=teal>***Hokage**(LionHunter) says: Becasue of the rebuilding - Sun Dec  6 04:21:07 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) whispers: NO! Just...tell her you didn't mean any offense by it - Mon Dec  7 03:48:16 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) whispers: Nah, I think I'd like to spar her instead. - Mon Dec  7 03:51:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) whispers: To show her what'd happen. - Mon Dec  7 03:51:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) whispers: How is that being mean? It's giving her what she wants. - Mon Dec  7 03:58:30 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: You're going to hurt her! Just explain your actions, she'll surely understand! - Mon Dec  7 03:59:21 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) whispers: Well go and explain it to her. And if she doesn't accept that, tell her I'm willing to fight her at full strength right now. - Mon Dec  7 04:00:12 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: You do it! Its what besties are all about! *begins to puff and hmph! Before walking off* - Mon Dec  7 04:01:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hi. - Mon Dec  7 04:02:46 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hello sensei. - Mon Dec  7 04:11:18 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm? - Mon Dec  7 04:14:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Oh hi, Marco. - Mon Dec  7 04:14:43 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Hi. - Mon Dec  7 04:17:16 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Dont mean to sound like a pest but uh.. - Mon Dec  7 04:18:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: How's my order coming? - Mon Dec  7 04:18:08 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Nearly done. - Mon Dec  7 04:32:38 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm, thank you.~ - Mon Dec  7 04:32:38 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: y-you umm....a-asked when were l-leaving right? - Mon Dec  7 04:49:42 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: No? I asked what we're doing about our training. - Mon Dec  7 04:50:33 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Instead of leaving. - Mon Dec  7 04:50:33 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: oh... - Mon Dec  7 04:50:33 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: how a-about we go m-mountain climing.. - Mon Dec  7 04:50:33 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hm? Yeah, I'm fine though. - Mon Dec  7 04:50:33 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: and y-yes momura... - Mon Dec  7 04:51:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: That's good. - Mon Dec  7 04:51:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well, that's only one thing. There's a lot more we should do, but I guess we could handle that when we get there. - Mon Dec  7 04:51:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *cough* - Mon Dec  7 04:52:16 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: your w-wind...is h-hesitant..... - Mon Dec  7 04:53:58 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: and a l-litle weak... - Mon Dec  7 04:53:58 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Mon Dec  7 04:53:58 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: have y-you not...been p-practicing.. - Mon Dec  7 04:53:58 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I have! - Mon Dec  7 04:53:58 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Are you sure you're okay hun? - Mon Dec  7 04:54:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Mhm. - Mon Dec  7 04:54:49 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: mm...well its u-umm...a w-work in p-progress... - Mon Dec  7 04:55:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Oh, sensei, I've learned a few things on my own.  Hehe. - Mon Dec  7 04:56:32 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Come tell me when you're one hundred percent healed alright? - Mon Dec  7 04:57:23 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: And then i'll teach you how to fly. - Mon Dec  7 04:57:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Alright, will do.~ Thanks. - Mon Dec  7 04:57:23 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I unlockced the first gate, and learned front lotus. - Mon Dec  7 04:57:23 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: o-oh....g-gate?....w-what are t-those? - Mon Dec  7 04:58:14 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Something really strong, I'll say that much. - Mon Dec  7 04:59:05 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: mmm? - Mon Dec  7 04:59:05 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Mhm, it's true. - Mon Dec  7 05:00:48 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: And really cool. - Mon Dec  7 05:01:39 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: o-oh.. - Mon Dec  7 05:02:30 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I might even be able to beat you, so look out. Hehe. - Mon Dec  7 05:03:21 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Part I* - Mon Dec  7 05:04:12 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: a-alright - Mon Dec  7 05:05:04 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: So what should we do? - Mon Dec  7 05:06:46 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Eh....? - Mon Dec  7 05:09:20 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: kk - Mon Dec  7 05:12:44 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: -omit- - Mon Dec  7 05:12:44 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: m-momura... - Mon Dec  7 05:13:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yes? - Mon Dec  7 05:13:36 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: come...h-here - Mon Dec  7 05:14:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yes? - Mon Dec  7 05:14:27 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: mm...you t-two will f-fight.....umm..n-no holding b-back.....use w-what ever you h-have....i w-will allow any s-special powers..... - Mon Dec  7 05:15:18 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm good. - Mon Dec  7 05:16:09 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: no... - Mon Dec  7 05:16:09 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: y-you will...f-fight her... - Mon Dec  7 05:16:09 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-No..I'm good. - Mon Dec  7 05:16:09 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: They've faced one another in the chunnin exams before, I believe. - Mon Dec  7 05:17:52 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: It's began to tear a riff in their relationship. - Mon Dec  7 05:17:52 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: No, it's not us. Only her. - Mon Dec  7 05:19:34 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm not fighting her. - Mon Dec  7 05:20:25 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: That's fine, let her not fight me. - Mon Dec  7 05:20:25 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: If she wants to hold a grudge, then let her hold a grudge. - Mon Dec  7 05:20:25 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I tried to apologize, but she ignored me. - Mon Dec  7 05:21:16 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: So, let her be mad. - Mon Dec  7 05:21:16 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Alright. - Mon Dec  7 05:23:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-When will y-you teach me t-that technique? - Mon Dec  7 05:23:50 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: y-you...want....s-someone like m-me...to t-teach you? - Mon Dec  7 05:24:41 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: .... - Mon Dec  7 05:24:41 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You're..my t-teacher.. - Mon Dec  7 05:25:32 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: i a-am? - Mon Dec  7 05:25:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Mon Dec  7 05:25:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Mon Dec  7 05:26:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Oh my. - Mon Dec  7 05:26:24 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: s-since when? - Mon Dec  7 05:27:15 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) thinks: I see. I'm not going to say anything. - Mon Dec  7 05:27:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Are you n-not going to b-be my teacher...a-anymore..? - Mon Dec  7 05:28:06 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Kinami, yo. - Mon Dec  7 05:28:06 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: How are 'ya? - Mon Dec  7 05:28:57 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Pr' good. - Mon Dec  7 05:28:57 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: im a-afraid....i do...n-not have a s-student.....whom...d-denies a r-request...from t-their teacher.. - Mon Dec  7 05:28:57 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Mon Dec  7 05:28:57 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm.. - Mon Dec  7 05:28:57 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: im a-afraid...you have m-me mistaken...f-for someone e-else.. - Mon Dec  7 05:29:48 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Geez. - Mon Dec  7 05:31:31 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Have some compassion. The girl was hospitalized in their last 'bout. - Mon Dec  7 05:31:31 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: That's not why she's mad at me. - Mon Dec  7 05:33:13 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: So, Marco. - Mon Dec  7 05:34:56 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: How about a chuunin discount? I kind of want another weapon. - Mon Dec  7 05:34:56 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: But I'm super out of money. - Mon Dec  7 05:34:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hahhhh... - Mon Dec  7 05:36:38 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Really, Kinami..? - Mon Dec  7 05:36:38 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hmm? - Mon Dec  7 05:36:38 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: What is it, Mitsu? - Mon Dec  7 05:37:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah... - Mon Dec  7 05:39:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Tch.... screw it- this time it's a loan though, and I expect to be paid back, alright? - Mon Dec  7 05:40:03 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I'll lend you a hundred grand. - Mon Dec  7 05:40:03 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: W-What? It's not my fault that I'm poor! - Mon Dec  7 05:40:03 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: But I intend to see you pay this loan back, at... - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Fifteen percent interest, whenever you can. - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: A'right? - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: What? No way! - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Then I'll be poor for life! - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ..Yah realize. - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: U-uhm... - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Fifteen percent interest. - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: I can lend you money. - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Is just you paying me back like.. how much I've loaned you... - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: And then fifteen hundred more at a later date? - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Like- I don't even care when you pay me back. - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hnn, sounds like a lot for a staff. - Mon Dec  7 05:42:36 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hnng. - Mon Dec  7 05:42:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Well. - Mon Dec  7 05:42:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I'll loan you hwoever much, Marco want's to charge for a staff. - Mon Dec  7 05:42:36 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: mm... - Mon Dec  7 05:42:36 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hey Mitsu, want to go and hang out? - Mon Dec  7 05:49:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hrm? Sure, I guess. - Mon Dec  7 05:50:17 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Alright, lets go.~ - Mon Dec  7 05:53:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: A'right. Arena or Bar? - Mon Dec  7 05:55:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: If I go to the bar, things'll get dangerous. - Mon Dec  7 05:55:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: But if you want to take that risk. - Mon Dec  7 05:55:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hah! - Mon Dec  7 05:56:16 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Well, how about the Arena- and the bar afterwards, if we can both still stand. - Mon Dec  7 05:57:07 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Lets go to the bar and then the arena. - Mon Dec  7 05:57:07 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: It'd be fun. - Mon Dec  7 05:57:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: -- You wanna fight drunk? Sure. Lead the way! - Mon Dec  7 05:58:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hows it hanging Marco? - Mon Dec  7 07:07:05 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Well. - Mon Dec  7 07:08:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Good to hear. - Mon Dec  7 07:09:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hey do you have an extra bokken? - Mon Dec  7 07:09:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I want to help my bro practice. - Mon Dec  7 07:10:30 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hmm. - Mon Dec  7 07:11:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That was a weird ass mission Trill. - Mon Dec  7 07:13:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm glad that thing is over. - Mon Dec  7 07:16:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That lady was creepy. - Mon Dec  7 07:16:28 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Was a bit crazy but it turned in our favor haha. - Mon Dec  7 07:18:11 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You weren't the one with a crazy, crusty lipped lady combing your hair with a senbon. . . .  - Mon Dec  7 07:19:02 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: .... - Mon Dec  7 07:19:53 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: ..... - Mon Dec  7 07:19:53 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: .... - Mon Dec  7 07:19:53 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ha you handeld it better than me Hiro. - Mon Dec  7 07:20:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I didn't like that shit. . .  - Mon Dec  7 07:20:44 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Again Hiro you handeld it better than me. - Mon Dec  7 07:20:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: We had a mission to do, so I sucked it up. - Mon Dec  7 07:20:44 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: You showed ya worth as a shinobi haha. - Mon Dec  7 07:21:36 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: I would have probaly ben like bang bang ppew pew boom splahh wahhhhhhhh. - Mon Dec  7 07:21:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs* Sounds about right. - Mon Dec  7 07:21:36 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ahhh Marco my man. - Mon Dec  7 07:21:36 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Buddy ole pal. - Mon Dec  7 07:22:27 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ive been looking for you where you been. - Mon Dec  7 07:22:27 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hey Hiro Im suprised you havent cut your hiar. - Mon Dec  7 07:28:25 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmm? - Mon Dec  7 07:28:25 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Why would I do that? - Mon Dec  7 07:28:25 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: No telling what that lady laced your hair with. - Mon Dec  7 07:29:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Mon Dec  7 07:29:16 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: What if that was some wired technqiue or something. - Mon Dec  7 07:29:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Mon Dec  7 07:29:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Koji, can you check my hair? - Mon Dec  7 07:29:16 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: You're good, I don't think the woman would harm her own child. - Mon Dec  7 07:30:59 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . . .  - Mon Dec  7 07:30:59 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That lady was creepy. - Mon Dec  7 07:30:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You guys back? - Mon Dec  7 07:34:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yea. . .  - Mon Dec  7 07:34:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Koji. Write up a report and deliver it to my office first thing in the morning. - Mon Dec  7 07:34:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Creepy ass lady. . .  - Mon Dec  7 07:34:24 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Will do. - Mon Dec  7 07:34:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Good work, however. Or so Iassume. - Mon Dec  7 07:36:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: I should take the little girl iinto custody. - Mon Dec  7 07:36:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You all go take a break. - Mon Dec  7 07:36:57 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Ireccomend gving the mother a psyche check. - Mon Dec  7 07:36:57 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Hmm... Momura can get very upset at times, but when she realizes her mistake. Shes quick to make things right. - Tue Dec  8 01:37:16 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: hmm i k-know...i j-just hope that she d-does...so s-sooner.....a s-student whom is f-fear full to l-learn.....is a p-person...whom i c-can not t-teach... - Tue Dec  8 01:45:48 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: WHy is it so quite here. - Tue Dec  8 02:02:52 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Guess everyone's not really up to talk. - Tue Dec  8 02:11:24 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Sad. - Tue Dec  8 02:13:58 2015
