<br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Appreciated. - Sun Dec  6 23:10:56 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Perfect for sneak attacks or snipes. - Tue Dec  8 06:17:10 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: Hmmmm.... - Tue Dec  8 06:18:01 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You might... - Tue Dec  8 06:18:01 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Try to expand your arsenal in terms of stealth... You'd be very effective. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I can hide in a toad. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Imagine it. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Let's say. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: We hide in a toad. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Then suddenly. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: We walk up to someone with the toad. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: THEN. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: This carrot SHOOTS out of the toad's mouth. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Instead of a tongue. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: And stabs someone. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: This will be a thing. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: We'll call it. - Tue Dec  8 06:19:44 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: The Art of ..... - Tue Dec  8 06:19:44 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Froggot. - Tue Dec  8 06:19:44 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Tue Dec  8 06:19:44 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Nah. . . - Tue Dec  8 06:19:44 2015
<br><br><font color=teal>*Takuma(Brosis55) says: We need a different name. - Tue Dec  8 06:19:44 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: The Art of the Carrot. - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: ---Vegetarian Frog. - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: ----Laser Toad. - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Laser Toad. - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: By the way, if we do have to wage war against Sunagakure. - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: I'd get help from another village. - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I was attempting to speak to the Hokage. - Tue Dec  8 06:21:26 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But. - Tue Dec  8 06:21:26 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Given the circumstances.. It is not optimal. - Tue Dec  8 06:21:26 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Unless. - Tue Dec  8 06:22:17 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Takuma and I. - Tue Dec  8 06:22:17 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hmm.. - Tue Dec  8 06:22:17 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Could get an alliance cooking for you. - Tue Dec  8 06:22:17 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: This is acceptable. I will grant this mission for you both, consider it a - - Tue Dec  8 06:22:17 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Last time we went to Konohagakure, we placed a panty flag ontop of the mansion's pole. - Tue Dec  8 06:23:08 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Let's go. - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Consider it a B ranked mission. - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Takuma. - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Go at once - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: We'll get an alliance cooking. - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Alright. - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yo. - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Real quick. - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Takuma(Brosis55) says: We're going to Konoha right? - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Nevermind, I remembered. - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hello. - Tue Dec  8 06:30:49 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: .... - Tue Dec  8 06:31:40 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Greetings.... - Tue Dec  8 06:31:40 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Missions?~ - Tue Dec  8 06:35:05 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ...... - Tue Dec  8 06:35:05 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Not...at the moment.... - Tue Dec  8 06:35:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm? - Tue Dec  8 06:38:30 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Huh? - Tue Dec  8 06:38:30 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm, nothing. - Tue Dec  8 06:39:21 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Eiyu. - Tue Dec  8 06:45:20 2015
<br><br><font color=teal>*Takuma(Brosis55) says: We're fucked. - Tue Dec  8 06:45:20 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: You mean. - Tue Dec  8 06:46:11 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: You're fucked. - Tue Dec  8 06:46:11 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hmm? - Tue Dec  8 06:46:11 2015
<br><br><font color=teal>*Takuma(Brosis55) says: The Hokage went to Sunagakure. - Tue Dec  8 06:46:11 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: This is bad. - Tue Dec  8 06:46:11 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I see.. - Tue Dec  8 06:47:02 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I will not lie. - Tue Dec  8 06:47:02 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: .... - Tue Dec  8 06:47:53 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: This makes the situation all the more precarious. We can no longer afford to have Sunagakure's troops here. - Tue Dec  8 06:47:53 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: What did...you two do... - Tue Dec  8 06:47:53 2015
<br><br><font color=teal>*Takuma(Brosis55) says: We ain't do shit. - Tue Dec  8 06:47:53 2015
<br><br><font color=teal>*Takuma(Brosis55) says: If it comes down to us fighting, Eiyu. - Tue Dec  8 06:47:53 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: At least not yet. - Tue Dec  8 06:47:53 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I'll be here every step of the way. - Tue Dec  8 06:47:53 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ..... - Tue Dec  8 06:48:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We'll avoid it.. I don't wish for us to engage in combat just yet.. But if we show them civil unrest. - Tue Dec  8 06:48:44 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Why would...there be fighting.. - Tue Dec  8 06:48:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Show the people - Well. - Tue Dec  8 06:48:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Sunagakure intends to own this place. - Tue Dec  8 06:48:44 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ... - Tue Dec  8 06:48:44 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Logically.. - Tue Dec  8 06:48:44 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ..... - Tue Dec  8 06:52:09 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: What do you...think you are doing? - Tue Dec  8 06:52:09 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Doing what must be done.. It isn't just the people that want this, but the shinobi, and I. - Tue Dec  8 06:53:00 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: . . . . - Tue Dec  8 06:53:52 2015
<br><br><font color=yellow>***Raikage**(Dragonfile) ||The civil unrest begins to stir in Kumogakure, at this point it wouldn't even matter if Eiyu was taken down or not. The people's will was strong, and would not be destroyed by the likes of these shinobi, and in this state of rapid recovery it was assumed that Kumogakure's armed forces were existant, though their numbers were not vast. One year would not be enough to reclaim what they had lost over the years but it was a start. 

Eiyu is adorned in his robes. Loyalists of Kumogakure stand at his sides. Kumogakure is booming once again - and it's voice spoke of change. Would the rest of the world listen? Or would it forsake them once again?

<For now, we must do what we can.>

"Send men to do patrols around the border, if people approach Kumogakure I want to know before they know I'm here." 

Yes, a select few traveled to the outskirts, if they were not a high ranking official of Sunagakure they would be refused entry.* - Tue Dec  8 07:01:32 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Have the sensors on high alert as well. - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Got it sir - Tue Dec  8 07:04:57 2015
<br><br><font color=yellow>***Raikage**(Dragonfile) "Have the doton users employed to subdue a fighting force by any means." By this - key members of Kumogakure's Doton's fighting force positioned themselves in advantageous positions, and the remaining troops they had left over from Konohagakure was stacked to prevent any lashing out from Sunagakure's forces in the interior. 

Eiyu slashes his hand, blood dripping from the appendage as he works to formulate handseals - after pressing his palm against the surface a massive Frog arises. 

"Oh, you finally got it?  Say, Mr.Gamaken. I could really use your help? I dont know, for I am very ungraceful. "I'll need you anyway, please... I wouldn't summon you if it wasn't essential.. I will think about it."* - Tue Dec  8 07:06:40 2015
<br><br><font color=yellow>***Raikage**(Dragonfile) them doton users take the flanks of key portions of the village, namely the cardinal points North, South, East, and west respectively.* - Tue Dec  8 07:11:47 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: ...Not bad at all.... - Tue Dec  8 07:13:29 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: The traps that had been unearthed from Edge. I wish to have them scattered about, and activated towards various of our ground points with shinobi manning the outskirts informing people to turn away  - and of course they refuse they will go boom, or be shown the way. Takuma, Eiji, can you do this for me? - Tue Dec  8 07:16:03 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Set up the bombs? - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: What if I trip and fall? - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Mh- - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Don't..... - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Send your frogs to do it for you. - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: They're agile. - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: And they can disperse. - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I like the way you think. - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: ..True... - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Get to it, Takuma. - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Tauma.- - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: - - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: yo. - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: What about your carrot! - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Baka!  - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: You think my carrot. - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Can walk? - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: You're high. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I don't want to risk my frogs! - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: MY CARROT CAN'T RUN. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: LIKE YOUR FROGS. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: HE'S DISABLED FROM THE WAIST-DOWN. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: YOUR CARROT CAN FUCKING GO UNDERGROUND - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: MY FROGS CAN HOP. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: HE'S NOT A MOLE. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: HE IS NOW. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: I ONLY HAVE ONE. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I ONLY HAVE ONE. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: YOU HAVE MULTIPLE FROGS. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: LIES. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: NO YOU DON'T. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: LIAR. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: FUCK YOU. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: FUCK YOU! - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: ... - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Must I remind you. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Of the situation at hand? - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: . . . - Tue Dec  8 07:18:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . . - Tue Dec  8 07:18:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: He started it.  . - Tue Dec  8 07:18:36 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: .....Liar. - Tue Dec  8 07:18:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . . . . - Tue Dec  8 07:18:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Fuck you.  . - Tue Dec  8 07:18:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Use the frogs, Takuma. Eiji you prepare for anything as well. - Tue Dec  8 07:18:36 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Raikage. - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm? - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: What are you planning to do? - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Tch, that is the question of the day now isn't it? - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: What would you do if this were your home, and people were trying to claim it as their own? - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Then I'm guessing your going to war. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: War. This talk of war is a bit far fetched. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: My sole intention is to gain independence. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Sunagakure talks of helping us in a bind. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But they forgot when their own nation was destroyed. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Who was it that helped them? - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: In turn. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: They are hypocrites. - Tue Dec  8 07:39:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Our destruction was a product of Edge, a Sunagakure shinobi at heart. - Tue Dec  8 07:39:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Oh think Ima back down.. Sigh. - Tue Dec  8 07:40:48 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) ||Eiyu was well aware of the consequences of it's protest, but alas the Raikage would not waver. "Do not let their words sway your hearts. It is true that Kumogakure was run by Sunagakure for the longest, but who was it that helped Sunagakure when it was sundered by the very force that destroyed us? Yes, the Land Of Wind, as they like to continue on about how much this has all been for benevolence have forgotten where they have came from. Where they have begged support, and support was given. I've read the archives read by Chiyari, and it is quite surprising. What we're dealing with is not a nation ruled by benevolence, but one hypocrisy. Hideki would turn over in his grave, but alas do not falter because we want no help. We do not want their influence, the surrounding villages think this is my doing, but it is not. Show them that you will not bend at the knee, and that our will is unified. Do not forget that they were once in the position we were, but now that favor is on their side....... They wish to impose their will, but I telll you this much. If we shall suffer I shall be the first one to accept the pain and endure, and if we fight I will be the one who dies on the battlefield. Brothers, sisters....."

"For Kumogakure."

aka... Fuck you.* - Tue Dec  8 07:46:46 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: When the ones that fucked the village over was kire* - Tue Dec  8 07:48:28 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) ||"You can try and kill me, but I will simply become a martyr. This is only the beginning, Sunagakure." Thus begins the planning of the Raikage who anticipated this - but he had to admit hindsight was twenty twenty, if he had only remembered to do this early none of this would be happening. Some would say this action wasn't warranted but alas it was.

"Begin construction of the dome." Thus the construct was in the process of being built, and thus Eiyu had an ingenious idea. Though, it was easy for an enemy to anticipate an attack coming from below - how would one come from the air? It was a most interesting development and so he speaks to the regular deniziens of how connecting innocuous looking tags to carrier pidgeons in the number of one thousand, yes, the Raikage would deal with sealing the proper proportions as he was adjusted to Fuuinjutsu, and had vast chakra pools, though even he couldnt do this all at once so he has his locak villagers help with it's construction, it would be perched from a distant location.* - Tue Dec  8 08:07:15 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: .... - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Aright. - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I'm here. - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: We're safe. - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ..I'm glad you've come. - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: You sound like you doubted it. - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: No. - Tue Dec  8 08:12:22 2015
