<br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... - Sun Oct  4 04:46:17 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I do not have Doton. - Tue Oct  6 21:43:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I am sorry. - Tue Oct  6 21:43:28 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: What elements do you have? - Tue Oct  6 21:44:19 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Suiton and Katon. - Tue Oct  6 21:44:19 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I possess both of those.. in addition to Fuuton. And Doton, of course, hehe. - Tue Oct  6 21:45:10 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Lera's only taught me Doton jutsu. I don't know a lick of Katon or Suiton. - Tue Oct  6 21:45:10 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm> - Tue Oct  6 21:46:01 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You do? - Tue Oct  6 21:46:01 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Lucky you. - Tue Oct  6 21:46:01 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: If it's not too much of a hassle would you be interested in teaching me some stuff? Specifically Ninjutsu? Well actually... whatever you wanna teach me is up to you. That's if you -do- want to teach me anyways.. - Tue Oct  6 21:46:01 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Take these two scrolls. - Tue Oct  6 21:46:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I have to run. - Tue Oct  6 21:46:52 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: It's been so quiet in this village. She's the only person I've talked to. And.. she's already leaving.. - Tue Oct  6 21:46:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I came here looking for someone but I see they are not around. - Tue Oct  6 21:46:52 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Two..? - Tue Oct  6 21:46:52 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: I'm doomed to never learn jutsus. - Tue Oct  6 21:46:52 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) accepted, though with a look of dissapointment on her features.* - Tue Oct  6 21:47:44 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: She didn't even want to teach me that.. - Tue Oct  6 21:47:44 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Tue Oct  6 22:02:14 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I'm unsure. Where're your parents? - Tue Oct  6 22:07:21 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Tue Oct  6 22:09:04 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I don't know. - Tue Oct  6 22:09:04 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Huh. that's no good... - Tue Oct  6 22:09:04 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: I'd keep tabs on the kid if I knew how to take care of one. - Tue Oct  6 22:09:04 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ... - Tue Oct  6 22:09:04 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Say... what's your name? - Tue Oct  6 22:09:55 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Anguo. - Tue Oct  6 22:10:46 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Pleasure to meet you, Anguo. - Tue Oct  6 22:10:46 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ...Nice to meet you too... - Tue Oct  6 22:11:37 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Are you hungry? - Tue Oct  6 22:11:37 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ...A little. - Tue Oct  6 22:12:28 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) lifted a brow. She didn't really know what to do about the kid's needs. "Hmm.. what's your favorite food..?" She'd ask, assuming that he could perhaps get his own meal. It looked like he'd survived on his own for awhile. His headband reinforced her faith in his lifestyle.* - Tue Oct  6 22:15:53 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) approached the child, removing her wallet from the confines of her backpouch. She'd hand him a portion of yen that was sufficient for approximately ten bowls of ramen. "Here." She would extend her arm out to the little boy, originally asking him how he was doing lifestyle-wise. The blonde assumed that mentioning such a thng would remind him of his parents, whom, wherever they are, were perhaps difficult to think about for him. With that being said she asked something different.

"How do you like Kirigakure?"* - Tue Oct  6 22:22:43 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Most of the people went to Sunagakure. There're being stubborn and not coming back, though. - Tue Oct  6 22:28:41 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Oh... - Tue Oct  6 22:29:32 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I prefer Kirigakure over Suna, though. I dislike the weather there... - Tue Oct  6 22:29:32 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I guess that's what Fujitora abandonded me for.... - Tue Oct  6 22:29:32 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Fujitora? - Tue Oct  6 22:30:24 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: Sounds like someone's bitch. - Tue Oct  6 22:31:15 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: Who'd let a bitch take care of their child? - Tue Oct  6 22:31:15 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Yes...My mom told him to watch me... - Tue Oct  6 22:31:15 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: But he left with some evil lady... - Tue Oct  6 22:31:15 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Wait... isn't your mom that violet-haired woman? - Tue Oct  6 22:31:15 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Misa? Yes. - Tue Oct  6 22:32:06 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Ah... that's her. - Tue Oct  6 22:32:57 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Why isn't she watching you..? - Tue Oct  6 22:32:57 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I don't know... - Tue Oct  6 22:33:48 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I think she hates me... - Tue Oct  6 22:33:48 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: So.. your own mother hates you? - Tue Oct  6 22:33:48 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I guess...I don't know... - Tue Oct  6 22:34:40 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I get the feeling I'm the only one here who hasn't had really subpar, or just plain mean parents. - Tue Oct  6 22:34:40 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Probably... - Tue Oct  6 22:35:31 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: They say my dad is a bad guy... - Tue Oct  6 22:35:31 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: A bad guy? - Tue Oct  6 22:35:31 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Yes. - Tue Oct  6 22:37:13 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: They told me he ran everyone out of Sunagakure. - Tue Oct  6 22:37:13 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Hmm...well... - Tue Oct  6 22:37:13 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: If you're going to eat ramen make sure you can burn off the excess calories by training. Lazing off while eatingg something like ramen isn't smart... - Tue Oct  6 22:38:04 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) was obviously trying to change the subject.* - Tue Oct  6 22:38:04 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Huh..? Oh. - Tue Oct  6 22:38:04 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Training. - Tue Oct  6 22:38:04 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Yeah! My dad told me to always train! Even while I have fun. - Tue Oct  6 22:38:56 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Ah... - Tue Oct  6 22:39:47 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Hey... - Tue Oct  6 22:43:12 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Do you know any jutsu? - Tue Oct  6 22:43:12 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I only know...three Doton jutsu, and three kenjutsu. - Tue Oct  6 22:43:12 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Oh... - Tue Oct  6 22:44:03 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: What's kenjutsu? - Tue Oct  6 22:44:03 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: The art of swordsmanship. - Tue Oct  6 22:44:03 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Oh. - Tue Oct  6 22:44:54 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: She cut you with a katana. - Tue Oct  6 22:45:45 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Oh... - Tue Oct  6 22:45:45 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Hnn... - Tue Oct  6 22:50:01 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Good after noon to you all. - Tue Oct  6 23:17:20 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Hello. - Tue Oct  6 23:19:53 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Names Tramerus you may call me Tram from short and you are? - Tue Oct  6 23:20:44 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Anguo. - Tue Oct  6 23:22:27 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Let me ask you something Anguo do you belive in gods? - Tue Oct  6 23:27:34 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ...Gods? - Tue Oct  6 23:35:15 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Yes Gods Humans who became Immortals with unimaginable power. - Tue Oct  6 23:36:06 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: That sounds stupid. - Tue Oct  6 23:36:57 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ....Why? - Tue Oct  6 23:43:47 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: There is nothing like having a god as an enemey with drop of a tear or scracth of their head they could cause you great trumaiol or even death. They control your fate and Destiny. - Tue Oct  6 23:46:20 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Nope! - Tue Oct  6 23:47:12 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I control my own stuff! - Tue Oct  6 23:47:12 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Thats what they wish for you to belive young Anguo. - Tue Oct  6 23:48:03 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: No. - Tue Oct  6 23:48:54 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Yes...A mere spar will change your prespective. - Tue Oct  6 23:49:45 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: No. - Tue Oct  6 23:50:36 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Nobody tells me what to do! - Tue Oct  6 23:50:36 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Thats untrue I'm more than sure there is a voice in your head that you think is you thats helps you make decsions. - Tue Oct  6 23:51:28 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: That voice is me! - Tue Oct  6 23:52:19 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Stupid! - Tue Oct  6 23:52:19 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Ha...No where near Its actualy Hamuras the  God of thoughts and dreams. - Tue Oct  6 23:53:10 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Nope! It's Anguo of the Kush clan! - Tue Oct  6 23:53:10 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: I understand why the great Ares has drawn me to you our meeting is Fate. - Tue Oct  6 23:54:52 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I seek....something. - Tue Oct  6 23:56:35 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: That this village possesses. - Tue Oct  6 23:56:35 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Hmmm..I Feel  a strong pressecene of the great Ares in you my friend may i ask of what it is you seek? - Wed Oct  7 00:00:51 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I seek blades. - Wed Oct  7 00:00:51 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Two of them in particular. - Wed Oct  7 00:00:51 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Have you heard of their name? - Wed Oct  7 00:00:51 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: The Kiba.  - Wed Oct  7 00:00:51 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Blades...? - Wed Oct  7 00:01:42 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: The legendary Lord Akask had them. - Wed Oct  7 00:01:42 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: . . . - Wed Oct  7 00:01:42 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I see. - Wed Oct  7 00:01:42 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Those two blades are katana. - Wed Oct  7 00:01:42 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I'll inspect them -myself-. - Wed Oct  7 00:01:42 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Clear? - Wed Oct  7 00:02:33 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Okay! - Wed Oct  7 00:02:33 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Sin'ichi. - Wed Oct  7 00:02:33 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Prepare in the meantime. - Wed Oct  7 00:02:33 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Do what you think is necessary. - Wed Oct  7 00:02:33 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Hmmmm...I really like the vibe i get from you people. - Wed Oct  7 00:03:24 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Its as though My god is right here with me. - Wed Oct  7 00:04:16 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: If you refer to me. - Wed Oct  7 00:04:16 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: You'd be accurate. - Wed Oct  7 00:04:16 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Would you mind if i were to accompany you my overall goal in life is to become closer with my god. - Wed Oct  7 00:04:16 2015
<br><br><font color=teal>*Tramerus(Simbasax) thinks: The persence of Ares is strong in this one almost as strong as is in that boy, - Wed Oct  7 00:05:07 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Oi, boy. - Wed Oct  7 00:05:07 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Come over here for a moment. - Wed Oct  7 00:05:07 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Would you happen to mean me? - Wed Oct  7 00:06:49 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Not in reference to you... - Wed Oct  7 00:06:49 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: But.... - Wed Oct  7 00:06:49 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: You might be an interesting candidate for an ally. - Wed Oct  7 00:07:40 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: It would be an hornor so serve someone with such a Ares like presece. - Wed Oct  7 00:08:32 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Very well. - Wed Oct  7 00:08:32 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Come over here. - Wed Oct  7 00:08:32 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: And boy, come here too. - Wed Oct  7 00:08:32 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Uh...Okay! - Wed Oct  7 00:08:32 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: . . .  - Wed Oct  7 00:11:05 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: No. - Wed Oct  7 00:12:48 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: You'll be coming with me, that's all. - Wed Oct  7 00:12:48 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: You don't fit here in Kirigakure. - Wed Oct  7 00:12:48 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Oh... - Wed Oct  7 00:13:39 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Have you seen his mother? She's a violet-haired woman. - Wed Oct  7 00:13:39 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Her name's....Misa. - Wed Oct  7 00:13:39 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Or his father.. - Wed Oct  7 00:13:39 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: No I have not. - Wed Oct  7 00:14:30 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: ........... - Wed Oct  7 00:18:46 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: What do we do now? - Wed Oct  7 00:18:46 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Masked man? - Wed Oct  7 00:18:46 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: We'll be waiting here. - Wed Oct  7 00:19:37 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: For the blades. - Wed Oct  7 00:19:37 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Talkative blonde, over there. - Wed Oct  7 00:19:37 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: The Kiba blades..? - Wed Oct  7 00:19:37 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I'm sure you know something. - Wed Oct  7 00:19:37 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Yes. - Wed Oct  7 00:19:37 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Wed Oct  7 00:20:28 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: What do they look like? - Wed Oct  7 00:20:28 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Black steel blades. - Wed Oct  7 00:20:28 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: No one here wields black-bladed weaponry. - Wed Oct  7 00:20:28 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I will be the judge of that. - Wed Oct  7 00:20:28 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I only hope I can have these blades peacefully. - Wed Oct  7 00:21:20 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: Is this guy a pedophile? - Wed Oct  7 00:21:20 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) squinted toward his hand as he continued petting Anguo.* - Wed Oct  7 00:21:20 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I wonder how the local delicacies taste like. - Wed Oct  7 00:22:11 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Wed Oct  7 00:22:11 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: The seafood is top notch. - Wed Oct  7 00:23:02 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I'm not talking about that kind of food. - Wed Oct  7 00:26:27 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Anywho... - Wed Oct  7 00:28:09 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Let's wait... - Wed Oct  7 00:28:09 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: It's almost like playing a game. - Wed Oct  7 00:28:09 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: You're the baby sheep. - Wed Oct  7 00:28:09 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: And I'm the shepherd. - Wed Oct  7 00:28:09 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I must be the shepherd. - Wed Oct  7 00:28:09 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Huh... whats going on? - Wed Oct  7 00:28:09 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Nothing much. - Wed Oct  7 00:29:00 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: What about sheep... is someone a sheep summoner here? - Wed Oct  7 00:29:52 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ...Sheep? - Wed Oct  7 00:29:52 2015
