<br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You not up for it? - Fri Oct  2 23:36:57 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) blinks. "Huh?" Mamoru flushed with a pale red complexion that spread to his cheeks. "Oh. Yeah. I... I like you too. A-As a partner." Mamoru stated, placing his hands on the table. The takoyaki arrives, and Mamoru offers one of the plates carrying six to Chiharu.

"Try some."* - Sat Oct  3 21:37:04 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) presses his elbow against the table and rests his chin on his hand, admiring how cute Chiharu appeared eating takoyaki.* - Sat Oct  3 21:43:53 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) was chuckling as she devoured handfuls and ample numbers of the takoyaki that was available. "Easy, easy, you might choke." He takes a glass of water and offers it to her after she had finished and had moaned in satisfaction in the aftermath of the takoyaki massacre. 

When she grasped his hand, he blushed slightly.

"Of course. I'll refer you to foods I think you might like, miss sweet tooth." He said, smiling at her gently. * - Sat Oct  3 21:57:32 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Thank you so much Mamoru, honestly! Honestly I've never tried foods like this. I don't know why either. - Sat Oct  3 22:00:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You should get out more. Lots of foods are discovered that way. - Sat Oct  3 22:01:48 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It's probably getting late. - Sat Oct  3 22:01:48 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Do you want me to walk you home?  - Sat Oct  3 22:01:48 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Um... I'll be fine. I don't have to go far. - Sat Oct  3 22:02:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Alright. - Sat Oct  3 22:02:40 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) notices Reguel.

"Hey."* - Sat Oct  3 22:03:31 2015
<br><br><font color=teal>*Reguel(Airide) says: Heard any news so far? - Sat Oct  3 22:03:31 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: News..? - Sat Oct  3 22:04:22 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: On what? - Sat Oct  3 22:04:22 2015
<br><br><font color=teal>*Reguel(Airide) says: On anything. - Sat Oct  3 22:04:22 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I haven't. - Sat Oct  3 22:05:13 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmm, I see. - Sat Oct  3 22:06:04 2015
<br><br><font color=teal>*Reguel(Airide) says: Ah, right Chiharu, Mamoru, have any of you seen Misa around? - Sat Oct  3 22:06:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I've seen Misa. - Sat Oct  3 22:06:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: She was treating me yesterday for injuries. - Sat Oct  3 22:06:56 2015
<br><br><font color=teal>*Reguel(Airide) says: I mean today. - Sat Oct  3 22:06:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Nope. - Sat Oct  3 22:06:56 2015
<br><br><font color=teal>*Reguel(Airide) says: I'm not going to wait on her for too long then, I'll just train by myself. - Sat Oct  3 22:09:29 2015
<br><br><font color=teal>*Reguel(Airide) says: Then I'll pester the Raikage. - Sat Oct  3 22:10:20 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Good luck on your training.~ - Sat Oct  3 22:12:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ....Hm? - Sat Oct  3 22:14:36 2015
<br><br><font color=teal>*Reguel(Airide) says: Later Chiharu. - Sat Oct  3 22:14:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: So. - Sat Oct  3 22:15:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I guess we part ways now? - Sat Oct  3 22:15:28 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Where're you heading? - Sat Oct  3 22:15:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I was going to head home. - Sat Oct  3 22:15:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I wanted to laminate a poster and hang it up on my wall. - Sat Oct  3 22:16:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Then do some exercise. - Sat Oct  3 22:16:19 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Ah... alright. - Sat Oct  3 22:17:10 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I'll probably be at the mansion, in that case. - Sat Oct  3 22:17:10 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yeah. - Sat Oct  3 22:18:01 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll see you later, Chiharu. - Sat Oct  3 22:18:01 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Stay safe. - Sat Oct  3 22:18:01 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I will.~ - Sat Oct  3 22:18:01 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Bye, Mamoru. - Sat Oct  3 22:18:01 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Chiharu. - Sat Oct  3 23:33:58 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Huh? - Sat Oct  3 23:33:58 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You doing well? - Sat Oct  3 23:33:58 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Yeah. - Sat Oct  3 23:33:58 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Do you want to go do something together? - Sat Oct  3 23:33:58 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Sure, it's your decision on where we should go. - Sat Oct  3 23:34:49 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Great. - Sat Oct  3 23:37:23 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I was figuring we could go to the mall or something. - Sat Oct  3 23:38:14 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: And I'd buy you something. - Sat Oct  3 23:38:14 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You seem to like clothes. In a way. - Sat Oct  3 23:38:14 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Yeah. I planned out this outfit. - Sat Oct  3 23:38:14 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hmmm.... - Sat Oct  3 23:39:05 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Also I figured out that my clothes affect how I look in katana form. - Sat Oct  3 23:39:05 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It's honestly pretty interesting. - Sat Oct  3 23:39:05 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: While we're at the mall, I figure I'd get a wardrobe change too. - Sat Oct  3 23:39:05 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Oh? - Sat Oct  3 23:39:56 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I wonder what I should wear.. what do you think? - Sat Oct  3 23:45:04 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ..... - Sat Oct  3 23:50:11 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You'd look great in a lot of things. - Sat Oct  3 23:50:11 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Huh? I would? - Sat Oct  3 23:50:11 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yeah. - Sat Oct  3 23:51:53 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You'd look amazing, I'm sure. - Sat Oct  3 23:51:53 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Maybe you'd go to the beach with me sometime?  - Sat Oct  3 23:51:53 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: If we ever go to Kirigakure. - Sat Oct  3 23:51:53 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Sure! - Sat Oct  3 23:53:36 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) smiles. He'd offer his hand to Chiharu.

"Let's go to the mall then and see what we can find."* - Sat Oct  3 23:54:27 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) clasps Chiharu's hand and walks with her.* - Sat Oct  3 23:56:09 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) enters the mall with Chiharu. He points over at the clothing store, deciding that may be a good place to look. "They sell neat ninja clothes over there. Maybe we should check it out and get something that'll look nice."* - Sat Oct  3 23:57:00 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) holds onto Chiharu's hand tightly. He follows her around the store. "Well, do you see anything you take an interest in?"* - Sat Oct  3 23:59:34 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) smiles. "Yeah. I'm sure you'll look good in that sweater. How much is it?" Mamoru asked.* - Sun Oct  4 00:08:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Alright. - Sun Oct  4 00:16:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I should probably buy some tools while we're at the mall though. - Sun Oct  4 00:18:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You think bombs might work with our combination? - Sun Oct  4 00:18:20 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: What type..? - Sun Oct  4 00:19:12 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Smoke bombs probably. - Sun Oct  4 00:20:03 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hmmm... - Sun Oct  4 00:20:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It should work, right?  - Sun Oct  4 00:21:45 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Maybe.. I'm thinking. - Sun Oct  4 00:21:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sun Oct  4 00:22:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ...Hm? - Sun Oct  4 00:22:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Where's Niza. - Sun Oct  4 00:22:36 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Um... he may be at the training field. - Sun Oct  4 00:23:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sun Oct  4 00:23:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thanks. - Sun Oct  4 00:23:28 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I'm not sure, otherwise. - Sun Oct  4 00:23:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Alright. - Sun Oct  4 00:24:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Well. - Sun Oct  4 00:24:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll buy a couple just incase. - Sun Oct  4 00:24:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: What else should we buy? - Sun Oct  4 00:27:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Terms of clothes. - Sun Oct  4 00:27:44 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hmmm.. - Sun Oct  4 00:27:44 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: How about matching black scarves for both of us..? - Sun Oct  4 00:32:00 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I don't know. - Sun Oct  4 00:32:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Sure. - Sun Oct  4 00:32:51 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Let's buy them. - Sun Oct  4 00:40:32 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) follows up by buying his own black scarf, deciding to match with Chiharu. The scarf would be enough; he wasn't the type to go for leggings.* - Sun Oct  4 00:45:39 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: How do I look? - Sun Oct  4 00:49:04 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You look great, Chiharu. - Sun Oct  4 00:50:46 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Really? Why thank you..~ - Sun Oct  4 00:50:46 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yeah, haha... - Sun Oct  4 00:51:37 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You want to go get something to eat? - Sun Oct  4 00:53:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Like a dessert? - Sun Oct  4 00:53:20 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hmm... sure. - Sun Oct  4 00:53:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I know a place that has some nice shortcakes. - Sun Oct  4 00:53:20 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Weren't you going to change your wardrobe? - Sun Oct  4 00:53:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I got a scarf, didn't I? - Sun Oct  4 00:53:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I think it's enough change for now. - Sun Oct  4 00:54:11 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . . . . . . . . . - Sun Oct  4 00:56:44 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) whispers: What're they arguing about..? - Sun Oct  4 01:00:09 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) whispers: It's not any of our business. - Sun Oct  4 01:00:09 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: That...That made no sense! - Sun Oct  4 01:00:09 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It does. - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: It totally doesn't. - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I just want the fuck out of here. - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: Just accept it before he engulfs you in black flames. - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: -omit- - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: What Chiharu said - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: omit - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ........ - Sun Oct  4 01:03:34 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Why does he suddenly hate me... - Sun Oct  4 01:04:25 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: When did he get so dumb... - Sun Oct  4 01:04:25 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: He got so complicated.... - Sun Oct  4 01:05:16 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ughhh...... - Sun Oct  4 01:05:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Are you.... - Sun Oct  4 01:10:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Are you alright, Misa? - Sun Oct  4 01:11:15 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: W-wh...what did I do..wrong? - Sun Oct  4 01:11:15 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . .  - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm sorry. - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Hideki... he's ... - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Confused right now. - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Are you saying he wants penis? - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: =omit= - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: mebbeh - Sun Oct  4 01:13:48 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: -omit- - Sun Oct  4 01:13:48 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Do you... want to perhaps join us for some cake? - Sun Oct  4 01:14:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: No, it's fine. - Sun Oct  4 01:15:31 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) aims to sit down next to Misa, smiling at her.

"We've got room, and some yen. Though maybe we shouldn't eat at a restaurant. I can get some take-out, and we can go to my house. That way, we can talk privately."* - Sun Oct  4 01:16:22 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Chiharu, what do you think about that? - Sun Oct  4 01:16:22 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: No problem with it.~ - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Alright. - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll go get the order. - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You two should head to my house. - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll be short; I know the old guy. - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Ok. - Sun Oct  4 01:18:04 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Alright. - Sun Oct  4 01:18:04 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) gets the order in.* - Sun Oct  4 01:18:56 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) gets the cake.* - Sun Oct  4 01:20:38 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) puts the cake down.* - Sun Oct  4 01:21:29 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) // Mamoru's apartment opens up into a wooden floor. Unlike some richer or more expensive houses, he didn't have his floor carpeted. He had a small kitchen, a small bathroom, and a relatively small bedroom. His bedroom had a single bed, with an empty birdcage hanging on the side of the window.

His living room had a sofa and several scrolls sprawled out over the floor. 

In his kitchen, cups of ramen littered the dinner table. He had a refridgerator, a stove, and an oven. 

In his bathroom, he had a shower combined with a bathtub, a sink, and a toilet. Only the essentials, really. He had no other toiletries besides toilet paper.* - Sun Oct  4 01:24:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Make yourself at home. - Sun Oct  4 01:24:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It'll be a bit cramped. - Sun Oct  4 01:24:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: But it should be okay. - Sun Oct  4 01:24:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yeah. - Sun Oct  4 01:27:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It is. - Sun Oct  4 01:27:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: So, who wants a slice of cake? - Sun Oct  4 01:27:28 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: What flavor is it, by the way? - Sun Oct  4 01:28:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Strawberry. - Sun Oct  4 01:28:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: That alright with you? - Sun Oct  4 01:28:19 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Mhm. - Sun Oct  4 01:28:19 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Cut me a slice? - Sun Oct  4 01:28:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Sure. - Sun Oct  4 01:28:19 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) reaches for his saber.

Then he realizes it broke.

His eyes slowly fall on Chiharu.* - Sun Oct  4 01:29:10 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) takes Chiharu into his hand. He slices the cake into eight perfect slices in a matter of moments.

"Ninja skills. I'll get a job in confectionaries if I fail at being a ninja." He thought to himself.* - Sun Oct  4 01:30:01 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm feeling alright, I suppose. - Sun Oct  4 01:36:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Still broken. - Sun Oct  4 01:36:51 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Nothing hurting or broken? - Sun Oct  4 01:36:51 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) heads over to the couch and sits down next to the two of them.

"Nothing's 'broken'. But I'm still hurting where my back and chest are."* - Sun Oct  4 01:37:42 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: That's good....Can you serve me a slice of cake? - Sun Oct  4 01:39:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Oh right, yeah. - Sun Oct  4 01:39:24 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) heads to the kitchen. He grabs one of the plates and grabs a plastic fork. He places the fork on the plate and heads back to the group. He then used the fork to carry the cake onto the plate, and then gave it to Misa.* - Sun Oct  4 01:40:16 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hmm..... - Sun Oct  4 01:40:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Is it good? - Sun Oct  4 01:45:23 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Chiharu, you should try some too. - Sun Oct  4 01:45:23 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: mhm. - Sun Oct  4 01:45:23 2015
