<br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Are you a sex slave? - Thu Oct  1 02:47:15 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: That guy is one strange character... - Sat Oct  3 00:00:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So! Leader Guy...shall we discuss this more? - Sat Oct  3 00:01:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe over a candle-lit dinner? Well..I guess moonlight could work.. - Sat Oct  3 00:02:33 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Yeah, no thanks. - Sat Oct  3 00:03:24 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: I don't role like that. - Sat Oct  3 00:03:24 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Ask Takeda. - Sat Oct  3 00:04:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hrm..roll like what? - Sat Oct  3 00:04:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Sat Oct  3 00:05:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So, about that proposition for knowledge?~ - Sat Oct  3 00:05:07 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: .............................................. - Sat Oct  3 00:05:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ............................... - Sat Oct  3 00:09:23 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: We'll discuss this later. - Sat Oct  3 00:11:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So..! - Sat Oct  3 00:14:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What's up, friends?!~ - Sat Oct  3 00:16:12 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Hello. - Sat Oct  3 00:16:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What are you doing? - Sat Oct  3 00:17:04 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Standing in a line. - Sat Oct  3 00:19:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You know what they say about lines? - Sat Oct  3 00:20:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They usually lead to death. - Sat Oct  3 00:21:20 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Sometimes. - Sat Oct  3 00:21:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You really wanna take that chance? - Sat Oct  3 00:23:53 2015
<br><br><font color=teal>*Ryomen(Punkamainia) thinks: A lot of people here . - Sat Oct  3 00:24:44 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: ....What? - Sat Oct  3 00:24:44 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Are you suggesting that this line in particular is going to lead to death? - Sat Oct  3 00:24:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It could. - Sat Oct  3 00:25:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Think about it..what happens if a tiger just runs through here.. - Sat Oct  3 00:25:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Tigers are attracted to lines. - Sat Oct  3 00:25:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's why they have them on their bodies. - Sat Oct  3 00:26:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It all makes sense. - Sat Oct  3 00:26:27 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ... - Sat Oct  3 00:29:00 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) thinks: That does make sen- ... This guy is completely weird. What the hell is he even talking about. - Sat Oct  3 00:29:00 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: You certainly like to ramble. - Sat Oct  3 00:29:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sat Oct  3 00:34:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yeah.. - Sat Oct  3 00:34:08 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ..... - Sat Oct  3 00:40:06 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sometimes, it helps me to cope with the endless scream that haunt me endlessly.. - Sat Oct  3 00:40:06 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's a story for another time, though! - Sat Oct  3 00:40:06 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: We have nothing but time on our hands, at the current moment. - Sat Oct  3 00:40:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So, who can I buy knowledge off of..? - Sat Oct  3 00:45:13 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Me, possibly. - Sat Oct  3 00:46:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really? - Sat Oct  3 00:48:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Any sort of techniques you possess? State your prices..~ - Sat Oct  3 00:48:38 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Ten million. - Sat Oct  3 00:49:29 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: For techniques. - Sat Oct  3 00:49:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ten million, eh? - Sat Oct  3 00:54:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well that's not realistic at all.~ - Sat Oct  3 00:54:36 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Tigers mauling someone in the middle of the village isn't very realistic either. - Sat Oct  3 00:56:19 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Ten mill for one technique. - Sat Oct  3 00:58:01 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Take it or leave it. - Sat Oct  3 00:58:01 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Does a hug count? - Sat Oct  3 00:58:01 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: If you're looking to learn my stabbing technique, yes. - Sat Oct  3 00:58:52 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: . . .I'm kidding? - Sat Oct  3 00:58:52 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I'm not. - Sat Oct  3 00:58:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: EEh.. - Sat Oct  3 01:02:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I think..I'll leave that.. - Sat Oct  3 01:02:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: A majority of your techniques probably involve the sword.. - Sat Oct  3 01:02:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That bit of knowledge while interesting, can not be utilized. - Sat Oct  3 01:03:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Anyone else have anything realistic they want to offer? Something like a tiger mauling someone in the middle of a village? - Sat Oct  3 01:04:00 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I do not have any tigers on me. - Sat Oct  3 01:04:51 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I can however. Offer you ducks. - Sat Oct  3 01:04:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: HA! - Sat Oct  3 01:08:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I see what you're doing. Good work. - Sat Oct  3 01:08:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: God once told me in a vision.. - Sat Oct  3 01:10:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: To always give up your valuables to a guy wearing a mask. - Sat Oct  3 01:11:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Gosh.. - Sat Oct  3 01:12:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You heathens..hurt me.. - Sat Oct  3 01:12:32 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: .... - Sat Oct  3 01:13:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What ever happened to the old days..? - Sat Oct  3 01:14:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Where a guy could walk around with an erection, and not be questioned... - Sat Oct  3 01:15:05 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Sat Oct  3 01:15:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh..no.. - Sat Oct  3 01:15:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Now they'll never understand. - Sat Oct  3 01:15:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You people don't understand how much I love you. - Sat Oct  3 01:15:56 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ....... - Sat Oct  3 01:16:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So many people fleeing.. - Sat Oct  3 01:17:39 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I wonder why - Sat Oct  3 01:17:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I do..too. - Sat Oct  3 01:19:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hey.. - Sat Oct  3 01:22:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe they're having a party without us? - Sat Oct  3 01:22:46 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Or. Maybe they're just leaving the party thats occuring here without our notice. - Sat Oct  3 01:22:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's true too. - Sat Oct  3 01:24:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So many potential outcomes... - Sat Oct  3 01:24:28 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I wasn't lying about the ducks. - Sat Oct  3 01:24:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well.. - Sat Oct  3 01:26:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ducks are fine. - Sat Oct  3 01:26:11 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: . . .Why is all about ducks. . .Do you summon ducks? - Sat Oct  3 01:27:02 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Only fine? I tho- ... - Sat Oct  3 01:27:02 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) thinks: If only she knew. - Sat Oct  3 01:27:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sat Oct  3 01:30:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well.. - Sat Oct  3 01:30:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You see ducks are a prominent part of Konohagakurezaki society. - Sat Oct  3 01:31:18 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ... - Sat Oct  3 01:32:09 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: What? - Sat Oct  3 01:32:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Mhm.. - Sat Oct  3 01:32:09 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Okay then. . . - Sat Oct  3 01:32:09 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I don't. Even know what thats suppose to mean. - Sat Oct  3 01:33:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yeah.. - Sat Oct  3 01:35:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You heathens..might not believe.. - Sat Oct  3 01:35:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I do, though. - Sat Oct  3 01:38:59 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: What? - Sat Oct  3 01:38:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I believe in every single one of you. - Sat Oct  3 01:38:59 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ... - Sat Oct  3 01:40:41 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I have no idea what you are talking about, nor do I really think I should ask. - Sat Oct  3 01:40:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh... - Sat Oct  3 01:41:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sat Oct  3 01:44:06 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Hey kid. - Sat Oct  3 03:59:47 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Thanks for uh.. - Sat Oct  3 03:59:47 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Doing that stuff. - Sat Oct  3 03:59:47 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Don't thank me. - Sat Oct  3 04:02:20 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Thank Erebus the next time you see him. - Sat Oct  3 04:02:20 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Do you know any medics though? - Sat Oct  3 04:03:12 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: No. - Sat Oct  3 04:03:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Ushinawa has passed away. - Sat Oct  3 16:57:10 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Death isn't something to joke with, Hideki. - Sat Oct  3 16:57:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ...... - Sat Oct  3 16:57:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You really think I'm joking? - Sat Oct  3 16:57:10 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Ushinawa is a true titan. His death is impossible, just like mine. - Sat Oct  3 16:58:01 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ..... - Sat Oct  3 16:58:01 2015
<br><br><font color=teal>*Hideki(Assassin241) says: His wife also passed away, Erebus. - Sat Oct  3 16:58:52 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: The only way I can see him dying is if- - Sat Oct  3 16:58:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Although, Ushinawa's death is still unknown. - Sat Oct  3 16:58:52 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: ..She was fodder within this shinobi world, I'm not surprised. - Sat Oct  3 16:58:52 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Ushinawa's death, however.. - Sat Oct  3 16:58:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No one knows how Ushinawa died. - Sat Oct  3 16:58:52 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: That's shocking. - Sat Oct  3 16:58:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However...Is kilm here? - Sat Oct  3 16:59:44 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: I suppose you haven't heard. - Sat Oct  3 17:00:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm? - Sat Oct  3 17:00:35 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Katsune and Kilm are both banished from Konohagakure. - Sat Oct  3 17:00:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Oh, I see. - Sat Oct  3 17:00:35 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: And are both on my hit l-  - Sat Oct  3 17:00:35 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Damn, now I have to track them down.. - Sat Oct  3 17:00:35 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: I feel like I've told you this before. - Sat Oct  3 17:00:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yes, we've had the discussion Erebus-sama. - Sat Oct  3 17:00:35 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Right, right. - Sat Oct  3 17:03:08 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Consider this place home. - Sat Oct  3 17:04:00 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Sat Oct  3 17:07:24 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Why did he...stand next to me..? - Sat Oct  3 17:08:16 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) thinks: Because he'd block one of the two entrances/exits to the manor if he stood next to me.. -omit- - Sat Oct  3 17:08:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: But the mansion is not visible to me -omit- - Sat Oct  3 17:09:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: If you're looking for a spar, Erebus-sama. Then I'm okay with that. - Sat Oct  3 17:12:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Mr. Erebus sure knows a lot of people... - Sat Oct  3 17:13:23 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Step forth then, young one. - Sat Oct  3 17:13:23 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I just got done being in a wheel chair. I hope I don't get another injury. - Sat Oct  3 17:14:14 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: However, this will be a good sparring match. - Sat Oct  3 17:14:14 2015
<br><br><font color=teal>*Valencia White(Rosevine) says: ..Hmh? - Sat Oct  3 17:15:05 2015
<br><br><font color=teal>*Valencia White(Rosevine) says: What are you up to? - Sat Oct  3 17:15:05 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) intently watched the first few exchanges Between Erebus and Jideki, watching and analysing each of their movements. He didn't realise Erebus could use a bow, Up until now he had only seen him with a scythe occasionally. Hideki seemed to have very fast reflexes, easily dodging out of the way of the arrows shot towards him. He also noticed a perticular glow from Hidekis' eyes as he watched him perform the fireball jutsu, a strange crimson that looked quite unnatural...

He would have had more time to think on what that glow was had it not been for the fact his attention was torn away by Erebus literally catching the fireball thrown his way, then launching it back, one could say the power of the sun was in the palm of his hands. In anycase another ability peaked his interest, How fast Hideki managed to move as the fireball was sent back at him, another interesting quirk. * - Sat Oct  3 18:05:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sat Oct  3 18:08:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Technically speaking, it wasn't a hit. Since it didn't explode. - Sat Oct  3 18:08:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hey, Suitengu. - Sat Oct  3 18:21:39 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Hello. - Sat Oct  3 18:21:39 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) thinks: Do you mean Taiga? If so, no. I only recall him fleeing from Konohagakure. But with Baen alr- Oh, I see we already know where then. - Sat Oct  3 18:23:21 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Taiga? - Sat Oct  3 18:23:21 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Who's Taiga? - Sat Oct  3 18:23:21 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: -omit- - Sat Oct  3 18:23:21 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: I need to get stronger...if there are more people like Erebus and that other guy in this world... - Sat Oct  3 18:25:55 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Welcome back.  - Sat Oct  3 19:35:53 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Thanks. - Sat Oct  3 19:35:53 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: What I miss? - Sat Oct  3 19:35:53 2015
