<br><font color=teal>*Alastor(LordxPatrick) says: Would you like to hear it? - Thu Oct  8 03:12:25 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm, well I think it will if we try.. - Sat Oct 10 05:33:13 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: Tch...I'd be willing...but. My sand may prevent it, i'm not sure...Its very persistent, I can't even hurt myself. - Sat Oct 10 05:34:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: Well..I've managed to get passed a sabakus sand many times before.. - Sat Oct 10 05:35:47 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: My sand is different idiot. I don't even require a gourd of sand any longer. It just protects me anyway, sand appears out of nothingness. - Sat Oct 10 05:36:38 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: *sigh* Though, i'm open for ideas. - Sat Oct 10 05:37:29 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: As I said..I'll manage.. - Sat Oct 10 05:39:12 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: ...I see.... All right. - Sat Oct 10 05:40:03 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: But not here though.. - Sat Oct 10 05:42:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: Another day...Another place.. - Sat Oct 10 05:42:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: Mhmm...All right. - Sat Oct 10 05:42:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: About that technique...remember? - Sat Oct 10 05:45:10 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmm, so you two know each other? - Sat Oct 10 05:49:26 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? - Sat Oct 10 05:49:26 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Aren't we of the same village? - Sat Oct 10 05:50:17 2015
<br><br><font color=teal>*Reguel(Airide) says: I wasn't born in Sunagakure. - Sat Oct 10 05:51:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I see.. - Sat Oct 10 05:51:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Either way, we're family now right? We're under the same cause, same village. - Sat Oct 10 05:52:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: Mhm.. - Sat Oct 10 05:52:00 2015
<br><br><font color=teal>*Reguel(Airide) says: I guess so. - Sat Oct 10 05:53:42 2015
<br><br><font color=teal>*Reguel(Airide) says: Ah, you're still alive. - Sat Oct 10 05:54:33 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mhm.. - Sat Oct 10 05:54:33 2015
<br><br><font color=teal>*Reguel(Airide) says: Ah, right I wanted to find the medic of Sunagakure. - Sat Oct 10 05:56:16 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: A medic?..Gee.. - Sat Oct 10 06:03:05 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Haven't seen one in a while...well a good one. - Sat Oct 10 06:03:56 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) released a sigh before leaving Fujitora's side, at least one aspect of his plee may have been solved. Though he didn't see it happening, he'd have to put the matter into his own hands.* - Sat Oct 10 06:09:04 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) observed from a far, in the distance Ai was visible in the training location most likely training again."She's at it again?" the teen questioned in his mind. * - Sat Oct 10 06:15:02 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) brought his hands up to the mid-section of his body, there he folded his arms observing Ai's fighting style. Though he'd seen it before, it really looked as if the shinobi had improved her skills. He'd speak, his voice probably might've been drowned out by her training or not. Who knew, either way he'd speak "Why are you always out here alone? You could be training with Fuji or something. Its better not to be alone if you could help it, ya'know." he was speaking from personal experience, though he hadn't the chance anymore. Physical loneliness in this world was his path for the time being, though inside he didn't feel alone. 

Ai's reason may defer, he just was curious for her answer and resolve.* - Sat Oct 10 06:41:29 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) guessed she hadn't heard him, he'd shrug his shoulders leaving the training area. It was better he left her to herself and her training.* - Sat Oct 10 07:31:50 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Yo, Jiki. - Sun Oct 11 00:20:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? - Sun Oct 11 00:20:28 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: How're you? - Sun Oct 11 00:21:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Fine you? - Sun Oct 11 00:22:11 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: O - Sun Oct 11 00:22:11 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I'm good. - Sun Oct 11 00:22:11 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: That's good.  - Sun Oct 11 00:23:02 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Why is it so quiet today?..weird. - Sun Oct 11 00:23:02 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: So jiki. - Sun Oct 11 00:23:53 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: What's in that gourd? - Sun Oct 11 00:24:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Death.  - Sun Oct 11 00:24:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Why are people so intrigued by my gourd? - Sun Oct 11 00:24:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Ehehe, guess my design was cool after all. - Sun Oct 11 00:25:36 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Death huh. - Sun Oct 11 00:25:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *nod* - Sun Oct 11 00:25:36 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I should get a gourd myself then. - Sun Oct 11 00:25:36 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Fill it with death. - Sun Oct 11 00:26:27 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Oh? Why not fill it with life?  - Sun Oct 11 00:26:27 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Life trumps death. - Sun Oct 11 00:26:27 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmmm..That could also be a very good thing. - Sun Oct 11 00:26:27 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: But life also counters death. - Sun Oct 11 00:26:27 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Ehehe. - Sun Oct 11 00:27:18 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Without one though..the other doesn't exist. - Sun Oct 11 00:27:18 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Correct. - Sun Oct 11 00:27:18 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm..I guess that's just the balance of this world. - Sun Oct 11 00:27:18 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Sadly. - Sun Oct 11 00:27:18 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: But that's what makes it intresting I guess. - Sun Oct 11 00:28:09 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Indeed. - Sun Oct 11 00:28:09 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm...How about you show me some of that "death" then? - Sun Oct 11 00:30:43 2015
<br><br><font color=teal>*Reguel(Airide) says: You're asking for a lot of stuff. - Sun Oct 11 00:30:43 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Sun Oct 11 00:32:25 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Death may snuff the life that you have remaining, would you even take a risk like that? - Sun Oct 11 00:32:25 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm.. - Sun Oct 11 00:34:08 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Maybe..maybe not. - Sun Oct 11 00:34:08 2015
<br><br><font color=teal>*Reguel(Airide) says: Just say no. - Sun Oct 11 00:34:59 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm. - Sun Oct 11 00:34:59 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Decisions are my downfall. - Sun Oct 11 00:34:59 2015
<br><br><font color=teal>*Reguel(Airide) says: Even a shinobi knows when to wager their lives or not. - Sun Oct 11 00:34:59 2015
<br><br><font color=teal>*Reguel(Airide) says: Then you'll die. - Sun Oct 11 00:34:59 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *nod* - Sun Oct 11 00:35:50 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Decisions, Decisions, annoying thing isn't it? - Sun Oct 11 00:35:50 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Very. - Sun Oct 11 00:35:50 2015
<br><br><font color=teal>*Reguel(Airide) says: Not really - Sun Oct 11 00:36:41 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm... - Sun Oct 11 00:36:41 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: What do you really decide? Having a look at death, yet risking your life or preserving it. - Sun Oct 11 00:36:41 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm..I'll live to see it another day. - Sun Oct 11 00:36:41 2015
