<br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: ........... - Wed Oct  7 03:46:59 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Good question. - Wed Oct  7 23:33:07 2015
<br><br><font color=teal>*Ai(Sennalove) says: Eh... - Wed Oct  7 23:33:07 2015
<br><br><font color=teal>*Ai(Sennalove) says: Is the village still under Kumo - Wed Oct  7 23:33:58 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: No. That's long gone. - Wed Oct  7 23:33:58 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: No. - Wed Oct  7 23:33:58 2015
<br><br><font color=teal>*Ai(Sennalove) says: I see...I might need to discard the headband then. - Wed Oct  7 23:34:49 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Heh. - Wed Oct  7 23:34:49 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. That idiots somewhere around farming. - Wed Oct  7 23:38:14 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: yo) - Wed Oct  7 23:38:14 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (?) - Wed Oct  7 23:38:14 2015
<br><br><font color=teal>*Ai(Sennalove) says: He retired? - Wed Oct  7 23:38:14 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Imma just say guards let me in under supervision if that's cool) - Wed Oct  7 23:38:14 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Yes. - Wed Oct  7 23:38:14 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (nah) - Wed Oct  7 23:39:05 2015
<br><br><font color=teal>*Ai(Sennalove) says: ...Bastard...He didn't finish my training. - Wed Oct  7 23:39:05 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: wanna come 2 da gate den?) - Wed Oct  7 23:39:05 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Yup.) - Wed Oct  7 23:39:05 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) watched as a guard approached him, "Mhmm? I'm guessing someone's at the gate." he'd sigh before heading over in the direction of the gate.* - Wed Oct  7 23:39:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? What is it? - Wed Oct  7 23:40:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Wed Oct  7 23:43:21 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) rubbed underneath his chin for a moment, the konoha issue..eh it couldn't be helped, though the kirigakure issue that too was slightly depressing though he didn't know Koeki that well. "Ehh..Its kinda not my call..I'll ask my boss? If it checks out, I guess you're in?" shrugged his shoulders before leaving, the guards positioned themselves once more at the gate blocking off the path to enter.* - Wed Oct  7 23:45:55 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) before completely out of sight, he'd turn to one of the guards. He'd reach into his pouch drawing out something from within, it was revealed to be a bottle of water."Take this to him, it is a bit hot." nothing was wrong with the water, the cap that sealed the bottle was still intact, it was untouched.* - Wed Oct  7 23:48:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Hassan, some guy wishes to enter the village. Says he doesn't have a home and wishes to become a shinobi..What's your call? - Wed Oct  7 23:51:02 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: That's the guy. - Thu Oct  8 00:15:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: What do you want Cypher? - Thu Oct  8 00:18:20 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Honestly, I'd like another bottle of water. But for the bigger picture, I'd like a purpose. A reason to fight, and have fun while doing so. And a home. - Thu Oct  8 00:19:12 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I believe becomming a shinobi would provide those. - Thu Oct  8 00:19:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Then go to Kumogakure. - Thu Oct  8 00:20:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: We'll provide you with water. - Thu Oct  8 00:20:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And dirction to get out of here. - Thu Oct  8 00:20:03 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'd rather not, if at all possible. - Thu Oct  8 00:20:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'd rather not have you here. - Thu Oct  8 00:20:03 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I came here for a specific reason afterall. - Thu Oct  8 00:20:03 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: He's from kumo then...heh. - Thu Oct  8 00:20:54 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And for that reason, we wont have you. - Thu Oct  8 00:20:54 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: But you're my father. - Thu Oct  8 00:20:54 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -omit- - Thu Oct  8 00:20:54 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Is there nothing I can do to change your mind? - Thu Oct  8 00:20:54 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Absolutely Nothing.. - Thu Oct  8 00:21:45 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Oh well. - Thu Oct  8 00:21:45 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I tried. - Thu Oct  8 00:21:45 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: No use arguing my point in this heat, It won't do me any good. - Thu Oct  8 00:21:45 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: But I thank you for the water. - Thu Oct  8 00:21:45 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Uhh...nasty. - Thu Oct  8 00:26:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) whispers: Guard the gate for me....Kirie isnt allowed in the village also. - Thu Oct  8 00:26:52 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "Gotcha." heard the news and jogged in the direction of the village.* - Thu Oct  8 00:26:52 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Don't believe I got your name? - Thu Oct  8 00:26:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Katsune. - Thu Oct  8 00:26:52 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Thu Oct  8 00:26:52 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: It's a pleasure. - Thu Oct  8 00:26:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So what is going on here? - Thu Oct  8 00:26:52 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) decided he wouldn't leave his post, he'd be among the many guards.* - Thu Oct  8 00:27:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yo. - Thu Oct  8 00:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Guy. - Thu Oct  8 00:28:35 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: That other female...Tch... - Thu Oct  8 00:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What is going on? - Thu Oct  8 00:29:26 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? - Thu Oct  8 00:29:26 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Nothin'..Why? - Thu Oct  8 00:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Just asking. - Thu Oct  8 00:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Unusual to see guards here - Thu Oct  8 00:29:26 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Uh-huh. Not really, we have to protect the village. - Thu Oct  8 00:30:17 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I see. - Thu Oct  8 00:30:17 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Do you think I could come it? - Thu Oct  8 00:30:17 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: In* - Thu Oct  8 00:30:17 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I have to speak to Fujitora. - Thu Oct  8 00:31:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Negative, maybe after Hassan returns. - Thu Oct  8 00:31:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Thu Oct  8 00:31:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: For now, you may not. - Thu Oct  8 00:31:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hassan is a sour puss. - Thu Oct  8 00:31:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Hehe. - Thu Oct  8 00:31:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Always so grumpy. - Thu Oct  8 00:31:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: That whore of a step father I tell you. - Thu Oct  8 00:32:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hey mind doing a friendly spar to pass time? - Thu Oct  8 00:32:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I do not think I want to spend my time standing here doing nothing. - Thu Oct  8 00:32:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: That'd be intresting..But I can't leave my post. - Thu Oct  8 00:32:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Its an order I have to follow. - Thu Oct  8 00:32:51 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Thu Oct  8 00:32:51 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It seems that Hassan has passed on his sour pussnes onto you - Thu Oct  8 00:32:51 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He wont know. - Thu Oct  8 00:32:51 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I wont tell him. - Thu Oct  8 00:32:51 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: So be it, i'm fine with being a little sour. Guess it comes with how long i've lived among shinobi. - Thu Oct  8 00:33:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm? - Thu Oct  8 00:33:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: How long has that been? - Thu Oct  8 00:33:42 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Years...ever since the first kazekage. - Thu Oct  8 00:34:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm? - Thu Oct  8 00:34:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I see. - Thu Oct  8 00:34:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: That is a long time. - Thu Oct  8 00:34:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: How old are you? - Thu Oct  8 00:34:33 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *nod* - Thu Oct  8 00:34:33 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: How old do you think? - Thu Oct  8 00:35:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *looks to be in his teens* - Thu Oct  8 00:35:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Dunno. - Thu Oct  8 00:36:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Sixteen? - Thu Oct  8 00:36:16 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Eh, near enough. You're good at this. - Thu Oct  8 00:37:07 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I hate guard duty, what's even happening inside... - Thu Oct  8 00:37:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hi. - Thu Oct  8 00:37:07 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? Ello sis, what's good? - Thu Oct  8 00:37:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Crazy stuff happening inside.. - Thu Oct  8 00:37:58 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Figured as much.. - Thu Oct  8 00:37:58 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: This sucks... - Thu Oct  8 00:37:58 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hey kid. - Thu Oct  8 00:38:49 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You are Fujitoras daughter arent you? - Thu Oct  8 00:38:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I think i'm going to go see. - Thu Oct  8 00:40:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .... - Thu Oct  8 00:41:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Seeya'. - Thu Oct  8 00:41:23 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ...Be on your toes. - Thu Oct  8 00:41:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Of course. - Thu Oct  8 00:41:23 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: ...Can't handle losing her as well. - Thu Oct  8 00:42:14 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So. - Thu Oct  8 00:43:05 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Whats up? - Thu Oct  8 00:43:05 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Would you like to play a game of dice? - Thu Oct  8 00:43:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ....No. - Thu Oct  8 00:43:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I'm tired of you shinobi asking me that question. - Thu Oct  8 00:44:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Arent you a shinobi though? - Thu Oct  8 00:45:39 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) a bird landed right next to the teen, "Mhmm?" from the direction where it flew from it looked as if it came from inside of the village. The teen bent down undoing the scroll it carried, he'd unravel the scroll its contents now revealed to him."Wahh.." the teen questioned, he crushed the paper a bit ticked off.

He'd shot out of the guards a glance before he left, "Watch her, if she tries to get in don't hesitate to kill." with that he'd walk away from the area while gathering chakra. The gathered chakra was converted into magnetic forces, enabling his magnetic field. The iron cork on his gourd undid itself, releasing the desired amount of iron sand from within. It formed below his feet becoming dense before it launched skyward towards the area the scroll specified. 

While he left, it had guards on the walls, plus at the gate eyes trained on the female they were obeying the Jounin's command.* - Thu Oct  8 00:51:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Thu Oct  8 00:54:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: I can't believe it... - Thu Oct  8 01:01:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: she does it all the time - Thu Oct  8 01:28:19 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: -Omit- - Thu Oct  8 01:28:19 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) arrived on the scene by air, though it seemed as if he arrived a little too late. All he witnessed was Hassan preparing handseals, wind kicked up, dust mixed in with sand clouded his vision of the situation below."Mhmm..Its finished?" though on his way here he'd caught sight of a body."..Death.." a sigh was released from the teen's figure.

Though he'd lost control of his train of thought, below on top of a sandy house he heard his sister's voice."Yo." the teen waved, it seemed as if she wanted to accompany him above. One of his hands were extended out, prompting a section of his sand to break off forming a single platform for the young shinobi, this platform would soon morph with his, becoming a single one.* - Thu Oct  8 01:53:55 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Please..Don't give me a reason... - Thu Oct  8 02:28:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Cause I know you wanna keep breathing this evenin... - Thu Oct  8 02:28:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Now get out of my village... - Thu Oct  8 02:29:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Hold your fire for now soldiers.. - Thu Oct  8 02:44:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If they don't leave soon... - Thu Oct  8 02:44:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uh. . .The heck is going on? - Thu Oct  8 02:44:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll explain it later.. - Thu Oct  8 02:44:16 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: So they aren't attacking? - Thu Oct  8 02:45:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Really - Thu Oct  8 02:49:23 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) thinks: Now I look like a bitch. - Thu Oct  8 02:49:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Nigga - Thu Oct  8 02:49:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Thu Oct  8 02:49:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Thu Oct  8 02:50:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *blinks* - Thu Oct  8 02:50:14 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Tch.. - Thu Oct  8 02:50:14 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) decended from the skies alongside Izanami. The platform of iron that gifted the two with flight funneled itself back into his gourd. An iron cork formed from the remainder of the material, which placed itself on top of the gourd sealing off the top."Mhmm.. All right." his eyes focused on the deceased boy, he was way younger than himself..Probably about Izanami's age or older, it was the faith of darkness within shinobi and shinobi or anyone in general.. Death didn't care, it decided to take whomever when it was the time.* - Thu Oct  8 02:55:21 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Can't resist. . .Argh. . Do I wait. . for people ot be gone. . So i don't get looked at funny? - Thu Oct  8 02:56:12 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "Ehh..Guess I won't be burrying him." maybe the duty would be handed to another, for now he followed behind of the fleeing geezer.* - Thu Oct  8 02:57:04 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) shook his head, his focused trained on Alastor's figure."Yes, it is." though, he knew what'd happen next but how would it gel well with the manipulator in prison?* - Thu Oct  8 03:00:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ...... - Thu Oct  8 03:03:02 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Explain boy.. - Thu Oct  8 03:03:02 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Yan was making some sort of bargain with Baen under the pretense of a 'fight'. Hence why guards did not show up at the gate, I assume. When I sent my shuriken towards Yan, he fled. - Thu Oct  8 03:03:53 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: With Baen? - Thu Oct  8 03:06:27 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Yes. - Thu Oct  8 03:06:27 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: That is a lie. - Thu Oct  8 03:06:27 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Sure. - Thu Oct  8 03:06:27 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: All I know if when I arrived, Yan was discussing some sort of deal with Baen. He was not making a deal -with- Baen, from what I could tell. Some mention of an employer. - Thu Oct  8 03:09:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Thats everything? - Thu Oct  8 03:10:43 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: They made mention of Suitengu. - Thu Oct  8 03:10:43 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Suitengu doesn't breathe anymore. - Thu Oct  8 03:10:43 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Interesting how that works. - Thu Oct  8 03:10:43 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) whispers: Do you want him killed? - Thu Oct  8 03:10:43 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) whispers: Think he's telling the truth? - Thu Oct  8 03:10:43 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I also know a secret of Suitengu. One only one living person other than myself now knows. - Thu Oct  8 03:11:34 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I believe it may be what the deal was for. - Thu Oct  8 03:11:34 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Could be wrong, though. - Thu Oct  8 03:11:34 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: Mhmm...He's not. If we want to know the truth, all we need is the use of Fuji's technique. It'll tell us everything. - Thu Oct  8 03:11:34 2015
