<br><font color=yellow>*Katsune(Shimizu3598) picks up the glass and eyes it absent-mindedly for a while as she speaks.

"Never wearing a headband again. I get restless sometimes though. Been to war. . .been forced to kill a lot of people. That made me restless." she says, careful to not say "bloodthirsty."

She reaches up to pour tea into her mouth. Eyes wander while she sips, visibly gulping once or twice. Her glass is emptied by an inch or two, showing that she really did drink it.

She sets the glass down afterwords.* - Sun Oct  4 05:23:50 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Too lazy to explain....but.... - Mon Oct  5 00:00:00 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Uh..... - Mon Oct  5 00:00:00 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He sensed it basically..... - Mon Oct  5 00:00:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Bas...ic...ally.... - Mon Oct  5 00:00:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Won't happen again I'm sure. - Mon Oct  5 00:01:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He only found it because I asked him if he could sense it. - Mon Oct  5 00:01:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It was a long conversation okay.... - Mon Oct  5 00:01:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: ... - Mon Oct  5 00:02:33 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I see. - Mon Oct  5 00:02:33 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Take a seat on my lap and face me then please~ - Mon Oct  5 00:02:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Mon Oct  5 00:03:24 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) 's eyes wander, in a shady manner. Eventually though, she rises to her feet and wanders over to the man. A bit roughly, she then sets her butt down on his left leg.

Eyes are averted when she says "The rule never said I had to sit on your lap in the way that you prefer."

Her expression's pretty blank. The girl pulls her legs up and leaves them stretched out towards the east. Arms remain crossed.* - Mon Oct  5 00:06:49 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Oh. . . - Mon Oct  5 00:09:23 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) considers this for a moment. Eventually though, she nods. With that, she begins lazily turning in place. Her left leg is drawn towards her, and she sits with both legs sprawled out underneath him and pressed to his own legs.

Eye contact is maintained, and she opens her mouth.* - Mon Oct  5 00:10:14 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) lifts her tongue.* - Mon Oct  5 00:15:21 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) 's expression is a tiny bit sour when she closes her mouth, having had the seal placed successfully.

She stares. Her expression suggests she's questioning his integrity.

Kat says nothing.* - Mon Oct  5 00:17:55 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) lifts an eyebrow. She waits for an explanation.* - Mon Oct  5 00:21:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well you see, I've decided I need to get stronger, And I'm sure you'd like to as well. - Mon Oct  5 00:22:11 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Oh. - Mon Oct  5 00:22:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But we'd also need to expand our arsenal, should we not? - Mon Oct  5 00:22:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: To be able to deal with a wide-variety of situations. - Mon Oct  5 00:22:11 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yeah, I agree. - Mon Oct  5 00:22:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: So basically. - Mon Oct  5 00:22:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: My offer extends to you as well. - Mon Oct  5 00:22:11 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmmm. - Mon Oct  5 00:23:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If you have anything I don't already have, I'll pay you for any you discover on your journies. - Mon Oct  5 00:23:02 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Scrolls..... - Mon Oct  5 00:23:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm also paying double for Advanced Elements or Clan Techniques. - Mon Oct  5 00:23:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But I won't ask you for yours. - Mon Oct  5 00:23:02 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I can give you some for free but I hardly understand most of these techniques that aren't earth. Earth is my primary element. - Mon Oct  5 00:23:02 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: My favorite too. - Mon Oct  5 00:23:02 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: All the best stuff I have is earth or explosion. - Mon Oct  5 00:23:53 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I probably have most of them. - Mon Oct  5 00:23:53 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Kilm gave me quite a few. - Mon Oct  5 00:23:53 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: My thoughts are this. - Mon Oct  5 00:23:53 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm...a bit uncomfortable teaching you things you'll teach to other people. Especially...explosion jutsus. - Mon Oct  5 00:23:53 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm? - Mon Oct  5 00:24:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Who ever said I was teaching others? - Mon Oct  5 00:24:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And I won't ask you to. - Mon Oct  5 00:24:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: What can you do with earth scrolls though? - Mon Oct  5 00:24:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I value your uniqueness. - Mon Oct  5 00:24:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I can't even learn Earth Techniques. - Mon Oct  5 00:24:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Not naturally. - Mon Oct  5 00:24:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It's simply a matter of hiding my own skill set. - Mon Oct  5 00:24:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Explosion release? - Mon Oct  5 00:24:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I doubt I can. - Mon Oct  5 00:25:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: What can you do with thos scrolls? - Mon Oct  5 00:25:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Nothing. - Mon Oct  5 00:25:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You said you're paying double for advanced elements or clan techniques. - Mon Oct  5 00:25:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: -- Oh. - Mon Oct  5 00:25:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Alright, I get it. My bad. - Mon Oct  5 00:25:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You do? - Mon Oct  5 00:25:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: ....Er....no not really. - Mon Oct  5 00:25:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm tired. - Mon Oct  5 00:25:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well basically. - Mon Oct  5 00:25:36 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) rubs at the back of her head with a frown on her face.* - Mon Oct  5 00:26:27 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If you want you can rest right here while I talk, *pats chest* It'd no biggie. - Mon Oct  5 00:26:27 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll explain it to you. - Mon Oct  5 00:26:27 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It's* - Mon Oct  5 00:26:27 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) || A frown on her face, and a dead look in her eyes. As in, no drive.* - Mon Oct  5 00:27:18 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Maybe you should rest for a bit. - Mon Oct  5 00:27:18 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) 's cheeks turn a bit pink in response to having her head put there. Eyes wander off. Her eyes suggest only suspicion. The same sour look.

"Nothing." she says. "That's the thing. I'm bored."* - Mon Oct  5 00:29:00 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I dunno. - Mon Oct  5 00:30:43 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Missions maybe. - Mon Oct  5 00:31:34 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Not the lame missions they give to fodder. Real missions. War. - Mon Oct  5 00:31:34 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'll admit. I miss war. - Mon Oct  5 00:31:34 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Zetsumo put bloodlust in me. It's still there. - Mon Oct  5 00:32:25 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It's all I ever think about. - Mon Oct  5 00:33:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Whenever someone says something stupid...or immature...or whiney. - Mon Oct  5 00:33:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I want to see their guts. - Mon Oct  5 00:33:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Not that I judge people. I just want it. - Mon Oct  5 00:33:16 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) 's expression has relaxed by now. Eyes wander a bit awkwardly, due to being where she is.* - Mon Oct  5 00:34:59 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'll be thinking about what jutsus to give you. - Mon Oct  5 00:38:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Oh. - Mon Oct  5 00:39:15 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I have another gift for you. - Mon Oct  5 00:39:15 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) glances up at him, lifting an eyebrow.

"Yeah?"* - Mon Oct  5 00:40:06 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) 's eyeborws both rise. Seven hundred thousand yen for a kiss?

She blushes.* - Mon Oct  5 00:40:57 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It's yours whether you do it or not. - Mon Oct  5 00:42:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Mon Oct  5 00:43:31 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) pulls herself up to where she's sitting up straight. Arms cross, and she eyes the money.

A silent sigh passes through her nose.

"Ya know..." she says, staring.

"If I keep taking gifts like this I'm not gonna have any pride left."* - Mon Oct  5 00:46:56 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) || "Okay." she eventually says with a nod. The girl takes his money and holds it in her lap, even as memories of Orakuru handing her expensive gauntlets two days before she betrayed him horribly flood her mind.

Eye contact is then made.

"You are single though, right?" she inquires.* - Mon Oct  5 00:56:19 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods. Her eyes wander back down to the money. She stares for a long moment.
Her expression remains blank. Dull.

After this long pause, she hands it back, gently setting it in his lap. Hands find the couch, and she gently pulls herself off of him. Arms meet behind her back, and she takes a step or two backwards.

The girl stares, maintaining eye contact.

"Then why...was I in your lap?" she inquires.* - Mon Oct  5 01:02:17 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) ignores him outright.

"Why is there a seal in my mouth?" she asks.* - Mon Oct  5 01:05:42 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) 's eyes wander off. It takes a liar to know a liar. 

She nods.

The girl then turns and makes her way to the other half of the couch. A bit lazily she sets herself down. Arms cross, and one leg crosses over the other.

"I see." she says.* - Mon Oct  5 01:08:16 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) shakes her head. Eyes remain on the floor.* - Mon Oct  5 01:09:07 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I want you to know one thing, If there was one thing I meant throughout this entire time, It was that I considered you a friend. And as such, I will answer any questions you have truthfully, if you answer one of my own. - Mon Oct  5 01:10:49 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I don't have any questions. - Mon Oct  5 01:10:49 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You can ask some though. - Mon Oct  5 01:10:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Then I have one. - Mon Oct  5 01:11:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: What is it? - Mon Oct  5 01:11:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If I said 'No', what would you have done? - Mon Oct  5 01:11:40 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) averts her eyes entirely.

Her response takes a long while.

"I dunno." she says. Eyes tremble a bit. War veteran or not, that hurts.

"You didn't."* - Mon Oct  5 01:13:23 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) uncrosses her arms, shaking her head. The girl's left arm reaches over, and her hand clenches into a fist.

She presses it to the side of his head, lazily.* - Mon Oct  5 01:17:39 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) glances over at him. She's composed once more. As she averts her eyes, she's bending her arm at the elbow once more, taking her fist back.

Both arms then cross.

"That fist has the power to knock out Kilm. He's a very....very durable man." she says.

"If I'd wanted to kill you, you'd have died before you could even realize you were dead. Would've got away with it to."

"So. . .you don't need to watch your back, and now you know it."* - Mon Oct  5 01:20:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) thinks: I'm going to kill this bastard... - Mon Oct  5 01:31:18 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) thinks: He's made me so mad. - Mon Oct  5 01:31:18 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) 's eyes wander. She's quiet for a very long time.* - Mon Oct  5 01:34:43 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) glances over at the glass. There's a brief moment of hesitation. Eventually though, she reaches out to take it. Her left arm falls to her lap.

Eyes are averted when she reaches up to sip at it. She drinks it like it's nothing more than water, knowing full well what her tolerence is.* - Mon Oct  5 01:38:08 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods. She takes the glass away from her mouth and holds it over her lap.* - Mon Oct  5 01:41:32 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) doesn't even bat an eye lash. Eyes wander further off.

"...Why?" she inquires.* - Mon Oct  5 01:43:15 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'll admit. - Mon Oct  5 01:46:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I hate being told what to do too. - Mon Oct  5 01:46:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . .Or used. - Mon Oct  5 01:46:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It doesn't suit you. - Mon Oct  5 01:46:40 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) emphasizes "used" just a teeny, tiny bit.* - Mon Oct  5 01:46:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I won't order you around, unless you say you want me to, I won't order around my equal. - Mon Oct  5 01:47:31 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Mon Oct  5 01:47:31 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'll....admit. - Mon Oct  5 01:47:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But I'm curious. - Mon Oct  5 01:47:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: -omit - Mon Oct  5 01:47:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm? - Mon Oct  5 01:47:31 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I feel like....that's a bad way to go about things. See.... - Mon Oct  5 01:47:31 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Erebus...me. Especially me. If...he hadn't been playing backseat hokage.... - Mon Oct  5 01:48:22 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) tilts her head a bit. A shrug follows. "Know what?" she says.

"Completely different situation. Forget I said anything."

She reaches up to lazily pour more sake into her mouth.* - Mon Oct  5 01:49:13 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You know. - Mon Oct  5 01:49:13 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: The first thing I said to you was. - Mon Oct  5 01:49:13 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I want you to get to the point when you say what's on your mind with no reserve. - Mon Oct  5 01:50:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Then I'll have to speak hypothetically, to get to the point. - Mon Oct  5 01:50:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That's fine. - Mon Oct  5 01:50:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Because it really is a different situation. I was gonna betray him at some point. - Mon Oct  5 01:50:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: His goals involved dethroning me at some point. - Mon Oct  5 01:50:56 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: So, I was gonna betray. - Mon Oct  5 01:50:56 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: But, hypothetically speaking...if that hadn't been the case. - Mon Oct  5 01:50:56 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Things would've gone very smoothly...especially with my plans....if.... - Mon Oct  5 01:51:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Erebus hadn't been playing backseat Hokage. I feel like things just work better with one single leader. In this case, you. - Mon Oct  5 01:51:47 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: So you're saying...You believe I should lead? - Mon Oct  5 01:52:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yes. Make sure you keep your head...make sure you stay humble at all times....humility makes you wise. - Mon Oct  5 01:52:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: But...'lead'. - Mon Oct  5 01:52:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: -If- you want to succeed that is. - Mon Oct  5 01:53:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I see. - Mon Oct  5 01:53:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But promise me one thing. - Mon Oct  5 01:53:29 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) lifts an eyebrow at him, making eye contact for the moment.* - Mon Oct  5 01:53:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If I lose my way, be prepared to push me back onto the right path. - Mon Oct  5 01:54:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I am a half blind man, I can only see one of two paths., - Mon Oct  5 01:54:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If there's a fork in the road, I need you to be my other eye. - Mon Oct  5 01:54:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'll do my best. I do suggest a council. Not a council with authority especially not one of those but...a council. People to give you advice. - Mon Oct  5 01:55:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: A one-person council? Two people? Seven? Doesn't matter. - Mon Oct  5 01:55:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: But....hearing advice is always a good idea. - Mon Oct  5 01:55:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: And councils work best when you tell them all of your plans. - Mon Oct  5 01:56:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Pretty sure that's the only way they 'can' work. - Mon Oct  5 01:56:54 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) isn't out of character. She's using common sense.* - Mon Oct  5 01:57:45 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) lifts an eyebrow.* - Mon Oct  5 01:59:28 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) eventually stands, though, with a shrug.

Eyes wander off and she drinks more sake.* - Mon Oct  5 02:00:19 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) allows this, being careful to move her sake glass.

Eyes wander, and she silently takes a breath through the nose.

Her left hand rests on her own up, and she makes no move to hug him back. She simply waits for him to finish.

Her expression remains fairly blank.

She nods, though.* - Mon Oct  5 02:04:35 2015
