<br><font color=teal>*Zenaki(Kumaki) says: Hm.. - Thu Oct  8 16:59:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: *Mr Burns style* - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Do we all have nicknames or something? - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: So, you are Sir Koji? - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: My name is Isshin. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: I will be working with you. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Do we need nicknames for missions? - Fri Oct  9 04:04:03 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Welcome Isshin, before we head out you mind telling me about yourself? Only a little I like to know the people I turn my back to. - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: Ah. - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Jiki. - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: Well. - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: I'm a ninja. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohhh I wanna try and nick name somethin Ishin you are now HorseShoe. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: I enjoy gardening in my spare time. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I want you to go to every ore mine and make sure they are stil able to mine ore without problems. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If you run into a bandit that hasnt aligned with us. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Kill them. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *sigh* All right. Easy enough. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I won't have anything more to do with these terrorists. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Can I be given a mission..or something? - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Go with Koji. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Scorpion? - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Mhm. - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I won't be able to do anything. - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohhhh we gonna name you Licorish - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Then no mission. - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: *Sigh* - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Fine. - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I wont have you getting smart with me child. - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Turn that frown up side down Licorish. - Fri Oct  9 04:07:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Does not hurt to try Licorish. - Fri Oct  9 04:07:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Move out, do your briefing outide o the village. - Fri Oct  9 04:08:19 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: I can grow trees. - Fri Oct  9 04:10:01 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: I'm not a very potent fighter, sir. - Fri Oct  9 04:10:01 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: I hope I don't hold you back. - Fri Oct  9 04:10:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: you werent needed? - Fri Oct  9 04:18:33 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: No sir... they told be I would hinder the mission... I didnt want to be a bother so I came back - Fri Oct  9 04:19:24 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Gramps! - Fri Oct  9 05:08:03 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Lord Hassan, the mission is complete. - Fri Oct  9 05:08:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: My boredom.  . - Fri Oct  9 05:29:23 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Sigh* - Fri Oct  9 05:30:14 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Madam... - Fri Oct  9 05:36:12 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Sister... How is Kang? I assume you were still watching him in the hospital - Fri Oct  9 05:37:04 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ughhh Kang is dead, - Fri Oct  9 05:37:55 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: .... - Fri Oct  9 05:37:55 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: We made it. - Fri Oct  9 05:40:28 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: we made it from the bottom now we here. - Fri Oct  9 05:40:28 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: omit - Fri Oct  9 05:40:28 2015
<br><br><font color=yellow>*Lyan, Bryson(Ninjagangster90210) Looks in dumbfounded at the thought, "He died? Under my care? Impossible... I made sure to keep him on taps... How did he die?" he asked them both* - Fri Oct  9 05:41:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Suicide. - Fri Oct  9 05:41:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Huh? - Fri Oct  9 05:41:20 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: He killed killed himself... why? - Fri Oct  9 05:42:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uh.. - Fri Oct  9 05:42:11 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Because no one loved him. - Fri Oct  9 05:42:11 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: I guess that explains HIS dissapperence - Fri Oct  9 05:43:02 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Who? - Fri Oct  9 05:43:02 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Fri Oct  9 05:43:02 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: A new person dies everyday. - Fri Oct  9 05:43:02 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: It's so crazy, - Fri Oct  9 05:43:02 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Kang. - Fri Oct  9 05:43:53 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Becasue noone loved him? - Fri Oct  9 05:43:53 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yes. - Fri Oct  9 05:44:44 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: That doesnt make sense... - Fri Oct  9 05:44:44 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Nooo it was not becuase of that., - Fri Oct  9 05:44:44 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Who is right? - Fri Oct  9 05:44:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: . . .  - Fri Oct  9 05:44:44 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well how did he die then? - Fri Oct  9 05:45:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: He was in a fight and felt he was going to die before i could stop him it was all pew peww bang boom, - Fri Oct  9 05:45:36 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Pew peww Bang boom? - Fri Oct  9 05:45:36 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: How unsettling - Fri Oct  9 05:46:27 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He blew himself up with exploding tags during a spar. Claimed it was because he was losing said dpar. - Fri Oct  9 05:46:27 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: But hey. If that makes any sense to you, you go ahead and believe that. - Fri Oct  9 05:47:18 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I see... may the lord have mercy on his soul then - Fri Oct  9 05:47:18 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Nothing we can do but hold a funneral' - Fri Oct  9 05:47:18 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Oh yeah. Now I remember why I'm angsty.  - Fri Oct  9 05:48:09 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: How sad... any way I will hold a funeral is anyone wants to attend soon. But for now... Sister,  have you seen Sister Devil - Fri Oct  9 05:49:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Haven't seen her at all. Heard her nephew died. - Fri Oct  9 05:49:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: She may be mourning. - Fri Oct  9 05:50:43 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I see... I want to console her... it must be hard time for her - Fri Oct  9 05:51:34 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Maybe. - Fri Oct  9 05:52:25 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I hope I see her soon - Fri Oct  9 05:54:08 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Are you doing ok Sister? - Fri Oct  9 05:54:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I could use a punching bag but aside from that yes. - Fri Oct  9 05:54:59 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: ... I could provide that but it would be very painful for me... - Fri Oct  9 05:55:50 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: ....Tempting. Thanks though. - Fri Oct  9 05:56:41 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uhm.. - Fri Oct  9 06:00:57 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: We're back, Granpda. - Fri Oct  9 06:00:57 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: No problem... I am here you sin confession and stress relief - Fri Oct  9 06:00:57 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Fri Oct  9 06:04:22 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Dont like pain though... - Fri Oct  9 06:04:22 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Good work. - Fri Oct  9 06:05:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Lemme catch a reward. - Fri Oct  9 06:06:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Fri Oct  9 06:06:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *bats eyes* - Fri Oct  9 06:07:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: So...what's the big deal about these kiba blades. - Fri Oct  9 06:07:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: They're very rare. - Fri Oct  9 06:07:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Are you aware of who the last owner of them was? - Fri Oct  9 06:08:38 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I have no clue after Tethys. - Fri Oct  9 06:08:38 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Deez nuts. - Fri Oct  9 06:08:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I do. - Fri Oct  9 06:08:38 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I never dealt with them.. - Fri Oct  9 06:08:38 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Fri Oct  9 06:08:38 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: The scropions are taken care of.. - Fri Oct  9 06:08:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It was Ushinawa. - Fri Oct  9 06:08:38 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Mmm.. - Fri Oct  9 06:08:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Unless he passed them on sometime during the war. - Fri Oct  9 06:08:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Or after. - Fri Oct  9 06:08:38 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Not only did we kill the mother we also took care of the father. - Fri Oct  9 06:08:38 2015
<br><br><font color=yellow>*Lyan, Bryson(Ninjagangster90210) // repost
Ryujin, Fujitora gliding a single hand across the edgy surface of his hat down to the very surface of his own skin to activate a certain fuuin upon the kiba blade hidden deep within the hilt. "Solemn Judgement..." she'd notice, that when the next time she'd draw the Kiba blades, it would only appear as regular blades, with the  Locksmiths markings of the old Roots up to the very tip..Kanji which could be read as <Solemn Judgment > until Violet had learned the very error of her ways to make herself stronger not phycially but in other ways.* - Fri Oct  9 06:09:29 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: So...what now? - Fri Oct  9 06:10:20 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: How was the mission Iza? - Fri Oct  9 06:16:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: It was pretty easy to be honest. - Fri Oct  9 06:16:19 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh, great what was the mission.. to get swords? - Fri Oct  9 06:18:01 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yahuh. - Fri Oct  9 06:18:01 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Whats so special about them? - Fri Oct  9 06:18:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Dunno'. - Fri Oct  9 06:18:52 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Most odd - Fri Oct  9 06:19:44 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmm what swords? - Fri Oct  9 06:20:35 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Maybe I should dabble in my wind element... - Fri Oct  9 06:24:51 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Focus on what's important. - Fri Oct  9 06:25:42 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Your medical skills. - Fri Oct  9 06:25:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Deez nuts. - Fri Oct  9 06:25:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Can I uh a little mission to complete. - Fri Oct  9 06:25:42 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Your right... I should stick to light and healing - Fri Oct  9 06:25:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Your squad mates were probably wrong about you getting in the way, if it makes you feel any better. I can't imagine how you'd possibly be a burden. - Fri Oct  9 06:29:58 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Thank you sister... your kind words have lifted my spirits...  - Fri Oct  9 06:30:49 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That's assuming you have no competence in combat at all too. I still can't imagine how. - Fri Oct  9 06:31:40 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Whats with the paper? - Fri Oct  9 06:33:23 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I have some skill in tai but not enough to be a fighter - Fri Oct  9 06:34:14 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Pce love and Happiness_ - Fri Oct  9 06:36:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You might be able to be bait, depending on how your allies fight. - Fri Oct  9 06:37:39 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Truth is any enemies would be best off ignoring you and they'll realize that too. - Fri Oct  9 06:37:39 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Bait...? - Fri Oct  9 06:39:21 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Why would they ignore me? - Fri Oct  9 06:39:21 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Your way of thinking is interesting - Fri Oct  9 06:39:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Because they'd rather kill the person throwing lightning balls at them than the person standing there cowering behind a bible. - Fri Oct  9 06:40:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: When you get some time, Katsune, I'd like to talk to you in private. - Fri Oct  9 06:41:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Sure. - Fri Oct  9 06:41:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Guess I have time right now. - Fri Oct  9 06:41:55 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: .... cowering? Well I suppose your right about that... not the cowering anyway - Fri Oct  9 06:41:55 2015
<br><br><font color=yellow>*Lyan, Bryson(Ninjagangster90210) Would look at Katsune every now and then while reading his bible. She was a very interesting.* - Fri Oct  9 06:59:50 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: noone can destroy it... - Fri Oct  9 07:00:41 2015
<br><br><font color=yellow>*Lyan, Bryson(Ninjagangster90210) Would take the cross and put it in his cloth pocket, "Thank you Brother... I shall cherish it" he said smilling at the boy and rubbing his head.* - Fri Oct  9 07:10:56 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: i only got one stat over 10 - Fri Oct  9 07:15:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hey  Izanami, I saw you training one mission with Shadow Clone. Would you be willing to teach me? - Fri Oct  9 07:16:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Shadow clone? - Fri Oct  9 07:16:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Sure. - Fri Oct  9 07:16:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd like to learn as well. - Fri Oct  9 07:16:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: E-er. - Fri Oct  9 07:16:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Okay. - Fri Oct  9 07:17:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...cool. - Fri Oct  9 07:17:45 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Justu. - Fri Oct  9 07:17:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I can teach you about genjutsu in exchange. - Fri Oct  9 07:17:45 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Me too show me toooooo! - Fri Oct  9 07:17:45 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I do not want to be left out. - Fri Oct  9 07:17:45 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Fri Oct  9 07:17:45 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *folds arms*' - Fri Oct  9 07:17:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I have something to offer so... - Fri Oct  9 07:17:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I don't know about these guys. - Fri Oct  9 07:17:45 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Gather around.~ - Fri Oct  9 07:17:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Plus I'm your squadron leader! - Fri Oct  9 07:18:36 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: It must be a useful technique if everyone wants it - Fri Oct  9 07:18:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yeah. - Fri Oct  9 07:18:36 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I need to develop more jutsu for my techniques of healing - Fri Oct  9 07:19:28 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: I wonder could that move benefit me...? - Fri Oct  9 07:21:10 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: .... - Fri Oct  9 07:28:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I was going to fight it out to the end the last time - Fri Oct  9 07:32:16 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Zenaki are you ok? - Fri Oct  9 09:18:04 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Hm? Yea. Why? - Fri Oct  9 09:18:04 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I heard that someone close to you died - Fri Oct  9 09:18:04 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Ofcourse I am ok. I'm always ok. - Fri Oct  9 09:18:56 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Fri Oct  9 09:18:56 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Who did you hear that from? - Fri Oct  9 09:18:56 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Who is his killer.. - Fri Oct  9 09:18:56 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Just a rumor going around...  - Fri Oct  9 09:19:47 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Rumor..?  - Fri Oct  9 09:19:47 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Who spread it? - Fri Oct  9 09:19:47 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I wanted to check up on you to see of you were feeling alright - Fri Oct  9 09:19:47 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You didn't answer my question.  - Fri Oct  9 09:20:38 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Im not sure I heard it from one of my church members - Fri Oct  9 09:20:38 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Name? - Fri Oct  9 09:20:38 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Maranda... I believe it was... - Fri Oct  9 09:21:29 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I see. - Fri Oct  9 09:21:29 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Im sorry was it a private matter? - Fri Oct  9 09:22:20 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mm..  - Fri Oct  9 09:22:20 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Did you also hear who died? - Fri Oct  9 09:22:20 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Lord please forgive me for my sin... - Fri Oct  9 09:23:12 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: No, just that they were a relative - Fri Oct  9 09:23:12 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: It was my little nephew. Suitengu. Son of Zetsumo. My last family member. - Fri Oct  9 09:24:03 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh, Im sorry to hear about that... I can only assume you two were close - Fri Oct  9 09:24:54 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm. - Fri Oct  9 09:24:54 2015
<br><br><font color=teal>*Lera(Bailey42) says: Kensho...? - Fri Oct  9 12:13:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: Who? - Fri Oct  9 12:13:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: The speedy guy! - Fri Oct  9 12:13:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: You mean kenshin? - Fri Oct  9 12:13:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . .Er. Yeah, that's what I meant. - Fri Oct  9 12:16:25 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You ain't shocked? - Fri Oct  9 12:18:59 2015
<br><br><font color=teal>*Lera(Bailey42) says: No...not really. - Fri Oct  9 12:21:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What? That dude was apparently invincible. - Fri Oct  9 12:24:06 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yeah...but, how many did he take on? - Fri Oct  9 12:26:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I heard over a thousand? - Fri Oct  9 12:28:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: Then thats why he died. - Fri Oct  9 12:29:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Mhm. Wonder what the repercussions will be. - Fri Oct  9 12:31:47 2015
