<br><font color=teal>*Alastor(LordxPatrick) says: Yes. - Wed Oct  7 19:14:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I haven't seen you in a few days. - Fri Oct  9 02:42:08 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I've trained within a foreign village! - Fri Oct  9 02:42:59 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Who gave you permission to leave? - Fri Oct  9 02:42:59 2015
<br><br><font color=teal>*Ai(Sennalove) says: Eh...Need anymore info? - Fri Oct  9 02:42:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If you leave the village, you need to notify me, yan, or Jiki before hand. - Fri Oct  9 02:42:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And have a signed and dated document saying so. - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I apologize Lord Hassan, I did not know that! - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You're on probation - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I have important information. - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And under surveilance. - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Tell it to Yan. - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm.. - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Do any of you have a spare kunai you could lend me? - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I seem to have run out of matierals. - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Another slip up and you will be hunted and or executed Jumpman. - Fri Oct  9 02:44:41 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I see... - Fri Oct  9 02:45:32 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Thank you, Kind sir. - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Jumpman! I was worried sick about you where have you been? - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Father... - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yes? - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: M'hm @Susumu - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Someone mentioned the Chunnin exams earlier. - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Is it fine if I visit the land of the Water fall? - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: When will those be hosted? - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Jumpman come here for a second. - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Get me a document. - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Son. - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Mirai. - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Those are post poned. - Fri Oct  9 02:47:15 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Document?..Right.. - Fri Oct  9 02:47:15 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Possibly until a week or so. - Fri Oct  9 02:47:15 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Mmm'kay. - Fri Oct  9 02:47:15 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: We'll most likely be doing them within out own village. - Fri Oct  9 02:47:15 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah, a blank one. - Fri Oct  9 02:47:15 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It's not for debate. - Fri Oct  9 02:48:06 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) thinks: Koji is always so busy. - Fri Oct  9 02:48:06 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Take a step outside the village, and I will hunt you down myself. - Fri Oct  9 02:48:06 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hey Yan. - Fri Oct  9 02:48:06 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm..Chuunin exams? - Fri Oct  9 02:48:57 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Sounds like a bother. - Fri Oct  9 02:48:57 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yes. - Fri Oct  9 02:48:57 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What do you need, Katsune? - Fri Oct  9 02:48:57 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I must receive taijutsu training... what good am I alive if I may not receive the training necessary to make me bloom into a brilliant, youthful shinobi? - Fri Oct  9 02:48:57 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It depends whether or not you want to be recognized as a powerful, or proggressing hinobi. - Fri Oct  9 02:48:57 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey gramps can I borrow 400k yen? - Fri Oct  9 02:48:57 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: No. - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: again* Jumpman come here. - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You get a paycheck. - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hunt me down. - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Use what you have - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I 'dare' you. - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Well i mean Id have the money if Sesiku was around. - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Hmm? You're talking again Katsune? - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .....Katsune, do you have a bone to pick? - Fri Oct  9 02:49:48 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) soon began to list out the methods of travel that he will be using in order to get on down to the waterfall village, listing the days of which he'll be gone for and just how soon he will be back, the purpose of his leave along with the things he will be bringing.

Duration of Leave : 6 to 9 days

Purpose Of LEave: Vacational visit .

Passport Number: 18826930

Name Of Traveler: Fujitora Muhhamed Ryujin

Company: None

Day Of Leave: Upon Approval.. 

Travel Method : Caravan


He gave Hassan the document.* - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It's nice to hear you for once. - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I have a ton of stuff to sell him but its like he has dissapere where is your right hand. - Fri Oct  9 02:50:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I will if you try playing fun police. - Fri Oct  9 02:50:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Truth be told, I don't care what you do. I am talking to Izutora. You aren't a sand ninja as far as I know, so I'm not concerned with what you are doing so long as it doesn't hurt the village. - Fri Oct  9 02:50:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: But. - Fri Oct  9 02:50:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan. - Fri Oct  9 02:50:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: She is a shinobi. - Fri Oct  9 02:50:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If you want to fight, then so be it. - Fri Oct  9 02:51:31 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I was a Konoha shinobi before I became a Suna shinobi, kind sir! - Fri Oct  9 02:51:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I do what I do for Sand, not personal gain. - Fri Oct  9 02:51:31 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You're comin' off as pretentious but hey. - Fri Oct  9 02:51:31 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You wanna fight? That works. I got some steam to blow off. - Fri Oct  9 02:51:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm only reiterating what my leader has said. - Fri Oct  9 02:52:22 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey misss Katsune....When were we going to start that trraning huh.. - Fri Oct  9 02:52:22 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Just hope you're durable. - Fri Oct  9 02:52:22 2015
<br><br><font color=teal>*Ai(Sennalove) says: Eh... - Fri Oct  9 02:52:22 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: If you're going to fight, don't hit m. - Fri Oct  9 02:52:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll entertain your challenge to a fight. But let me clarify, are we sparring or are we fighting? - Fri Oct  9 02:53:13 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: -- Sparring. Not gonna kill anybody. - Fri Oct  9 02:53:13 2015
<br><br><font color=teal>*Ai(Sennalove) says: Sir..? - Fri Oct  9 02:53:13 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That's why I wanna know if you're durable. - Fri Oct  9 02:53:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I know of your techniques, and I also know of the limitations of it. - Fri Oct  9 02:53:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: So, approved? - Fri Oct  9 02:53:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If durability was all a ninja had, he would still die. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: There are no limitations. If I'd wanted Tetsumi Jiki to die he would've. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) thinks: Oh my. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Now who sound pretentious. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: No really. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I think you are in a bad mood. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Perhaps you should just relax and sit back. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: -omit- - Fri Oct  9 02:54:56 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: -omit dynamic entry- - Fri Oct  9 02:54:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I wouldn't underestimate a ninja like Tetsumi, if you two were in a real fight, I doubt he would have underestimated you. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: The coin has two sides...remember that. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You're annoying. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Your social skills are worse than Erebus's. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Apprved. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Take your pasport back. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Stop talking or I'm going for the nuts in public. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Then why are you talking to me? - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hrmm? - Fri Oct  9 02:57:29 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: What is it Koji? - Fri Oct  9 02:58:20 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Pick it up and see. - Fri Oct  9 03:00:03 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) soon left as this Fuji went out to catch a caravan on to the path to the Waterfall village, paying the expsense needed to get there so that he could enjoy the very view of the land and all that was going on. Waterfall Village.* - Fri Oct  9 03:00:03 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Probation means I may not leave the village until furthere notice, right? - Fri Oct  9 03:00:54 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) thinks: The exams are soon. - Fri Oct  9 03:00:54 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: May I enter? - Fri Oct  9 03:06:01 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'm just waiting for a caravan...I'll let them know. - Fri Oct  9 03:06:01 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: Alright. - Fri Oct  9 03:06:01 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Someone should be coming soon. - Fri Oct  9 03:07:44 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) taking the caravan as a travel method to Kirigakure now due to the letter givin to him by Kirie, the man sighed as this movement would be paid for but probably not at the hands of the one who requested his visit. Though it was a clone this trip was tiring..* - Fri Oct  9 03:18:49 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) soon arrived in Kirigakure with the caravan being taken to central, this Fujitora soon got on out with his farmers hat on, pushing the cart of rice as he offered "Rice Cake anyone?..Or Rice balls?" he was here to make business if there was little else where anyhow..May as well make money and time.* - Fri Oct  9 03:24:48 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ..... - Fri Oct  9 03:28:12 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Mmnh.. - Fri Oct  9 03:30:46 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) pushing his cart he spoke "Just a simple farmer visiting from an old friends request..." he mumbles "Didn't wanna pay for my trip though.." before he offers to the public , a single finger gliding about the edgy surface of his rice hat "Dango anyone?...How about meat pies? 20 pounders 20 Yen." he says.* - Fri Oct  9 03:34:11 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Fri Oct  9 03:35:02 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Meat pie?.. - Fri Oct  9 03:35:02 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Its human meat -omit- - Fri Oct  9 03:35:53 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What? - Fri Oct  9 03:35:53 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mhm...Chopped steak in a soft bread pie. - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Steak and cheese. - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Steamed and baked. - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Nevermind. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Baen it is good to see you here. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I need everyones help. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . . - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Will you help me? - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Who is Fujitora foolin. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Bitch, who are you? - Fri Oct  9 03:40:09 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: With what?..The crops not growing? - Fri Oct  9 03:41:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I can help fertilize. - Fri Oct  9 03:41:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Some herbs here. - Fri Oct  9 03:41:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Some water, so on. - Fri Oct  9 03:41:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You look better with the lights off. - Fri Oct  9 03:41:52 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Oh, what's good. - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Here trying to rebuild this place. - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Will you help me? - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Called me here to help rebuild? - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: He has a fight with Tetsujin to worry about..I don't really think he can help. - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I called you here because of the blades left on Tethy's will. - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I gave this place three million Yen, where did it al go? - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What can you offer me? - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: When was this? - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Before Tethys death...But in his will he left people TONS of money... - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: That money i gave him was meant for the village.. - Fri Oct  9 03:44:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It is gone. - Fri Oct  9 03:44:25 2015
