<br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: -like- - Fri Oct  2 08:23:02 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) knew that Berith had to be someplace near by, the mission could not of been nothing more than a C rank considering she was a Genin...He had hopes of finding her, but had one major flash of seeing her image , her smile...It was cruel..For Zenaki to not only trick Fuji into eating a slice of Berith pizza, but for her to eat the rest right in front of him with a smile, without him knowing a single thing about it...She even fed a slice to others who did not know as if Berith was just some piece of food to her..Fujitora would suffer from this greatly once discovered, the obsessed slave...Had devoured the Wife of the master as if it were the animal kingdom...The Husband ignorant to the truth, and waiting for his lover to return, his wife...Zetsumo was probably smiling down in hell at this, what his sister did, Fujitora was probably a joke to the heavens, thus why he was never granted the sharingan like many others..* - Sat Oct  3 01:50:04 2015
<br><br><font color=teal>*Durn(Vysasi) says: Hello? - Sat Oct  3 13:49:26 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: How goes it? - Sat Oct  3 13:50:17 2015
<br><br><font color=teal>*Durn(Vysasi) says: Ah, Finally . . . Social activity . . . I'm doing good. - Sat Oct  3 13:50:17 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I see,  say you wouldn't of happend to see a pink haired woman named Berith would you? - Sat Oct  3 13:51:08 2015
<br><br><font color=teal>*Durn(Vysasi) says: Not really . . . No. - Sat Oct  3 13:51:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Damn.. - Sat Oct  3 13:51:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: The hell is she?! - Sat Oct  3 13:51:08 2015
<br><br><font color=teal>*Durn(Vysasi) says: What can I call you by? - Sat Oct  3 14:03:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Fuji. - Sat Oct  3 14:04:48 2015
<br><br><font color=teal>*Durn(Vysasi) says: Call me Lu. - Sat Oct  3 14:04:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Alright then. - Sat Oct  3 14:04:48 2015
<br><br><font color=teal>*Durn(Vysasi) says: Fuji, Would you like to come train with me? - Sat Oct  3 14:04:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Train?...No, not today...I'm waitin on my wife and besides, I'm retired. - Sat Oct  3 14:05:39 2015
<br><br><font color=teal>*Durn(Vysasi) says: Ah, I see. - Sat Oct  3 14:05:39 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Sat Oct  3 14:05:39 2015
<br><br><font color=teal>*Durn(Vysasi) says: Would've liked to see what you can do though. - Sat Oct  3 14:05:39 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) nods "I'm just the owner of Fuji-Hana sushi bar." he tried to be low key.* - Sat Oct  3 14:07:21 2015
<br><br><font color=teal>*Durn(Vysasi) thinks: No, He isn't . . . He's a fuuinjutsu master. - Sat Oct  3 14:07:21 2015
<br><br><font color=teal>*Durn(Vysasi) says: . . . You sure? I've heard many things. - Sat Oct  3 14:08:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mhm, though the past is the past ya see? - Sat Oct  3 14:08:12 2015
<br><br><font color=teal>*Durn(Vysasi) says: Is a katana standard gear for a restaurant owner? - Sat Oct  3 14:09:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh morning Zenaki. - Sat Oct  3 14:09:55 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Guy. He doesn't want to train with you. - Sat Oct  3 14:09:55 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: And welll.... - Sat Oct  3 14:09:55 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Accept it. - Sat Oct  3 14:09:55 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Goodmorning.. - Sat Oct  3 14:09:55 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Katana is my means of defense.. - Sat Oct  3 14:09:55 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'm very traditional. - Sat Oct  3 14:09:55 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: In making sushi. - Sat Oct  3 14:09:55 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: And defending myself. - Sat Oct  3 14:09:55 2015
<br><br><font color=teal>*Durn(Vysasi) says: Alright . . . I guess I can't help it. - Sat Oct  3 14:09:55 2015
<br><br><font color=teal>*Durn(Vysasi) thinks: Zenaki . . . What has he done to you? - Sat Oct  3 14:10:46 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Still no sign of her Zen..*sigh* - Sat Oct  3 14:15:02 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Oh really? - Sat Oct  3 14:15:02 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: That's weird.. - Sat Oct  3 14:15:02 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Don't worry.. Master... i am here for you. After all. - Sat Oct  3 14:15:53 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: We will just hope she will return one day. - Sat Oct  3 14:15:53 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Yeah..Hopefully..It's been three days so far. - Sat Oct  3 14:15:53 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Don't worry about it... - Sat Oct  3 14:15:53 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Missions can take long. - Sat Oct  3 14:16:44 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Especially the missions to hell... They will take forever. - Sat Oct  3 14:16:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You're right.. - Sat Oct  3 14:17:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'm over reacting to the leave.. - Sat Oct  3 14:17:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I've been on missions much longer. - Sat Oct  3 14:17:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Have a pill for headaches? - Sat Oct  3 14:18:27 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) takes a single pill...Began walking to the library or his house to study "Thanks..Now I'll be reading to pass the time." it may of been a sleeping pill..But Fujitora took it anyhow. TO reduce stress.* - Sat Oct  3 14:25:16 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) nods "The company would be nice.." he tried so hard to friend zone her when married..* - Sat Oct  3 14:27:50 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: .... - Sat Oct  3 14:28:41 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: It's funny...I feel nothing now.. - Sat Oct  3 14:29:32 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mmmhm. - Sat Oct  3 14:29:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Pain pill was a life saver. - Sat Oct  3 14:29:32 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: It takes all the pain away. - Sat Oct  3 14:29:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Yeah---*yawn* - Sat Oct  3 14:30:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'm glad we met...You've been so kind to me even now a days.. - Sat Oct  3 14:30:24 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) placing a single elbow on the desk, pain remover pills tended to have a sleep like affect to the eater , Fuji yawned "I'm sure that eventually,  Berith will come on home, one way or another..Can't leave all the home duties of a mother undone." he nods because he couldnt handle much of it..Looking drowsy .* - Sat Oct  3 14:34:40 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. Mm.. One day she will get home... Oh... - Sat Oct  3 14:38:56 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You had something I needed to help you with your eye or something right? - Sat Oct  3 14:38:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm?..Yeah...I figured you as a surgeon would know a thing or two.. - Sat Oct  3 14:39:47 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mmm. Im not the best with eyes... - Sat Oct  3 14:39:47 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: But. I can try to help it awake for you. - Sat Oct  3 14:39:47 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: In my own ways. - Sat Oct  3 14:39:47 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: If you wish to. - Sat Oct  3 14:39:47 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I want to continue my older brother Ushinawas legacy...If you can help me awaken such then.. - Sat Oct  3 14:39:47 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'll do anything you'll ask for a day. - Sat Oct  3 14:40:38 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I can always try. - Sat Oct  3 14:40:38 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: But.. Only if I am allowed.. master. - Sat Oct  3 14:40:38 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm... - Sat Oct  3 14:41:29 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'll allow it...But not today.. - Sat Oct  3 14:42:20 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I see... - Sat Oct  3 14:43:12 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Why not today? - Sat Oct  3 14:43:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You need to go experiment don't you? - Sat Oct  3 14:44:03 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Hm... Maybe. But not as much yet. - Sat Oct  3 14:45:45 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I need to get some DNA first. - Sat Oct  3 14:45:45 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm, well let's start.. - Sat Oct  3 14:45:45 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: But do not kill me....I notice that you've been acting a bit too freely with such attitude.. - Sat Oct  3 14:47:28 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) face plants desk, and falls asleep due to pill.* - Sat Oct  3 14:48:19 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . .Really? - Sun Oct  4 03:14:08 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: Hey. - Sun Oct  4 03:15:50 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: You with the sword! - Sun Oct  4 03:15:50 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -isnt ic but the sensing me was legit- - Sun Oct  4 03:15:50 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -is ic now- - Sun Oct  4 03:17:32 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) looks towards Katsune with a small smirk "I remember that signature..Ohayo.." he said good afternoon..* - Sun Oct  4 03:19:15 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . . - Sun Oct  4 03:20:57 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) eyes settled upon the young woman, he placed his arms into a fold. "Surprises me that all y' of Konoha came here...Surprises me more to see -you- here..Since my last visit in Ame." he walked up towards her. On his facial features, a light grin , and focus from his narrow eyes.* - Sun Oct  4 03:24:22 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: You have a lot of people to offically catch up with, so I think I shall leave you alone, heh. - Sun Oct  4 03:24:22 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) bops his own head "Right...Right...The stress has affected my damn memory.." 

His attention was stolen by Tetsu (bring that ass here boy)  

"A friend of yours?..How's Konoha anyway?.."* - Sun Oct  4 03:26:56 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Dunno. Erebus chased me off ages ago when he realized my intelligence was a threat to him. - Sun Oct  4 03:27:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He went mad. Thought I was manipulating him. - Sun Oct  4 03:27:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Using him. Playing with his head. - Sun Oct  4 03:27:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I have that effect on people sometimes. - Sun Oct  4 03:27:47 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: .... - Sun Oct  4 03:28:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: -- Not that I was ever his ally. I was forced to be his figurehead Hokage. - Sun Oct  4 03:28:38 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: So he's finally lost it eh.. - Sun Oct  4 03:28:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I hear...he's very, very dead. - Sun Oct  4 03:28:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Putty. Mush. Minced meat. - Sun Oct  4 03:28:38 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I was under the impression that you had agreed to that. - Sun Oct  4 03:29:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: No. See, he met me in Genjigakure. . . - Sun Oct  4 03:29:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I was on a bench. He'd been dragging a scythe around. Asked me my sins. - Sun Oct  4 03:29:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Ended up having to smooth talk him into not killing me. - Sun Oct  4 03:29:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: And from then on? - Sun Oct  4 03:29:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I had to be careful to make sure he stayed my friend. - Sun Oct  4 03:29:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He told me his plans so I assumed.....just walking away wasn't an option. - Sun Oct  4 03:29:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: By the time he killed one of my best friends right in front of me....it was definitely too late. - Sun Oct  4 03:30:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: That's a handful of a story you have...But speaking of it so openly, you sure you want ease droppers to hear? - Sun Oct  4 03:30:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: When loyalist follow the targets of their enemy? - Sun Oct  4 03:30:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Define..."targets of my master"? - Sun Oct  4 03:31:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: If Erebus wanted revenge, surely a follower would be around to keep constant updates of your well being. - Sun Oct  4 03:32:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Against me? - Sun Oct  4 03:32:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I've been in disguise. - Sun Oct  4 03:32:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He wanted to kill me. - Sun Oct  4 03:32:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Should've thought things through before chasing off someone that knew all his plans. - Sun Oct  4 03:32:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Ask the Raikage. I fed him information. - Sun Oct  4 03:32:54 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) nodding his head, looking to Tetsu he'd ask "Aren't you from Suna?...How is it that you know this one here?.." he didn't want to say her name because of obvious reasons.* - Sun Oct  4 03:33:45 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Hm...Zenaki will be happy to see her, could be an old friend.. - Sun Oct  4 03:35:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I was 'going' to feed all of the kages information. My birds never seemed to make it to Koeki though. - Sun Oct  4 03:36:19 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: They always came back with the scroll in their talons. - Sun Oct  4 03:36:19 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: So you've been quite busy eh?.. You're as cunning as they come. - Sun Oct  4 03:36:19 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) pat on le shoulder.* - Sun Oct  4 03:37:10 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Yo. - Sun Oct  4 03:39:44 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Could I get some medical help? - Sun Oct  4 03:41:26 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) looking and examining her choice of action, he had no choice but to chuckle lightly.. He figured this reason was why.

"Because of my profession...I'm not trusted with direct contact to those who know me...But I don't need that..However you -can- trust me." resting his arm aside now.

"I'm just a simple Sushi Bar owner after all..." it was clear that he retired.* - Sun Oct  4 03:41:26 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I've manipulated no one in my life. - Sun Oct  4 03:43:08 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: No, I'm not originally from here. - Sun Oct  4 03:44:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: And, it's a long story. - Sun Oct  4 03:44:00 2015
<br><br><font color=teal>*Uzumaki, Arashiyama(HidariOP) says: Yo. - Sun Oct  4 03:44:00 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm probably the most honest person you know. - Sun Oct  4 03:44:51 2015
<br><br><font color=teal>*Uzumaki, Arashiyama(HidariOP) says: Kang. - Sun Oct  4 03:44:51 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Sup Arash? - Sun Oct  4 03:44:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Almost definitely. - Sun Oct  4 03:44:51 2015
<br><br><font color=teal>*Uzumaki, Arashiyama(HidariOP) says: How are you progressing? - Sun Oct  4 03:44:51 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Fine? - Sun Oct  4 03:44:51 2015
<br><br><font color=teal>*Uzumaki, Arashiyama(HidariOP) says: That is good. - Sun Oct  4 03:44:51 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Sure thing Sanoke... - Sun Oct  4 03:44:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Grab a sensory shinobi and I'm sure they can check me to be sure the jutsu is working. - Sun Oct  4 03:45:42 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Anywho. - Sun Oct  4 03:45:42 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I can sense just fine on my own..Anyway.. - Sun Oct  4 03:45:42 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: What do you plan to do now, hm? - Sun Oct  4 03:45:42 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: After all is resolved. - Sun Oct  4 03:45:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Travel. I'm finally free. The second I finally escaped...a certain other master, after trying for five whole years. . . - Sun Oct  4 03:46:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I ended up with another collar around my neck. - Sun Oct  4 03:46:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Now? I don't have one. - Sun Oct  4 03:46:33 2015
<br><br><font color=teal>*Uzumaki, Arashiyama(HidariOP) says: Wrong guy. - Sun Oct  4 03:46:33 2015
<br><br><font color=teal>*Uzumaki, Arashiyama(HidariOP) says: The injured one is up there. - Sun Oct  4 03:46:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I can finally do whatever I want. So I'm gonna relax. - Sun Oct  4 03:46:33 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: No seals on you that you don't know of, yes? - Sun Oct  4 03:47:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: None that I don't know of. - Sun Oct  4 03:47:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Why...? Can you sense it? - Sun Oct  4 03:47:24 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) checks with his sensory...* - Sun Oct  4 03:48:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uuuh. Koji, you okay? - Sun Oct  4 03:48:16 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: ------ - Sun Oct  4 03:48:16 2015
