<br><font color=teal>*Sanoke(Gamuhz2) says: Come.. - Sat Nov  7 10:47:15 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Hi Iza - Sun Nov  8 02:59:12 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Pretty good - Sun Nov  8 03:01:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I appreciate this, Sanoke. - Sun Nov  8 03:01:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: And I appreciate your loyalty to Sand Village. - Sun Nov  8 03:01:45 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) peered down at him and then pat the bench beside her, "why don't you sit on the bench?" She didn't understand why someone would choose the ground over a seat upright. "Yes yes... course I work so much I hardly see more than my home and the market place. Now that I'm a shinobi I've been going out a lot more, they split my duty hours because of shinobi responsibilities."* - Sun Nov  8 03:05:10 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) smiled gently down to him, "that is very considerate of you. I think you and I will be friends, Koji." She offered him a glimmering smile with her face pain distorting her features, but all the same she looked rather pleased with what she had heard.* - Sun Nov  8 03:15:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: ---<*Spots a Fuji*> - Sun Nov  8 03:19:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo, Fuji. Whatever happened to that kid that won your competition? - Sun Nov  8 03:19:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Index?.. Hm, well he's around...About.. - Sun Nov  8 03:20:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What competition? - Sun Nov  8 03:20:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hit me up when he's around. I want to see how overpowered you've made him. - Sun Nov  8 03:20:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Long ago, Fuji had a competition to take on a student. - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: The Index kid came in first. - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yo - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: fuji got like - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: 8 students - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: M'kay? - Sun Nov  8 03:22:14 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: So, is anyone available to help me out? - Sun Nov  8 03:23:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: With what, bud? - Sun Nov  8 03:23:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm..I wouldn't say Over powered...There's just some abilities I can not teach people outside the family..Noriko was the only one to have obtained such from me..But I've taughtIndex other things.. - Sun Nov  8 03:24:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Seems legit. -- Oh, you and I should have a battle later too. I still want to see how much you've grown. - Sun Nov  8 03:24:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Yes haha..I'll just have to go for now.. - Sun Nov  8 03:26:30 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Just some general fighting tips. - Sun Nov  8 03:28:12 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: For now, at least. - Sun Nov  8 03:28:12 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) blinked once and then tried to think if she knew of a new ramen shop, "Where is that at? I don't think I have been there yet."* - Sun Nov  8 03:28:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Well, we can spar. - Sun Nov  8 03:29:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm not that great at teaching, but if you study my way of fighting, maybe you can get something out of it. - Sun Nov  8 03:29:04 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Errr. - Sun Nov  8 03:31:37 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Ok, I guess. - Sun Nov  8 03:31:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *whistle* - Sun Nov  8 03:32:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Cool. Lead the way. - Sun Nov  8 03:33:20 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Hi... Mirai. - Sun Nov  8 03:36:44 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Evening. What is with the tone? - Sun Nov  8 03:37:36 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Tone..?? - Sun Nov  8 03:37:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Uh. Yousound disgruntled. - Sun Nov  8 03:38:27 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I guess you could say that I'm a little disgruntled. I'm a little stressed, is all.. - Sun Nov  8 03:39:18 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: For what? - Sun Nov  8 03:39:18 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: It.. it doesn't matter. It's not something I can't handle... - Sun Nov  8 03:40:09 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I've already told one person.. well.. they learned of it... and I didn't want them to.. - Sun Nov  8 03:41:00 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I don't want to unsettle you, either.. - Sun Nov  8 03:41:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: It is fine. - Sun Nov  8 03:42:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: She eats ass - Sun Nov  8 03:42:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: secrets out - Sun Nov  8 03:42:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Sun Nov  8 03:42:43 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) peered over to the few commercial buildings down the street from the courtyard. "Maybe we can go together sometime? You can show me the best thing on the menu."* - Sun Nov  8 03:44:25 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I don't see why you'd want to hide your troubles from me. - Sun Nov  8 03:44:25 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: It's difficult to explain... - Sun Nov  8 03:46:08 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'll give you time. In anycase, how goes your training? - Sun Nov  8 03:46:08 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I've made progress with a few things... but not much in terms of our clan's techniques.. - Sun Nov  8 03:49:32 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I'm.. not sure. - Sun Nov  8 03:50:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: i sense a disturbance in the wind.. - Sun Nov  8 03:51:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Sun Nov  8 03:51:15 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: <*Sighs*> And you should cheer up, really. Want to go grab a bite to eat first? WE can talk. - Sun Nov  8 03:51:15 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: We* - Sun Nov  8 03:51:15 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Well... - Sun Nov  8 03:52:57 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) leaned over to whisper back, "Why do you get it free?"* - Sun Nov  8 03:52:57 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Sure.. - Sun Nov  8 03:52:57 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: --- - Sun Nov  8 03:59:47 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: Oh, Mai! - Sun Nov  8 03:59:47 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: What's up? - Sun Nov  8 03:59:47 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: He's.... seemingly untouched by the terrors of a shinobi life...how is that possible? - Sun Nov  8 04:01:29 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) nodded slowly, "about that, you -started- the police force? You... are certainly a very successful thirteen year old."* - Sun Nov  8 04:02:20 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) smiled faintly, "that really is great that those things haven't hurt you but made you stronger. I wish many shinobi I have met could say the same, it's more often than naught they become broken." Her head lowered some, "I only recently became a shinobi for that very reason, concern of what a shinobi life entails... so I resisted it for quite a long time."* - Sun Nov  8 04:14:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: I need friends. - Sun Nov  8 04:14:17 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: Stop breaking ankles then Flexus would be ashamed.. - Sun Nov  8 04:16:00 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: -omit- - Sun Nov  8 04:16:00 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Seems we got a new face here... they probuly been here for awhile though... The guards wouldnt let anyone in - Sun Nov  8 04:22:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: How did it go? - Sun Nov  8 04:27:05 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: ..? - Sun Nov  8 04:27:05 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) 's smile faded as she watched him form the frowny face in the sand. "I'll be sure to remember that Koji, you are very considerate." She wasn't sure what else to say but was watching him. He really was a strange but curious boy, and vastly beyond his years emotionally, mentally, and physically. He was astonishing really.* - Sun Nov  8 04:27:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ....... - Sun Nov  8 04:33:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Note: don't mess with her. - Sun Nov  8 04:33:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Erhm. - Sun Nov  8 04:33:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Kill him... You should've killed him...  - Sun Nov  8 04:33:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: -omit- - Sun Nov  8 04:33:04 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) thinks: Medic, noted. - Sun Nov  8 04:33:55 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm. - Sun Nov  8 04:33:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Man..Koji cock blocking me hard. - Sun Nov  8 04:39:02 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: I kinda feel out of place. I'm not much for small talk. - Sun Nov  8 04:44:09 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) felt a part of her chest tingle at the metaphor he was laying out before her in the drawing. He just kept showing how much of a remarkable person he was. "That's because we are a body, a body of people... some would say a family." She closed her eyes and listened to the howling wind of the desert, "and this valley is our shell that holds us together." She wasn't used to holding these types of conversations with anyone. Between Koji and Lera she was beginning to feel rather enlightened.* - Sun Nov  8 04:47:34 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: I wonder when I should finish that training... Later - Sun Nov  8 04:56:57 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Huh...Have we met? I over-heard your name being Yoko. - Sun Nov  8 05:01:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I am Yan. - Sun Nov  8 05:01:13 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) thinks: I need to replenish my weapons. - Sun Nov  8 05:05:29 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) says: ? - Sun Nov  8 05:07:12 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) giggled faintly, "oh hush, I'm not special. I'm just a nurse."* - Sun Nov  8 05:07:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *cough* - Sun Nov  8 05:08:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I need to figureout something to do.. - Sun Nov  8 05:08:03 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd offer to spar ya. - Sun Nov  8 05:08:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: But I just lit this blunt... - Sun Nov  8 05:08:54 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Well... You could help me Iza?.. - Sun Nov  8 05:08:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: And knowing you, you're strong enough to kick my ass - Sun Nov  8 05:08:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm? - Sun Nov  8 05:08:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: No no. - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm Konohamaru, after all. - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: <omit> - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'm not strong. - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: And help you with what? - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Umm...What we left off last time. - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh yeah Iza. - Sun Nov  8 05:10:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..Iza, why are you here? - Sun Nov  8 05:10:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: See you in like 3 maybe four years top. - Sun Nov  8 05:10:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: trill*> - Sun Nov  8 05:10:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Don't worry..she won't. - Sun Nov  8 05:11:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: But you should get to wherever you need to be Trilliam. - Sun Nov  8 05:11:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Where does he need to go? - Sun Nov  8 05:11:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ughhh thats the thing. - Sun Nov  8 05:11:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: ONe of you either Koji you or tetsu is supposed to take me. - Sun Nov  8 05:12:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji!!!! - Sun Nov  8 05:12:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sorry to interrupt, but... - Sun Nov  8 05:12:19 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Trilliam come on over. - Sun Nov  8 05:13:10 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) says: .... - Sun Nov  8 05:13:10 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) blinked a few times, "little Hassan? As in our Kazekage's...grandson?" She peered around trying to figure out if that's what he was talking about. "I suppose I could come if you are alright with that?"* - Sun Nov  8 05:17:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Izanami, did you want to spar? - Sun Nov  8 05:18:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I can put this blunt away... - Sun Nov  8 05:18:17 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Oh...he's standing right there. - Sun Nov  8 05:18:17 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: I'm an idiot. - Sun Nov  8 05:18:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Lemme' help my brother out first. - Sun Nov  8 05:18:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: And... - Sun Nov  8 05:19:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You're going to jail...? - Sun Nov  8 05:19:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What did you do? - Sun Nov  8 05:19:08 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Well I was lied upon you know my special scrool your farther took one and unsealed it. - Sun Nov  8 05:20:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Sun Nov  8 05:20:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: How long are you going to be in jail? - Sun Nov  8 05:20:51 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: 3 years. - Sun Nov  8 05:20:51 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Then I will be placed on 5 years probation. - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Isn't that a bit unfair..? - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Sooooo I wont be done with this ordeal till im as old as Marrisa. - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Did you talk to grandpa? - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: It is but there is nothing I can do Gramps demands it. - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Sun Nov  8 05:22:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Thats who sentecedme. - Sun Nov  8 05:22:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: He's doing this because the person who died frineds want me borught to justice likeits my fault - Sun Nov  8 05:22:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Completely. - Sun Nov  8 05:22:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: YOu know how people harbour hate and ill will and balh blah blah. - Sun Nov  8 05:22:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: So Iza do me a favor watch over my shop. - Sun Nov  8 05:24:16 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh and kick your dad in his butt for me Kay. - Sun Nov  8 05:25:07 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Aiight lets get going. - Sun Nov  8 05:25:58 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Sun Nov  8 05:26:49 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Why does someone who looks ten have their own shop? - Sun Nov  8 05:26:49 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: My sotmach hurts.. - Sun Nov  8 05:33:39 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) watched the two from a ten foot distance. "What did he do?" <He's so young..> She wrapped her arms around her torso in a hug.* - Sun Nov  8 05:34:30 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: Hassan's going to be pissed when he finds out i accidentaly erased those files.... better get on it. - Sun Nov  8 05:38:46 2015
