<br><font color=teal>*Ryo(Ultimate_Odyssey) thinks: Ugh...Better go find Kana. - Sun Dec  6 20:36:28 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Get up. We're not done yet. - Sun Dec 13 01:15:53 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: This is taking forever. . . . .  - Sun Dec 13 01:15:53 2015
<br><br><font color=yellow>*Kaiser Ibbaki(Dillion13) picked himself up from off the ground and tightened his headband, their was a looking within his eyes that concealed themselves until this very moment. He was motivated to become stronger now that he faced an opponent that had teached him the way of losing and Kaiser had finally learned what it meant to be weaker than somebody, to a true extent. A indomitable will, an unbreakable spirit was within his body and he wouldn't be knocked down so easily unless somebody had forcefully gave him a good reason to stay down.<13>

A small little hissing sound would've came from his mouth as he continued to breathe harder, his clothing had been slightly bruised up from the attack that flew toward him and managed to legitamately connected against him, generally banging him up and cracking through his defensive mechanism. A few shuriken had been thrown toward Hassan before he adjusted his left foot against the ground and proceeded foward.<14>

The speed that he had used before was completely gone and he was now moving faster, attempting to raise his left knee and strike into her stomach, whilst twisting himself and attempting to elbow her directly in the nose. Anyone could've told that he was fighting much more serious now.<15

Kaiser's expression had seriously changed and he deciced to stop taking everything as joke after he was taken as a fool.<16>* - Sun Dec 13 01:20:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Kids got spunk. . .  - Sun Dec 13 01:20:09 2015
<br><br><font color=teal>*Geo Dude(Wynokx) thinks: He's just like me.... - Sun Dec 13 01:21:52 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Too many damn taijutsu specs around here. - Sun Dec 13 01:21:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Get with the fucking program bro. . .-omit- - Sun Dec 13 01:21:52 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Wait what the fuck!? She uses a sword?! - Sun Dec 13 01:26:59 2015
<br><br><font color=yellow>*Kaiser Ibbaki(Dillion13) had forfeited the match, that was his only choice after having a tanto placed against his shoulders. "H-How're you using a weapon but you're a Taijutsu Specialist?"<17>* - Sun Dec 13 01:29:32 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hmm? I'm special.~ - Sun Dec 13 01:30:24 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: Yeah. I suppose. - Sun Dec 13 01:30:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hah. - Sun Dec 13 01:31:15 2015
<br><br><font color=yellow>*Kaiser Ibbaki(Dillion13) fixed his headband back around his waist, once more. He gazed over toward Geo-Dude as he witnessed how he was fighting against someone in this very area, not too long ago. Maybe he could've found himself a teacher around here.* - Sun Dec 13 01:31:15 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: Nice match, I suppose. - Sun Dec 13 01:31:15 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Mhm, nice match. - Sun Dec 13 01:32:06 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: You're really strong, anybody else here like you? - Sun Dec 13 01:32:06 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hey Geo, get over here. Lets spar. - Sun Dec 13 01:32:06 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What the hell? - Sun Dec 13 01:32:06 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: Really? Cool. - Sun Dec 13 01:32:06 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You really don't want to hear my explenation do you? - Sun Dec 13 01:32:06 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Go explain to your other girlfriend. - Sun Dec 13 01:32:57 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Geo, lets go.~ - Sun Dec 13 01:32:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . .  . - Sun Dec 13 01:32:57 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: ... - Sun Dec 13 01:32:57 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: He's cheating on you? - Sun Dec 13 01:32:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: She isn't my girlfriend. - Sun Dec 13 01:32:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: She is my Senpai. - Sun Dec 13 01:32:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You are the only one for me. - Sun Dec 13 01:32:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I told you this.. - Sun Dec 13 01:32:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I didn't fawn over her. . .  - Sun Dec 13 01:33:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I hadn't seen my Senpai in years and i was happy. - Sun Dec 13 01:33:48 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: Wait. Why is your Senpai, from an opposite village? - Sun Dec 13 01:33:48 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Even still, you don't act like that towards a female that ain't your woman man.. - Sun Dec 13 01:33:48 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: I don't get that. - Sun Dec 13 01:33:48 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: You gonna hafta work hard to make this up to Kinami-Sensei. - Sun Dec 13 01:33:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'll do whatever it takes to make it up to her. - Sun Dec 13 01:34:40 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Well this is awkward.... - Sun Dec 13 01:36:22 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: It is kinda cute to see her jealous tho. . .. .  - Sun Dec 13 01:37:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I still need to fix this somehow tho. . .  - Sun Dec 13 01:37:13 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: No i decided to leave to help shinoi live longer - Sun Dec 13 01:38:04 2015
<br><br><font color=teal>*Avrian(Gtgoku99) says: Oh? Kind. . Perhaps it will bridge the gap between shinobi and those who follow the path of lthe light. - Sun Dec 13 01:38:56 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Kaiser. - Sun Dec 13 12:06:59 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: Hm? - Sun Dec 13 12:06:59 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Do you want to be my student? - Sun Dec 13 12:06:59 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: .............I'll have to take it into consideration. - Sun Dec 13 12:06:59 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: What do I have to do to pursuade you? - Sun Dec 13 12:07:50 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: I have a simple question, why me..? - Sun Dec 13 12:07:50 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Simply because you show a passion for taijutsu, as did I when I was your age. - Sun Dec 13 12:08:41 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: Give me some time, and I'll think about it. - Sun Dec 13 12:08:41 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Sure. Just know. - Sun Dec 13 12:09:32 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: If you do decide to follow under me, it won't simply be jutsu. - Sun Dec 13 12:09:32 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: By jutsu? What do you mean? - Sun Dec 13 12:10:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: As in, you won't always learn techniques. - Sun Dec 13 12:11:15 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: You'll build body mass, self-workouts, spars, things like that. - Sun Dec 13 12:11:15 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: You won't learn a technique every single day. - Sun Dec 13 12:11:15 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: I didn't really expect to learn any techniques. I'm gonna go look around, I'll have to speak to every Taijutsu Specialist in the village. - Sun Dec 13 12:13:48 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: And take my pick. - Sun Dec 13 12:13:48 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well, my offer won't be open long, so choose wisely. - Sun Dec 13 12:14:40 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: Alright. - Sun Dec 13 12:15:31 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Chikyu. - Sun Dec 13 12:18:04 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: ...Kinami. - Sun Dec 13 12:18:56 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Wanted to say sorry for a year ago, since I can see you're still upset about that. - Sun Dec 13 12:19:47 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Well.. yeah, you knew I liked Mitsunara... then against my will... It hurt. I trusted you to help me, not to make fun of me. - Sun Dec 13 12:22:20 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: Hassan, I've decided. - Sun Dec 13 12:22:20 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: I'd like to take on your offer and become your student. - Sun Dec 13 12:22:20 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Oh my. - Sun Dec 13 12:23:12 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: Good. When you're finished let's begin. - Sun Dec 13 12:24:03 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Eh? - Sun Dec 13 12:24:03 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I get it, no more jokes. - Sun Dec 13 12:24:54 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: A handshake doesn't seem like forgiveness from a best friend. - Sun Dec 13 12:25:45 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: Hm? - Sun Dec 13 12:26:36 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Its a seal to start. Because, I may give my trust openly and frriendship. But, I'm not a fool willing to be played twice. You'll just have to regain my trust. - Sun Dec 13 12:27:28 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) thinks: She's really overreacting over a joke. - Sun Dec 13 12:27:28 2015
<br><br><font color=teal>*Hassan, Makeinu(Sensena) says: Mommy? - Sun Dec 13 12:29:10 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: Mommy? Huh? - Sun Dec 13 12:30:01 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Chi, come here. - Sun Dec 13 12:30:01 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I'll go with you, mhm. - Sun Dec 13 12:30:01 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Maybe we'll get an A-rank.~ Haha. - Sun Dec 13 12:30:01 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hey there little one~ - Sun Dec 13 12:30:52 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: A-Rank? Really?! - Sun Dec 13 12:30:52 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hopefully. B-ranks are really simple. - Sun Dec 13 12:30:52 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: A ranks are not as simple as you think. - Sun Dec 13 12:31:44 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Not everyone has your strength Nami. - Sun Dec 13 12:31:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I understand that, but. - Sun Dec 13 12:31:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Anyone can give a private lesson, that's a B-rank mission. - Sun Dec 13 12:31:44 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: And you're not quite ready to handle an A rank. - Sun Dec 13 12:31:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: One silly up, you fail the misison and kill off your comrades. - Sun Dec 13 12:31:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I understand. - Sun Dec 13 12:32:35 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: If I'm able to hit someone, though! It's game over! Hehe. - Sun Dec 13 12:32:35 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: Really? Not even Senpai-Kinami is ready for an A-Rank? - Sun Dec 13 12:32:35 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Whats up Ai? - Sun Dec 13 12:32:35 2015
<br><br><font color=teal>*Hassan, Makeinu(Sensena) says: Mommy, mommy!~ - Sun Dec 13 12:33:26 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Anyway, lets go Kaiser. - Sun Dec 13 12:33:26 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: Awaaaaay, swooosh! - Sun Dec 13 12:34:17 2015
