<br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright. - Mon Nov  2 23:36:32 2015
<br><br><font color=teal>*Kyubishu(Dillion13) whispers: I thought Katsune killed Kirie. - Sun Nov  8 20:37:20 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Ortho was the one seen summoning a giant snake and going right through the village. He also nearly killed Lera, another ninja of this village. - Sun Nov  8 20:42:27 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ...Lera? She's a B-Rank. - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: How strong is he? Damn. I'll stay here, I'll be fine. - Sun Nov  8 20:47:34 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: They're planning to drag the village into an attack on another you fool. You'll die, or be dragged into something you don't want to be. - Sun Nov  8 20:50:08 2015
<br><br><font color=teal>*Kyubishu(Dillion13) whispers: So why're you here if you know what's going on then?! - Sun Nov  8 20:50:08 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) whispers: Its called spying you fool! Besides...I.. Just look, you're better off hiding in Sunagakure along with everyone else. - Sun Nov  8 20:50:59 2015
<br><br><font color=teal>*Kyubishu(Dillion13) whispers: Fine, I'm outta here. Thanks for looking out, I hope you survive. - Sun Nov  8 20:51:50 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) would've headed off toward Sunagakure.* - Sun Nov  8 20:51:50 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Just don't get yourself killed - Sun Nov  8 20:51:50 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ...Uh, Hello? - Sat Nov 14 02:02:52 2015
<br><br><font color=teal>*Fumatori, Hatsujin(Chaos Commander2015) says: Hm? - Sat Nov 14 02:13:07 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ...Oops. - Sat Nov 14 02:13:58 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: -omit- - Sat Nov 14 02:13:58 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Hey, dude. - Sat Nov 14 02:13:58 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I've been gone for awhile. So, what's this all about? - Sat Nov 14 02:13:58 2015
<br><br><font color=teal>***Mizukage**(Wynokx) thinks: Fucking dramatic ass. - Sat Nov 14 02:20:48 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ...Uh. - Sat Nov 14 02:26:46 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Mizukage, why are we on heavy lockdown like this? - Sat Nov 14 02:26:46 2015
<br><br><font color=teal>***Mizukage**(Wynokx) says: We're currently being threatened by an unknown force. - Sat Nov 14 02:26:46 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: ..You're such a crybaby. - Sat Nov 14 02:28:28 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: You know that? - Sat Nov 14 02:28:28 2015
<br><br><font color=teal>*Fumatori, Hatsujin(Chaos Commander2015) says: . . .I was being serious. . . - Sat Nov 14 02:29:20 2015
<br><br><font color=teal>*Fumatori, Hatsujin(Chaos Commander2015) says: But ah, alright. - Sat Nov 14 02:29:20 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ...Unknown, force? - Sat Nov 14 02:30:11 2015
<br><br><font color=teal>***Mizukage**(Wynokx) says: Yes. I don't know who it is currently. - Sat Nov 14 02:30:11 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: ...third wheel? Aren't you a depressing boy. - Sat Nov 14 02:31:53 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: So. Are these some new folks to the village? - Sat Nov 14 02:33:36 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I haven't seem them before, but then again. I'm a rookie Genin. - Sat Nov 14 02:33:36 2015
<br><br><font color=teal>***Mizukage**(Wynokx) says: No. They're from elsehwere. Not sure where though. - Sat Nov 14 02:34:27 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ...So. This is pretty awkward. - Sat Nov 14 02:37:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: So, shall we head back inside? - Sat Nov 14 02:49:48 2015
<br><br><font color=teal>***Mizukage**(Wynokx) says: Aye. Go on back inside. - Sat Nov 14 02:50:40 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Alright. - Sat Nov 14 02:51:31 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Somebody new, once again? - Sat Nov 14 03:24:48 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Hm? - Sat Nov 14 03:26:30 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Holy... - Sat Nov 14 04:15:08 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: So, anyone from Kirigakure still reside here? I was given good advice to head here. - Sat Nov 14 04:15:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm? Ah, hello... - Sat Nov 14 04:16:00 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) would've made his entrance, it wasn't loud or quiet. He was surprised that people weren't as dangerous as he originally thought. But that didn't matter, it just meant he could've actually sat back and relaxed here for once and not be aware of his surrondings for the most part, basically just having a nice and normal day for once. He's been out of the training game for too long and smirked after people had actually acknowledge him for once, back in Kirigakure their weren't many people for that.

Kyubishu had ruffled his snow white hair a bit to flake it out, having gotten some sand it it from his trip. "Right, right. That's nice to know. I'll be staying here awhile if that is alright with everyone here. I'm Kyubishu."* - Sat Nov 14 04:18:33 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: whats with all the newbs? - Sat Nov 14 04:20:16 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: -omt- - Sat Nov 14 04:20:16 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Why are so many people coming here from different villages? - Sat Nov 14 04:27:05 2015
<br><br><font color=teal>*Redrum, Nina(Ninasky115) says: Hm... - Sat Nov 14 04:27:05 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: cus this is 'murica - Sat Nov 14 04:27:56 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: -omit- - Sat Nov 14 04:27:56 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Have you been to Konoha lately? - Sat Nov 14 04:27:56 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: This place is only but so big. - Sat Nov 14 04:27:56 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ...Konoha? Haven't visted there in my life. - Sat Nov 14 04:27:56 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: It has a terrorist living there. - Sat Nov 14 04:27:56 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: He's already blown up uh...three or four buildings. - Sat Nov 14 04:27:56 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Oh and I nearly died there twice too. - Sat Nov 14 04:28:48 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Thats why i'm here. - Sat Nov 14 04:28:48 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Bad idea. - Sat Nov 14 04:28:48 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Sunakagure is savage. - Sat Nov 14 04:28:48 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: People die for sneezing around here. - Sat Nov 14 04:29:39 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well no one has tried to kill me yet. - Sat Nov 14 04:29:39 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: We have a prostitute though! - Sat Nov 14 04:29:39 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Her name is  - Sat Nov 14 04:29:39 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Chikyu. - Sat Nov 14 04:29:39 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Good for her. - Sat Nov 14 04:30:30 2015
<br><br><font color=teal>*Rias(LionHunter) says: Dont 5alk about my friend! - Sat Nov 14 04:30:30 2015
<br><br><font color=teal>*Rias(LionHunter) says: talk* - Sat Nov 14 04:30:30 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: You've never been to Kirigakure, have you? - Sat Nov 14 04:33:55 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Yes. - Sat Nov 14 04:33:55 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Our Kage died, like. - Sat Nov 14 04:33:55 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: And our place is the land of savages. - Sat Nov 14 04:33:55 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Konohas kage is dead too so. - Sat Nov 14 04:33:55 2015
<br><br><font color=teal>*Redrum, Nina(Ninasky115) says: ..... - Sat Nov 14 04:34:46 2015
<br><br><font color=teal>*Rias(LionHunter) thinks: Im going to find tetsumi... - Sat Nov 14 04:34:46 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Well. - Sat Nov 14 04:34:46 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Our jinchuriki, - Sat Nov 14 04:34:46 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: went rogue. - Sat Nov 14 04:35:37 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Shira. - Sat Nov 14 04:36:28 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Shut up. - Sat Nov 14 04:36:28 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Tetsumi's been around.. - Sat Nov 14 04:36:28 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Chikyu isn't a prostitute either.. - Sat Nov 14 04:37:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Don't make u-up lies.. - Sat Nov 14 04:37:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Mrm... - Sat Nov 14 04:37:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Kazekage-Sama, you awake yet? - Sat Nov 14 04:38:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-It's very d-disrespectful..and..uhm..b-bad.. - Sat Nov 14 04:38:11 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: It's disrespectful when you spread your words out! I'm not super stupid! I'm like a stupid hollainse. Just the right amount! - Sat Nov 14 04:39:02 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Question. - Sat Nov 14 04:39:02 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: The fuck is a Jinchuuriki? - Sat Nov 14 04:39:02 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: It means, Chickenfighter. - Sat Nov 14 04:39:53 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: The one who fights so brave that chickens become manly. - Sat Nov 14 04:39:53 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Shira did I not tell you to shut up. - Sat Nov 14 04:39:53 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: .....I feel like you're hiding something. - Sat Nov 14 04:39:53 2015
<br><br><font color=teal>*Redrum, Nina(Ninasky115) says: ...... - Sat Nov 14 04:39:53 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Village secret? - Sat Nov 14 04:39:53 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: It is a mystery, yo. - Sat Nov 14 04:40:44 2015
<br><br><font color=teal>*Rias(LionHunter) says: Sigh - Sat Nov 14 04:41:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: So. - Sat Nov 14 04:41:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Seems he's still out of it... - Sat Nov 14 04:41:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Anyone game for a sparring match? - Sat Nov 14 04:41:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I would.. - Sat Nov 14 04:41:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But uhm.. - Sat Nov 14 04:41:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm bad.. - Sat Nov 14 04:41:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But uhm...i-if you wanna..we..uhm..c-can..! - Sat Nov 14 04:42:27 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ah.... Haven't we fought before? - Sat Nov 14 04:42:27 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Well.. . Do you think you've gotten stronger since then? - Sat Nov 14 04:42:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea..uhm...P-Probably! - Sat Nov 14 04:42:27 2015
<br><br><font color=teal>*Redrum, Nina(Ninasky115) says: I'll go. - Sat Nov 14 04:43:18 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Hm? - Sat Nov 14 04:43:18 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But I was gonna..s-spar.. - Sat Nov 14 04:43:18 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yo, Momura said yes first. If you want, I can fight you after though. - Sat Nov 14 04:43:18 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Rias. - Sat Nov 14 04:43:18 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Oh look Mizora. - Sat Nov 14 04:43:18 2015
<br><br><font color=teal>*Redrum, Nina(Ninasky115) says: Doesn't matter. - Sat Nov 14 04:43:18 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: They are sparring. - Sat Nov 14 04:44:09 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: You still haven't told me how things here have been for you. - Sat Nov 14 04:44:09 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm? - Sat Nov 14 04:44:09 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Anyway, I guess uh... meet me at the Arena. - Sat Nov 14 04:44:09 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Hello. - Sat Nov 14 04:44:09 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm going to watch that fight. - Sat Nov 14 04:45:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Possibly might too. - Sat Nov 14 04:45:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Anyone else up? - Sat Nov 14 04:45:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I wanna spar too. - Sat Nov 14 04:45:52 2015
<br><br><font color=teal>*Rias(LionHunter) says: Hmm? - Sat Nov 14 04:46:43 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: We haven't talked much since I got here. - Sat Nov 14 04:47:34 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I was just wondering how you were getting along. - Sat Nov 14 04:47:34 2015
<br><br><font color=teal>*Rias(LionHunter) says: Im good, Hassan has helped me alot - Sat Nov 14 04:50:59 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I'm glad, I remember you saying he was your mentor. - Sat Nov 14 04:51:50 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: What does he teach you? - Sat Nov 14 04:51:50 2015
<br><br><font color=teal>*Rias(LionHunter) says: Life lessons, he plans out my ninja path and such... he is a really great man - Sat Nov 14 04:53:32 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: It's good you have such a person willing to teach you. - Sat Nov 14 04:55:15 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: You might know but Marrisa has agreed to do the same for me. - Sat Nov 14 04:56:06 2015
<br><br><font color=teal>*Rias(LionHunter) says: Marrisa has agreed to train me also... She has alot of people she helps - Sat Nov 14 04:56:57 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Oh...damn that makes me feel bad now... - Sat Nov 14 04:56:57 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well, guess it's too late now. - Sat Nov 14 04:56:57 2015
<br><br><font color=teal>*Rias(LionHunter) says: What do you mean? - Sat Nov 14 04:57:48 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well...i'm kind of depending on her for everything at the moment... - Sat Nov 14 04:57:48 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: She's even letting me stay at her house. - Sat Nov 14 04:58:40 2015
<br><br><font color=teal>*Rias(LionHunter) says: Thats good, but she is taken so you cant go after her - Sat Nov 14 04:58:40 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I wasn't...going to... - Sat Nov 14 04:58:40 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: It's a little awkward in all honesty. - Sat Nov 14 04:59:31 2015
<br><br><font color=teal>*Rias(LionHunter) says: Im joking~ - Sat Nov 14 04:59:31 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: ... - Sat Nov 14 04:59:31 2015
<br><br><font color=teal>*Rias(LionHunter) says: Lighten up! - Sat Nov 14 04:59:31 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Nobody? - Sat Nov 14 04:59:31 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Right right, Sorry. - Sat Nov 14 04:59:31 2015
<br><br><font color=teal>*Rias(LionHunter) says: Nobody what? - Sat Nov 14 04:59:31 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I think he wanted a sparring partner. - Sat Nov 14 05:00:22 2015
<br><br><font color=teal>*Rias(LionHunter) says: Oh! What kind of fighter are you? - Sat Nov 14 05:01:13 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: I'd fight him but since I killed those two people... - Sat Nov 14 05:02:56 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Close-Range, to Mid-Range. - Sat Nov 14 05:02:56 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: Damn...where is Marrisa... - Sat Nov 14 05:02:56 2015
<br><br><font color=teal>*Rias(LionHunter) says: Oh, im out... you might huert me~ - Sat Nov 14 05:03:47 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Seriously? - Sat Nov 14 05:05:29 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I'd fight you but I just don't feel like it at the moment. - Sat Nov 14 05:06:20 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Sorry dude. - Sat Nov 14 05:06:20 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yes, im not built for close combat as you can see - Sat Nov 14 05:06:20 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: It's cool. - Sat Nov 14 05:06:20 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Anyway Rias, you're all set up here right? - Sat Nov 14 05:07:12 2015
<br><br><font color=teal>*Rias(LionHunter) says: Mmhmm, but Sir... are you fast? - Sat Nov 14 05:08:03 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I'm average speed, why? - Sat Nov 14 05:08:54 2015
<br><br><font color=teal>*Rias(LionHunter) says: I need a physical training teacher... I guess I can ask that nervous  girl - Sat Nov 14 05:10:36 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Yeah, I'm not really the training type. I need a teacher myself. - Sat Nov 14 05:12:19 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Have you had any contact with Ziare since you left? - Sat Nov 14 05:14:01 2015
<br><br><font color=teal>*Rias(LionHunter) says: I thought so... and no I havent - Sat Nov 14 05:14:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Ziare. I feel like, I've heard that name before. - Sat Nov 14 05:14:52 2015
<br><br><font color=teal>*Rias(LionHunter) says: But I need to write him and J - Sat Nov 14 05:15:44 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Where's everyone else? - Sun Nov 15 00:23:28 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: So, this is where everyone is. - Sun Nov 15 00:32:51 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) whispers: o-oh....so i-its..like a...m-mandolin? - Sun Nov 15 00:33:42 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: What's going on here? - Sun Nov 15 00:34:33 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I've seen that before. That Dojutsu. - Sun Nov 15 00:37:58 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) whispers: p-paine....but s-some call me...l-lady..p-paine... - Sun Nov 15 00:45:39 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I want to spar someone after their match. - Sun Nov 15 00:45:39 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Mrm.. - Sun Nov 15 00:47:21 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I'll fitcha. - Sun Nov 15 00:47:21 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) whispers: mm...n-nice to m-meet you h-hatsu - Sun Nov 15 00:49:04 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hehe... Sorry, I think I'm getting used to losing.  - Sun Nov 15 00:50:46 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) whispers: i h-have no p-preference....m-most s-say l-lady...out of r-respect... - Sun Nov 15 00:50:46 2015
