<br><font color=teal>*Higashi, Nori(Shawn45) says: Why? - Sun Nov  8 01:01:26 2015
<br><br><font color=teal>*Yumiko(Ekario) says: By the way...what was said about owning that house. - Thu Nov 12 08:26:01 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We're good to go. - Thu Nov 12 08:26:01 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Lets head home then. - Thu Nov 12 08:38:49 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Right..We'll have to be prepared in the morning. - Thu Nov 12 08:43:05 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: No telling if they'll be ready to head to Suna. - Thu Nov 12 08:43:05 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..And thanks for coming. - Thu Nov 12 08:43:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I wouldn't want to be near that brute alone. - Thu Nov 12 08:43:56 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) still had a few missions that he needed to do, even if it was the previous kage that had given him them. It was likely that he'd still be able to get a completion rating for them, so Heiwa wasn't too terribly concerned that it'd be all for nothing. The first place he'd get ready to go to was that of digging a hole - as it was right next to the spot that wanted for him to fill said hole. <Can knock out two of them relatively quickly.> 

However, on the way to the mission site he'd hear the village announcement blaring through the area making it quite clear he really didn't have much time to do that either. <I guess this takes precedent,> he says, turning on his heel and facing towards the direction of the gates intent on accomplishing this mission at a later time.* - Thu Nov 12 20:51:50 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: Alright. - Thu Nov 12 20:52:41 2015
<br><br><font color=teal>***Mizukage**(Wynokx) says: I don't know about Yumiko. - Thu Nov 12 20:52:41 2015
<br><br><font color=teal>***Mizukage**(Wynokx) says: Hmm.... - Thu Nov 12 20:52:41 2015
<br><br><font color=teal>***Mizukage**(Wynokx) says: What do you think about taking Heiwa and leaving the girl here? - Thu Nov 12 20:53:32 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: Sounds like a plan. - Thu Nov 12 20:53:32 2015
<br><br><font color=teal>***Mizukage**(Wynokx) says: Yeah I like the idea as well.. - Thu Nov 12 20:54:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..I heard you wanted to leave behind Yumiko. - Thu Nov 12 20:56:06 2015
<br><br><font color=teal>***Mizukage**(Wynokx) says: Yeah. I don't quite need three bodyguards. Honestly I only need one of you, but I'm sure you'd both like to go. - Thu Nov 12 20:56:06 2015
<br><br><font color=teal>***Mizukage**(Wynokx) says: So...When would you two like to leave? - Thu Nov 12 20:57:48 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: Whenever. I don't care when. - Thu Nov 12 20:57:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: It'd be better to appease the brute. And I'm not sure if Yumiko could handle him if it goes bad. - Thu Nov 12 20:58:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Now is fine, if you'd like. - Thu Nov 12 20:58:40 2015
<br><br><font color=teal>***Mizukage**(Wynokx) says: Very well. Let's leave out. I'll pay the caravan and we can go. - Thu Nov 12 20:58:40 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) also went on that caravan, the child paying far more attention to Hachirou throughout the ride just in case. Niggas be savage.* - Thu Nov 12 20:59:31 2015
<br><br><font color=teal>***Mizukage**(Wynokx) says: Hello Miss...Is there a Jounin around? - Thu Nov 12 21:02:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Greetings, uh.... I'm guessing by the color of hat /Mizu/Kage..? Ah... - Thu Nov 12 21:02:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Probably. I can go get one to talk at them. Can I ask what brings you to Suna? - Thu Nov 12 21:03:47 2015
<br><br><font color=teal>***Mizukage**(Wynokx) says: Official Busness. - Thu Nov 12 21:03:47 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Got it.. - Thu Nov 12 21:04:38 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: God that bitch was ugly. - Thu Nov 12 21:05:29 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: That bitch ugly too. - Thu Nov 12 21:08:03 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: She's ugly too. - Thu Nov 12 21:09:45 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Is everyone just going to look at eachother and do nothing? - Thu Nov 12 21:09:45 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: They can't be expecting an attack from three people. Why are they all hesitating? - Thu Nov 12 21:09:45 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: I came to take names - Thu Nov 12 21:10:36 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) echoed a similar expression of Hachirou, his onyx eyes scanning across the gathering of shinobi at the gates. * - Thu Nov 12 21:16:35 2015
<br><br><font color=teal>***Mizukage**(Wynokx) whispers: Don't tell anyone you killed the Thread Monster Hachirou. - Thu Nov 12 21:18:17 2015
<br><br><font color=teal>*Hachirou(Assassin241) whispers: Tch... - Thu Nov 12 21:19:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Would you like to see the Kazekage now or rest before? I'm sure it was a long trip. - Thu Nov 12 21:22:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sure, Kiyoko--thanks. - Thu Nov 12 21:23:24 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Mn-hm. - Thu Nov 12 21:23:24 2015
<br><br><font color=teal>***Mizukage**(Wynokx) says: I'd like to rest first.  - Thu Nov 12 21:23:24 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) moved to follow behind the grouping, his eyes occasionally being brought off of them to take in the full vision of Sunagakure. It was his first time being in the village. Likely it'd also be his first time seeing a village that was doing well off and not completely destroyed. * - Thu Nov 12 21:25:07 2015
<br><br><font color=teal>***Mizukage**(Wynokx) says: It's fine. I didn't expect any sort of a welcome besides my meeting with the Kazekage...But I'm sorry for imposing.. - Thu Nov 12 21:31:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It's our pleasure to accommodate you. - Thu Nov 12 21:31:05 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Uh.. Sure... - Thu Nov 12 21:31:05 2015
<br><br><font color=teal>***Mizukage**(Wynokx) thinks: They call this a fucking suite? - Thu Nov 12 21:32:48 2015
<br><br><font color=teal>***Mizukage**(Wynokx) says: The accomodations are lovely. - Thu Nov 12 21:32:48 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: I don't like small spaces. - Thu Nov 12 21:32:48 2015
<br><br><font color=teal>***Mizukage**(Wynokx) says: Thank you. - Thu Nov 12 21:32:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: I'm pretty sure most of those looked like prisoners.. - Thu Nov 12 21:32:48 2015
<br><br><font color=teal>***Mizukage**(Wynokx) says: Well...We'll rest up..Whem the Kazekage is ready...We'll meet with him. - Thu Nov 12 21:34:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Your food and drinks should arrive soon, but there is sake chilled in the refridgeration and room temperature sake in the liquor cabinets if you wish to indulge, Lord Mizukage. - Thu Nov 12 21:34:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Otherwise, I will leave you be and alert the Kazekage of your arrival. - Thu Nov 12 21:35:21 2015
<br><br><font color=teal>***Mizukage**(Wynokx) says: Very we- What's your name? - Thu Nov 12 21:35:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yan. - Thu Nov 12 21:35:21 2015
<br><br><font color=teal>***Mizukage**(Wynokx) says: Very well. - Thu Nov 12 21:35:21 2015
<br><br><font color=teal>***Mizukage**(Wynokx) says: Thank you. - Thu Nov 12 21:39:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: My pleasure, sir. - Thu Nov 12 21:39:37 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Could you two guard the door outside? I need to take a quick Nap before I speak to the Kazekage. - Thu Nov 12 21:40:28 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) nodded, and went outside of the room allowing the kage his time alone.* - Thu Nov 12 21:41:20 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Yo. - Thu Nov 12 22:03:31 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: Sup. - Thu Nov 12 22:04:22 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Trilliam in there? - Thu Nov 12 22:04:22 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: No. - Thu Nov 12 22:05:13 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Where is h? - Thu Nov 12 22:05:13 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: I have no idea, who this Trilliam person is.  - Thu Nov 12 22:05:13 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Why you guys outside? - Thu Nov 12 22:05:13 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: The Mizukage is sleeping inside this room. - Thu Nov 12 22:05:13 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: We're gaurding it. - Thu Nov 12 22:06:04 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Mizukage? - Thu Nov 12 22:06:04 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: We're from Kirigakure. - Thu Nov 12 22:06:04 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Oh. - Thu Nov 12 22:06:04 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Ok then. - Thu Nov 12 22:06:04 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: He's sleeping. - Thu Nov 12 22:35:05 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: We're good. - Thu Nov 12 22:36:48 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: Thank's though. - Thu Nov 12 22:37:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Right.  - Thu Nov 12 22:37:39 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ....? - Fri Nov 13 02:35:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Jehan..? - Fri Nov 13 02:36:35 2015
<br><br><font color=teal>*Hachirou(Assassin241) whispers: The one I killed. That was his name. - Fri Nov 13 02:37:26 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: -...What happened to Jehan..? - Fri Nov 13 02:39:08 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: No idea. He dissappeared recently. Said he was going to find himself. - Fri Nov 13 02:39:08 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: He was feeling depressed. - Fri Nov 13 02:39:08 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: That feels better. - Fri Nov 13 02:39:08 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I see.. - Fri Nov 13 02:40:00 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Why was he depressed...This time..? - Fri Nov 13 02:40:51 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: He didn't say. Had something to do with that....Ortho character. - Fri Nov 13 02:40:51 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: You seem to know a lot about him.. - Fri Nov 13 02:42:33 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I do.. - Fri Nov 13 02:42:33 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: Noted. . .Heh. - Fri Nov 13 02:42:33 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: You his girlfriend? boyfriend? Trapfriend? - Fri Nov 13 02:43:24 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: I'm sorry I can't tell. - Fri Nov 13 02:43:24 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ...His Friend.. - Fri Nov 13 02:43:24 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: . . . I'm kind of hungry. - Fri Nov 13 02:43:24 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: Any good places here to eat? - Fri Nov 13 02:44:16 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Uhuh... - Fri Nov 13 02:44:16 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Alrighty. - Fri Nov 13 02:44:16 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: . . . .My question goes unanswered. - Fri Nov 13 02:45:07 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: Fuck all of you. - Fri Nov 13 02:45:07 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: Fuck you. - Fri Nov 13 02:45:07 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: Fuck you. - Fri Nov 13 02:45:07 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: And fuuuucckkk you. - Fri Nov 13 02:45:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: The Hungry Ant is good. - Fri Nov 13 02:45:07 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: The Hungry Ant? - Fri Nov 13 02:45:07 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Aren't we just here for the meeting? We don't really need to eat. - Fri Nov 13 02:45:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. It's just east of here. - Fri Nov 13 02:45:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It has yummy food./ - Fri Nov 13 02:45:58 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: Oh, cool. - Fri Nov 13 02:45:58 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Hey, San-Okay. - Fri Nov 13 02:45:58 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: . . . Is that the dudes name? San-Okay. - Fri Nov 13 02:46:49 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: That's rad. - Fri Nov 13 02:46:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hah! It's Sanoke. - Fri Nov 13 02:46:49 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Okay, San-Adegoke. - Fri Nov 13 02:46:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . .Ehhh. Close enough. - Fri Nov 13 02:46:49 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: Oh, Sanoke. - Fri Nov 13 02:47:40 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: Nice. - Fri Nov 13 02:47:40 2015
<br><br><font color=teal>*Marco(Gtgoku55) thinks: The tits.. - Fri Nov 13 02:47:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I need a favor Sanoke. - Fri Nov 13 02:47:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ... - Fri Nov 13 02:48:32 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Now I wish Yumiko was here.. - Fri Nov 13 02:48:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hi. - Fri Nov 13 02:48:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What do you need? - Fri Nov 13 02:48:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Fri Nov 13 02:49:23 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hi. - Fri Nov 13 02:49:23 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: What we discussed. - Fri Nov 13 02:49:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Oh god. I kinda forgot. Let me wing it.. - Fri Nov 13 02:49:23 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: H-He ignored me... - Fri Nov 13 02:50:14 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Let's go somewhere private. - Fri Nov 13 02:50:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Roger. Let's go. - Fri Nov 13 02:50:14 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: So uh. . . . . - Fri Nov 13 02:51:05 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: Anyone here interested in buying jutsu? - Fri Nov 13 02:51:05 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: I'll be here for a while. - Fri Nov 13 02:51:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm... - Fri Nov 13 02:51:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hi... - Fri Nov 13 02:51:56 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Hello there... - Fri Nov 13 02:51:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So y-you're the new m-mizukage..? - Fri Nov 13 02:51:56 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: What's up with the stuttering problem. - Fri Nov 13 02:52:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ---..N-Nothing.. - Fri Nov 13 02:52:48 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Yes. I am. - Fri Nov 13 02:53:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Fri Nov 13 02:53:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So you replaced k-kirie..? - Fri Nov 13 02:53:39 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Yes. Officially. - Fri Nov 13 02:53:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Fri Nov 13 02:53:39 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Jehan, actually.  - Fri Nov 13 02:53:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So..uhm.. - Fri Nov 13 02:54:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-How's kirigakure? - Fri Nov 13 02:54:30 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Fine.  - Fri Nov 13 02:55:21 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: How's Sunagakure? - Fri Nov 13 02:55:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-That's good.. - Fri Nov 13 02:55:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh uhm.. - Fri Nov 13 02:55:21 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Struggling to survive forced into an inevitable power vacuum that will eventually consume it at this rate.  - Fri Nov 13 02:55:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I guess i-it's nice...a-alot hotter then kirigakure.. - Fri Nov 13 02:55:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Not many good f-farming areas.. - Fri Nov 13 02:55:21 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: I see...Are you from Kirigakure or something? - Fri Nov 13 02:55:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Fri Nov 13 02:55:21 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Oh...Why don't you return? - Fri Nov 13 02:56:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh well uhm..y-you see..M-Me and my uhm...l-lover are working at a really n-nice uhm..r-restaurant..A-And it's v-very peaceful here.. - Fri Nov 13 02:56:12 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Ah. I understand. Very well. Good luck with your new life. - Fri Nov 13 02:57:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ...A-Are you the new Mizukage? - Fri Nov 13 02:57:04 2015
