<br><font color=teal>*Tengoku(Punka) thinks: Oi.~ A mock mission encounter? - Tue Dec  1 03:18:24 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) reappears in a plume of smoke, an ice pack being tossed about between his hands. "I got it! I got it!" he says aloud, before tossing it to Yumiko. That shit was cold af.* - Fri Dec  4 06:43:37 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Oooh.. . - Fri Dec  4 07:03:15 2015
<br><br><font color=teal>*Yumiko(Ekario) thinks: I think. - Fri Dec  4 07:04:57 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: ..Was she enjoying it all along? - Fri Dec  4 07:08:22 2015
<br><br><font color=teal>*Yumiko(Ekario) says: How are you feeling now? - Fri Dec  4 07:11:47 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: . . Nuummb. . *muffled groan* - Fri Dec  4 07:19:28 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Sorry. - Fri Dec  4 07:22:52 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Bad hurts. . - Fri Dec  4 07:27:08 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Want to head to the house? - Fri Dec  4 07:33:07 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I can get her head if you get her feet. - Fri Dec  4 07:33:58 2015
<br><br><font color=teal>*Yumiko(Ekario) says: We could take her arms and walk. - Fri Dec  4 07:35:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Well..how about Nori? - Fri Dec  4 07:37:23 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: . . . Bad hurts. . - Fri Dec  4 07:39:05 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) reached over as well, offering his shoulder to help bring up Nori. It'd be difficult, but the fact that Yumiko was also offering some aid made it that much easier.* - Fri Dec  4 07:52:44 2015
<br><br><font color=teal>*Yumiko(Ekario) says: How do you feel? - Fri Dec  4 08:08:06 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hurts. .Bad//  - Fri Dec  4 08:10:40 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: *. . - Fri Dec  4 08:11:31 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It's okay..We're here. - Fri Dec  4 08:14:04 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Do you want some more ice? - Fri Dec  4 08:14:04 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: No. I just. . . Wanna sleep. - Fri Dec  4 08:15:47 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...Do you want the chains then? - Fri Dec  4 08:20:03 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: . . .Not in the mood. . - Fri Dec  4 08:20:03 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I.... - Fri Dec  4 09:02:43 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I messed up. - Fri Dec  4 09:02:43 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Huh? - Fri Dec  4 09:06:08 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Didn't mean to hurt her like that. - Fri Dec  4 09:23:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It's no worse than what they would do on a mission. - Fri Dec  4 09:32:35 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You remember that arrow - fired from the bow you wield? - Fri Dec  4 09:32:35 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: The one that penetrated even Iron Maiden? - Fri Dec  4 09:32:35 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: She'll be fine..I wanted you to spar her so she would see this. - Fri Dec  4 09:32:35 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I'm not having either of you die. - Fri Dec  4 09:33:26 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Y-Yeah.. - Fri Dec  4 09:34:17 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: When we go to those private exams.. - Fri Dec  4 09:36:51 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We're not dying. - Fri Dec  4 09:36:51 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: And we're not going to be treated like that. - Fri Dec  4 09:37:42 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: They're going to do far worse. - Fri Dec  4 09:37:42 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I know.... - Fri Dec  4 09:47:05 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Come...here. - Fri Dec  4 09:48:48 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) scooted over closer.* - Fri Dec  4 09:48:48 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Times like these...are the best. - Fri Dec  4 09:51:21 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...The peace after the stress of the day? - Fri Dec  4 09:57:20 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Mhm. - Fri Dec  4 09:58:11 2015
<br><br><font color=teal>*Yumiko(Ekario) says: You already know what I'm going to ask. - Fri Dec  4 10:00:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm. - Fri Dec  4 10:06:43 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) scooted over closer cuddling up against Yumiko. Considering every ooc day was 4 ic days - he was growing used to this by now.* - Fri Dec  4 10:06:43 2015
<br><br><font color=teal>*Yumiko(Ekario) says: After we succeed what's next? - Fri Dec  4 10:13:32 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm..We can enjoy the peace. Nori..you..Izanami..me..And everyone else with us. - Fri Dec  4 10:22:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: As those stopping the world from descending into chaos.. - Fri Dec  4 10:22:56 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Yeah... - Fri Dec  4 10:24:38 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...You? - Fri Dec  4 10:29:45 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: What're your thoughts? - Fri Dec  4 10:29:45 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Hey. - Fri Dec  4 20:18:33 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: How are you? - Fri Dec  4 20:18:33 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Pretty good and you? - Fri Dec  4 20:22:49 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Fine. Is Nori..upset? - Fri Dec  4 20:25:23 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I haven't seen her since..yeah. - Fri Dec  4 20:25:23 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I think she is still. I don't know. - Fri Dec  4 20:26:14 2015
<br><br><font color=teal>*Yumiko(Ekario) says: She might be resting. - Fri Dec  4 20:26:14 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I see. Up for training in the mean time? - Fri Dec  4 20:30:30 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Once you're squad has arrived, take thhem on that mission. - Fri Dec  4 20:52:41 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: It is a C-Ranked mission, you can handle it, right? - Fri Dec  4 20:54:24 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) reached his hand up catching the scroll. Shit, with his durability that stuff probably almost bruised him QQ. 

"Yeah - we should be able to handle a C rank," he says, slowly opening to scroll to read the details.

In case the details of the mission weren't..ya know to escort said person, he'd ask "What're the details?" but if it was..well he'd have no use to do so.* - Fri Dec  4 20:56:06 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Gather your group and holla' at me. - Fri Dec  4 21:00:22 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: The client will tell you himself. - Fri Dec  4 21:01:13 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Also, was gud Wyn. - Fri Dec  4 21:37:55 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: 'Sup, Geo. - Fri Dec  4 21:46:27 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Hey there. - Fri Dec  4 21:47:18 2015
<br><br><font color=teal>*Kagayaki, Hyoryu(SS2015) says: Geo fag. - Fri Dec  4 21:47:18 2015
<br><br><font color=teal>*Kagayaki, Hyoryu(SS2015) says: -omit0 - Fri Dec  4 21:47:18 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) glanced over at Ryo as he made himself known, dark black eyes trailing all over the set up he was making. 

"I'm waiting for my squad," he says out, giving another look around to see if they had arrived. "We're to head out for a mission soon."* - Fri Dec  4 21:54:59 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) turned back around, eyes falling off of the somewhat taller boy as he continued to scan the area. No one had shown up yet. <They might be caught up somewhere..I'll go look for them.>

Without turning back, he'd begin walking off leaving Ryo. "I figure that's probably what you want. If you ever want to join in on our training feel free." Without waiting to hear what he had to say in response, Heiwa would continue leaving.* - Fri Dec  4 22:06:04 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Zzzzzz. - Fri Dec  4 22:25:42 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) stepped up closer, carefully taking off his bokuto so as to not wake Nori. Afterwards he'd take a position on the couch. 

"Nori? You up?"* - Fri Dec  4 22:32:32 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Mhm. . - Fri Dec  4 22:41:04 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: How's your eye? - Fri Dec  4 22:42:46 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: What did I miss? - Fri Dec  4 22:54:43 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We were given a mission.. - Fri Dec  4 22:58:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Medical Ninjutsu not working on it? - Fri Dec  4 22:58:08 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: It can, but I rather let it heal naturally. It won't be a problem, would it? - Fri Dec  4 23:02:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Shouldn't be too much of one.. - Fri Dec  4 23:11:47 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Just stay out of combat, right? Lets go. - Fri Dec  4 23:21:10 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Right. - Fri Dec  4 23:22:01 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Well, try make it work. - Fri Dec  4 23:27:08 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Lady Mizukage...Our squad is darn near non-existant... - Fri Dec  4 23:27:08 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Heiwa has been training with and working with his squad daily.. - Fri Dec  4 23:27:08 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I don't even -know- our squad member... - Fri Dec  4 23:27:08 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Or the leader for that matter... - Fri Dec  4 23:27:08 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: And I wish I could blame that on myself... - Fri Dec  4 23:28:00 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: But I've tried to find them. - Fri Dec  4 23:28:00 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Geo and me don't work...ever... - Fri Dec  4 23:28:00 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Fri Dec  4 23:28:00 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: There's your squad leader right there. - Fri Dec  4 23:28:00 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Huh? - Fri Dec  4 23:28:00 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I'm not working...with someone that threatened to kill me... - Fri Dec  4 23:28:00 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I thought Yumiko was in my squad... - Fri Dec  4 23:28:00 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: We had a switch, Anguo. - Fri Dec  4 23:28:51 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ...Oh. - Fri Dec  4 23:28:51 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Why -did- that occur ma'am? - Fri Dec  4 23:28:51 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Because it did? - Fri Dec  4 23:28:51 2015
<br><br><font color=teal>*Geo Dude(Wynokx) thinks: He didn't even know I was on his squad...What kind of leader is she... - Fri Dec  4 23:28:51 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Eh..Well hello there...Kid. I guess you're the squad leader? - Fri Dec  4 23:29:42 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I guess... - Fri Dec  4 23:29:42 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I'm Anguo. - Fri Dec  4 23:29:42 2015
<br><br><font color=teal>*Geo Dude(Wynokx) thinks: I'm the oldest person in the fucking vi- Eh, damn child army. - Fri Dec  4 23:29:42 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Name's Geo....You intend on actually having any squad training or anything soon? - Fri Dec  4 23:30:33 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Yeah....I just wanted the whole squad together for the first session... - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I'm not training with him. - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Seems like too much to ask for tho- - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: You can count me out. - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Why? - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: He threatened to kill me. - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Screw him. - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Don't worry about him Anguo. He hates me because I think he's a weakling. AND he refuses to work with a team. - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: He won't train to get stronger. - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: With a team. - Fri Dec  4 23:32:16 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: He only wants to train alone away from people. - Fri Dec  4 23:32:16 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) thinks: Ah, life was so much easier when I was Niklaus. - Fri Dec  4 23:32:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: ..This is part of why I made the switch to include Yumiko. - Fri Dec  4 23:32:16 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ........ - Fri Dec  4 23:32:16 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Ryo. - Fri Dec  4 23:32:16 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: You're gonna work with the squad. - Fri Dec  4 23:32:16 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) thinks: Yes, take a stand Anguo. - Fri Dec  4 23:32:16 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: You can say you won't, but you will. - Fri Dec  4 23:33:07 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: When I make the call for us to train together, I expect you to be there. - Fri Dec  4 23:33:07 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Anguo. He hates me because I told him he should probably die considering how weak he is and he refuses to get stronger. - Fri Dec  4 23:33:58 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I probably shouldn't have, but his refusal to work harder.. - Fri Dec  4 23:33:58 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: It made me angry..I apologize. - Fri Dec  4 23:33:58 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: That's fine. - Fri Dec  4 23:33:58 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: He'll learn in time. - Fri Dec  4 23:33:58 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Fuck off. - Fri Dec  4 23:34:49 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I don't need anyone. - Fri Dec  4 23:34:49 2015
<br><br><font color=teal>*Geo Dude(Wynokx) thinks: ...I rather like this Anguo guy... - Fri Dec  4 23:34:49 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: You say you don't need anyone. - Fri Dec  4 23:34:49 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: But that's a lie. - Fri Dec  4 23:34:49 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Just because you don't show it. - Fri Dec  4 23:34:49 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: You know you need someone. - Fri Dec  4 23:34:49 2015
