<br><font color=teal>*Index(Jjking217) says: Well...A series of odd questions. - Sat Nov  7 14:35:05 2015
<br><br><font color=teal>*Index(Jjking217) says: But not now. - Sat Nov  7 23:28:25 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...mn...okay. - Sat Nov  7 23:29:16 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I guess I'll track him down. - Sat Nov  7 23:30:59 2015
<br><br><font color=teal>*Index(Jjking217) says: Stay safe. - Sat Nov  7 23:30:59 2015
<br><br><font color=teal>*Index(Jjking217) says: Yo. - Sun Nov  8 00:05:58 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Too easy to trick him. - Sun Nov  8 00:05:58 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Look at you being cocky. - Sun Nov  8 00:05:58 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I told him I was a shinobi that had been out on mission before Kirie was assassinated, that I was a type of spying shinobi that worked long periods of time outside of Kirigakure to gather information... and thus he gave me my 'old job' back at my request. - Sun Nov  8 00:06:49 2015
<br><br><font color=teal>*Index(Jjking217) whispers: He believed that? - Sun Nov  8 00:06:49 2015
<br><br><font color=teal>*Index(Jjking217) whispers: He's an idiot. - Sun Nov  8 00:07:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Yep..... so I get to travel as I please. - Sun Nov  8 00:07:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: To be fair... I knew what lies would work on him. - Sun Nov  8 00:07:40 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Hm? How so? - Sun Nov  8 00:07:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: He isn't who he appears to be. - Sun Nov  8 00:07:40 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Who is he? - Sun Nov  8 00:08:32 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Thaenan...  - Sun Nov  8 00:08:32 2015
<br><br><font color=teal>*Index(Jjking217) whispers: ... - Sun Nov  8 00:08:32 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Yep. - Sun Nov  8 00:08:32 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I see. - Sun Nov  8 00:08:32 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I'm starting to think he's like... a place holder transition to get people used to Kiri being ran by someone they don't know... for Ortho to take over. - Sun Nov  8 00:09:23 2015
<br><br><font color=teal>*Index(Jjking217) whispers: It's certainly possible. - Sun Nov  8 00:09:23 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: He hasn't told me any of his plans though, so I don't know. - Sun Nov  8 00:09:23 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Where do you intend to go now? - Sun Nov  8 00:09:23 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Since you're free. - Sun Nov  8 00:09:23 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I'm unsure.... perhaps to Konoha again. I like Konoha.... but I couldn't see Ketsuki and Takeda again if I wanted.... they won't recognize me. - Sun Nov  8 00:11:05 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I see.. - Sun Nov  8 00:11:05 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) thinks: That girl.... and the new guys... Hmmm... - Sun Nov  8 00:12:48 2015
<br><br><font color=teal>*Index(Jjking217) whispers: You should have fun though. - Sun Nov  8 00:12:48 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I have no clue what I'll be doing. - Sun Nov  8 00:13:39 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...what...do you do when  you aren't around me or the other's with Ortho? - Sun Nov  8 00:15:21 2015
<br><br><font color=teal>*Index(Jjking217) whispers: You don't want to know. - Sun Nov  8 00:15:21 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...but I do. - Sun Nov  8 00:15:21 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Pre-Fetilization activities. - Sun Nov  8 00:15:21 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Joking. - Sun Nov  8 00:15:21 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Then...?? - Sun Nov  8 00:17:55 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Not much really, Training gets boring thogh. - Sun Nov  8 00:18:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: All you do is train? - Sun Nov  8 00:18:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Ortho. - Sun Nov  8 00:19:37 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Or play games when the opportunity presents itself. - Sun Nov  8 00:19:37 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: That's it? - Sun Nov  8 00:20:28 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I'm a boring person. - Sun Nov  8 00:21:20 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I think I might go to Konoha. - Sun Nov  8 00:22:11 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I was just about to head there. Came to let the Mizukage know. - Sun Nov  8 00:23:02 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Is he awake? - Sun Nov  8 00:23:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yes, but he seems rather irritated. - Sun Nov  8 00:23:02 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Very well. - Sun Nov  8 00:23:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: And he is with a woman. - Sun Nov  8 00:23:02 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: --- - Sun Nov  8 00:23:02 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I see. - Sun Nov  8 00:23:02 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Very well. I'll be departing now. - Sun Nov  8 00:23:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ..o-oh... - Sun Nov  8 00:23:53 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: I guess he doesn't want me to come with him then. - Sun Nov  8 00:23:53 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Are you coming or are you planning to stay for a bit? - Sun Nov  8 00:23:53 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Oh... well the way you said that... sounded like. - Sun Nov  8 00:23:53 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...fuckin' hell... right... let's go. - Sun Nov  8 00:23:53 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) thinks: Konoha. - Sun Nov  8 00:24:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ...? - Sun Nov  8 02:37:52 2015
<br><br><font color=teal>*Index(Jjking217) says: ... - Sun Nov  8 02:51:31 2015
<br><br><font color=teal>*Index(Jjking217) says: Hello. - Sun Nov  8 02:54:04 2015
<br><br><font color=teal>*Meitoko(Ren Sezumi) says: Oh..hi - Sun Nov  8 02:54:56 2015
<br><br><font color=teal>*Index(Jjking217) says: Are you new around here? - Sun Nov  8 02:55:47 2015
<br><br><font color=teal>*Meitoko(Ren Sezumi) says: Yea.. - Sun Nov  8 02:55:47 2015
<br><br><font color=teal>*Meitoko(Ren Sezumi) says: A bit. - Sun Nov  8 02:56:38 2015
<br><br><font color=teal>*Index(Jjking217) says: I see. - Sun Nov  8 02:56:38 2015
<br><br><font color=teal>*Index(Jjking217) says: You wouldn't want to join me for a game or two and a few drinks would you? Most people are quite boring around here. - Sun Nov  8 02:56:38 2015
<br><br><font color=teal>*Meitoko(Ren Sezumi) says: Oh uhm..Sure, I don't drink though. - Sun Nov  8 02:57:29 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm Index by the way. - Sun Nov  8 02:58:20 2015
<br><br><font color=teal>*Meitoko(Ren Sezumi) says: Meitoko. - Sun Nov  8 02:59:12 2015
<br><br><font color=yellow>*Index(Jjking217) leads her to his house, well the place he was staying at and he ran to grab a bottle of sake and poured himself a glass before he spoke "Why'd you become a Shinobi?" He wondered curiously, pulling out two dice which he set on the table.* - Sun Nov  8 03:00:54 2015
<br><br><font color=teal>*Meitoko(Ren Sezumi) says: Because I can. - Sun Nov  8 03:02:36 2015
<br><br><font color=teal>*Index(Jjking217) says: Fair enough. - Sun Nov  8 03:03:28 2015
<br><br><font color=teal>*Index(Jjking217) says: Well... - Sun Nov  8 03:04:19 2015
<br><br><font color=teal>*Index(Jjking217) says: Have you heard of Kirigakure's chicken? - Sun Nov  8 03:04:19 2015
<br><br><font color=teal>*Index(Jjking217) says: The game of course. - Sun Nov  8 03:04:19 2015
<br><br><font color=teal>*Meitoko(Ren Sezumi) says: Nope. - Sun Nov  8 03:05:10 2015
<br><br><font color=teal>*Index(Jjking217) says: Basically.. - Sun Nov  8 03:06:01 2015
<br><br><font color=teal>*Index(Jjking217) says: You'd pick six Body parts. - Sun Nov  8 03:06:01 2015
<br><br><font color=teal>*Index(Jjking217) says: I'd pick six actions. - Sun Nov  8 03:06:01 2015
<br><br><font color=teal>*Index(Jjking217) says: We'd roll the dice to see which action we have to do to which body part of the opposite person.. - Sun Nov  8 03:06:01 2015
<br><br><font color=teal>*Index(Jjking217) says: We'd roll the dice to see which action we have to do to which body part of the opposite person.. - Sun Nov  8 03:06:01 2015
<br><br><font color=teal>*Index(Jjking217) says: If you back out because you don't want an option done to you or to have to do an option. - Sun Nov  8 03:06:52 2015
<br><br><font color=teal>*Index(Jjking217) says: You have to roll for a penalty. - Sun Nov  8 03:06:52 2015
<br><br><font color=teal>*Index(Jjking217) says: Which is truth or dare. - Sun Nov  8 03:06:52 2015
<br><br><font color=teal>*Index(Jjking217) says: Or take a drink. - Sun Nov  8 03:07:44 2015
<br><br><font color=teal>*Meitoko(Ren Sezumi) says: Sure. - Sun Nov  8 03:07:44 2015
<br><br><font color=teal>*Index(Jjking217) says: Pick Six Body parts? - Sun Nov  8 03:08:35 2015
<br><br><font color=teal>*Meitoko(Ren Sezumi) says: Uhm.. - Sun Nov  8 03:08:35 2015
<br><br><font color=teal>*Meitoko(Ren Sezumi) says: You pick. - Sun Nov  8 03:08:35 2015
<br><br><font color=teal>*Meitoko(Ren Sezumi) says: I dunno. - Sun Nov  8 03:08:35 2015
<br><br><font color=teal>*Meitoko(Ren Sezumi) says: Unless I have to. - Sun Nov  8 03:09:26 2015
<br><br><font color=teal>*Index(Jjking217) says: I'd prefer if you did. - Sun Nov  8 03:10:17 2015
<br><br><font color=teal>*Index(Jjking217) says: But I can, if you want. - Sun Nov  8 03:10:17 2015
<br><br><font color=teal>*Meitoko(Ren Sezumi) says: Alright uhm.. - Sun Nov  8 03:11:08 2015
<br><br><font color=teal>*Meitoko(Ren Sezumi) says: Left hand, Right hand, Head..Left leg, Right leg and Stomach. - Sun Nov  8 03:11:08 2015
<br><br><font color=teal>*Index(Jjking217) says: Eh...Right and Lefts are usually considered one thing. - Sun Nov  8 03:11:08 2015
<br><br><font color=teal>*Meitoko(Ren Sezumi) says: Then.. - Sun Nov  8 03:12:00 2015
<br><br><font color=teal>*Meitoko(Ren Sezumi) says: Both arms, Both legs, Head, Stomach..Both feet..And I dunno. - Sun Nov  8 03:12:00 2015
<br><br><font color=teal>*Index(Jjking217) says: Hm... - Sun Nov  8 03:12:00 2015
<br><br><font color=teal>*Index(Jjking217) says: Arms, Legs, Head, Stomach, Feet, Butt? - Sun Nov  8 03:12:51 2015
<br><br><font color=teal>*Index(Jjking217) says: Then the actions would be,  Poke, Pinch, Slap, Rub,Lick, and Kiss. - Sun Nov  8 03:13:42 2015
<br><br><font color=teal>*Index(Jjking217) says: Sound good? - Sun Nov  8 03:13:42 2015
<br><br><font color=teal>*Index(Jjking217) says: For penalties 1-2 Take a drink 3-4 Truth 5-6 Dare. - Sun Nov  8 03:13:42 2015
<br><br><font color=teal>*Meitoko(Ren Sezumi) says: Sure.. - Sun Nov  8 03:13:42 2015
<br><br><font color=teal>*Index(Jjking217) says: Ladies first. - Sun Nov  8 03:15:24 2015
<br><br><font color=yellow>*Index(Jjking217) offers the dice to her.* - Sun Nov  8 03:15:24 2015
<br><br><font color=teal>*Index(Jjking217) says: Head.. - Sun Nov  8 03:17:07 2015
<br><br><font color=teal>*Index(Jjking217) says: Roll again. - Sun Nov  8 03:17:07 2015
<br><br><font color=teal>*Meitoko(Ren Sezumi) says: Three...and..Four. - Sun Nov  8 03:17:07 2015
<br><br><font color=teal>*Index(Jjking217) says: Rub. - Sun Nov  8 03:17:07 2015
<br><br><font color=teal>*Index(Jjking217) says: Rub my head. - Sun Nov  8 03:17:07 2015
<br><br><font color=teal>*Index(Jjking217) says: When you roll rub, it can be with any part of your body you desire, That's doing the rubbing. - Sun Nov  8 03:17:58 2015
<br><br><font color=teal>*Index(Jjking217) says: Man,,, - Sun Nov  8 03:19:40 2015
<br><br><font color=teal>*Index(Jjking217) says: Now that I think about it. - Sun Nov  8 03:20:32 2015
<br><br><font color=teal>*Index(Jjking217) says: There's stuff I should be doing. - Sun Nov  8 03:20:32 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm a Shinobi..Do I really have the time to sit here and slack off? - Sun Nov  8 03:20:32 2015
<br><br><font color=teal>*Meitoko(Ren Sezumi) says: Huh? - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Meitoko(Ren Sezumi) says: I dunno. - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Index(Jjking217) says: I appreciate it but.. - Sun Nov  8 03:22:14 2015
<br><br><font color=teal>*Index(Jjking217) says: I'll see you later. - Sun Nov  8 03:22:14 2015
<br><br><font color=teal>*Index(Jjking217) says: Feel free to see yourself out. - Sun Nov  8 03:22:14 2015
<br><br><font color=teal>*Index(Jjking217) says: . - Sun Nov  8 03:27:21 2015
<br><br><font color=teal>*Index(Jjking217) says: . - Sun Nov  8 13:11:02 2015
<br><br><font color=yellow>*Index(Jjking217) was chilling atop of one of the fences, sipping at some type of drink while eating a burrito of sorts.* - Sun Nov  8 13:37:29 2015
<br><br><font color=yellow>*Index(Jjking217) contemplated the question as he spoke "Stalking you? Maybe. But I have eyes all over." He leaned in and whispered:

"News flash, I'm a spy as well. In fact I'm apart of the leader's  'royal guards'." He spoke sitting back up.* - Sun Nov  8 13:39:12 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Blonde hair, Tan skin. - Sun Nov  8 13:40:03 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Calls herself Asteroth. - Sun Nov  8 13:40:54 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: OH of here. - Sun Nov  8 13:40:54 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: She's nice. - Sun Nov  8 13:40:54 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I like her. - Sun Nov  8 13:40:54 2015
<br><br><font color=teal>*Index(Jjking217) whispers: At times. - Sun Nov  8 13:40:54 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Sado was here. - Sun Nov  8 13:40:54 2015
<br><br><font color=teal>*Index(Jjking217) says: Who's that? - Sun Nov  8 13:40:54 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: The one that wears a tiki mask and claims to be a priest and never shuts up. - Sun Nov  8 13:41:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: The one that...mocked ... - Sun Nov  8 13:41:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: My death. - Sun Nov  8 13:41:45 2015
<br><br><font color=teal>*Index(Jjking217) whispers: ....I see. - Sun Nov  8 13:41:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I copied him.... - Sun Nov  8 13:41:45 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Did you? - Sun Nov  8 13:41:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: He touched my shoulder, and jeez... I really didn't want him to touch me. - Sun Nov  8 13:41:45 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Man that's one nifty ability. - Sun Nov  8 13:41:45 2015
