<br><font color=teal>*Index(Jjking217) whispers: Since you're free. - Sun Nov  8 00:09:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm disappointed, Fickle-chan. - Sun Nov  8 11:39:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're so quiet. - Sun Nov  8 11:39:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't be jealous.. - Sun Nov  8 11:40:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I give you enough of my undivided attention. - Sun Nov  8 11:40:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't I? - Sun Nov  8 11:40:35 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I believe the Queen wishes to be left be. - Sun Nov  8 11:41:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She's fine.. - Sun Nov  8 11:41:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: The thing is.. - Sun Nov  8 11:41:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She's not my 'Queen'. - Sun Nov  8 11:42:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: As her lover, I don't find it nice to refer to her as such. - Sun Nov  8 11:43:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's almost like a curse word to her. - Sun Nov  8 11:43:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Call her, "Harlot". - Sun Nov  8 11:43:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She loves that nickname. - Sun Nov  8 11:44:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...right. - Sun Nov  8 11:44:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Go on.. - Sun Nov  8 11:44:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Say it. - Sun Nov  8 11:44:51 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'm afraid I won't. - Sun Nov  8 11:44:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I insist! - Sun Nov  8 11:44:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Say it, she won't bite.. - Sun Nov  8 11:44:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Probably. - Sun Nov  8 11:44:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Come on..~ - Sun Nov  8 11:46:33 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'm afraid that you may be able to get away with saying things like that, I on the other hand... likely cannot. - Sun Nov  8 11:47:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What is there to fear? - Sun Nov  8 11:48:16 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: She is a leader of a village? - Sun Nov  8 11:49:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm her husband, I wouldn't allow her to hurt you. - Sun Nov  8 11:49:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: When will she give in? - Sun Nov  8 11:49:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There's no need to be afraid. - Sun Nov  8 11:49:58 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I don't have much faith in your capabilities. Nor trust in you, nor will I ever. - Sun Nov  8 11:50:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Heh.~ - Sun Nov  8 11:57:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're so funny, Shine-chan.~ - Sun Nov  8 11:57:39 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Mn... - Sun Nov  8 11:58:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'll have to take your word for it, but I wouldn't be so sure. - Sun Nov  8 11:58:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I forgot to ask.. - Sun Nov  8 12:01:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Are you traveling with Slither-kun? - Sun Nov  8 12:01:55 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yes, he saved my life. So I will travel with him for a while. - Sun Nov  8 12:02:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh? - Sun Nov  8 12:05:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So you're his companion. - Sun Nov  8 12:05:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's nice. - Sun Nov  8 12:05:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I suppose it is that time. - Sun Nov  8 12:07:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I wouldn't want you both to collapse from fatigue. - Sun Nov  8 12:07:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do rest here for a while. - Sun Nov  8 12:07:53 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Mhm. - Sun Nov  8 12:07:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh yes.. - Sun Nov  8 12:10:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'll have to take you up on your challenge. - Sun Nov  8 12:10:27 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: What challenge? - Sun Nov  8 12:10:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You said you'd never trust me, right? - Sun Nov  8 12:11:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: As a priest I find that hard to believe. - Sun Nov  8 12:11:18 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...you should believe it. - Sun Nov  8 12:11:18 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) didn't stop him from touching her. She looked at him curiously all the while but as he had touched her a small channel of energy had gone through her body for a few seconds. "Perhaps we will meet again, Sado."* - Sun Nov  8 12:16:25 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You don't deserve respect. - Sun Nov  8 12:22:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Nov  8 12:23:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You should also copy whatever she's doing to stay in shape. - Sun Nov  8 12:24:57 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . I am in better shape than she is. - Sun Nov  8 12:24:57 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ... - Sun Nov  8 12:25:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I have to say her body frame is much more...resiliant than mine. - Sun Nov  8 12:25:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I am considered quite frail. - Sun Nov  8 12:25:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't flatter her. - Sun Nov  8 12:26:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There's also no need to lie. - Sun Nov  8 12:26:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're not in better shape than Shine-chan.. - Sun Nov  8 12:27:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Face it, eating all of those sweets has taken a toll on your body. - Sun Nov  8 12:27:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Normally..I like a bit of meat, though. - Sun Nov  8 12:28:22 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Sun Nov  8 12:28:22 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I haven't eaten 'sweets' in nearly a month. - Sun Nov  8 12:29:13 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . You talk about figures. - Sun Nov  8 12:29:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Aw..that's so -sweet- watching your weight for me.. - Sun Nov  8 12:29:13 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: But look at you. You hide behind some cloak. - Sun Nov  8 12:29:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sun Nov  8 12:29:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: A-..are you asking to see me naked? - Sun Nov  8 12:29:13 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You're probably nothing but flab underneath. - Sun Nov  8 12:29:13 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: -- GOD NO! - Sun Nov  8 12:29:13 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Suggests you have something to hide. - Sun Nov  8 12:30:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I suppose I could run around in the nude for a while. - Sun Nov  8 12:30:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Heh. There's nothing wrong with having something to hide. - Sun Nov  8 12:30:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I hide my face due to appearances getting in the way. - Sun Nov  8 12:31:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'd rather have people judge me by my generosity. - Sun Nov  8 12:31:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: My kindness, and my bravery! - Sun Nov  8 12:31:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: With that..I shall leave you both. - Sun Nov  8 12:34:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Try not to say too many good things about me while I'm gone. - Sun Nov  8 12:34:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It'll go to my head.~ - Sun Nov  8 12:34:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hahahaha!~ - Sun Nov  8 12:34:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Remember, call her by her nickname! - Sun Nov  8 12:35:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says:  "Haaaarlot..." - Sun Nov  8 12:35:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Mn.. - Sun Nov  8 12:35:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Mhm..mhm.~ - Sun Nov  8 12:36:03 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . .He pisses me off. - Sun Nov  8 12:37:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It's easy for me not to show him that he annoys me. - Sun Nov  8 12:38:36 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: He wears you out. . Day in and day out. The same old routine.. - Sun Nov  8 12:38:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Why do you allow him here? - Sun Nov  8 12:39:28 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: He is an old friend. - Sun Nov  8 12:47:08 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I knew him as a child. - Sun Nov  8 12:47:08 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Ah. - Sun Nov  8 12:47:08 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Well.. - Sun Nov  8 12:47:08 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: 'Friend' is such a strong world.. - Sun Nov  8 12:47:08 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: word* - Sun Nov  8 12:47:08 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) was sort of just walking through the streets of Amegakure, looking at everything possible. Mostly in the market place...* - Sun Nov  8 13:36:38 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) paused as she came along to Index, "are you stalking me?" She walked over to the fence and easily ascended the fence with ease.* - Sun Nov  8 13:38:20 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) folded her brow, "What leader?"* - Sun Nov  8 13:40:03 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Blonde hair, Tan skin. - Sun Nov  8 13:40:03 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Calls herself Asteroth. - Sun Nov  8 13:40:54 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: OH of here. - Sun Nov  8 13:40:54 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: She's nice. - Sun Nov  8 13:40:54 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I like her. - Sun Nov  8 13:40:54 2015
<br><br><font color=teal>*Index(Jjking217) whispers: At times. - Sun Nov  8 13:40:54 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Sado was here. - Sun Nov  8 13:40:54 2015
<br><br><font color=teal>*Index(Jjking217) says: Who's that? - Sun Nov  8 13:40:54 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: The one that wears a tiki mask and claims to be a priest and never shuts up. - Sun Nov  8 13:41:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: The one that...mocked ... - Sun Nov  8 13:41:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: My death. - Sun Nov  8 13:41:45 2015
<br><br><font color=teal>*Index(Jjking217) whispers: ....I see. - Sun Nov  8 13:41:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I copied him.... - Sun Nov  8 13:41:45 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Did you? - Sun Nov  8 13:41:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: He touched my shoulder, and jeez... I really didn't want him to touch me. - Sun Nov  8 13:41:45 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Man that's one nifty ability. - Sun Nov  8 13:41:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: He's become fascinated with me. - Sun Nov  8 13:42:36 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Why? - Sun Nov  8 13:42:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I'm 'feisty'. - Sun Nov  8 13:43:28 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Sounds like Ortho has competition. - Sun Nov  8 13:43:28 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...not at all. - Sun Nov  8 13:44:19 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: If that was anyone it would be Index. - Sun Nov  8 13:44:19 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I came here. - Sun Nov  8 13:44:19 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Based on two things you said. - Sun Nov  8 13:44:19 2015
<br><br><font color=teal>*Index(Jjking217) whispers: One being, Ortho. - Sun Nov  8 13:45:10 2015
<br><br><font color=teal>*Index(Jjking217) whispers: The Second being.... - Sun Nov  8 13:45:10 2015
<br><br><font color=teal>*Index(Jjking217) whispers: When you said you were incomplete. - Sun Nov  8 13:45:10 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: What about that second one? - Sun Nov  8 13:46:52 2015
<br><br><font color=teal>*Index(Jjking217) whispers: If I had a way.... - Sun Nov  8 13:47:44 2015
<br><br><font color=teal>*Index(Jjking217) whispers: To help you go the rest of the way. - Sun Nov  8 13:47:44 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Is that something you'd want? - Sun Nov  8 13:47:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I actually... started working on that...but for now the short term goal is to keep Ortho alive...  - Sun Nov  8 13:48:35 2015
<br><br><font color=teal>*Index(Jjking217) whispers: If you let me focus on the later, It'll give you more time to focus on Ortho. - Sun Nov  8 13:49:26 2015
<br><br><font color=teal>*Index(Jjking217) whispers: latter* - Sun Nov  8 13:49:26 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Why do you want to help me? - Sun Nov  8 13:52:00 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Because...You're my friend. - Sun Nov  8 13:52:00 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Isn't that reason enough? - Sun Nov  8 13:52:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I suppose. - Sun Nov  8 13:52:51 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: What is it you want to do for me? - Sun Nov  8 13:53:42 2015
<br><br><font color=teal>*Index(Jjking217) whispers: First...I'd like to ask. - Sun Nov  8 13:55:24 2015
<br><br><font color=teal>*Index(Jjking217) whispers: What makes you feel incomplete? - Sun Nov  8 13:55:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...de ja vu... - Sun Nov  8 13:55:24 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) waved over to Ortho.* - Sun Nov  8 13:55:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I had this same conversation with Ortho not only a half a day ago. - Sun Nov  8 13:57:07 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I'm fine with a summary then...No need to have you repeat this conversation completely then. - Sun Nov  8 13:57:07 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I have no goals, no training. - Sun Nov  8 13:57:58 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It's fine...it became..engaging after you left. - Sun Nov  8 14:00:32 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I see. - Sun Nov  8 14:01:23 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Maybe my method, isn't the best then. - Sun Nov  8 14:02:14 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Hm? - Sun Nov  8 14:03:05 2015
<br><br><font color=teal>*Index(Jjking217) whispers: You said before. - Sun Nov  8 14:03:05 2015
<br><br><font color=teal>*Index(Jjking217) whispers: You didn't feel anything when someone touched you,   You said you experienced 'dissapointment', in me...When I killed you. - Sun Nov  8 14:03:56 2015
<br><br><font color=teal>*Index(Jjking217) whispers: What If I had a way...To give you emotions? - Sun Nov  8 14:03:56 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Full Emotions...Like me and Ortho experience them? - Sun Nov  8 14:03:56 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: .....how? - Sun Nov  8 14:04:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: .... - Sun Nov  8 14:04:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You don't have to leave. - Sun Nov  8 14:04:48 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Do you trust me? - Sun Nov  8 14:04:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Ehh? - Sun Nov  8 14:04:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...yes. - Sun Nov  8 14:04:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) thinks: Better than what I was going to do. - Sun Nov  8 14:04:48 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Then put face in me. - Sun Nov  8 14:04:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Alright then. - Sun Nov  8 14:04:48 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Faith* - Sun Nov  8 14:04:48 2015
<br><br><font color=teal>*Index(Jjking217) whispers: If that's what you want. - Sun Nov  8 14:04:48 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I'll do it. - Sun Nov  8 14:05:39 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ..but....how? - Sun Nov  8 14:05:39 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Really? - Sun Nov  8 14:06:30 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You will stay? - Sun Nov  8 14:06:30 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I'm a pretty smart guy. - Sun Nov  8 14:06:30 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: But you don't know what I am. - Sun Nov  8 14:06:30 2015
<br><br><font color=teal>*Index(Jjking217) whispers: What are you then, Owari? - Sun Nov  8 14:07:21 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...I'm a science experiment...I don't even know what I am... - Sun Nov  8 14:07:21 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I just know I'm something that isn't suppose to be able to think...or talk...or hear... - Sun Nov  8 14:08:12 2015
<br><br><font color=teal>*Index(Jjking217) whispers: This is your chance to find out, To become complete. Just put faith in me. - Sun Nov  8 14:08:12 2015
