<br><font color=teal>*Index(Jjking217) whispers: But maybe  I should. - Sat Nov  7 12:45:52 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I'm...I'm sorry Ume.. - Sat Nov  7 12:45:52 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I want to travel and do what I can to increase my fun- - Sat Nov  7 18:31:28 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: He told me he won't stop killing me until I learn it won't stop him. - Sat Nov  7 18:31:28 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: So there is no point. - Sat Nov  7 18:31:28 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Right, right. - Sat Nov  7 18:33:10 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...before all that though.... he was willing to get past what happened. He was sorry for what he did as much as you were.... we were getting along...but I don't know what changed...one of my questions pushed it maybe... - Sat Nov  7 18:34:01 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Ripe? - Sat Nov  7 18:36:35 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Good? Interesting? - Sat Nov  7 18:37:26 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Oh....yeah.... - Sat Nov  7 18:37:26 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Uh huh. - Sat Nov  7 18:37:26 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'm...I'm going to go think... - Sat Nov  7 18:37:26 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Right. - Sat Nov  7 18:37:26 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You are angry with me. - Sat Nov  7 18:38:17 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I expected you to come back to me with some questions, Owari. I knew they meeting with Index was going to have that happen. - Sat Nov  7 18:38:17 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I accepted it and let you do you. - Sat Nov  7 18:39:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I didn't expect him to make false claims about my past relationship and Nina. - Sat Nov  7 18:39:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: That.. is unforgiven. - Sat Nov  7 18:39:08 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...I couldn't help.... questioning it.... it hurt.. - Sat Nov  7 18:39:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You're not at fault.. You never are to me. - Sat Nov  7 18:40:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Ortho...I have to stay away from the Gezo.... - Sat Nov  7 18:40:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I understand. - Sat Nov  7 18:40:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: If I go near the Gezo...you will lose me forever.... - Sat Nov  7 18:40:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: They will take my away. - Sat Nov  7 18:41:42 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: And... you aren't losing me... I'm...just frightened. - Sat Nov  7 18:41:42 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You have a lot on your mind, Owari. I understand your fright. - Sat Nov  7 18:42:33 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Go think on it. - Sat Nov  7 18:42:33 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) stopped in her tracks as Index came into sight.* - Sat Nov  7 23:04:32 2015
<br><br><font color=teal>*Index(Jjking217) says: .... - Sat Nov  7 23:05:23 2015
<br><br><font color=teal>*Index(Jjking217) says: I need to speak with you. - Sat Nov  7 23:05:23 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...okay. - Sat Nov  7 23:05:23 2015
<br><br><font color=teal>*Index(Jjking217) says: I suppose, Here is fine. - Sat Nov  7 23:05:23 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) stepped closer.* - Sat Nov  7 23:06:14 2015
<br><br><font color=teal>*Index(Jjking217) says: .... - Sat Nov  7 23:06:14 2015
<br><br><font color=teal>*Index(Jjking217) says: I just wanted to say. - Sat Nov  7 23:06:14 2015
<br><br><font color=teal>*Index(Jjking217) says: It wasn't my place to tell you all of that. - Sat Nov  7 23:06:14 2015
<br><br><font color=teal>*Index(Jjking217) says: So I apologize. - Sat Nov  7 23:06:14 2015
<br><br><font color=teal>*Index(Jjking217) says: I must look like some kind of asshole. - Sat Nov  7 23:06:14 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...did he speak to you? - Sat Nov  7 23:06:14 2015
<br><br><font color=teal>*Index(Jjking217) says: Hm? - Sat Nov  7 23:07:05 2015
<br><br><font color=teal>*Index(Jjking217) says: No why? - Sat Nov  7 23:07:05 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...I'm confused why you are saying sorry for this..... - Sat Nov  7 23:07:05 2015
<br><br><font color=teal>*Index(Jjking217) says: Because I shouldn't have tried to ruin a relationship you had with him. - Sat Nov  7 23:07:05 2015
<br><br><font color=teal>*Index(Jjking217) says: I hate him, but. - Sat Nov  7 23:07:05 2015
<br><br><font color=teal>*Index(Jjking217) says: He makes you happy. - Sat Nov  7 23:07:05 2015
<br><br><font color=teal>*Index(Jjking217) says: I don't want to make you 'less' happy. - Sat Nov  7 23:07:56 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...I don't necessarily feel happy...but he is my chance to feel it. - Sat Nov  7 23:07:56 2015
<br><br><font color=teal>*Index(Jjking217) says: What're you up to? - Sat Nov  7 23:08:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I've just been thinking a lot.... - Sat Nov  7 23:09:39 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: He explained how he is 'attacking' Gezo.... and it's not what I ...thought it was. - Sat Nov  7 23:09:39 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: And I don't have to be involved... - Sat Nov  7 23:10:30 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: What you said about Marrisa and Nina, he denied. - Sat Nov  7 23:10:30 2015
<br><br><font color=teal>*Index(Jjking217) says: I figured he would. - Sat Nov  7 23:10:30 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Do you really think I am just a replacement for missing love? - Sat Nov  7 23:11:21 2015
<br><br><font color=teal>*Index(Jjking217) says: I don't know. - Sat Nov  7 23:11:21 2015
<br><br><font color=teal>*Index(Jjking217) says: That's for you to figure out through your interaction with him. - Sat Nov  7 23:12:12 2015
<br><br><font color=teal>*Index(Jjking217) says: I've noticed, this world is a pretty lonely place. When you have no one to play a game with you. - Sat Nov  7 23:13:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Will you really kill me as much as possible to get to him? - Sat Nov  7 23:13:04 2015
<br><br><font color=teal>*Index(Jjking217) says: No... - Sat Nov  7 23:13:04 2015
<br><br><font color=teal>*Index(Jjking217) says: That was said out of anger... - Sat Nov  7 23:13:04 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm truly sorry. - Sat Nov  7 23:13:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Do you really mean that it was said out of anger? - Sat Nov  7 23:15:37 2015
<br><br><font color=teal>*Index(Jjking217) says: Yeah.. - Sat Nov  7 23:15:37 2015
<br><br><font color=teal>*Index(Jjking217) says: I wouldn't intentionally hurt you. - Sat Nov  7 23:15:37 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...but you know it doesn't hurt me. - Sat Nov  7 23:15:37 2015
<br><br><font color=teal>*Index(Jjking217) says: Even so. - Sat Nov  7 23:15:37 2015
<br><br><font color=teal>*Index(Jjking217) says: It's the concept. - Sat Nov  7 23:16:28 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...alright.... so I guess...all of a sudden last night you decided you didn't want to give Ortho a chance anymore? - Sat Nov  7 23:19:02 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm not sure...What I want to do to Ortho. - Sat Nov  7 23:19:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I won't ask you again if you'll consider getting past it.... - Sat Nov  7 23:19:53 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I'll keep trying though. - Sat Nov  7 23:19:53 2015
<br><br><font color=teal>*Index(Jjking217) says: I'll consider. - Sat Nov  7 23:19:53 2015
<br><br><font color=teal>*Index(Jjking217) whispers: You owe me a game though. - Sat Nov  7 23:19:53 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...Why do I owe you a game, you are the one that messed up the last one. - Sat Nov  7 23:21:36 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I'm joking. - Sat Nov  7 23:21:36 2015
<br><br><font color=teal>*Index(Jjking217) whispers: But I'd appreciate it if you considered it. - Sat Nov  7 23:21:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I will. - Sat Nov  7 23:22:27 2015
<br><br><font color=teal>*Index(Jjking217) whispers: What would you like to do? Unless you're buzy? - Sat Nov  7 23:22:27 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I need to talk to the new Mizukage... I have to register so he thinks I was another shinobi away from the village.-- - Sat Nov  7 23:22:27 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I see. - Sat Nov  7 23:23:18 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Uh... I mean... just that really. - Sat Nov  7 23:23:18 2015
<br><br><font color=teal>*Index(Jjking217) whispers: He's in his office, with his Assistant. - Sat Nov  7 23:23:18 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Assistant? - Sat Nov  7 23:23:18 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Some girl named Mei. - Sat Nov  7 23:24:09 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Sounds like a whore. - Sat Nov  7 23:24:09 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) turned ---NOPE BECAUSE HE RAN AWAY.* - Sat Nov  7 23:24:09 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Maybe. - Sat Nov  7 23:24:09 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...I guess he isn't in his office? - Sat Nov  7 23:26:43 2015
<br><br><font color=teal>*Index(Jjking217) says: Guess not. - Sat Nov  7 23:26:43 2015
<br><br><font color=teal>*Index(Jjking217) says: So what will you do? - Sat Nov  7 23:26:43 2015
<br><br><font color=teal>*Index(Jjking217) says: Hunt him down? - Sat Nov  7 23:26:43 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Maybe.... or maybe you can come with me to talk to Ortho. - Sat Nov  7 23:27:34 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) stared at him with an expression that said she was quite serious.* - Sat Nov  7 23:27:34 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm not ready to talk to Ortho. - Sat Nov  7 23:27:34 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: When will you be ready? - Sat Nov  7 23:28:25 2015
<br><br><font color=teal>*Index(Jjking217) says: Not sure. - Sat Nov  7 23:28:25 2015
<br><br><font color=teal>*Index(Jjking217) says: But not now. - Sat Nov  7 23:28:25 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...mn...okay. - Sat Nov  7 23:29:16 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I guess I'll track him down. - Sat Nov  7 23:30:59 2015
<br><br><font color=teal>*Index(Jjking217) says: Stay safe. - Sat Nov  7 23:30:59 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) nodded a single time, "yeah... you too." Then she headed off.* - Sat Nov  7 23:31:50 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) walked into the mansion and peered about before finally resting her pale blue eyes on the Mizukage and Mei. "Hello, Sir!"* - Sat Nov  7 23:36:06 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) nodded and stepped closer, "Hello, I'm one of the shinobi of this village. I was out on a long term mission when Mizukage Kirie was murderered. I sort of fell out of sorts when I didn't recieve orders in a timely manner and then some turn of events happened that left me stranded in the middle of no where left for dead. That man, the one that you were speaking with a few days ago when I popped in so rudely? He saved me from the barren land I was laying dying in. I was just coming to report in and hope that maybe I could get a new assignment or take up my old one under your new leadership?" She had said a rather lot, taking a deep breath to make up for all she had said, Owari wrinkled her nose up with a smile of humor at how she managed to get the whole story out so quickly.* - Sat Nov  7 23:42:56 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: Damn Ume for ever talking me into this. - Sat Nov  7 23:48:03 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) really only had the kirigakure headband across her head holding some of her hair in place as a show of her shinobiship, she looked rather casual for the moment. "O-oh sorry about that... er... well see, my job honestly was to spy on other villages. I stayed out on missions for a very long duration so that I could create identities strong enough to uphold. Sometimes even gaining shinobi authorization by going through the academy so I can access certain records and buildings that aren't available to the average civilian." Nodding confidently and then smiling, she looked to be someone who was sweet in nature but very serious about her dedication by how she sounded and formed her phrases, not to mention body language while speaking with the Mizukage.* - Sat Nov  7 23:50:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: He sounds tired. - Sat Nov  7 23:56:35 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) bowed her head to him respectfully and reached down to her dress at mid thigh to lift it a short distance as she pretty much curstied respectfully. "Yes that would make me happy, Sir. I will leave you be unless you need anything from me, you sounded busy when I came in."* - Sat Nov  7 23:57:26 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) nodded and then rose her head back up, "I'm Owari Hajimari by the way, for your records!" She then flashed a smile Mei's direction and headed for the door.* - Sun Nov  8 00:00:51 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: Jehan... - Sun Nov  8 00:01:42 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Mhm.~ - Sun Nov  8 00:01:42 2015
<br><br><font color=teal>*Index(Jjking217) says: Yo. - Sun Nov  8 00:05:58 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Too easy to trick him. - Sun Nov  8 00:05:58 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Look at you being cocky. - Sun Nov  8 00:05:58 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I told him I was a shinobi that had been out on mission before Kirie was assassinated, that I was a type of spying shinobi that worked long periods of time outside of Kirigakure to gather information... and thus he gave me my 'old job' back at my request. - Sun Nov  8 00:06:49 2015
<br><br><font color=teal>*Index(Jjking217) whispers: He believed that? - Sun Nov  8 00:06:49 2015
<br><br><font color=teal>*Index(Jjking217) whispers: He's an idiot. - Sun Nov  8 00:07:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Yep..... so I get to travel as I please. - Sun Nov  8 00:07:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: To be fair... I knew what lies would work on him. - Sun Nov  8 00:07:40 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Hm? How so? - Sun Nov  8 00:07:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: He isn't who he appears to be. - Sun Nov  8 00:07:40 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Who is he? - Sun Nov  8 00:08:32 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Thaenan...  - Sun Nov  8 00:08:32 2015
<br><br><font color=teal>*Index(Jjking217) whispers: ... - Sun Nov  8 00:08:32 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Yep. - Sun Nov  8 00:08:32 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I see. - Sun Nov  8 00:08:32 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I'm starting to think he's like... a place holder transition to get people used to Kiri being ran by someone they don't know... for Ortho to take over. - Sun Nov  8 00:09:23 2015
<br><br><font color=teal>*Index(Jjking217) whispers: It's certainly possible. - Sun Nov  8 00:09:23 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: He hasn't told me any of his plans though, so I don't know. - Sun Nov  8 00:09:23 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Where do you intend to go now? - Sun Nov  8 00:09:23 2015
