<br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I have been eager to get here. - Mon Oct  5 12:14:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: Gah. . .You sure you're ready for this? - Thu Oct  8 04:36:03 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) whispers: Mhmm. - Thu Oct  8 04:36:54 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: Anywho. Let's go handle this thing then. - Thu Oct  8 04:41:10 2015
<br><br><font color=yellow>*Hokuma, Mirai(Rakkatta) || And so it began. Departing from Sungakure after being swept off of her feet into Sanoke's arms as per usual the Kunoichi would glance around as she was carried away as Sanoke sprinted rapidly. Coming to a halt for a second she would gaze around noticing that he stopped at a store to obtain some supplies that could be utilized during the mission. 

Being a rookie Mirai would've simply watched Sanoke pick out tools such as seals, tags, and weaponry. Once the two had stocked up on supplies she would've been swept off of her feet and into his arms once again in bridal fashion as the two of them began to move beyond the boarders of Sunagakure exiting the village. The sun would've gleamed upon them, causing both of the Shinobi to sweat profusely as they followed the map and headed towards the location in which they had to make several arrests and seal off the mines. 

Peering towards Sanoke as he kneeled down and conjured up a turtle. Mirai would take matters into her own hands, activating her Byakugan and extending her vision considerably. With her Byakugan active she would heed his orders and began to scan the area searching for an underground tunnel of some sort. 
Fortunately, her Byakugan granted her more than the ability to see the chakra network, but it allowed her to see the tunnel that was hidden underground. Parting her lips, she would speak in a delicate tone."Where you're standing. The tunnel is there and I see a numerous amount of people down there." Mirai muttered taking a step a back.* - Thu Oct  8 05:17:52 2015
<br><br><font color=yellow>*Hokuma, Mirai(Rakkatta) || "Hmm, that's right, you're standing on the entrance to the tunnel, " Mirai said, confirming that he was in fact standing above the location of the tunnel and it was right under his nose. She peered towards Sanoke as he summoned yet another turtle to assist the duo in completing the mission. 

She couldn't help but notice that the turtle possessed the same eyes as Sanoke however, she thought nothing of it being completely unaware of the Rinnegan and its abilities. Mirai watched carefully as both of the turtles began to dig into the ground hastefully so that the two Shinobi could enter the tunnel that was hidden underground. 

Nodding her head, she would listen intently to Sanoke as he conveyed the plan and how they would go about completing the mission. Being a rookie, she didn't question his judgement and found his plan to be legit. Being grasped by her wrist she would be guided into the dark caverns of the tunnel by Sanoke that had been created by his turtles. Thankfully, none of the workers who had been mining illegally had suspected them or taking notice to them for the time being. She would proceed to make her way through the tunnels in search of the bosses so that they could complete the mission without much of a scuffle and inconvenience.* - Thu Oct  8 05:47:44 2015
<br><br><font color=yellow>*Hokuma, Mirai(Rakkatta) was surprised that the plan was going so smoothly, but then again, they were Shinobi and they were trained to blend in and stealthy. With Sanoke still having a firm grip upon her wrist the two of them traveled deeper into the depths of the underground tunnel. Utilizing her Byakugan she would be scanning the area searching for a figure head or the boss of this entire operation as they travelled deeper into the tunnel. 

Lowering her voice she would speak to Sanoke ensuring that her voice was only audible enough for him to hear. Speaking amidst the individuals mining it would be difficult for them to hear what she was saying. "Don't forget to seal this place off. That is something else we were also tasked with." Mirai muttered to Sanoke reminding him that he had to seal off the tunnel. Pausing for a moment she would respond to his question as well. " I can likely knock them out without killing them. Hopefully this doesn't take long." Mirai said in a delicate tone. * - Thu Oct  8 06:04:48 2015
<br><br><font color=yellow>*Hokuma, Mirai(Rakkatta) was prepared to follow through with what Sanoke had suggested and would merely nod her head. Waiting patiently she allow Sanoke to prepare to release some gases into the air. After the scroll was withdrawn she would've waited for him to launch some bombs forward before they abruptly combused and gas lingered into the air. 

Once the gas would've lingered into the air obscuring the vision of the two leaders Mirai would've acted. With her Byakugan active she was capable of seeing both of her targets chakra network allowing her spot their location amid them being consumed in the gas that had been released into the air. Charging towards the duo Mirai's footsteps would've remained unaudible as she charged towards them. Once she closed the distance between herself and one of her targets she would've utilized her clans fighting style striking her target multiple times in a quick succession. Her movements were fluid and quick as she closed off the chakra passageway knocking one of the leaders unconcious. A thud would be heard as his body dropped to the ground. * - Thu Oct  8 06:33:48 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... - Thu Oct  8 07:48:03 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo. Violet, what did you and Lera talk about earlier? - Thu Oct  8 07:49:45 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Nothing important... just about Koeki... - Thu Oct  8 07:52:19 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Did you go back to Kirigakure? - Thu Oct  8 07:55:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Not yet. - Thu Oct  8 07:56:35 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: One more question on a ... unrelated note... who is that girl that is always with you - Thu Oct  8 07:57:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Mirai? That's girlfriend. Why? - Thu Oct  8 07:59:08 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: .... oh... just asking... I was curious - Thu Oct  8 08:00:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Girlfriend? Eheheh. - Thu Oct  8 08:00:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What's with the tone? - Thu Oct  8 08:00:00 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Im sorry tone? - Thu Oct  8 08:00:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. You're speaking like. . . this. . . - Thu Oct  8 08:00:51 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I used to have a girlfriend... RIP my love... - Thu Oct  8 08:00:51 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Nothing... im just ... thinking - Thu Oct  8 08:00:51 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I used to have one...DAMN YOU EDGEEE!!!! -omit- - Thu Oct  8 08:01:42 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Have you ever lost something precious to you - Thu Oct  8 08:01:42 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm. . ? Plenty of times. - Thu Oct  8 08:03:24 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Have you felt like it was all your fault and you could have prevented it> - Thu Oct  8 08:04:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Always. - Thu Oct  8 08:04:16 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: How so you cope with it? - Thu Oct  8 08:05:07 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. You just have to deal with it. - Thu Oct  8 08:05:07 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I... dont think I can... - Thu Oct  8 08:05:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Indeed. I try to look at the positive things. . . and use it to empower myself. - Thu Oct  8 08:05:58 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Just deal with it - Thu Oct  8 08:05:58 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ? - Thu Oct  8 08:05:58 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: He's right. - Thu Oct  8 08:05:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: To make me grow stronger as motivation. - Thu Oct  8 08:05:58 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *nod* - Thu Oct  8 08:05:58 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Motivation... - Thu Oct  8 08:06:49 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Use it as a driving tool... - Thu Oct  8 08:06:49 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I see... - Thu Oct  8 08:06:49 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I thank you two for your help... - Thu Oct  8 08:08:32 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I think I know what to do now... - Thu Oct  8 08:08:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: No problem.. - Thu Oct  8 08:08:32 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: He is very wise for a child... but then again he looks like a seasoned warrior... someone that been through years of pain... - Thu Oct  8 08:10:14 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Sanoke... he defected from kirigakure... he left but he loved it. I wonder why... I shall trust his judgement alway - Thu Oct  8 08:11:56 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Sanoke, a smart ninja even when he plays around alot. He was loyal to Kiri but left kiri... As a long standing member I will respect his in world - Thu Oct  8 08:14:30 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh hello young shinobi...Finished that favor of mine? - Thu Oct  8 10:47:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Nineteen. - Thu Oct  8 10:48:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. Shouldn't be a problem anymore. - Thu Oct  8 10:48:06 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Thanks! Crops will grow well this year! Take a free -Cabbage-// - Thu Oct  8 10:49:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'm getting pretty good at the Shadow Shuriken technique too. - Thu Oct  8 10:51:31 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Ah I see, that is always useful than blindly running in. - Thu Oct  8 10:51:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. I need to masteri t, though./ - Thu Oct  8 10:56:38 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Gonna mix it in with my Fuuma Shurikens. - Thu Oct  8 10:56:38 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hello everyone! - Thu Oct  8 18:56:12 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hello. - Thu Oct  8 18:56:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Hey Mirai. - Thu Oct  8 18:56:12 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: How are you Kilm? - Thu Oct  8 18:56:12 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi, Kazekage. - Thu Oct  8 18:56:12 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Err . . . Good? - Thu Oct  8 18:56:12 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: That's great! - Thu Oct  8 18:56:12 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: She's already off. She used to be so hateful towards everyone and now she seems to be good. - Thu Oct  8 18:56:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Are you in a good mood today? - Thu Oct  8 18:57:55 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Mhmmm. - Thu Oct  8 18:58:46 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I've been a much better lately. - Thu Oct  8 18:58:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: That's good. - Thu Oct  8 18:58:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: We need more strong individuals around here. - Thu Oct  8 18:58:46 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm working on becoming stronger and a valueable shinobi of the village. - Thu Oct  8 19:00:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Good. - Thu Oct  8 19:01:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I guess the same applies for me. - Thu Oct  8 19:02:11 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yep. - Thu Oct  8 19:03:53 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: We got lucky. - Thu Oct  8 19:09:00 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hey, Koji. - Thu Oct  8 19:09:52 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: The mission is complete Lord Hassan. - Thu Oct  8 19:09:52 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hello Mirai how are you? - Thu Oct  8 19:10:43 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm well. - Thu Oct  8 19:10:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Luck? C'mon. We had it in the bag. - Thu Oct  8 19:10:43 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Which mission? - Thu Oct  8 19:11:34 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: We would've completed the mission anyways , but I feel like we got lucky cause we didn't have to fight much. - Thu Oct  8 19:11:34 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: We ran an assignment for some farmer the other day. - Thu Oct  8 19:12:25 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: He rewarded us. .  in cabbages. - Thu Oct  8 19:12:25 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: The Scorpions that attacked citizens. - Thu Oct  8 19:13:16 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I also finshed that br ank mission with iza too i have yet to be rewaderd for that. - Thu Oct  8 19:14:08 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Give me an A rank. - Thu Oct  8 19:16:41 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: I could probably handle an A rank now. - Thu Oct  8 19:17:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Things are gettin' quiet. - Thu Oct  8 19:18:24 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Mhm. - Thu Oct  8 19:18:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: There should be a festival held here. . Like the one had in Kirigakure. - Thu Oct  8 19:18:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That shit was cash. - Thu Oct  8 19:18:24 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Too bad right now shit is going down around the world. - Thu Oct  8 19:19:15 2015
<br><br><font color=teal>*Kilm(Vysasi) says: We should wait for peaceful times before we do a festival - Thu Oct  8 19:19:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Like what. . ? - Thu Oct  8 19:19:15 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . The syndicate. - Thu Oct  8 19:19:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: This is the shinobi world. There will never be peaceful time. - Thu Oct  8 19:19:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: The what? - Thu Oct  8 19:19:15 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Yeah . . . But shit is going down more than usual these days. - Thu Oct  8 19:20:06 2015
<br><br><font color=teal>*Kilm(Vysasi) says: And I think i'm going to go to sleep now. - Thu Oct  8 19:20:06 2015
<br><br><font color=teal>*Kilm(Vysasi) says: See you later. - Thu Oct  8 19:20:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: In a bit. . Uhm. Can I see you at my house? <@Mirai> Wanna show you something. - Thu Oct  8 19:21:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Sure. - Thu Oct  8 19:22:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Cmon. - Thu Oct  8 19:22:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Alright, let's go. - Thu Oct  8 19:38:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: No. - Thu Oct  8 19:49:58 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: It's not like you killed him. - Thu Oct  8 19:49:58 2015
<br><br><font color=yellow>*Hokuma, Mirai(Rakkatta) peered towards Sanoke wih her lavender shaded optics. It seemed as though the shinobi felt guilt for making use of the eyes of someone who was already deceased. 

"Aslong as you weren't the one who murdered that person for their eyes. I'm not sure why but i'm not entirely upset or bothered by it. " Mirai muttered as he activated his Dojutsu causing two extra appendages to sprout from his body. She watched in awe as he effectively displayed this new ability he accquired after merging his eyes with someone elses. A smirk formed upon her face before laughter ensued after the joke was told. 

"Interesting. You've never mentioned to me that their were other individuals who possess the same eyes that you do. Our eyes are so precious and valueable we should be careful" The kunoichi explains in a fragile tone. * - Thu Oct  8 20:07:02 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I don't care for that sort of thing. - Thu Oct  8 20:21:32 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Not that many people in Sunagakure from my understanding. - Thu Oct  8 20:22:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Wow. It was fun the last time I saw it. - Thu Oct  8 20:23:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I nearly won a beer drinking contest. - Thu Oct  8 20:23:15 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: The people i've met don't seem interested. - Thu Oct  8 20:27:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Your chakra is a bit low. - Thu Oct  8 20:55:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Should rest up. - Thu Oct  8 20:55:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo, yo. - Thu Oct  8 20:57:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Who all is awake? - Thu Oct  8 20:57:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Thu Oct  8 20:59:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Taking that as no one! - Thu Oct  8 20:59:56 2015
