<br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Got em' - Thu Oct  8 18:47:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: And get them dry, and then you can wear them again! - Sat Oct 10 06:16:44 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) shrugged. He had no qualms with taking a shower -- just this once.

Quickly, he begins to unbuckle his pants -- which was stained completely brown to the amount of dirt that had managed to stick on it. His underwear is equally as stained, making it hard to determine it's original color. Maloth is shameless, not out of perversion, but simply ignorance.

He turns about face, and heads right on into the  bathroom.

His flesh, for reference, is painted thoroughly in smudged dirt. As you would expect, every part of Maloth's body seemed to have been drawn -- Drawn by a god of war, hoping to one day craft the perfect warrior. Muscles cover every inch of his frame, and of course, his pelvis region showcases an endowed appendage. It seemed to be fitted to accomodate for his superhuman genetics that dictated him to be as tall as Yao Ming, but buffer than Brock Lesnar. (If you know who they were.)

Before long, the brute enters the bathroom, and turns on the water. It's hot, as that's how he liked the temperature to be. The tub is filled to the brink, but lacked soap. For a moment, Maloth contemplates before eventually diving in face first. The 'pool' of water immediately changes color, becoming muddied. He'd sit in this for about ten minutes, never once opting to rinse.

Nonchalantly, the water is kept running, oddly enough. It forces the tub to overflow, and run along the ground -- but also serves to clean the potentially dirty container as well. Needless to say, it isn't a stretch to believe that Khalil would begin to see the water seeping underneath the cracks of the bathtub after several minutes.

"Mm. . Mmm. . Mm. ."* - Sat Oct 10 06:38:56 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) ||Seconds turn into minutes.

After about ttwenty five minutes of indulging within the water, Maloth exits, his body soaked from head to toe. One of the towels are taken and wrapped about his frame, just barely being able to keep him decent. Althoough the tightness leaves little to the imagination. 

He comes out in style!

Which is just by kicking the door down, forcing it off the hinges. Water continues to flow out, rushing into the adjacent room. Carelessly, Maloth proceeds out, and glances to Khalil.

"Where cloth?"* - Sat Oct 10 07:00:16 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) moved to get dressed shortly after.

He removes the towel vasually, caring not for his naked form being viewed. The underwear and pants are slipped right back on, now being freshly smelling and clean. But that wasn't going to last long, let's be real.

No mention is made of the mess in the bathroom. Casually, he moves, patting Khalil on the head. "Good that know role is," he says towards the young Yamanshi.* - Sat Oct 10 07:14:46 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Heh... - Sat Oct 10 07:15:37 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: So, are you going to treat me like a girl now? - Sat Oct 10 07:15:37 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is gir'. - Sat Oct 10 07:18:11 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Fine. - Sat Oct 10 07:19:02 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Good. Mm. . . where be 'ther family? - Sat Oct 10 07:20:44 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I don't know, away.. maybe. - Sat Oct 10 07:22:27 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Mm. - Sat Oct 10 07:26:43 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Sure no ge' hurt? - Sat Oct 10 07:26:43 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Nope. Where are you going? - Sat Oct 10 07:26:43 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Hrm? No go 'nywhere. - Sat Oct 10 07:28:25 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is stay in Kumo for while. - Sat Oct 10 07:29:16 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: You can sleep here if you want. - Sat Oct 10 07:29:16 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: <*Perks brow*> Is gues' so. No nee' sleep on rock 'nymore. - Sat Oct 10 07:30:59 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Haha, come on stay here.  - Sat Oct 10 07:31:50 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: You'll enjoy sleeping on a bed. - Sat Oct 10 07:31:50 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) approaches.

Was there two beds like how the map depicted?* - Sat Oct 10 07:34:24 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) allows himself to be led, somewhat like a cattle.

He takes a seat, and sets his hammer onto the ground. It wasn't often that Maloth laid in a bed.* - Sat Oct 10 07:42:56 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Lay down, you won't die. - Sat Oct 10 07:44:38 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) leans downward, allowing himself to lay.

His eyes remain open. "Is good feel," the brute remarked.* - Sat Oct 10 07:53:10 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: ? - Sat Oct 10 07:58:17 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) nods.

"Ergh. . No sleepy. . Maloth jus' watch," he says calmly, figuring that the best he can do is guard until he actually is feeling a bit fatigue. An eye glances over onto Khalil's form, taking note of the shinobi's endowment. 

Nevertheless, as the Yamanshi is sleeping, Maloth is out and about, checking out the small house himself. The bathroom is left in more of a mess, every ounce food in his refrigerator is devoured, and clothes are left all over the floor.

After a few hours, he'd grow tired and sleep for the night.* - Sat Oct 10 08:05:58 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) Yo.* - Sat Oct 10 12:16:51 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) yo.
yo.
yo.* - Sat Oct 10 12:16:51 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: 'lo. - Sat Oct 10 18:15:15 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) says: Hello? - Sat Oct 10 18:15:15 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Think is good make Maloth new Chief, no? - Sat Oct 10 18:15:15 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is be super Kage-Rai! - Sat Oct 10 18:15:15 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) says: I. .  I don't know. - Sat Oct 10 18:15:15 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . .Wha' no for. . ? - Sat Oct 10 18:16:06 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is easy question ask. .  - Sat Oct 10 18:16:06 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) says: I really don't know. - Sat Oct 10 18:16:06 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Who else try be new chief? - Sat Oct 10 18:16:06 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) says: I don't know. - Sat Oct 10 18:17:48 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) thinks: Is this guy stupid? - Sat Oct 10 18:17:48 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Mmm. . .Is nex' chief! Nee' tell 'ther people. . - Sat Oct 10 18:18:40 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) says: You do you man. - Sat Oct 10 18:18:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Sigh. - Sat Oct 10 18:49:23 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Grunt. - Sat Oct 10 18:49:23 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Grunt? - Sat Oct 10 18:49:23 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Hm? - Sat Oct 10 18:55:21 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is try copy. - Sat Oct 10 19:03:02 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Oh. - Sat Oct 10 19:04:44 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: It is 'sigh'. - Sat Oct 10 19:04:44 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Not Grunt. - Sat Oct 10 19:04:44 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . .Ye'-- No' get? - Sat Oct 10 19:07:18 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: ...Nevermind. - Sat Oct 10 19:08:09 2015
<br><br><font color=teal>*Maloth(Gtgoku88) thinks: Har' be mos' smar'. . .Hng. - Sat Oct 10 19:09:00 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Mmm. So, how did you sleep? - Sat Oct 10 19:10:43 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is good slee'. You? - Sat Oct 10 19:11:34 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Good, to.. - Sat Oct 10 19:11:34 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . . - Sat Oct 10 19:14:08 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Mmmmhm. - Sat Oct 10 19:14:59 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Why be tal' this like? - Sat Oct 10 19:14:59 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Huh? - Sat Oct 10 19:14:59 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Hm. - Sat Oct 10 19:16:41 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: So, what do today? - Sat Oct 10 19:17:32 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is tal' weird. - Sat Oct 10 19:17:32 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Mo' fight? - Sat Oct 10 19:20:57 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Sure! - Sat Oct 10 19:20:57 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Well, I go walk around. - Sat Oct 10 19:49:07 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks:  Well i be dam... - Sat Oct 10 19:51:40 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: Where the hell is Heiwa. - Sat Oct 10 19:51:40 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: That child has to survive. - Sat Oct 10 19:51:40 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What yall hoes doing. - Sat Oct 10 21:29:48 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: .... - Sun Oct 11 01:12:32 2015
<br><br><font color=teal>*Gojiro(Hellgatez) thinks: All dead, compared to Konohagakure... - Sun Oct 11 01:12:32 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: . . . . . - Sun Oct 11 01:17:39 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Hello! - Sun Oct 11 01:20:12 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Ah. - Sun Oct 11 01:20:12 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Someone alive - Sun Oct 11 01:20:12 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Mhm! - Sun Oct 11 01:21:04 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Hello. - Sun Oct 11 01:21:04 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Who are you? - Sun Oct 11 01:21:04 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: My name is Gojiro. I'm here from Amegakure. - Sun Oct 11 01:21:04 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: I cam to see if you happened to have any deceased your village was willing to let off their hands. - Sun Oct 11 01:21:55 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: He--- I.. don't know. - Sun Oct 11 01:21:55 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Sorry. - Sun Oct 11 01:21:55 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Ah. - Sun Oct 11 01:22:46 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Alright. - Sun Oct 11 01:22:46 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Thank you though. - Sun Oct 11 01:22:46 2015
<br><br><font color=teal>*Gojiro(Hellgatez) thinks: Only one other place I can check... - Sun Oct 11 01:22:46 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Mhm - Sun Oct 11 01:23:37 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Well, I suppose I'll be on my way. - Sun Oct 11 01:24:28 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Have a nice day. - Sun Oct 11 01:24:28 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: How? What happened? - Sun Oct 11 03:08:35 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Did anyone lose their lives? - Sun Oct 11 03:11:08 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I see.. - Sun Oct 11 03:13:42 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I don't recognize you. I'm Kuro, and you are? - Sun Oct 11 03:17:07 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Pleasure to meet you. - Sun Oct 11 03:20:32 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I assume there was more damage than this. The village feels like a ghost town now. - Sun Oct 11 03:23:56 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Have you seen Misa or Reguel? - Sun Oct 11 03:28:12 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: They both are medics. - Sun Oct 11 03:33:20 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: What about Hideki, Heiwa, Niza, or Mamoru? - Sun Oct 11 03:33:20 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: .... - Sun Oct 11 03:35:02 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Have you seen Niza? - Sun Oct 11 03:35:02 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Dead? - Sun Oct 11 03:35:02 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Where? - Sun Oct 11 03:35:53 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: How? - Sun Oct 11 03:35:53 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) leaps up upon seeing a bird. It was going to be his food now.* - Sun Oct 11 13:31:31 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) randomly goes to swing hammer at the girl.* - Sun Oct 11 14:39:47 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) made his approach towards the village's entry.

A voice had come over the area, one that was feminine and gentle. To be,. . . Raikage? Already, Maloth is in stark opposition, considering the brute was a sexist pig. Stomping over, his eyes are scanning the area, looking for the voice of the announcement. In time, these bull-like eyes fall onto Amaya. 

"Yo! Is one tal' for be leader!? Wha' can do?" He was skeptical. Why support her? She could be just as spineless as Niza himself. There would have to be perks, promises even.* - Sun Oct 11 14:49:10 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I can unify Kumogakure. - Sun Oct 11 14:50:01 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: U. . .Ni. . . Fi? - Sun Oct 11 14:50:01 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Bring us all together. - Sun Oct 11 14:50:01 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Like a big family. - Sun Oct 11 14:50:01 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: How kno' no' lie? - Sun Oct 11 14:50:01 2015
