<br><font color=yellow>*Zetseun, Cypher(Jjking218) blinked as he noticed  her attempt to meet his punch half way, and he attempted to pull his strike, without hesitation, his left foot is sent towards her stomach, about mid-way, it ignites with a similar wind chakra, his transition was smooth and effortless, it moves horizontally, as if aiming to lightly cut her stomach. But like before, he held back to the point no physical harm would befall her, besides maybe blunt force damage, and a mild stringing should the wind connect with her.
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: I wouldn't mind, just stabbing someone here. - Fri Oct  9 23:30:33 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: But that isn't' socially acceptable. - Fri Oct  9 23:30:33 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: These guys are boring. - Fri Oct  9 23:30:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: If I had the chance and an excuse I'd ask to be pointed to the nearest battlefield, as long as Kenshin isn't there. - Fri Oct  9 23:31:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: But there's nothing going on right now. - Fri Oct  9 23:31:24 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Well are you up to showing a cool guy soa trick or two? - Fri Oct  9 23:32:16 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: a* - Fri Oct  9 23:32:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Prove to me that you have potential and I'll consider it. - Fri Oct  9 23:32:16 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: How would I do that? - Fri Oct  9 23:33:07 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Be more impressive in a sparring session than you were the first time around. - Fri Oct  9 23:33:07 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: My aresenal is kind of limited due to a lack of teachers, I can't garuntee anything. - Fri Oct  9 23:33:07 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: And repeating the same thing would get boring fast. - Fri Oct  9 23:33:58 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Hey. - Fri Oct  9 23:33:58 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yes Quest? - Fri Oct  9 23:33:58 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: -- Alright. That was a test but you've convinced me you actually are weak. I'll think about teaching you. - Fri Oct  9 23:33:58 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: --- - Fri Oct  9 23:33:58 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: I failed the test didn't I? - Fri Oct  9 23:33:58 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Trilliam was it? - Fri Oct  9 23:34:49 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yes you can call me Trill. - Fri Oct  9 23:34:49 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Trill-kun. - Fri Oct  9 23:34:49 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: If you lie to me about weakness and I find out, I'll kill you without hesitation for the disrespect. - Fri Oct  9 23:34:49 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: But, I'll take your word for it. - Fri Oct  9 23:34:49 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: If I gave you a Million Yen, would you give me your left eye? - Fri Oct  9 23:34:49 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: I have no reason to lie. - Fri Oct  9 23:35:40 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: It causes problems later on when I forget my lies. - Fri Oct  9 23:35:40 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ughhhh I sorta need my eyes so nooo. Buut I recently got in the bussiness of sealing justu scrolls. - Fri Oct  9 23:35:40 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: Why the hell he want my eye? - Fri Oct  9 23:36:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Got anything of Value? - Fri Oct  9 23:36:32 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ummm just a ton of earth  justu really. - Fri Oct  9 23:37:23 2015
<br><br><font color=teal>*Ai(Sennalove) says: Hm.. - Fri Oct  9 23:37:23 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Any high ranking stuff? - Fri Oct  9 23:37:23 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yup two of them are listed as B ranks. - Fri Oct  9 23:38:14 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: How much for both? - Fri Oct  9 23:38:14 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Lets see. - Fri Oct  9 23:38:14 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Hm... - Fri Oct  9 23:40:48 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'll give you Eight Hundred for Both. - Fri Oct  9 23:41:39 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: And a lolipop. - Fri Oct  9 23:41:39 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Unlicked. - Fri Oct  9 23:41:39 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Eight Hundred thousand? - Fri Oct  9 23:41:39 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: And no offense but Give that lolipop to a guy named Fuji he likes to Suck things. - Fri Oct  9 23:42:30 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Sounds good. - Fri Oct  9 23:42:30 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'll give him two Lolipops then. - Fri Oct  9 23:43:21 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Do we have a deal? - Fri Oct  9 23:43:21 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Shall I call you Kat-sensei~? - Fri Oct  9 23:43:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: We'll see. - Fri Oct  9 23:44:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: He hear he really likes the ones with creamy filling but uhh Yeah shure 800 yen for both of them is fine with me I can tell me and yo u might grow tobecomegoodd friends. - Fri Oct  9 23:44:12 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: A deal then. - Fri Oct  9 23:44:12 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Actually... - Fri Oct  9 23:45:04 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Which two are they?> - Fri Oct  9 23:45:04 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ummm Earth coriidor and Dragon Bomb. - Fri Oct  9 23:45:04 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Do you know either? - Fri Oct  9 23:45:55 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: I know both. - Fri Oct  9 23:45:55 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'll actually pass for now. - Fri Oct  9 23:45:55 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Any wind elemental scrolls? - Fri Oct  9 23:45:55 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Nope ask my gramps many cal him the wind master. - Fri Oct  9 23:46:46 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Really? - Fri Oct  9 23:46:46 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I see.. - Fri Oct  9 23:46:46 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Want to do anything oday? - Fri Oct  9 23:46:46 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: No ideas come to mind. - Fri Oct  9 23:46:46 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Actually, I'll be back later tonight. - Fri Oct  9 23:46:46 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Alright. - Fri Oct  9 23:47:37 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: I have someone I need to see. - Fri Oct  9 23:47:37 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Stay Safe, Kat-sensei~ - Fri Oct  9 23:47:37 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) takes off.* - Fri Oct  9 23:47:37 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) arrives back in the place, pulling up his goggles as he looked around "Yo~, Is that hot lady still here?" He asked.* - Fri Oct  9 23:48:28 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: --- - Fri Oct  9 23:51:53 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) scratched his head as he notices Edge, "E-Er...That lady with the black cloak, Told me to come back later...?She said...She had a butler position...And had a friend she needed to talk to first....?" He looked completely flustered hands raised above his head signaling he meant no harm.* - Fri Oct  9 23:52:44 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) thinks: ...Naoko? - Fri Oct  9 23:53:36 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) thinks: A butler position? - Fri Oct  9 23:53:36 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) thinks: .....Bullshit. - Fri Oct  9 23:53:36 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) looked at Anguo, and points to him "A-Ask the kid, H-He even asked m-me to do something for him.!" He stated, immediately returning his hands to the raised position.* - Fri Oct  9 23:57:52 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: . . . . . - Fri Oct  9 23:57:52 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Let me clarify something real quick.... - Fri Oct  9 23:57:52 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Three questions. - Fri Oct  9 23:57:52 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: One. How'd you get here? - Fri Oct  9 23:58:43 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Two. Why are you here exactly? - Fri Oct  9 23:58:43 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Three. Are you disabled? - Fri Oct  9 23:58:43 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I-I ran. The Position. H-Honestly? I-I think I am a bit mentally, I-It was to g-good to be true when a cute g-girl offered a Butler position. - Fri Oct  9 23:58:43 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) thinks: He's going to die... - Fri Oct  9 23:59:34 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: . . . . . . - Fri Oct  9 23:59:34 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Question, who's this cute girl? - Fri Oct  9 23:59:34 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Was it Naoko or Rymei? - Fri Oct  9 23:59:34 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I want you to choose wisely. - Fri Oct  9 23:59:34 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: This isn't a question of truth. - Sat Oct 10 00:00:25 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: This is a question of survival. - Sat Oct 10 00:00:25 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) thinks: Rymei has been with Edge all this time? - Sat Oct 10 00:00:25 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Sat Oct 10 00:00:25 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) was practically shivering in his timber "U-Uh...H-Her name...S-She said her n-name was R-R-Regalia...N-Neither of t-those two." He stated, shivering, he was telling the god honest truth if that mattered.* - Sat Oct 10 00:01:16 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) thinks: Do I say something? - Sat Oct 10 00:01:16 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: ------------------ - Sat Oct 10 00:02:08 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Regalia? - Sat Oct 10 00:02:08 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Who the fu--- - Sat Oct 10 00:02:08 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Y-Yes S-Sir! - Sat Oct 10 00:02:08 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Sat Oct 10 00:02:08 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Who the fuck is Regalia? - Sat Oct 10 00:02:08 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I can answer. - Sat Oct 10 00:02:08 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: ..... - Sat Oct 10 00:02:59 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Go on, Anguo. - Sat Oct 10 00:02:59 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: It's Rymei. - Sat Oct 10 00:02:59 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: This Kid....I-I owe him. - Sat Oct 10 00:02:59 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: He's a l-life save.r. - Sat Oct 10 00:02:59 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: She lied to him when he came. - Sat Oct 10 00:02:59 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: ...Suddenly Rymei's changed her name to Regalia. - Sat Oct 10 00:02:59 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I see. - Sat Oct 10 00:02:59 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: That's understandable. - Sat Oct 10 00:02:59 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: . . . . . . . - Sat Oct 10 00:02:59 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: What's your name, boy? - Sat Oct 10 00:03:50 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: W-Wait does that mean the female Roommate...I-Is a lie?! - Sat Oct 10 00:03:50 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: C-Cypher. - Sat Oct 10 00:03:50 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Can I ask you a question? - Sat Oct 10 00:03:50 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Y-Yeah...? - Sat Oct 10 00:03:50 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: What do you want in life? - Sat Oct 10 00:03:50 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Besides losing your virginity of course. - Sat Oct 10 00:03:50 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: ---- - Sat Oct 10 00:03:50 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: He knows. - Sat Oct 10 00:03:50 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I.... - Sat Oct 10 00:04:41 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Don't answer that. - Sat Oct 10 00:04:41 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: You want to get a wife. - Sat Oct 10 00:04:41 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: --- - Sat Oct 10 00:04:41 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Not really. - Sat Oct 10 00:04:41 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: To much of a hassle. - Sat Oct 10 00:04:41 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Oh. - Sat Oct 10 00:04:41 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'd prefer no strings attached. - Sat Oct 10 00:04:41 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: You're a smart man. - Sat Oct 10 00:04:41 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: ....Come by later. - Sat Oct 10 00:05:32 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: And we can speak. - Sat Oct 10 00:05:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: ... - Sat Oct 10 00:05:32 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: For now though....I'd leave. - Sat Oct 10 00:05:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: R-Really? - Sat Oct 10 00:05:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: T-Thank y-you sir....I-I'll t-take my leave then. - Sat Oct 10 00:05:32 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) turned on his heels, as he fled in the opposite direction, he had somehow...managed to hold in his blatter but he needed to release somewhere. * - Sat Oct 10 00:06:24 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: This is...Like the movies...When they give you false hope...And shoot you in the back? - Sat Oct 10 00:07:15 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: P-Please don't be true.. - Sat Oct 10 00:07:15 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Ryomen, you can stay on guard at the door. - Sat Oct 10 00:08:06 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: --- - Sat Oct 10 00:08:57 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) knocks on the door frantically.* - Sat Oct 10 00:08:57 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) looks behind him, and continues to knock, loud shouts can be heard behind him.* - Sat Oct 10 00:09:48 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Questinaire De la Runit your back whered you go? - Sat Oct 10 00:13:13 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Uh.. - Sat Oct 10 00:13:13 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: To... - Sat Oct 10 00:13:13 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: The store. - Sat Oct 10 00:13:13 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: *nods* - Sat Oct 10 00:13:13 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohhh waht you buy Quest ..Huh..Huh. huh? - Sat Oct 10 00:14:04 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: ....Porn...Magazines? - Sat Oct 10 00:14:04 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) didn't know how to respond so that was his go-to coverup.* - Sat Oct 10 00:14:04 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: QUest what is porn? - Sat Oct 10 00:14:56 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: It's.. - Sat Oct 10 00:14:56 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: When a guy and a girl with no emotional attatchment. - Sat Oct 10 00:14:56 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Have a lot of fun. - Sat Oct 10 00:14:56 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: .... - Sat Oct 10 00:14:56 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: *nods frantically* - Sat Oct 10 00:14:56 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: What kind fun? - Sat Oct 10 00:15:47 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Are magazines youthful? - Sat Oct 10 00:15:47 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Magazines. - Sat Oct 10 00:15:47 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Are beautiful. - Sat Oct 10 00:15:47 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: But are they youthful? Youth trumps beauty! - Sat Oct 10 00:15:47 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: They contain. - Sat Oct 10 00:15:47 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: So much youth. - Sat Oct 10 00:15:47 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: You can't withstand. - Sat Oct 10 00:15:47 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: It'll crush your very being. - Sat Oct 10 00:16:38 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmm  SHould get gramps some for his Birthday and Jumpman what is with you kids? - Sat Oct 10 00:16:38 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I withstand youth as much as I withstand training, where shall I find these youthful magazines!? - Sat Oct 10 00:16:38 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: In the book store. - Sat Oct 10 00:16:38 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: In the Adult section. - Sat Oct 10 00:16:38 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Wait so Adults need this YOuth stuff that Jumpman raves about. - Sat Oct 10 00:17:29 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Yes.. - Sat Oct 10 00:17:29 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: It's... - Sat Oct 10 00:17:29 2015
