<br><font color=teal>*Ryuusei(TenaciousDeeznuts) thinks: That ass though. - Sat Dec  5 21:54:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sorry, but..if we tally the amount of questions.. - Sun Dec  6 12:01:04 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I won. - Sun Dec  6 12:01:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I would win.~ - Sun Dec  6 12:01:04 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: No that isn't how it works.~ - Sun Dec  6 12:01:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Remember.. - Sun Dec  6 12:01:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: The other person only wins, if the one being asked the question can't answer. - Sun Dec  6 12:01:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You never did ask me another question, nor were the dice rolled. - Sun Dec  6 12:01:55 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: .... - Sun Dec  6 12:01:55 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: You are leaving the game though. - Sun Dec  6 12:01:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So..the game can always be going on.~ - Sun Dec  6 12:01:55 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ...hmph, I will settle for that. - Sun Dec  6 12:01:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Why think of a brief pause, as an end? - Sun Dec  6 12:01:55 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Snickered, 

"Right, until we meet again." he gave her a brief nod before sliding out from the bench. Making his way towards the exit he would've continued on unless stopped, or spoken to on his way there.* - Sun Dec  6 12:03:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It may have been interesting to see what else you would have asked. - Sun Dec  6 12:03:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Sun Dec  6 22:35:56 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Let's go. - Sun Dec  6 22:35:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh yeah. - Sun Dec  6 22:35:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Stop. - Sun Dec  6 22:35:56 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: -What-? - Sun Dec  6 22:36:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There's no such person as "Akira".. - Sun Dec  6 22:36:48 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Then your Hokage hasn't checked well enough. - Sun Dec  6 22:36:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So the real question is.. - Sun Dec  6 22:36:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Why were you lying? - Sun Dec  6 22:36:48 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Wasn't. - Sun Dec  6 22:37:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..you certainly aren't giving all of the truth. - Sun Dec  6 22:37:39 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: . . . - Sun Dec  6 22:37:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So.. - Sun Dec  6 22:38:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're technically, getting yourself into trouble. - Sun Dec  6 22:38:30 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: This is why I hate people. . . - Sun Dec  6 22:39:21 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: Can't I just be left alone? With some tea. . .and a book? - Sun Dec  6 22:39:21 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: There's only one rule in this village, and that's to not cause trouble and get along with everyone. - Sun Dec  6 22:39:21 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: You're breaking it. - Sun Dec  6 22:39:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There are many rules in this village. - Sun Dec  6 22:39:21 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: YOu're speaking bullshit about security that doesn't exist. - Sun Dec  6 22:39:21 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Shoo. - Sun Dec  6 22:39:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What? - Sun Dec  6 22:40:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Dec  6 22:40:12 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: This isn't going to end well. - Sun Dec  6 22:40:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I don't know where you've been raised, but that isn't how you speak to higher ups in this village. - Sun Dec  6 22:40:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I honestly do not care about your past with the previous Hokage. - Sun Dec  6 22:40:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: A dead man is just that. - Sun Dec  6 22:40:12 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: This isn't how you get your kicks, by tormenting people about rules that don't exist. - Sun Dec  6 22:40:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: These rules exist. - Sun Dec  6 22:40:12 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Bother someone else. - Sun Dec  6 22:41:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Even if you believe that the current acting Hokage doesn't enforce them.. - Sun Dec  6 22:41:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Doesn't mean that I'll be as lenient. - Sun Dec  6 22:41:04 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Get your Hokage to tell me herself that there's apparently more than one rule. - Sun Dec  6 22:41:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I do not have to go get anyone. - Sun Dec  6 22:41:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It is my job to keep order. - Sun Dec  6 22:41:04 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: No. - Sun Dec  6 22:41:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ugh.. - Sun Dec  6 22:41:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Please do not tell me how I must do my job.. - Sun Dec  6 22:41:55 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: "Please" do not tell me how to spend my days in a village of freedom. - Sun Dec  6 22:41:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I will tell you whatever I want.. - Sun Dec  6 22:41:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If it means keeping order in this village. I won't cheapen the system just because you are a lady. - Sun Dec  6 22:42:46 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Not if you can -go- -away- like you need to. - Sun Dec  6 22:42:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I do not -have- to go away. - Sun Dec  6 22:42:46 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: . . . .Has she done anything wrong? - Sun Dec  6 22:42:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: This is -my- village. - Sun Dec  6 22:42:46 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: You're causing trouble. - Sun Dec  6 22:42:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She has lied to me. - Sun Dec  6 22:42:46 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Oh, you're the Hokage? - Sun Dec  6 22:42:46 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: For -no- reason. - Sun Dec  6 22:42:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I am not the Hokage. - Sun Dec  6 22:42:46 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: He isn't the Hokage he's acting like he's above the law due to a title. - Sun Dec  6 22:42:46 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: A title? - Sun Dec  6 22:43:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It still stands.. - Sun Dec  6 22:43:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Lying to a higher ranking officer is a crime. - Sun Dec  6 22:43:37 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: . . . - Sun Dec  6 22:43:37 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: You're a hypocrite. You speak of titles being worthless yet here you are trying to shit on someone else's parade because of your rank, otherwise a title. - Sun Dec  6 22:43:37 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: Screw people. . . - Sun Dec  6 22:43:37 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Isn't that the former Raikage? I swore the bitch died. - Sun Dec  6 22:43:37 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: I was right originally. - Sun Dec  6 22:43:37 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: It's also a crime to bother someone about batshit, ignorant, lies. - Sun Dec  6 22:43:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're assuming that I'm raining on your parade. - Sun Dec  6 22:43:37 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Wait, I have a question. - Sun Dec  6 22:44:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I care not for what you intend to do. Just as long as it goes through the proper channels. - Sun Dec  6 22:44:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Like I stated, you lied to me. - Sun Dec  6 22:44:28 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I didn't lie at all. - Sun Dec  6 22:44:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Dec  6 22:44:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Why is Amaya-Sama here?  - Sun Dec  6 22:44:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What is your question? - Sun Dec  6 22:44:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Who? - Sun Dec  6 22:44:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Her. - Sun Dec  6 22:44:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So that is her real name? - Sun Dec  6 22:45:20 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: You're believing a random stranger running around with a suspicious mask over me? - Sun Dec  6 22:45:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You both could be liars. - Sun Dec  6 22:46:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Like I gave you the benefit of doubt.. - Sun Dec  6 22:46:11 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: I should just leave now. - Sun Dec  6 22:46:11 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: Would make my life easier. - Sun Dec  6 22:46:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Shall I not give this person the same treatment? - Sun Dec  6 22:46:11 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: And you could be an ignorant fool yapping off about rules that don't exist to get his kicks and bother people that don't want to speak to you, but you -are-. - Sun Dec  6 22:46:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Keep insulting me. - Sun Dec  6 22:46:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It doesn't help your case. - Sun Dec  6 22:46:11 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: You're insulting me by wasting my time. - Sun Dec  6 22:46:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I do not care if you think that this is a waste of time. - Sun Dec  6 22:47:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I want information, and I will eventually gain it. - Sun Dec  6 22:47:02 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I didn't come here to be nagged by an illegal scout. - Sun Dec  6 22:47:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There isn't anything illegal about my practices. - Sun Dec  6 22:47:02 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Your practices of -nagging- people ignorantly? - Sun Dec  6 22:47:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Who is the Raikage? Masked One? - Sun Dec  6 22:47:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Tch..it is a start..I suppose. - Sun Dec  6 22:48:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Anyway, that man seemed as if he recognized you. - Sun Dec  6 22:48:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Now, how about we head to the Mansion? Hopefully if Lady Hokage is in..you can state whatever nonsense you have to her. - Sun Dec  6 22:49:36 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: She isn't. - Sun Dec  6 22:50:27 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: . . . - Sun Dec  6 22:50:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's even better. I'll do it. - Sun Dec  6 22:50:27 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah..? - Sun Dec  6 22:50:27 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: What's going on, Nigen-San? - Sun Dec  6 22:50:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sun Dec  6 22:51:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm dealing with a potential criminal. - Sun Dec  6 22:51:18 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: . . . - Sun Dec  6 22:51:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Dec  6 22:51:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Dec  6 22:55:34 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: Well. . . - Sun Dec  6 22:56:25 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: There goes my home. - Sun Dec  6 22:56:25 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: . . .I'll be going now then. - Sun Dec  6 22:56:25 2015
<br><br><font color=teal>*Claudette(Kumaki) says: ...Uh...? - Sun Dec  6 22:57:16 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: ..Ah, what? - Sun Dec  6 22:57:16 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Where are you guys talking.. About?  - Sun Dec  6 22:57:16 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah, miss... - Sun Dec  6 22:57:16 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: I have no idea. - Sun Dec  6 22:58:08 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Hm.... Alright then..  - Sun Dec  6 22:58:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Dec  6 22:58:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'll be patrolling the area. - Sun Dec  6 22:59:50 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Slowly made his way off. It seems as if he had been focused on carrying out a series of actions. His gaze sharpened, quite the contrast to his normally carefree demeanor. Unless he had been spoken towards his movements would've led him away from the immediate area.* - Sun Dec  6 23:01:32 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: Actually. . .everyone is busy. . I should be free to get some Tea now. . . - Sun Dec  6 23:03:15 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Glanced over towards Akechi, his face reverting back to a one filled with warmth.

"Thank you for your assistance." the Doberman having made its way towards him. There was a brief exchange of glances before he had sped off, the dog most likely following suit.* - Sun Dec  6 23:03:15 2015
<br><br><font color=teal>*Jalendo(Jacob2926) says: teach me jutsu plz be my sensei - Sun Dec  6 23:10:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Is there something you need? - Sun Dec  6 23:10:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I am sorry, young one. - Sun Dec  6 23:10:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I am not a teacher. - Sun Dec  6 23:10:56 2015
<br><br><font color=teal>*Jalendo(Jacob2926) says: plz can u atleast teach me one jutsu - Sun Dec  6 23:10:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Now, if you'll excuse me.. - Sun Dec  6 23:10:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I have things to do. - Sun Dec  6 23:10:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: Boo.] - Sun Dec  6 23:53:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Mon Dec  7 00:03:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Mon Dec  7 00:05:32 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) It would've appeared that he hadn't been alone while aimlessly standing in the area. A Doberman next to him, beginning to sniff all around, the dog had been slightly on guard, before Nigen had crouched down, his right hand began to brush against the dog's back in an attempt to calm it down.

"I don't know what you mean. After-all the village is always quiet.."* - Mon Dec  7 00:07:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Isn't that what you enjoy? - Mon Dec  7 00:09:48 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: No. - Mon Dec  7 00:09:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well, you should try to get to know them. Maybe you'd be better off making friends. - Mon Dec  7 00:10:40 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I'm not very good at making friends. - Mon Dec  7 00:11:31 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: People normally just decide to be my friend. - Mon Dec  7 00:11:31 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: And that is that. - Mon Dec  7 00:11:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Mon Dec  7 00:13:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..I can't say you aren't strange. - Mon Dec  7 00:13:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sadly, I can barely talk with you as is. - Mon Dec  7 00:13:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm searching for someone. - Mon Dec  7 00:13:13 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Sadly? - Mon Dec  7 00:14:04 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Who are you looking for? - Mon Dec  7 00:14:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Mon Dec  7 00:14:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Someone by the name of "Akira"..she has been lying. - Mon Dec  7 00:14:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I don't know anyone by that name, sorry. - Mon Dec  7 00:14:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's fine. - Mon Dec  7 00:15:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Understand that people are pretty different. - Mon Dec  7 00:16:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If you won't try to learn anything about them. You'll most likely always struggle at making friends. - Mon Dec  7 00:16:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That is..if you want some. - Mon Dec  7 00:16:38 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I am always trying to learn. - Mon Dec  7 00:17:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Mon Dec  7 00:23:28 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) The dog had been calmed to an extent watching Yuriko's movements quite closely, he had still been patting its' side keeping it at bay. 

"Well..try to understand them?"* - Mon Dec  7 00:24:19 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: It's hard to always understand... I try. - Mon Dec  7 00:26:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Mon Dec  7 00:26:52 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) The doberman began to become more agitated with each step she made. Holding out his free hand towards her in an attempt to halt her actions, 

"You don't need to get any closer. For some reason this dog doesn't enjoy your presence."* - Mon Dec  7 00:27:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Mon Dec  7 00:29:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I wonder why? - Mon Dec  7 00:29:26 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I don't know. - Mon Dec  7 00:29:26 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Other animals seem to love me. - Mon Dec  7 00:30:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Mon Dec  7 00:31:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well.. - Mon Dec  7 00:31:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You should try to fix that. - Mon Dec  7 00:32:00 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ...How? - Mon Dec  7 00:32:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Mon Dec  7 00:32:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Try adopting a dog as a pet, maybe raising up one from a pup would help? - Mon Dec  7 00:33:42 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ...I don't think so. - Mon Dec  7 00:35:24 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Sighed, he had whispered to the dog before patting it one last time. It had immediately taken off. Sprinting away from the area, he had released a brief sigh. 

"So now what are you planning to do?"* - Mon Dec  7 00:36:16 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: What do you mean? - Mon Dec  7 00:37:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Mon Dec  7 00:37:58 2015
