<br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Right? - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe a mail service, or something.. - Sun Nov 29 03:46:33 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Oh. . .neat. - Sun Nov 29 03:46:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Am I scary, or something? - Sun Nov 29 03:46:33 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: I only really like being near a few people is all~ - Sun Nov 29 03:47:24 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: I don't mean to upset you. - Sun Nov 29 03:47:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah..there's no need to worry. - Sun Nov 29 03:48:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm not here to cause anyone trouble. - Sun Nov 29 03:48:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sorry for interrupting your business.~ - Sun Nov 29 03:49:07 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: I'm not worried about trouble~ - Sun Nov 29 03:49:07 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: - - Sun Nov 29 03:49:07 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Interrupting my Business? - Sun Nov 29 03:49:07 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: I was just relaxing. - Sun Nov 29 03:49:07 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Lies x.x0 - Sun Nov 29 03:49:58 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: -omot- - Sun Nov 29 03:49:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well then.. - Sun Nov 29 03:50:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You won't mind if I relax with ya'? - Sun Nov 29 03:50:49 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Uh. . .sure. - Sun Nov 29 03:50:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Great. - Sun Nov 29 03:52:32 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Mhm~ - Sun Nov 29 03:53:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I normally enjoy nature. - Sun Nov 29 03:53:23 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Yea. - Sun Nov 29 03:54:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Communicating with animals is a fun pastime. - Sun Nov 29 03:57:39 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Oh? - Sun Nov 29 03:58:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yep. - Sun Nov 29 03:59:21 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: That's cool!~ - Sun Nov 29 04:00:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You should try it sometime. - Sun Nov 29 04:01:04 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Eh. . . - Sun Nov 29 04:01:55 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: How? - Sun Nov 29 04:01:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh..it's kind of hard to explain. I'm pretty bad at it. - Sun Nov 29 04:01:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Birds seem to always fly away from me. - Sun Nov 29 04:01:55 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Oh. . . - Sun Nov 29 04:02:46 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Chuckles.~* - Sun Nov 29 04:02:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Phew.. - Sun Nov 29 04:07:02 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Hm? - Sun Nov 29 04:07:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Just so glad to take a break. - Sun Nov 29 04:08:44 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: I see. - Sun Nov 29 04:08:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So was that story really true? - Sun Nov 29 04:09:36 2015
<br><br><font color=teal>*Akito(Iron Zorro) thinks: .... - Sun Nov 29 04:10:27 2015
<br><br><font color=teal>*Akito(Iron Zorro) thinks: Peopl..are...here - Sun Nov 29 04:10:27 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: What Story? - Sun Nov 29 04:11:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah.. - Sun Nov 29 04:15:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I was wondering if that talk about a bunch of people being killed here was true.. - Sun Nov 29 04:15:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I couldn't imagine anything like that. - Sun Nov 29 04:15:34 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: ..... - Sun Nov 29 04:30:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sun Nov 29 04:30:56 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: People..dont..usually come here.. - Sun Nov 29 04:30:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yeah, I was just passing by..before I saw this one. - Sun Nov 29 04:31:47 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: ... - Sun Nov 29 04:32:38 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: I..see.. - Sun Nov 29 04:32:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yeah.. - Sun Nov 29 04:37:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So were you in Kumo for a while? - Sun Nov 29 04:37:45 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Hm. . . - Sun Nov 29 04:52:16 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: I wonder if Sog is back. - Sun Nov 29 04:53:07 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Well. - Sun Nov 29 05:01:39 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: If you'll excuse me. - Sun Nov 29 05:01:39 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: I'm going to look for my friends~ - Sun Nov 29 05:01:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hey..maybe we should head back? - Sun Nov 29 05:04:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I've been waiting for the Raikage. - Sun Nov 29 05:04:12 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: They aren't back. . . - Sun Nov 29 05:05:04 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: ..... - Sun Nov 29 05:05:55 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: Eiyu...is busy... - Sun Nov 29 05:05:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really.. - Sun Nov 29 05:43:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I really can't believe this Raikage is sleep. - Sun Nov 29 05:43:28 2015
<br><br><font color=teal>*Takuma(Brosis55) says: He is. - Sun Nov 29 05:46:01 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yo uh, Odsa? Is that how it's pronounced? - Sun Nov 29 05:50:17 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I'm not great with names. - Sun Nov 29 05:50:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yep. - Sun Nov 29 05:50:17 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Do you have any techniques? - Sun Nov 29 05:50:17 2015
<br><br><font color=teal>*Takuma(Brosis55) says: That are fire or doton based? - Sun Nov 29 05:50:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sadly, I don't. - Sun Nov 29 05:51:08 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Any non elementals? - Sun Nov 29 05:51:08 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: . . . - Sun Nov 29 05:55:24 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Sun Nov 29 05:55:24 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Okey. - Sun Nov 29 05:55:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Nope. - Sun Nov 29 05:57:58 2015
<br><br><font color=teal>*Takuma(Brosis55) says: CHILL - Sun Nov 29 05:57:58 2015
<br><br><font color=teal>*Takuma(Brosis55) says: OMIT - Sun Nov 29 05:57:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So what is this Raikage like? - Sun Nov 29 05:59:40 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: I miss my arc 1 char.0 - Sun Nov 29 05:59:40 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: -omit- - Sun Nov 29 05:59:40 2015
<br><br><font color=teal>*Takuma(Brosis55) says: He's pretty laid back. - Sun Nov 29 06:00:32 2015
<br><br><font color=teal>*Takuma(Brosis55) says: And kind of a pacifist. - Sun Nov 29 06:00:32 2015
<br><br><font color=teal>*Takuma(Brosis55) says: He doesn't really like violence. - Sun Nov 29 06:00:32 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: He likes when I sit on his fac- I mean. - Sun Nov 29 06:02:14 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: -omit- - Sun Nov 29 06:02:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sun Nov 29 06:03:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: We'll probably get along fine. - Sun Nov 29 06:04:48 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Hm. .  - Sun Nov 29 06:05:39 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Sogeki needs to hurry up and get back!~ - Sun Nov 29 06:05:39 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Sun Nov 29 06:05:39 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Who's Sogeki? - Sun Nov 29 06:05:39 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: . . .Alberto. - Sun Nov 29 06:06:30 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: His real name is Sogeki. - Sun Nov 29 06:06:30 2015
<br><br><font color=teal>*Takuma(Brosis55) says: ---------------------------------- - Sun Nov 29 06:06:30 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . . . . - Sun Nov 29 06:06:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ? - Sun Nov 29 06:07:21 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: By the way Takuma!~ - Sun Nov 29 06:07:21 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Can you come here? - Sun Nov 29 06:07:21 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Uh, sure. - Sun Nov 29 06:07:21 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: If Menia says. - Sun Nov 29 06:08:12 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: I raped her. - Sun Nov 29 06:08:12 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: IT's a l-- - Sun Nov 29 06:08:12 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: It's a lie. - Sun Nov 29 06:08:12 2015
<br><br><font color=teal>*Takuma(Brosis55) says: ---- - Sun Nov 29 06:08:12 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: She's trying to frame me. - Sun Nov 29 06:09:04 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: You can check my load. - Sun Nov 29 06:09:04 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: I have it all. - Sun Nov 29 06:09:04 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: . . .Note. - Sun Nov 29 06:09:04 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Check your load? - Sun Nov 29 06:09:55 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: Avoid carrot guy. - Sun Nov 29 06:09:55 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: . . .He wanted you to use your mouth, he was talking to you. -omit- - Sun Nov 29 06:09:55 2015
<br><br><font color=teal>*Takuma(Brosis55) says: op -omit- - Sun Nov 29 06:09:55 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Rape? - Sun Nov 29 06:11:37 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: . . . - Sun Nov 29 06:11:37 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Uh. . . - Sun Nov 29 06:11:37 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: I'm going to walk away now. . . - Sun Nov 29 06:11:37 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Sun Nov 29 06:11:37 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Alright. - Sun Nov 29 06:11:37 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Oh! Wait! - Sun Nov 29 06:11:37 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Takuma!~ - Sun Nov 29 06:11:37 2015
<br><br><font color=teal>*Takuma(Brosis55) says: --- - Sun Nov 29 06:11:37 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: I Learned that scroll!~ - Sun Nov 29 06:11:37 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Oh, good. - Sun Nov 29 06:12:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: These freaking people.. - Sun Nov 29 06:12:28 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: But anyway. . . - Sun Nov 29 06:13:20 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Um. . . - Sun Nov 29 06:13:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Why is this Raikage sleeping for so long? It's as if all of these villages have poor management.. - Sun Nov 29 06:13:20 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: I'm going to go find Sogeki. . . - Sun Nov 29 06:13:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? Right. - Sun Nov 29 06:13:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Have fun. - Sun Nov 29 06:13:20 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Alright, have fun. - Sun Nov 29 06:13:20 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Sun Nov 29 06:13:20 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: I don't want to be raped. . . - Sun Nov 29 06:13:20 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: Freak. - Sun Nov 29 06:13:20 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: This man. .  - Sun Nov 29 06:13:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So does the Raikage like to joke around? - Sun Nov 29 06:14:11 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Every now and then. - Sun Nov 29 06:14:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Heh, that'll be something worth seeing. - Sun Nov 29 06:14:11 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Sup. - Sun Nov 29 06:22:43 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Yo. - Sun Nov 29 06:23:34 2015
<br><br><font color=teal>*Takuma(Brosis55) says: What brings you back? - Sun Nov 29 06:24:25 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Oh, hey Menia. - Sun Nov 29 06:25:16 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Oh. . .So I'm chump change to her then? - Sun Nov 29 06:25:16 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Damn, so much for bros before hoes. - Sun Nov 29 06:26:08 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Just visitin- - Sun Nov 29 06:26:08 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Hey Menia. - Sun Nov 29 06:26:08 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: And can you not remember my name? - Sun Nov 29 06:26:59 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Damn. - Sun Nov 29 06:26:59 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Abra. - Sun Nov 29 06:26:59 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Touche` - Sun Nov 29 06:26:59 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: How have you all been? - Sun Nov 29 06:27:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Nov 29 06:27:50 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: This place hates the Mizukage and Kirigakure. - Sun Nov 29 06:27:50 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: I should be safe. - Sun Nov 29 06:27:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: That one... - Sun Nov 29 06:27:50 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Well. - Sun Nov 29 06:27:50 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: This -creep- - Sun Nov 29 06:27:50 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Licked my cheek. - Sun Nov 29 06:27:50 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Sun Nov 29 06:27:50 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Who? - Sun Nov 29 06:27:50 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: And then beat me up. - Sun Nov 29 06:28:41 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Sun Nov 29 06:28:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Who? - Sun Nov 29 06:28:41 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Who? - Sun Nov 29 06:28:41 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Sun Nov 29 06:28:41 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Sun Nov 29 06:28:41 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Grabbed my ass to.. - Sun Nov 29 06:28:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: P-..pfft.. - Sun Nov 29 06:28:41 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yo, he said he ain't do shit. - Sun Nov 29 06:28:41 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: The fuck? - Sun Nov 29 06:28:41 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Fuckin'creep. - Sun Nov 29 06:28:41 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Sun Nov 29 06:28:41 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I'ma not even going to get involved. - Sun Nov 29 06:28:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe that's just how he greets people? - Sun Nov 29 06:28:41 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I've done enough today. - Sun Nov 29 06:28:41 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Nobody greets someone by grabbing at them and telling them to let it happen. - Sun Nov 29 06:29:32 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Fuckin'creep. - Sun Nov 29 06:29:32 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Abraxas. - Sun Nov 29 06:29:32 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Let's go. - Sun Nov 29 06:29:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: T-..this man..is beauty.. - Sun Nov 29 06:29:32 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: H-Huh? - Sun Nov 29 06:29:32 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: What? - Sun Nov 29 06:29:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Quite good. I applaud you. - Sun Nov 29 06:30:24 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Spar. - Sun Nov 29 06:30:24 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Lets go. - Sun Nov 29 06:30:24 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: It's been long enough. - Sun Nov 29 06:30:24 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Sun Nov 29 06:30:24 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Fuck. - Sun Nov 29 06:30:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..maybe you should try being nicer to him. - Sun Nov 29 06:30:24 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Alright. - Sun Nov 29 06:30:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: He could have different customs.. - Sun Nov 29 06:30:24 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: We're from the same clan. - Sun Nov 29 06:30:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah. - Sun Nov 29 06:30:24 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Ours customs are the same. - Sun Nov 29 06:30:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Were you both separated? - Sun Nov 29 06:30:24 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Maybe he was raised differently. - Sun Nov 29 06:31:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe he adopted new ones? - Sun Nov 29 06:31:15 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Hmph. - Sun Nov 29 06:32:06 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Lets go Abraxas. - Sun Nov 29 06:32:06 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Sun Nov 29 06:32:06 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: The fuck did I walk in to. - Sun Nov 29 06:32:06 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yeah, stay safe. - Sun Nov 29 06:33:48 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Safe? - Sun Nov 29 06:33:48 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Heh. . . - Sun Nov 29 06:33:48 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yeah. - Sun Nov 29 06:33:48 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Perhaps I'll tell you a story later. - Sun Nov 29 06:33:48 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: A lot happened since I left. - Sun Nov 29 06:33:48 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Perhaps. - Sun Nov 29 06:33:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Right.. - Sun Nov 29 06:34:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Have fun you two love birds.~ - Sun Nov 29 06:34:40 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Let's just say. . you know how the Raikage was having issues with the Mizu? - Sun Nov 29 06:34:40 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: - - Sun Nov 29 06:34:40 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Whoa now. - Sun Nov 29 06:34:40 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Love birds? - Sun Nov 29 06:34:40 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Nah. - Sun Nov 29 06:34:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really? I'm pretty off today. - Sun Nov 29 06:34:40 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yeah, what about it, Abraxas? - Sun Nov 29 06:35:31 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: He doesn't have to worry anymore. - Sun Nov 29 06:35:31 2015
<br><br><font color=teal>*Takuma(Brosis55) says: You get rid of him or somethin'? - Sun Nov 29 06:35:31 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: The Mizu went and got himself killed. - Sun Nov 29 06:35:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: What? - Sun Nov 29 06:35:31 2015
<br><br><font color=teal>*Takuma(Brosis55) says: That's cool. - Sun Nov 29 06:35:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ..... - Sun Nov 29 06:35:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ................. - Sun Nov 29 06:35:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What do you mean? - Sun Nov 29 06:35:31 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: He thought he could move in on Asteroth. - Sun Nov 29 06:35:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: The Mizukage died?! - Sun Nov 29 06:35:31 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Mhm. - Sun Nov 29 06:35:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: T-..that's pretty amazing.. - Sun Nov 29 06:36:22 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Why do you say such? - Sun Nov 29 06:36:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I've traveled around, and met the Mizukage before. - Sun Nov 29 06:36:22 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: And? - Sun Nov 29 06:36:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: He was pretty scary.. - Sun Nov 29 06:36:22 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Sun Nov 29 06:36:22 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Heh. - Sun Nov 29 06:36:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Then again.. - Sun Nov 29 06:36:22 2015
