<br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Whats up hun? - Fri Dec  4 21:50:43 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: P-Paine-senpai. - Sat Dec  5 18:50:14 2015
<br><br><font color=teal>*Hiroshi(Marchie15) whispers: Pssst.. who's Paine? Another person I shouldn't get upset? - Sat Dec  5 18:51:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: When? - Sat Dec  5 18:52:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: She is coming back right? - Sat Dec  5 18:52:48 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) thinks: Boring. - Sat Dec  5 18:52:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Yup. . .Do not make her mad. . . NOt at all. - Sat Dec  5 18:52:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Soon. - Sat Dec  5 18:52:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Good, I need more training. - Sat Dec  5 18:53:39 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Mhm~ - Sat Dec  5 18:53:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Momu, you want that fight now? - Sat Dec  5 18:55:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I am ok now. - Sat Dec  5 18:55:21 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: *chants* Fight fight fight fight fight! - Sat Dec  5 18:57:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sure.. - Sat Dec  5 18:57:04 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Woot! - Sat Dec  5 18:57:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Step back bro. - Sat Dec  5 18:57:04 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Less training for me if I hang out and watch. - Sat Dec  5 18:57:04 2015
<br><br><font color=teal>*Crimson Cresent(Crimson Cresent) thinks: Momura... this is Chikyu. I just wanted to say... HI BESTIE! - Sat Dec  5 18:57:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Ok Momu, I won't hold back this time. - Sat Dec  5 18:57:55 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Let's act like this is the Chuunins. - Sat Dec  5 18:57:55 2015
<br><br><font color=teal>*Crimson Cresent(Crimson Cresent) thinks: Don't tell hideo. But, Kick his ass Momu. - Sat Dec  5 18:57:55 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Are you sure? - Sat Dec  5 18:57:55 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yes. . .I owe you that much. - Sat Dec  5 18:57:55 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Oh she's going to go in on bro's face... I hope he's ready. - Sat Dec  5 18:58:46 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) took a deep breathe as she'd bundle her hands into fists..Looking around at the others, the cousin of kuro and it seemed to be hiroshi's little brother..Whatever. She'd take a deep breathe as the female got into a running position. She'd suddenly dash off forward in a zig-zag motion, knowing that hiroshi could follow her every movement. She'd zig-zag left, right, left, right, before suddenly going in straight at the very end. 

It would've looked as if she were going for a punch, before the female dropped at the last second, aiming to kick him off of his balance, sending him sideways in the air. If possible, she'd then kick him into the air.* - Sat Dec  5 19:02:11 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: I forgot all ur stuff lol ur as is 16 right?) - Sat Dec  5 19:03:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (16.4 AS - Sat Dec  5 19:03:02 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Kk) - Sat Dec  5 19:03:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (13.4 speed - Sat Dec  5 19:03:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (9 tiles - Sat Dec  5 19:03:02 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Our as is the same and what else do you need to no?) - Sat Dec  5 19:08:09 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) would've been staying on the ground with her hands as she'd see teh kick coming towards her. She'd throw herself into the air as his kick would've missed everywhere. She'd stare down at him as he probably saw her into the air.

"T-Take this!"

She'd then attempt to smash her fist into the side of his face and send him flying into the wall.* - Sat Dec  5 19:12:25 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: My reflex is 15.82 so i took da graze damage) - Sat Dec  5 19:19:15 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: If you want me too I can re rp and change it) - Sat Dec  5 19:19:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (damage? - Sat Dec  5 19:20:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Ummmmmm I say about 35 total I guess) - Sat Dec  5 19:20:57 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (kk - Sat Dec  5 19:20:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Going hard bu not full tilt) - Sat Dec  5 19:20:57 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) would've just grazed his cheek as she'd blink. She'd blink as he dodged her, surprisingly, he'd of gotten much stronger as well..This would be annoying. She'd of been kicked in the stomach as the damage didn't quite affect her. She'd of been kicked into the air nonetheless. She wasn't defensiveless, but she wasn't a mid-air pro master. The girl looked down at hiroshi as she was at a decent high. 

She simply waited to see what his next movements were.* - Sat Dec  5 19:24:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (dura is 16.3 - Sat Dec  5 19:26:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (btw - Sat Dec  5 19:26:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I-I see... - Sat Dec  5 19:30:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I cannot hold back. - Sat Dec  5 19:30:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: 49 dam momu) - Sat Dec  5 19:31:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Damn my max is terrible lol) - Sat Dec  5 19:31:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (my buff - Sat Dec  5 19:31:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (that makes my damage go up by 6 - Sat Dec  5 19:32:03 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: If I am about to hurt you to bad just tank whatever and take damage) - Sat Dec  5 19:32:03 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (makes it so that my dura goes down by 2-3 - Sat Dec  5 19:32:03 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (and ok - Sat Dec  5 19:32:03 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Don't get hurt too bad I will be hurt) - Sat Dec  5 19:32:03 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) would've stared down at him as she'd take a deep breathe, her arm suddenly raised as she'd stare at his form coming straight at him. Suddenly two antennae popped out of her as the air around her seemed a bit more serious...

"I-I will n-not HOLD BACK!!!!!!!!"

She'd suddenly ram her fist forward, noting, her knuckle was off at the moment. She'd ram her fist directly into his foot, the moment the two touched, shit probably went down..It'd be noted that the moment her fist touched his leg, the damage around her fist was migated all around his leg, sending shockwaves, probably surprising him.

She'd of rammed her first into his foot, before the two were probably sent flying away from eachother.* - Sat Dec  5 19:34:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (52.41 - Sat Dec  5 19:35:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (my dura is now 14.3 - Sat Dec  5 19:35:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (though - Sat Dec  5 19:35:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Ite) - Sat Dec  5 19:35:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (k - Sat Dec  5 19:35:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: let me read it rite fast) - Sat Dec  5 19:35:28 2015
<br><br><font color=teal>*Crimson Cresent(Crimson Cresent) whispers: Stop being so stronk Momura - Sat Dec  5 19:38:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (never - Sat Dec  5 19:39:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (after ts I'll only get stronger - Sat Dec  5 19:39:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (qq - Sat Dec  5 19:39:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: She almost broke my leg. . heheheheh. - Sat Dec  5 19:40:35 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) would've been sent backwards from the strike as well, paine wrattling inside of her arm as she felt it ready to just break..But he was still going at it..She'd grin as he disappeared into the ground..She looked like she was going to land on her head, before she'd disappear underground as well, rivaling his own technique. She could track underground with ease, so she'd quickly begin a dig underground, heading towards him quickly, as she'd aim to come next to him and simply punch him in the stomach with surprise.* - Sat Dec  5 19:42:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I only have a few more tricks left up my sleeve. . .  - Sat Dec  5 19:45:42 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) grinned, staring at him..

"I-I win..."

Suddenly she'd ram her other fist forward into his head, not punching him, but grabbing him. Suddenly she'd get into a crouching position as the female launched herself from underground, going straight out of the ground and into the air. They'd be..pretty high within a moment's notice, as she'd have ahold of him, She'd look at the other hiroshi with a grin as she began to spin her body mid-air, spinning hiroshi with her, after several spins, she'd begin a violent descent downwards.

She'd aim to ram him right into the sand, making his upper-body sunk underground.* - Sat Dec  5 19:50:49 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (str is 25.9 - Sat Dec  5 19:50:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Heheheh I need more stamina. . . . I get tired too fast. . .  - Sat Dec  5 19:55:56 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) reverted back to her original form as she'd put her hand on his shoulder, giving him a smile.

"T-That was fun.." she'd say with pain currently vibrating in her arm.* - Sat Dec  5 19:58:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oww. . .Damn. . You hit hard Momu. - Sat Dec  5 20:00:12 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) was about to reply to hiroshi before she'd suddenly be socked in the jaw, her body sliding in the sand before falling on her side painfully.

She'd get onto her feet painfully, staring at mizora as she'd wipe a tiny bit of blood off of her face, giving the girl an angered look, "W-What..was that..f-for..?"* - Sat Dec  5 20:01:55 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: You lack common sense, that's what that was for. - Sat Dec  5 20:01:55 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: What're you doing drilling someone's head into the ground from several feet in the air in a spar? - Sat Dec  5 20:01:55 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-He said..n-not to hold back.. - Sat Dec  5 20:02:46 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *weak laughter* - Sat Dec  5 20:02:46 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: I don't care how burly the person you're doing it to might be, it's a -spar-. - Sat Dec  5 20:02:46 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: A healing pill. - Sat Dec  5 20:05:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't like pills. - Sat Dec  5 20:06:11 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: But fine. - Sat Dec  5 20:06:11 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *chews pill* - Sat Dec  5 20:06:11 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) would've not taken the woman's hand, standing on her own.* - Sat Dec  5 20:06:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Sat Dec  5 20:07:02 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) caught the pill and swallowed it.* - Sat Dec  5 20:08:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: F-Fine.. - Sat Dec  5 20:08:44 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: You can get to the hospital on your own right? I advise getting your injuries checked out, I'll be staying here. - Sat Dec  5 20:09:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I gotta go to the hospital? - Sat Dec  5 20:10:27 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nah I am fine. - Sat Dec  5 20:10:27 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Sigh... good luck with that mindset. - Sat Dec  5 20:10:27 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Sat Dec  5 20:11:18 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hnng.. - Sat Dec  5 20:12:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You ok Momu? - Sat Dec  5 20:12:09 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Sat Dec  5 20:14:43 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You have gotten so much stronger Momu. - Sat Dec  5 20:18:59 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I have? - Sat Dec  5 20:18:59 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yup, I could easily avoid your attacks last time we sparred. *laughs* - Sat Dec  5 20:19:50 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I have some more training to do. - Sat Dec  5 20:19:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I guess.. - Sat Dec  5 20:19:50 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *shrugs*  I can't wait to train with Sensei again. - Sat Dec  5 20:21:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (https://www.youtube.com/watch?v=Dlxq6KkpSoo this is pretty much momura to all of her friends - Sat Dec  5 20:22:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Sat Dec  5 20:22:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I want to learn m-more.. - Sat Dec  5 20:22:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Same. - Sat Dec  5 20:22:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Do you know why she went to Konoha? - Sat Dec  5 20:23:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Dunno. - Sat Dec  5 20:24:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmm. - Sat Dec  5 20:25:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Soo. - Sat Dec  5 20:34:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Soo? - Sat Dec  5 20:36:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sanoke san. - Sat Dec  5 20:44:35 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hello. - Sat Dec  5 20:44:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo. - Sat Dec  5 20:44:35 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I just beat h-hiroshi in a spar. - Sat Dec  5 20:44:35 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Hi Sanoke! - Sat Dec  5 20:45:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Neat. - Sat Dec  5 20:45:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yep. - Sat Dec  5 20:45:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What up, Chik. - Sat Dec  5 20:45:26 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Nothing much. - Sat Dec  5 20:45:26 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How are you doing Sanoke? - Sat Dec  5 20:45:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Meh, a little bored. - Sat Dec  5 20:45:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Wanna spar? - Sat Dec  5 20:45:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Might try to invite other villages over for the festives. - Sat Dec  5 20:46:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hope they ain't lame. - Sat Dec  5 20:46:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: When is it all going to start? - Sat Dec  5 20:46:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: No clue. - Sat Dec  5 20:46:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Damn. - Sat Dec  5 20:46:17 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sanoke-san - Sat Dec  5 20:47:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Spar me. - Sat Dec  5 20:47:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? Eh. Later? - Sat Dec  5 20:47:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Awee..' - Sat Dec  5 20:48:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Why me, though? Should try someone more your level. - Sat Dec  5 20:48:00 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I already beat c-chikyu. - Sat Dec  5 20:48:00 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And h-hiroshi. - Sat Dec  5 20:48:51 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Next is kinami.. - Sat Dec  5 20:48:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Was it a stomp? - Sat Dec  5 20:48:51 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Then that woman o-over there who p-punched me. - Sat Dec  5 20:48:51 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh? - Sat Dec  5 20:48:51 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-What'cha mean.? - Sat Dec  5 20:48:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Was it effortless? - Sat Dec  5 20:48:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And who is the woman? - Sat Dec  5 20:48:51 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: She's talking about me. - Sat Dec  5 20:48:51 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) pointed at mizora.* - Sat Dec  5 20:48:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh. That's not nice. - Sat Dec  5 20:48:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Why'd ya do it? - Sat Dec  5 20:48:51 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: She went a little too full out in a spar. - Sat Dec  5 20:49:42 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And sort of...W-We collided and my a-arm hurt a lot..b-but for the most part..I-I did it easily.. - Sat Dec  5 20:49:42 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Nahhh.. - Sat Dec  5 20:49:42 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-He said don't h-hold back. - Sat Dec  5 20:49:42 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So I didn't. - Sat Dec  5 20:49:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Easy?. . . Well damn. . .  - Sat Dec  5 20:49:42 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: That doesn't mean you try to drill his head into the ground... - Sat Dec  5 20:49:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  I'm fine.  - Sat Dec  5 20:49:42 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-It was more o-of a slam.. - Sat Dec  5 20:49:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: She got me buddy. - Sat Dec  5 20:50:33 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: She turned into an ant or something. - Sat Dec  5 20:50:33 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Sat Dec  5 20:50:33 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Shhh.. - Sat Dec  5 20:50:33 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmm? - Sat Dec  5 20:50:33 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh. . Sorry. - Sat Dec  5 20:50:33 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But yeah..I-I beat him.. - Sat Dec  5 20:52:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Whatcha guys been up to? Besides sparrin'. - Sat Dec  5 20:52:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Next I'-- - Sat Dec  5 20:52:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Nothing. - Sat Dec  5 20:52:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nothing. - Sat Dec  5 20:52:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Laaame!  - Sat Dec  5 20:52:16 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: I'm working on trying to get used to small swords. *points to tanto on her back* - Sat Dec  5 20:52:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: This school shit is cutting into my training time. - Sat Dec  5 20:52:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Meh.  -- Tanto. Badass. Y'know, I can get4 down with tantos too, y'know? - Sat Dec  5 20:53:07 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Well, I'm just learning it to expand my abilities - Sat Dec  5 20:53:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And school is cool, Hideo. You can't be an illerate! I think that's the word. - Sat Dec  5 20:53:58 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I can read and write. - Sat Dec  5 20:53:58 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't see why I am going, I already graduated at the academy. - Sat Dec  5 20:54:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Academy is ninja studies. - Sat Dec  5 20:54:49 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) suddenly rushes sanoke, "B-But it doesn't prepare for t-this!" She'd ram her fist into his face as hard and fast as she could.

(1 damage and 1 Attack speed, rp accordingly)* - Sat Dec  5 20:55:40 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Illiterate, you mean? - Sat Dec  5 20:56:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Haaaa. - Sat Dec  5 20:57:23 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) was tossed away.* - Sat Dec  5 20:57:23 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Best name for a slam. - Sat Dec  5 20:58:14 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Sanoke, is there any paperwork I can get filled out and reviewed for a possible promotion? - Sat Dec  5 20:59:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yes. Write on these nutz. - Sat Dec  5 20:59:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Maybe. - Sat Dec  5 20:59:56 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) got back up onto her feet as she took a deep breathe, staring at sanoke blankly.* - Sat Dec  5 21:00:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . .  - Sat Dec  5 21:00:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: S'up? - Sat Dec  5 21:00:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You said you w-wouldn't f-fight me but y-you'll fight her. - Sat Dec  5 21:01:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I see how it is s-sanoke-san. - Sat Dec  5 21:01:39 2015
