<br><font color=teal>*Heiwa(PythonJedi) says: Mm. Closer, stand beside me. - Tue Dec  1 03:15:50 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Just because I don't like working with others doesn't mean i'm weak. - Fri Dec  4 23:39:05 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: It just means I -hate- people. - Fri Dec  4 23:39:05 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: . . . . - Fri Dec  4 23:39:05 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Be quiet. - Fri Dec  4 23:39:05 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: It's not about who works harder. - Fri Dec  4 23:39:05 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Or who's stronger. - Fri Dec  4 23:39:05 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Not anymore. - Fri Dec  4 23:39:05 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I don't care. - Fri Dec  4 23:39:05 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I'm not working with him. - Fri Dec  4 23:39:05 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: You will. - Fri Dec  4 23:39:05 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: It's never been....It's about Resolve. - Fri Dec  4 23:39:05 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: If he's going to act like this. - Fri Dec  4 23:39:56 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Geo, Ryo . . Shut up. - Fri Dec  4 23:39:56 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Every fucking time he speaks. - Fri Dec  4 23:39:56 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Thank you. - Fri Dec  4 23:39:56 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Go on Anguo, lead your squad. - Fri Dec  4 23:41:39 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Right...Well.. - Fri Dec  4 23:43:21 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: We have a mission to do. - Fri Dec  4 23:43:21 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Meet me at the mansion so we can start. - Fri Dec  4 23:43:21 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Fine, hurt me enough so I don't have to go on that mission. - Fri Dec  4 23:44:12 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I'm not working with Geo. - Fri Dec  4 23:44:12 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: WOuld you work with someone that threatened to kill you? - Fri Dec  4 23:45:04 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: I did it with Ortho, did I not? - Fri Dec  4 23:45:04 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Who? - Fri Dec  4 23:45:04 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: You don't need to know. - Fri Dec  4 23:45:04 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: ... - Fri Dec  4 23:45:04 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Then why tell me? - Fri Dec  4 23:45:04 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Because I'm telling you did I have worked with someone that threatened to kill me. - Fri Dec  4 23:45:55 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Infact, he killed my brother also. - Fri Dec  4 23:45:55 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Right, except you could probably defend yourself against this person. - Fri Dec  4 23:45:55 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I can't. - Fri Dec  4 23:45:55 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Defend? - Fri Dec  4 23:45:55 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: He could beat me with his hands tied behind his back. - Fri Dec  4 23:46:46 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Literally. - Fri Dec  4 23:46:46 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Because I'd rather you make peace, not war. - Fri Dec  4 23:47:37 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: That's impossible for me and him. - Fri Dec  4 23:47:37 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Not when he has the attitude of. - Fri Dec  4 23:47:37 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Just stop being stuck u. - Fri Dec  4 23:47:37 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: 'If you don't have my resolve, you should die'. - Fri Dec  4 23:48:28 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: It's his problem, not mine. I'm not the stuck up one, he is. - Fri Dec  4 23:48:28 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: You can literally learn a lot of shit from Anguo. - Fri Dec  4 23:49:20 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: So use the opportunity given to you. - Fri Dec  4 23:49:20 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: And? I'll learn it on my own. - Fri Dec  4 23:49:20 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: . . . . . . - Fri Dec  4 23:49:20 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I don't want to have to rely on people. - Fri Dec  4 23:49:20 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Yes, I'm the same. - Fri Dec  4 23:49:20 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I'll become weak if that happens, i'll need everyone to do things for me. - Fri Dec  4 23:49:20 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I'll get left behind and be laughed at. - Fri Dec  4 23:50:11 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: At least with not working with people, they know to avoid me. - Fri Dec  4 23:50:11 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: You see. - Fri Dec  4 23:50:11 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: The difference between me and you is that. - Fri Dec  4 23:50:11 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: I used people to learn things, because I thought about the long run. - Fri Dec  4 23:50:11 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: But I don't want to owe people anything either. - Fri Dec  4 23:51:02 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I don't even -like- people. - Fri Dec  4 23:51:02 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: You don't have to owe people anything. - Fri Dec  4 23:51:02 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: I don't like others either. - Fri Dec  4 23:51:02 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Just thing about the long run. - Fri Dec  4 23:51:53 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I do, I just don't want them interfering in said long run. - Fri Dec  4 23:52:44 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: I've been through your stage. - Fri Dec  4 23:52:44 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Look how I turned out. - Fri Dec  4 23:52:44 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: You know what, I don't even care to be honest. - Fri Dec  4 23:53:36 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Mizukage? Sounds pretty good. - Fri Dec  4 23:53:36 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Only for a short run, darling. - Fri Dec  4 23:53:36 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Still, yoy became a kage. - Fri Dec  4 23:54:27 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: And did it on your own. - Fri Dec  4 23:54:27 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Look, my point is. - Fri Dec  4 23:54:27 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I've never had anyone to rely on, so why start now? - Fri Dec  4 23:54:27 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Tch, I will be. - Fri Dec  4 23:56:09 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Yeah, as soon as you seek help. - Fri Dec  4 23:57:00 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: He left in the end. - Sat Dec  5 00:03:50 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Good. - Sat Dec  5 00:03:50 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) thinks: . . . I speak too fast . . - Sat Dec  5 00:03:50 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Couldn't find them Kana. - Sat Dec  5 00:04:41 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: . . . . - Sat Dec  5 00:04:41 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Sigh. - Sat Dec  5 00:05:32 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Oh Heiwa. - Sat Dec  5 00:07:15 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Did you complete that mission? - Sat Dec  5 00:07:15 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We were just about to head out. - Sat Dec  5 00:09:48 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: ? - Sat Dec  5 00:09:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Where are we supposed to meet the contact? - Sat Dec  5 00:11:31 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Mansion. - Sat Dec  5 00:14:04 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Huh? - Sat Dec  5 00:22:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We have a mission, remember? - Sat Dec  5 00:26:01 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We're going to escort someone to Kumo. - Sat Dec  5 00:26:01 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Oh, right. - Sat Dec  5 00:30:17 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Okay. - Sat Dec  5 00:30:17 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: Do any of you know where the market is? - Sat Dec  5 00:41:23 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: . . . . . - Sat Dec  5 00:41:23 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Oh? - Sat Dec  5 00:41:23 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: And where I could get medicine and ointments. - Sat Dec  5 00:42:14 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: I remember you. - Sat Dec  5 00:42:14 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) thinks: That little one....reminds me of Hir-....foolish Rymei....Can't be. - Sat Dec  5 00:49:04 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: What's going on? - Sat Dec  5 00:49:04 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) thinks: Why aren't they helping... - Sat Dec  5 00:55:53 2015
<br><br><font color=teal>*Kagayaki, Hyoryu(SS2015) thinks: Who is the white haired girl? - Sat Dec  5 00:56:44 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Are you stupid? - Sat Dec  5 00:56:44 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: You don't know -what- the threat is, so why face it head on like a dumbass? - Sat Dec  5 00:56:44 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Because I can. - Sat Dec  5 00:57:36 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: You're gonna die. - Sat Dec  5 00:57:36 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: You guys can sit here and not do anything, I'm going to actually do something. - Sat Dec  5 00:57:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We need a plan if we're going to survive, Ryo. - Sat Dec  5 00:57:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: They make us stronger. - Sat Dec  5 00:57:36 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Make one up as we're on the move. - Sat Dec  5 00:57:36 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Lets go before any deaths happen. - Sat Dec  5 00:57:36 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Let's move. I'm a mid-range, to close range fighter. I'm statin' this because nobody really knows me. - Sat Dec  5 00:58:27 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Tch...Squad 1, we're moving out. Any abled bodied shinobis are free to join us. - Sat Dec  5 00:58:27 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Fine, let's move out. - Sat Dec  5 00:59:18 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Ryo, Kyubishu, Sekitsui - you'll have the vanguard. - Sat Dec  5 00:59:18 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) thinks: Why is this guy ordering me around? - Sat Dec  5 00:59:18 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: Why is everyone rushing around? - Sat Dec  5 01:12:57 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: We've gotta do something. - Sat Dec  5 01:24:03 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: so iwatobi's attack and anguo - Sat Dec  5 02:18:40 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ I'm about to turn and leave this shit ] - Sat Dec  5 02:25:29 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ We should though, fuck this shit ] - Sat Dec  5 02:26:20 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ Yeah, plus apparently me being a child means I can't run as fast so that fucks me in combat ] - Sat Dec  5 02:28:03 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ One tile movement life OP ] - Sat Dec  5 02:28:03 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ I mean I have great dura but who gonna sit there and wait for me to come at them? ] - Sat Dec  5 02:28:54 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ Yeah, also why i'm saying out lol ] - Sat Dec  5 02:31:28 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ Watch his gen be either rediculous or terrible ] - Sat Dec  5 02:35:44 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ Sigh, probably ] - Sat Dec  5 02:36:35 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ Love how this was done just after 70% of the village was nerfed ] - Sat Dec  5 02:36:35 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ Ain't no meta shit here ] - Sat Dec  5 02:36:35 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ Rich doesn't even know what's going on, he's trying to get killed ] - Sat Dec  5 02:37:26 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ wtf is this shit ] - Sat Dec  5 02:40:00 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers: [ we're all dying ] - Sat Dec  5 02:40:00 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: eh like probably 10 tiles would be enogh to claim you were like out of our range of knowing you were here - Sat Dec  5 02:45:58 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ Heiwa ] - Sat Dec  5 02:52:48 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ Did you know these guys aren't EC's? ] - Sat Dec  5 02:52:48 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ This is a legit attack. ] - Sat Dec  5 02:52:48 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ Pretty sure Yuriko is not EC ] - Sat Dec  5 02:53:39 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ Yeah she ain't EC ] - Sat Dec  5 02:55:21 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ Love how Thirteen was trolling to shit with his Gen, then tries to weasle out here ] - Sat Dec  5 02:57:04 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ ikr, did they expect us to come at them one at a time? ] - Sat Dec  5 02:59:37 2015
<br><br><font color=teal>*Yori(Sisbro55) says: Fuck that nigga Rich, you see that Dragon fam? - Sat Dec  5 03:03:02 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: no\ - Sat Dec  5 03:23:31 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ Yo? ] - Sat Dec  5 03:24:22 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers: [ Yeah? ] - Sat Dec  5 03:24:22 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ Heh, fair nuff ] - Sat Dec  5 03:25:13 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ tbf, he is trying to bullshit ] - Sat Dec  5 03:25:13 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ This is also why I will -never- go gen spec ] - Sat Dec  5 03:25:13 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ He would have been fine if he stayed in the back and trapped everyone ] - Sat Dec  5 03:26:04 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ So meteorites ] - Sat Dec  5 03:26:56 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ wtf do we even do ] - Sat Dec  5 03:28:38 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ yep ] - Sat Dec  5 03:39:44 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ Gonna leave ] - Sat Dec  5 03:39:44 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ before I get dragged into this bullshit ] - Sat Dec  5 03:40:35 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ This shit is broken, terrible Event ] - Sat Dec  5 03:47:24 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ I'm not the strongest but I refuse to participate in this shit ] - Sat Dec  5 03:49:58 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ ik, i'm just too fucking mad at the moment ] - Sat Dec  5 03:51:40 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) whispers:  [ Theodysseygamer ] - Sat Dec  5 03:54:14 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ....Are you alright? Do we have any medics? - Sat Dec  5 04:07:53 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Here, here. - Sat Dec  5 04:08:44 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) looks around the area. . How many people on their side was injured anyway?* - Sat Dec  5 04:09:36 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) walked over towards Kana, examining her wounds for the most part to see how heinous they were.* - Sat Dec  5 04:13:00 2015
<br><br><font color=teal>*Asin(Thanatoz) thinks: Why are they so quiet... - Sat Dec  5 04:15:34 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) sighs for a moment, "I need two people to help her to the hospital. The sooner she is taken care of, the better."She did not need to test anything out as she was using her chakra to pinpoint what areas internally as well as externally were affected.

She can't really heal bones, but tend to them naturally? That was one thing she can actually try to do.* - Sat Dec  5 04:17:16 2015
<br><br><font color=teal>*Asin(Thanatoz) says: I'll help you out - Sat Dec  5 04:17:16 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I'll help. As best I can. - Sat Dec  5 04:18:08 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ---Oh. - Sat Dec  5 04:19:50 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: nah - Sat Dec  5 04:23:15 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) thinks: I'm I so heavy that I need two people to lift me up? Fuck them. - Sat Dec  5 04:29:13 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Get . . Off me. - Sat Dec  5 04:33:29 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: No lady Mizukage...You have to let us help.. - Sat Dec  5 04:33:29 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Come on, come on. To the hospital. - Sat Dec  5 04:33:29 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: . . No . . - Sat Dec  5 04:33:29 2015
<br><br><font color=teal>*Asin(Thanatoz) says: But you're hurt.. - Sat Dec  5 04:34:20 2015
