<br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: -omit- - Tue Dec  1 02:28:54 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: I don't have a whole lot of money. .  - Tue Dec  1 20:13:00 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: but can I give you what I have for lessons in Genjutsu and Fuuinjutsu? - Tue Dec  1 20:13:00 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: *shrug* I don't know any fuuinjutsu, but I can teach you the Genjutsu I know. - Tue Dec  1 20:13:52 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Alright! - Tue Dec  1 20:13:52 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: But don't bother with any money. I don't need it - Tue Dec  1 20:13:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm, that reminds me. - Tue Dec  1 20:13:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *heaves a sigh* - Tue Dec  1 20:13:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Can we finish our training too? @ Lera - Tue Dec  1 20:14:43 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I can teach both at the same time. - Tue Dec  1 20:14:43 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Come along then. - Tue Dec  1 20:14:43 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: er... - Wed Dec  2 00:13:39 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I thought you where related to that other person you ran the resturant with? - Wed Dec  2 00:13:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Wed Dec  2 00:14:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-That's my f-fiance. - Wed Dec  2 00:14:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .... My bad! - Wed Dec  2 00:14:30 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Oh hey Mitsunara! - Wed Dec  2 00:14:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Mitsunara! - Wed Dec  2 00:15:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: F-Fight me. - Wed Dec  2 00:15:21 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Eh? - Wed Dec  2 00:16:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I just got home.. - Wed Dec  2 00:16:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I mean- you sure? - Wed Dec  2 00:17:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea...I-I gotta fight in the l-last part of the chuunins..s-soon.. - Wed Dec  2 00:17:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So I gotta g-get ready. - Wed Dec  2 00:17:04 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) pats Momura on the shoulder. "Hey, no need to do that for an old acquintance thats just returned."

She then looks over to Mitsunara, and came over to give her a big squeeze of a hug. Chikyu's strength noticably increased. "No need to worry, I was so afraid something happen to you. Glad to see you are alright."* - Wed Dec  2 00:17:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Shit, I missed Chuunin Exams? - Wed Dec  2 00:17:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yes. - Wed Dec  2 00:17:04 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Yep! - Wed Dec  2 00:17:04 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Don't worry about it, I missed it too. - Wed Dec  2 00:17:55 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Me three. - Wed Dec  2 00:17:55 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ... - Wed Dec  2 00:18:46 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: ? - Wed Dec  2 00:18:46 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: L-Let's go to t-thre arena.. - Wed Dec  2 00:18:46 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: When did you get here Mitsu? - Wed Dec  2 00:19:37 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: A wizard did it, Hideo. - Wed Dec  2 00:19:37 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: And sure, Momura. - Wed Dec  2 00:19:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Whaaa? - Wed Dec  2 00:19:37 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Wed Dec  2 00:19:37 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Just a warnin- I might be a bit rusty... and stuff. I've mostly been /walking/ the entire time I've been gone. - Wed Dec  2 00:20:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I missed it exams tooo dont feel bad guys - Wed Dec  2 00:20:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *shrugs* Did you need something? @ Kida - Wed Dec  2 00:20:28 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Guys. - Wed Dec  2 00:20:28 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Do we still own Kumogakure? - Wed Dec  2 00:20:28 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I was thinking about visiting. - Wed Dec  2 00:20:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Of course we do. - Wed Dec  2 00:20:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ... - Wed Dec  2 00:20:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Its like our farm or something. - Wed Dec  2 00:20:28 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I only met one Kumogakure shinobi. They probably whack. - Wed Dec  2 00:20:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: A-A clone.. - Wed Dec  2 00:22:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: say N-No holding back? - Wed Dec  2 00:22:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Or shall w-we hold back? - Wed Dec  2 00:22:11 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I'll be holding back a little. I won't bring out my uh.. - Wed Dec  2 00:22:11 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: My clan thingie, at first. - Wed Dec  2 00:22:11 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: But that might change. - Wed Dec  2 00:23:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh I'll h-hold back then.. - Wed Dec  2 00:23:02 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Show me what you can do, eh? - Wed Dec  2 00:23:02 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Oh he came here too?  Maybe he wants to see the fight like me. - Wed Dec  2 00:25:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hey Hiroshi. - Wed Dec  2 00:25:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How's it going Kyu? - Wed Dec  2 00:26:27 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Aah. Nice moves. I want it. - Wed Dec  2 00:26:27 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Heh. Fair enough. - Wed Dec  2 01:42:24 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I've been alright I suppose. I've begun to travel again, but I always find my way back here.  - Wed Dec  2 01:56:03 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I've a favor to ask of you though. - Wed Dec  2 01:56:03 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ask away. - Wed Dec  2 01:56:54 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I wish to learn the sword. I've become captivated by its grace. I also wish to learn for its meditative uses. - Wed Dec  2 01:58:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: And you want me to teach you, huh? - Wed Dec  2 01:58:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Got a sword to use? - Wed Dec  2 01:58:36 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I've a bokken. - Wed Dec  2 01:59:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: S'pose that works for basics, but you'll want something that has some real weight to it, later on... - Wed Dec  2 02:00:19 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm.. - Wed Dec  2 02:00:19 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I'll keep that in mind. - Wed Dec  2 02:02:01 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: That is to say... a bokken is good for some things, but... Heh. - Wed Dec  2 02:03:44 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Can we start now? - Wed Dec  2 02:05:26 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: If you're alright with it. - Wed Dec  2 02:05:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Sure. Got a training spot in mind? - Wed Dec  2 02:06:17 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Wed Dec  2 02:07:08 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Just a bit north. Towards the walls. - Wed Dec  2 02:07:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmm. - Wed Dec  2 02:07:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Man I need to find some more teachers. - Wed Dec  2 02:07:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hiro you seen anyone with way coolor earth jutsu  than us. - Wed Dec  2 02:08:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nope. - Wed Dec  2 02:08:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You know more than I do buddy. - Wed Dec  2 02:08:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Sure then- lead the way. - Wed Dec  2 02:08:00 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: This is going to be a pain. - Wed Dec  2 02:08:51 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What is Trill? - Wed Dec  2 02:09:42 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Finding new teachers. - Wed Dec  2 02:09:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh, might be. - Wed Dec  2 02:09:42 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmmm. - Wed Dec  2 02:10:33 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You will find one man. - Wed Dec  2 02:11:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Just keep your head up. - Wed Dec  2 02:11:24 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Every time i get close to traking one down they die. - Wed Dec  2 02:12:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Damn. . .  - Wed Dec  2 02:12:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That sucks man. - Wed Dec  2 02:12:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What have you been doing lately Kyu? - Wed Dec  2 02:13:07 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't think I have spoken too you a lot in the last few days. - Wed Dec  2 02:13:07 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Wed Dec  2 02:22:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What is it now Trill? - Wed Dec  2 02:25:55 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: S'up kiddo. - Wed Dec  2 02:27:37 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I'm bored. - Wed Dec  2 02:28:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Out of my mind... - Wed Dec  2 02:28:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Like... - Wed Dec  2 02:28:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I wanna learn something new. - Wed Dec  2 02:28:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I got a thrist of knowlesge. - Wed Dec  2 02:28:28 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Hey Ai. - Wed Dec  2 02:31:02 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Haven't been able to talk with ya for a while, how have ya been? - Wed Dec  2 02:31:02 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I wish I could help you Trill. - Wed Dec  2 02:31:02 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Pretty good, I've learned to walk on walls and water! - Wed Dec  2 02:32:44 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Its so much fun. - Wed Dec  2 02:32:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Nice! - Wed Dec  2 02:32:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Do you know how to move super fast? - Wed Dec  2 02:33:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Nope! - Wed Dec  2 02:34:27 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Want to know how to? - Wed Dec  2 02:34:27 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Sure, if you want to. - Wed Dec  2 02:35:18 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I wish I could help you out Trill. - Wed Dec  2 02:35:18 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: But ninjutsu isn't my thing. - Wed Dec  2 02:35:18 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: (Under me - Wed Dec  2 02:36:09 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) nods ands thanks for the scroll.* - Wed Dec  2 02:37:00 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Hm? Good morning. - Wed Dec  2 02:41:16 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) whispers: Morning. - Wed Dec  2 02:42:08 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Morning. - Wed Dec  2 02:42:08 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Sleep well? - Wed Dec  2 02:42:08 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) whispers: Mhm. - Wed Dec  2 02:42:59 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Lovely.~ - Wed Dec  2 02:43:50 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ... - Wed Dec  2 02:50:40 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ..? - Wed Dec  2 02:51:31 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: got a thirst for deez nuts - Wed Dec  2 02:53:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Wed Dec  2 02:53:13 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What about you? - Wed Dec  2 02:53:13 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Who are you looking for? - Wed Dec  2 02:54:04 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Depends, who are you looking for? - Wed Dec  2 02:54:04 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: hmm. - Wed Dec  2 02:54:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'm looking for the Old Man. Where he's living at now. - Wed Dec  2 02:54:56 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: The old man? - Wed Dec  2 02:54:56 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Old man, Hassan? - Wed Dec  2 02:54:56 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Hassan? - Wed Dec  2 02:54:56 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I am Hassan. - Wed Dec  2 02:54:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yeah. - Wed Dec  2 02:54:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: No you're not kid. - Wed Dec  2 02:55:47 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: He died. - Wed Dec  2 02:55:47 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Lord Muhammed is gone. - Wed Dec  2 02:55:47 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I get he retired. - Wed Dec  2 02:55:47 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Dude I am Hassan. - Wed Dec  2 02:55:47 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'm asking where is he living now? Sanoke told me the Old Man retired and left. - Wed Dec  2 02:56:38 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: We just told you. He's dead. - Wed Dec  2 02:56:38 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: My name is Trillaim Q Hassan. - Wed Dec  2 02:56:38 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Edge. - Wed Dec  2 02:58:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Edge? Really? - Wed Dec  2 02:58:20 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: He didn't die to Edge. He left and died shortly after his leave. - Wed Dec  2 02:58:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Wow, that's a shock. - Wed Dec  2 02:58:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Ah. - Wed Dec  2 02:58:20 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Also, don't be rude to people that are from the same nation you want information from. - Wed Dec  2 02:58:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Tell it to him. As far as I know, budding into other people's business is also rude. - Wed Dec  2 03:00:03 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: No. I'm telling it to -you- and -you- only. - Wed Dec  2 03:00:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Wed Dec  2 03:00:54 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So this is how the village the Old Man brought back from the dead is.  Meh. - Wed Dec  2 03:00:54 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'll just make this short and sweet. - Wed Dec  2 03:00:54 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: There's two other people I'm looking for. One I just have a name. The other, is an old friend of mine. - Wed Dec  2 03:01:45 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'll start with the friend. Kyushibu. Seen him around lately? - Wed Dec  2 03:01:45 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Dead. - Wed Dec  2 03:01:45 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: -omit- - Wed Dec  2 03:02:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: We've already told you. - Wed Dec  2 03:02:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: We don't know where that person is. - Wed Dec  2 03:02:36 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) thinks: Realiam////Make Galagus eat him now fool rip his fucking intesnt out and make a chain from it boy. - Wed Dec  2 03:03:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I figured he might of turned up around here. - Wed Dec  2 03:03:28 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: He is. - Wed Dec  2 03:04:19 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) thinks: I will tell you again Realiam shut the hell up. - Wed Dec  2 03:04:19 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What about a red head? Short hair, alright body, looked like a strawberry with all the red she wore. - Wed Dec  2 03:05:10 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Wed Dec  2 03:05:10 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ...Red head? Momu? - Wed Dec  2 03:06:01 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: What does her physique have to do with this? - Wed Dec  2 03:06:01 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Everything. - Wed Dec  2 03:06:01 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Wed Dec  2 03:06:01 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Looking like a strawberry... - Wed Dec  2 03:06:01 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'm looking for her. I'll call her Strawberry-Chan. - Wed Dec  2 03:06:52 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: For what reason? - Wed Dec  2 03:06:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: She caught my attention. She made my eyes sparkle. - Wed Dec  2 03:07:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: She should be sleeping. - Wed Dec  2 03:07:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: -- - Wed Dec  2 03:07:44 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Find her on your own if you're into her. - Wed Dec  2 03:07:44 2015
