<br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Hm? - Sun Nov  8 02:06:17 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 01:52:38 2015
<br><br><font color=teal>*Hejjihoggu za, Sonikku (Malamalajong) thinks: Where are the chillidogs?! - Tue Nov 10 01:54:20 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well, if you say so then! - Tue Nov 10 01:54:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ...Mrm. - Tue Nov 10 01:54:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yo, Chikyu. - Tue Nov 10 01:55:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Sup? - Tue Nov 10 01:55:12 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: Fufufufu. - Tue Nov 10 01:56:03 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: -omit- - Tue Nov 10 01:56:03 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Ah... Hey Akimora. - Tue Nov 10 01:56:03 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Losing interest... - Tue Nov 10 01:56:03 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Whats up? - Tue Nov 10 01:56:03 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Nothing much, just tired. - Tue Nov 10 01:56:54 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: Perhaps if I continue to ask, everyone will leave and I can do it here. - Tue Nov 10 01:56:54 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I suppose so. - Tue Nov 10 01:58:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Oy vey... - Tue Nov 10 01:58:36 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 01:59:28 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Well? - Tue Nov 10 01:59:28 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Nah - Tue Nov 10 02:01:10 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I see. . . - Tue Nov 10 02:01:10 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Back - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: To - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Gimme... a little while - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: The - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Past! - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .Yeah? - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Trying to fight a girl after she was just injured? - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: For shame! - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ugh.. - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Yepyepyep. - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: You fiend! - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Fiendfiendfiend. - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I suggest you both leave me alone. - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: #Yep. - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Hurry, women! Run before he attacks you in a blind fury! His lust for death holds no bounds! - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: ...He even plans on attacking children!  - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .. Yo. - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: No bounds! No bounds! - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Marco. - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Jiki! Hurry, alert the elite guards! - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Still doubt my durability? - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Shishishi. - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Alert alert! - Tue Nov 10 02:06:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: And.. yo.. guys. Stop making fun of the guy. - Tue Nov 10 02:06:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I'll just take 'm on... - Tue Nov 10 02:06:17 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: What... did I walk into?.. - Tue Nov 10 02:06:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Heh... - Tue Nov 10 02:06:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Good, Marco. - Tue Nov 10 02:06:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Now.... - Tue Nov 10 02:08:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Aza... - Tue Nov 10 02:08:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: What's wrong with fightin in front of everyone? - Tue Nov 10 02:08:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Eh? - Tue Nov 10 02:08:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: C'mon, can't be that bad! - Tue Nov 10 02:08:00 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Drop it like those dead bodies! - Tue Nov 10 02:09:42 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 02:09:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .....Hah. - Tue Nov 10 02:09:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: That one was actually funny. - Tue Nov 10 02:09:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ehhehehe... Corpses.. - Tue Nov 10 02:09:42 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: God you two people are annoying. - Tue Nov 10 02:09:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ugh.... Fuck, but the kid does pack a punch.. - Tue Nov 10 02:09:42 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Thank you Mitsu! - Tue Nov 10 02:10:33 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I try my best. *nod* - Tue Nov 10 02:10:33 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Yes he does, yes he does. - Tue Nov 10 02:10:33 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Nothings up...and Mizora... do you want to go eat at a resturaunt. You been chewing on that honey bun for a long time. - Tue Nov 10 02:12:16 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I'm not sure I'll eat... - Tue Nov 10 02:12:16 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: You sick? - Tue Nov 10 02:14:49 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Sick..? - Tue Nov 10 02:14:49 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well, you're being quite....and saying you're not sure you can eat. - Tue Nov 10 02:14:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .... Mrm... - Tue Nov 10 02:15:40 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Vomitting alot..? - Tue Nov 10 02:15:40 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: No.. this is normal for me.. - Tue Nov 10 02:15:40 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .. 's someone pregnan- ah, nevermind. - Tue Nov 10 02:15:40 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: That doesn't sound normal. - Tue Nov 10 02:15:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Tue Nov 10 02:16:32 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Pregnant, in love or depression...Pick your posion.. - Tue Nov 10 02:16:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: She's depressed. - Tue Nov 10 02:17:23 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Its obvious. - Tue Nov 10 02:17:23 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Dang.  - Tue Nov 10 02:17:23 2015
<br><br><font color=teal>*Shira(Osmanesanogo) thinks: That girl must be pissed from being fire fisted by Little-Sensei's .... Cousin? - Tue Nov 10 02:17:23 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Let her live man. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I dislike love.... I-I don't think I'll ever be pregnant... and... depression... well.. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Little-Sensei's brother. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Or cousin - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Or Friend. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Finally awake Hassan..? - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I was right.. Depression. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Like my Giant Futa Shuriken? - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Im not busy. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I don't sleep often. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Too easy. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Hi.. Tetsumi... - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ... Ah. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: KazeKage. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yo. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Anything for me today..? - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Any missions available, 'tall..? - Tue Nov 10 02:19:05 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Not at the moment. - Tue Nov 10 02:19:05 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Hey.. What's up? Want to talk? - Tue Nov 10 02:19:05 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Missions? - Tue Nov 10 02:19:05 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Literally anything to be done. - Tue Nov 10 02:19:05 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: What do you mean...? - Tue Nov 10 02:19:05 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Yeah smalls shit. - Tue Nov 10 02:19:05 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: That's fine with me. I gotta do /somethin/ other than spar. - Tue Nov 10 02:19:56 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: D or C ranked? - Tue Nov 10 02:19:56 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: We're already talking... - Tue Nov 10 02:19:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: C. I like to live dangerous. - Tue Nov 10 02:19:56 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Guard the gate. - Tue Nov 10 02:19:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: A'ight, works for me. - Tue Nov 10 02:20:48 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) looked over to Mizora, as she was dragged. She followed along, saying "Hey! Where are you taking her?"* - Tue Nov 10 02:23:21 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: Chikyuuuuu... heeeeelp.. - Tue Nov 10 02:24:12 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: I dodn't wanna "talk"... - Tue Nov 10 02:25:04 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) thinks: -sets up the psychic link with Mizora- I'm trrryyyiinnnngggg! - Tue Nov 10 02:25:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Fucking people following. - Tue Nov 10 02:25:55 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <Omit*> - Tue Nov 10 02:28:28 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Hm. - Tue Nov 10 02:28:28 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: Seems the boy is still here. - Tue Nov 10 02:29:20 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: Perhaps I can try again. - Tue Nov 10 02:29:20 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: So. - Tue Nov 10 02:34:27 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: How about now boy? - Tue Nov 10 02:34:27 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Call me Ivel. - Tue Nov 10 02:35:18 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) immeaditly dropped prone whe n the sand started to lfit her up and off the ground. She trusted Jiki, but this was a little out of even the over enegetic girl's comfort zone. Her body shaking, as she chatters "I'm-m...ri-gh-ght be-hind-d you Miz-Mizora!"* - Tue Nov 10 02:35:18 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Show me what ya got! - Tue Nov 10 02:35:18 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . .It can't be here as I said. - Tue Nov 10 02:35:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'm Shira, Ivel. - Tue Nov 10 02:35:18 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Nice to meet you again. - Tue Nov 10 02:36:09 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Come on, aint nobody watching. - Tue Nov 10 02:36:09 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Do you like my Fuma Shuriken? - Tue Nov 10 02:36:09 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: That joint hot. - Tue Nov 10 02:36:09 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 02:36:09 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Found ya! - Tue Nov 10 02:38:43 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: ... - Tue Nov 10 02:44:41 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Ayyy! - Tue Nov 10 02:44:41 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: Anyway... While the clones keep him.. occupied. What's on your mind, Mizora? - Tue Nov 10 02:48:06 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: You're family remember? You can talk to me. - Tue Nov 10 02:48:06 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: Nothing is..... - Tue Nov 10 02:48:06 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Look... Mizora... it wasn't right for Jiki to take you like that *She gives him a short look* But, if anything is bothering or making you feel even a bit bad. We want to help! - Tue Nov 10 02:50:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Mizora, don't give me no bull. Remember, you told me the reason before. Haha.. I'm sorry for that, and she's right. - Tue Nov 10 02:51:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: Mizora, don't give me no bull. Remember, you told me the reason before. Haha.. I'm sorry for that, and she's right. - Tue Nov 10 02:51:31 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Come on. - Tue Nov 10 02:52:22 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: You smell like .. - Tue Nov 10 02:52:22 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Heck! - Tue Nov 10 02:59:12 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: I..It's fine.. really. - Tue Nov 10 02:59:12 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I knew it was a faaaakeee! - Tue Nov 10 02:59:12 2015
