<br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-Yes? - Sat Nov  7 01:21:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Heh... - Tue Nov 10 02:06:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Good, Marco. - Tue Nov 10 02:06:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Now.... - Tue Nov 10 02:08:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Aza... - Tue Nov 10 02:08:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: What's wrong with fightin in front of everyone? - Tue Nov 10 02:08:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Eh? - Tue Nov 10 02:08:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: C'mon, can't be that bad! - Tue Nov 10 02:08:00 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Drop it like those dead bodies! - Tue Nov 10 02:09:42 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 02:09:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .....Hah. - Tue Nov 10 02:09:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: That one was actually funny. - Tue Nov 10 02:09:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ehhehehe... Corpses.. - Tue Nov 10 02:09:42 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: God you two people are annoying. - Tue Nov 10 02:09:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ugh.... Fuck, but the kid does pack a punch.. - Tue Nov 10 02:09:42 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Thank you Mitsu! - Tue Nov 10 02:10:33 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I try my best. *nod* - Tue Nov 10 02:10:33 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Yes he does, yes he does. - Tue Nov 10 02:10:33 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Nothings up...and Mizora... do you want to go eat at a resturaunt. You been chewing on that honey bun for a long time. - Tue Nov 10 02:12:16 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I'm not sure I'll eat... - Tue Nov 10 02:12:16 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: You sick? - Tue Nov 10 02:14:49 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Sick..? - Tue Nov 10 02:14:49 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well, you're being quite....and saying you're not sure you can eat. - Tue Nov 10 02:14:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .... Mrm... - Tue Nov 10 02:15:40 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Vomitting alot..? - Tue Nov 10 02:15:40 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: No.. this is normal for me.. - Tue Nov 10 02:15:40 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .. 's someone pregnan- ah, nevermind. - Tue Nov 10 02:15:40 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: That doesn't sound normal. - Tue Nov 10 02:15:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Tue Nov 10 02:16:32 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Pregnant, in love or depression...Pick your posion.. - Tue Nov 10 02:16:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: She's depressed. - Tue Nov 10 02:17:23 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Its obvious. - Tue Nov 10 02:17:23 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Dang.  - Tue Nov 10 02:17:23 2015
<br><br><font color=teal>*Shira(Osmanesanogo) thinks: That girl must be pissed from being fire fisted by Little-Sensei's .... Cousin? - Tue Nov 10 02:17:23 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Let her live man. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I dislike love.... I-I don't think I'll ever be pregnant... and... depression... well.. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Little-Sensei's brother. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Or cousin - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Or Friend. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Finally awake Hassan..? - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I was right.. Depression. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Like my Giant Futa Shuriken? - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Im not busy. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I don't sleep often. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Too easy. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Hi.. Tetsumi... - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ... Ah. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: KazeKage. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yo. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Anything for me today..? - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Any missions available, 'tall..? - Tue Nov 10 02:19:05 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Not at the moment. - Tue Nov 10 02:19:05 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Hey.. What's up? Want to talk? - Tue Nov 10 02:19:05 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Missions? - Tue Nov 10 02:19:05 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Literally anything to be done. - Tue Nov 10 02:19:05 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: What do you mean...? - Tue Nov 10 02:19:05 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Yeah smalls shit. - Tue Nov 10 02:19:05 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: That's fine with me. I gotta do /somethin/ other than spar. - Tue Nov 10 02:19:56 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: D or C ranked? - Tue Nov 10 02:19:56 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: We're already talking... - Tue Nov 10 02:19:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: C. I like to live dangerous. - Tue Nov 10 02:19:56 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Guard the gate. - Tue Nov 10 02:19:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: A'ight, works for me. - Tue Nov 10 02:20:48 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: Chikyuuuuu... heeeeelp.. - Tue Nov 10 02:24:12 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: I dodn't wanna "talk"... - Tue Nov 10 02:25:04 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) thinks: -sets up the psychic link with Mizora- I'm trrryyyiinnnngggg! - Tue Nov 10 02:25:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Fucking people following. - Tue Nov 10 02:25:55 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Hm. - Tue Nov 10 02:28:28 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: Seems the boy is still here. - Tue Nov 10 02:29:20 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: Perhaps I can try again. - Tue Nov 10 02:29:20 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: So. - Tue Nov 10 02:34:27 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: How about now boy? - Tue Nov 10 02:34:27 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Call me Ivel. - Tue Nov 10 02:35:18 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Show me what ya got! - Tue Nov 10 02:35:18 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . .It can't be here as I said. - Tue Nov 10 02:35:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'm Shira, Ivel. - Tue Nov 10 02:35:18 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Nice to meet you again. - Tue Nov 10 02:36:09 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Come on, aint nobody watching. - Tue Nov 10 02:36:09 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Do you like my Fuma Shuriken? - Tue Nov 10 02:36:09 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: That joint hot. - Tue Nov 10 02:36:09 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 02:36:09 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Hahaha! - Tue Nov 10 02:36:09 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 02:37:00 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Could we atleast force them out of the area? - Tue Nov 10 02:37:00 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: It won't be good if you don't stop me. - Tue Nov 10 02:37:52 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I can probably stop you. - Tue Nov 10 02:38:43 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Probably~ - Tue Nov 10 02:38:43 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Again. . . - Tue Nov 10 02:38:43 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Move them if you would. - Tue Nov 10 02:38:43 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Come onnn. - Tue Nov 10 02:38:43 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Do it. - Tue Nov 10 02:38:43 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) weaves a few seals and performs the Fire Run jutsu, sealing them in their own cool area. 

"Tada"* - Tue Nov 10 02:39:34 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I see. . . - Tue Nov 10 02:39:34 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Just start us off. - Tue Nov 10 02:41:16 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) throws a ball of fire at his face.* - Tue Nov 10 02:42:59 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: The hell is going on with that guy? - Tue Nov 10 02:54:04 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) blinked three times in quick succession as the man's skin shifted and a secondary more murderous personality took to the forefront of his psyche. "Oh. Is that all.." he thought to himself as the man began to charge towards him, his approach full of openings, some he wouldn't capitalize on for the sake of life. 

Raising his right hand he'd snap his fingers as numerous balls of flame would unleash themselves from his right hand. A total of four crimson orbs would fly towards Aza, aiming to interrupt his charge and potentiall damage him to the point of injury if they were to explode upon contact.  * - Tue Nov 10 03:00:03 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) decided that if the man wanted to go for a more Taijutsu orientation then that was fine, but he'd naturally add in his own spark. Summoning his fire shroud, Ivel would be encased in a bright flame. The flame's would augment his physical force as well as provide a hearty defense against both physical and spiritual attacks. 

As the Juugo attempted to strike him in his gut he'd swing his left arm to divert the blow, whilst simulatenously dealing a sharp right hook to the chin, aiming to send him to the ground. Ivel would take a quick step backward and hop on the balls of his feet. 

"C'mon monster."* - Tue Nov 10 03:12:51 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: We // - Tue Nov 10 03:17:07 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Ha// - Tue Nov 10 03:17:07 2015
<br><br><font color=teal>*Shira(Osmanesanogo) thinks: Oi. Tickle my Dick, but I'm pretty sure I saw that dude with a gross fist about to kill Ivel. - Tue Nov 10 03:21:23 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) jive rocked that nigga son. 

Ivel had successfully struck the man in his chin, sending him to the ground with a quick right hook. It wasn't anything major, Ivel was merely gifted. As was Aza in his own way, but not comparable to the self proclaimed Dragon! Noticing that Aza's fist had begun to grow and change in shape, the young shinobi would quickly raise his guard. 

As the punch was thrown his way he'd simply allow the fire shroud to do it's job, the flames searing into his opponents flesh if he dared to strike him, however, with Aza's mental the way it was..it was clear he cared not about his own well being. He'd simply have to knock him out.* - Tue Nov 10 03:25:39 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) was thrown backwards from the additional force of the Piston Fist. It wasn't enough to break his defenses but it would surely break the lesser man. Looking to his opponent as he attempted to reach the edge of the flame, Ivel began to chuckle. 

"You don't get it...All of this flame is mine..." he'd say aloud as he raised his right hand. Flames from the surrounding wall would quickly close in towards Aza, aiming to tighten the circle into a rather large wall surrounding him. Ivel would quickly feed the flames, increasing the thickness of the wall. 

"Best thing to do when you meet a wild animal?"

Ivel's hands would fly through the air from numerous angles as he continued to speak, the wall of flame would shorten until it reached about six feet. From there he'd open it up a bit, not large enough to walk through but large enough to see a face. 

"Is put it in a cage~"

Sweat had begun to form upon Ivel's face as he maintained the flame's shape. It was clearly taxing his young body.* - Tue Nov 10 03:38:27 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: That doesn't look normal... - Tue Nov 10 03:46:59 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) Sighed deeply to himself as Aza just couldn't see when he was outclassed. 
"Can't this guy take a hint..." he said aloud as he quickly raised his right arm, his fire shroud defending against the whole chain thing. "Time to end it.." he'd state as he raised his right hand, palm towards the sky whilst looking towards his flame craft. 

With a sudden flexing of his fingers, the flames would suddenly close around Aza, most likely burning him and giving him a hell of a itch. Seeing as his flames were a bit too wild and uncontrolled he'd scale the temperature back significantly, but he'd still be burned a fuckton. 

Seeing as this guy was a wild animal he'd force him to sit in the wall of flames until he either calmed down, or passed out due to injury. * - Tue Nov 10 03:49:32 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I got it! - Tue Nov 10 03:52:57 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) thinks: I think... - Tue Nov 10 03:52:57 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) thinks: Still trying to get the whole..."Burn without killing" thing. I guess practice makes perfect. - Tue Nov 10 03:52:57 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Go Funa Shuriken! - Tue Nov 10 03:58:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Because thats what it was in canon - Tue Nov 10 04:09:10 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) watched that nigga get wrapped like a christmas present. All the flames in the surrounding area would dim as Ivel took a deep breath, his hands resting on his knees. 

"I said...I had it, hehe."* - Tue Nov 10 04:16:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Good fight, though. - Tue Nov 10 04:36:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: How old are you two? - Tue Nov 10 04:37:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Well. . ?! - Tue Nov 10 04:39:53 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh. He's knocked out. - Tue Nov 10 04:39:53 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You got all crazy. -- Say. - Tue Nov 10 04:43:18 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Do you have a Demon in you? - Tue Nov 10 04:43:18 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: OOoh! Well, uhm. You need to learn how to control that. No offense but. .  - Tue Nov 10 04:46:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You were crazy as hell. It'll be hard for you to spar since you're nearly impossible to put down. - Tue Nov 10 04:46:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Well.  . without fatally injuring. - Tue Nov 10 04:46:43 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . .It isn't controllable. - Tue Nov 10 04:46:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Well of course it isn't. And it'll never be if you got that mindset. - Tue Nov 10 04:47:34 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 04:49:16 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: Stupid man. . .talking about pointless things when I'm sitting here in pain. - Tue Nov 10 04:49:16 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: There may not be any.. I haven't seen any medics today. - Tue Nov 10 04:57:48 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: God why couldn't I have unleashed it on this guy. - Tue Nov 10 05:00:22 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Really? I'll look around. - Tue Nov 10 05:01:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh god, another battle? - Tue Nov 10 05:03:47 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: No... - Tue Nov 10 05:05:29 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: .... - Tue Nov 10 05:10:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Ah. - Tue Nov 10 05:11:28 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: May I get a mission? - Tue Nov 10 20:26:14 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Alright, i'll fight u Kana. - Tue Nov 10 20:28:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ---- - Tue Nov 10 20:28:48 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: A mission? - Tue Nov 10 20:29:39 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Yes. - Tue Nov 10 20:29:39 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Yeah you can get one. - Tue Nov 10 20:29:39 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm? - Tue Nov 10 20:30:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: If there's anything group-requiring available, I can go with her. - Tue Nov 10 20:30:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) thinks: I am so boreeeddd. - Tue Nov 10 20:30:30 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Grandpa! - Tue Nov 10 20:30:30 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: ...? - Tue Nov 10 20:30:30 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: You been ducking and dodging me.. - Tue Nov 10 20:30:30 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Right... - Tue Nov 10 20:31:21 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I have questions. - Tue Nov 10 20:31:21 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Like what? - Tue Nov 10 20:32:12 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Skills. I was hoping for some guidance..? - Tue Nov 10 20:32:12 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Right... - Tue Nov 10 20:32:12 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Too busy? - Tue Nov 10 20:33:04 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I'm busy. - Tue Nov 10 20:33:04 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Later? - Tue Nov 10 20:33:55 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: No ask away. - Tue Nov 10 20:33:55 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: Spar a lower ranked shinobi? I'm pretty sure i'm at the bottom of the totem pole... - Tue Nov 10 20:33:55 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: They can be equal ranked Mana, in case you were wondeing. - Tue Nov 10 20:33:55 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ... - Tue Nov 10 20:33:55 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: If I didn't have broken ribs right now. - Tue Nov 10 20:34:46 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Well...i'm trying to develop a jutsu. - Tue Nov 10 20:34:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I'd be right on that. - Tue Nov 10 20:34:46 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: I see... - Tue Nov 10 20:34:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Sadly, I have a doctors order not to fight for a week... - Tue Nov 10 20:34:46 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: It's sort of like the whole wind armor thing..but focused tight. - Tue Nov 10 20:34:46 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: And it's not really armor. - Tue Nov 10 20:34:46 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: But.. - Tue Nov 10 20:34:46 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: It's hard to explain! - Tue Nov 10 20:34:46 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: ....Someone else wants to mimic wind armor?" - Tue Nov 10 20:34:46 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Jeez... - Tue Nov 10 20:35:37 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Not wind armor. - Tue Nov 10 20:35:37 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: I see...Do you know anyone who may be close to me, sir?  - Tue Nov 10 20:35:37 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: You'll need a lot of chakra control to even come close. - Tue Nov 10 20:35:37 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: And a lot of chakra. - Tue Nov 10 20:35:37 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: How much control is enough..? - Tue Nov 10 20:35:37 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: You're a genin, in a village filled with them. - Tue Nov 10 20:35:37 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Ivel. - Tue Nov 10 20:35:37 2015
