<br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yo - Sat Oct  3 16:09:23 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . .Really? - Sun Oct  4 03:14:08 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: Hey. - Sun Oct  4 03:15:50 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: You with the sword! - Sun Oct  4 03:15:50 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -isnt ic but the sensing me was legit- - Sun Oct  4 03:15:50 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -is ic now- - Sun Oct  4 03:17:32 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . . - Sun Oct  4 03:20:57 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: You have a lot of people to offically catch up with, so I think I shall leave you alone, heh. - Sun Oct  4 03:24:22 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Dunno. Erebus chased me off ages ago when he realized my intelligence was a threat to him. - Sun Oct  4 03:27:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He went mad. Thought I was manipulating him. - Sun Oct  4 03:27:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Using him. Playing with his head. - Sun Oct  4 03:27:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I have that effect on people sometimes. - Sun Oct  4 03:27:47 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: .... - Sun Oct  4 03:28:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: -- Not that I was ever his ally. I was forced to be his figurehead Hokage. - Sun Oct  4 03:28:38 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: So he's finally lost it eh.. - Sun Oct  4 03:28:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I hear...he's very, very dead. - Sun Oct  4 03:28:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Putty. Mush. Minced meat. - Sun Oct  4 03:28:38 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I was under the impression that you had agreed to that. - Sun Oct  4 03:29:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: No. See, he met me in Genjigakure. . . - Sun Oct  4 03:29:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I was on a bench. He'd been dragging a scythe around. Asked me my sins. - Sun Oct  4 03:29:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Ended up having to smooth talk him into not killing me. - Sun Oct  4 03:29:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: And from then on? - Sun Oct  4 03:29:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I had to be careful to make sure he stayed my friend. - Sun Oct  4 03:29:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He told me his plans so I assumed.....just walking away wasn't an option. - Sun Oct  4 03:29:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: By the time he killed one of my best friends right in front of me....it was definitely too late. - Sun Oct  4 03:30:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: That's a handful of a story you have...But speaking of it so openly, you sure you want ease droppers to hear? - Sun Oct  4 03:30:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: When loyalist follow the targets of their enemy? - Sun Oct  4 03:30:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Define..."targets of my master"? - Sun Oct  4 03:31:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: If Erebus wanted revenge, surely a follower would be around to keep constant updates of your well being. - Sun Oct  4 03:32:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Against me? - Sun Oct  4 03:32:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I've been in disguise. - Sun Oct  4 03:32:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He wanted to kill me. - Sun Oct  4 03:32:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Should've thought things through before chasing off someone that knew all his plans. - Sun Oct  4 03:32:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Ask the Raikage. I fed him information. - Sun Oct  4 03:32:54 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Hm...Zenaki will be happy to see her, could be an old friend.. - Sun Oct  4 03:35:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I was 'going' to feed all of the kages information. My birds never seemed to make it to Koeki though. - Sun Oct  4 03:36:19 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: They always came back with the scroll in their talons. - Sun Oct  4 03:36:19 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: So you've been quite busy eh?.. You're as cunning as they come. - Sun Oct  4 03:36:19 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Yo. - Sun Oct  4 03:39:44 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Could I get some medical help? - Sun Oct  4 03:41:26 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I've manipulated no one in my life. - Sun Oct  4 03:43:08 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: No, I'm not originally from here. - Sun Oct  4 03:44:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: And, it's a long story. - Sun Oct  4 03:44:00 2015
<br><br><font color=teal>*Uzumaki, Arashiyama(HidariOP) says: Yo. - Sun Oct  4 03:44:00 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm probably the most honest person you know. - Sun Oct  4 03:44:51 2015
<br><br><font color=teal>*Uzumaki, Arashiyama(HidariOP) says: Kang. - Sun Oct  4 03:44:51 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Sup Arash? - Sun Oct  4 03:44:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Almost definitely. - Sun Oct  4 03:44:51 2015
<br><br><font color=teal>*Uzumaki, Arashiyama(HidariOP) says: How are you progressing? - Sun Oct  4 03:44:51 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Fine? - Sun Oct  4 03:44:51 2015
<br><br><font color=teal>*Uzumaki, Arashiyama(HidariOP) says: That is good. - Sun Oct  4 03:44:51 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Sure thing Sanoke... - Sun Oct  4 03:44:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Grab a sensory shinobi and I'm sure they can check me to be sure the jutsu is working. - Sun Oct  4 03:45:42 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Anywho. - Sun Oct  4 03:45:42 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I can sense just fine on my own..Anyway.. - Sun Oct  4 03:45:42 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: What do you plan to do now, hm? - Sun Oct  4 03:45:42 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: After all is resolved. - Sun Oct  4 03:45:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Travel. I'm finally free. The second I finally escaped...a certain other master, after trying for five whole years. . . - Sun Oct  4 03:46:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I ended up with another collar around my neck. - Sun Oct  4 03:46:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Now? I don't have one. - Sun Oct  4 03:46:33 2015
<br><br><font color=teal>*Uzumaki, Arashiyama(HidariOP) says: Wrong guy. - Sun Oct  4 03:46:33 2015
<br><br><font color=teal>*Uzumaki, Arashiyama(HidariOP) says: The injured one is up there. - Sun Oct  4 03:46:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I can finally do whatever I want. So I'm gonna relax. - Sun Oct  4 03:46:33 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: No seals on you that you don't know of, yes? - Sun Oct  4 03:47:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: None that I don't know of. - Sun Oct  4 03:47:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Why...? Can you sense it? - Sun Oct  4 03:47:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uuuh. Koji, you okay? - Sun Oct  4 03:48:16 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: ------ - Sun Oct  4 03:48:16 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Angel Hands.... - Sun Oct  4 03:48:16 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Kilana's technique. - Sun Oct  4 03:48:16 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) thinks: A Priest. - Sun Oct  4 03:49:07 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) thinks: I haven't seen much since Reitei. - Sun Oct  4 03:49:07 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Hmm? - Sun Oct  4 03:49:58 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: That wasn't put there by Erebus. - Sun Oct  4 03:49:58 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: You have heard of this technique? - Sun Oct  4 03:49:58 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: omit - Sun Oct  4 03:49:58 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: (i can't say that) - Sun Oct  4 03:49:58 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: (lol) - Sun Oct  4 03:49:58 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Yes. - Sun Oct  4 03:50:49 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: A priest I knew.... - Sun Oct  4 03:50:49 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: She used it. - Sun Oct  4 03:50:49 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: She died. . . though. - Sun Oct  4 03:50:49 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Interesting... tobad I never got a chance to meet her... - Sun Oct  4 03:50:49 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well she is with God now so I know she is happy - Sun Oct  4 03:51:40 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: . . . - Sun Oct  4 03:52:32 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: ... - Sun Oct  4 03:55:56 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: . . . . . - Sun Oct  4 03:57:39 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Priest. - Sun Oct  4 03:58:30 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Yes Kenshin? - Sun Oct  4 03:58:30 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Keep up the good preaching. - Sun Oct  4 03:58:30 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: That's my donation. - Sun Oct  4 03:58:30 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Make sure I don't end up in purgatory. - Sun Oct  4 03:58:30 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: I'd like to go to Heaven. - Sun Oct  4 03:58:30 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: THAT MOMENT WHEN THE PRIEST IGNORE A PRAYER REQUEST LOL - Sun Oct  4 04:00:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: -omit- - Sun Oct  4 04:00:12 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Anyways. - Sun Oct  4 04:00:12 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Guess I'm out of here. - Sun Oct  4 04:00:12 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: I have to Koeki. - Sun Oct  4 04:00:12 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: I'll see you all later. - Sun Oct  4 04:00:12 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: When are you teaching me a new technique Koji? - Sun Oct  4 04:00:12 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Of course I will say a prayer for you Koji - Sun Oct  4 04:01:55 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Let me recover my chakra and we'll begin. - Sun Oct  4 04:02:46 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Thank you Bryson. - Sun Oct  4 04:02:46 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Very well. - Sun Oct  4 04:03:37 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Pet. - Sun Oct  4 04:03:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*coughs*> Sanoke. - Sun Oct  4 04:04:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anywho. What, we heading off or what? - Sun Oct  4 04:04:28 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Sure thing pet. - Sun Oct  4 04:05:20 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yeah, I get it from my former master Fuji and Hassan. It's a Suna thing. - Sun Oct  4 04:06:11 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Amen and Thank God let us keep the peace. - Sun Oct  4 04:06:11 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: This was careless of my... Sorry Setsuko... - Sun Oct  4 04:07:53 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Sigh... as long as we're not in jail forever, fine by me. - Sun Oct  4 04:08:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Sun Oct  4 04:09:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: So many people.. - Sun Oct  4 04:09:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Where did everyone come from? - Sun Oct  4 04:09:36 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Izanami you look stronger today. Have you been training? - Sun Oct  4 04:09:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Huh? - Sun Oct  4 04:10:27 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uh.. a little haha. - Sun Oct  4 04:10:27 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Keep up the good work. My eyes just show me the growth in your chakra. - Sun Oct  4 04:11:18 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Tell me.... - Sun Oct  4 04:13:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: If you remove this seal.... - Sun Oct  4 04:13:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Will there be any markings in its place? - Sun Oct  4 04:14:43 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: There will not... - Sun Oct  4 04:14:43 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: ...Gonna be hard to knock that habit. Talking like that. - Sun Oct  4 04:14:43 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Only marking I am working on now is a negation seal...To prevent those marked from being affected by any seal within my power. - Sun Oct  4 04:14:43 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: So a friend can check to make sure you didn't put anything in its place, then. - Sun Oct  4 04:15:34 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I don't care for violence.. - Sun Oct  4 04:15:34 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mhm.. - Sun Oct  4 04:15:34 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Alright. Fine. I'll allow it. - Sun Oct  4 04:15:34 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: What are we talkina bout ... I am most interested... You girl you seem new have you accepted God as your Lord and savior? - Sun Oct  4 04:16:25 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uh... - Sun Oct  4 04:23:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What's going on? - Sun Oct  4 04:23:15 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Hello young one... - Sun Oct  4 04:24:06 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hi. - Sun Oct  4 04:24:57 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: ....Where's Kenshin? - Sun Oct  4 04:24:57 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hey Iza. - Sun Oct  4 04:24:57 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Your father is helping this young lady out with a sealing I assume - Sun Oct  4 04:24:57 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Oh. - Sun Oct  4 04:24:57 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You're helping somone again? - Sun Oct  4 04:24:57 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Kenshin left a while ago - Sun Oct  4 04:24:57 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'll admit....I'm not that eager to get the thing removed. - Sun Oct  4 04:29:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Your lack of trust...Is making this hard. - Sun Oct  4 04:29:13 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It's not a problem for me. - Sun Oct  4 04:29:13 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Why...do you need...a hand on my shoulder? - Sun Oct  4 04:29:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: No balance, just to keep you still, just in case the seal might have a certain command to make you bite. - Sun Oct  4 04:30:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It doesn't. - Sun Oct  4 04:30:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: omit - Sun Oct  4 04:30:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: This time ...I wont touch anything but the seal, deal? - Sun Oct  4 04:30:56 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Deal. - Sun Oct  4 04:30:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Sometimes I wish I had another profession.... - Sun Oct  4 04:30:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Sun Oct  4 04:32:38 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *Blinks* - Sun Oct  4 04:32:38 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Does anyone want to train with me? - Sun Oct  4 04:32:38 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Since there's nothing else to doo.. - Sun Oct  4 04:33:29 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Soon Iza. - Sun Oct  4 04:33:29 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: O-oh, okay. - Sun Oct  4 04:34:20 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Getting somewhat sick of being around, he would finally speak up, "I think I'm gonna go train or something."* - Sun Oct  4 04:35:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I might be in trouble now. - Sun Oct  4 04:38:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I would never have let you if not for the circumstances -- me having been forced to work for such a psychotic and dangerous, murdery man. - Sun Oct  4 04:38:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm... - Sun Oct  4 04:38:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I see now.. - Sun Oct  4 04:38:36 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Young lady... in the purple - Sun Oct  4 04:40:19 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmm....? - Sun Oct  4 04:40:19 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Are you interested in making God your lord and savior? - Sun Oct  4 04:41:10 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . .. - Sun Oct  4 04:42:01 2015
