<br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Eh. - Tue Oct  6 01:32:35 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: You did! - Wed Oct  7 21:54:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: GENESIS! - Wed Oct  7 21:54:08 2015
<br><br><font color=teal>*Kaori(Coolm3) says: . . . Bro. - Wed Oct  7 21:54:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: NO, I DIDN"T! - Wed Oct  7 21:54:08 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: You touched her?! - Wed Oct  7 21:54:08 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: . . . - Wed Oct  7 21:54:08 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Oh lord! - Wed Oct  7 21:54:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Raghhhh! - Wed Oct  7 21:54:08 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Damn! - Wed Oct  7 21:54:59 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Don't you think... - Wed Oct  7 21:54:59 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Not all the time. - Wed Oct  7 21:54:59 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: If I -had- done something like that. - Wed Oct  7 21:54:59 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ... - Wed Oct  7 21:54:59 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Kojiro. - Wed Oct  7 21:54:59 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Its okay. - Wed Oct  7 21:55:50 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Maybe that girl next to you won't mind. - Wed Oct  7 21:55:50 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You make me sick. - Wed Oct  7 21:55:50 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Maybe you still gotta' chance.. maybe. - Wed Oct  7 21:55:50 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ---- - Wed Oct  7 21:55:50 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: She is your sister. - Wed Oct  7 21:55:50 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) thinks: Freaks.  - Wed Oct  7 21:55:50 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I've never done anything. - Wed Oct  7 21:56:41 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Like that. - Wed Oct  7 21:56:41 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You admitted to it. - Wed Oct  7 21:57:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I said I never touched her. - Wed Oct  7 21:57:32 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: . . . - Wed Oct  7 21:57:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You can ask her. - Wed Oct  7 21:57:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: That's just wrong. - Wed Oct  7 21:57:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You saved me from being thrown in jail from my bar-fight, but now you're throwing me under the bus. - Wed Oct  7 21:58:24 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ... - Wed Oct  7 21:58:24 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: It doesn't matter tho'. - Wed Oct  7 21:58:24 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: IT hurts my feelings. - Wed Oct  7 21:58:24 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Raikage touching her now. - Wed Oct  7 21:58:24 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) Not exactly wanting to hear anymore of this conversation, and he had places to be, he would speak up, "Sorry to interupt, truely, but perhaps one of you could direct me to Sunagakure? Perhaps even show me the way?" he was acting very innocent compaired to how he usually would, but he had no clue on how to get to the village.* - Wed Oct  7 21:58:24 2015
<br><br><font color=teal>*Reguel(Airide) says: Alright where's the Raikage? - Wed Oct  7 21:59:15 2015
<br><br><font color=teal>*Reguel(Airide) says: I need to complain about this damn student I was sent to teach. - Wed Oct  7 21:59:15 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: He's courting my sister, supposedly. - Wed Oct  7 21:59:15 2015
<br><br><font color=teal>*Kaori(Coolm3) says: . . . - Wed Oct  7 21:59:15 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ? - Wed Oct  7 21:59:15 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Nah - Wed Oct  7 21:59:15 2015
<br><br><font color=teal>*Reguel(Airide) says: Great. - Wed Oct  7 21:59:15 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: He tapping his sister. - Wed Oct  7 21:59:15 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Courting doesn't come till next week. - Wed Oct  7 21:59:15 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Uh. - Wed Oct  7 22:00:06 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Move aside? - Wed Oct  7 22:00:06 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: We aren't allowed. - Wed Oct  7 22:00:57 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: To go. - Wed Oct  7 22:00:57 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Out of the village. - Wed Oct  7 22:00:57 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Without permission. - Wed Oct  7 22:00:57 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Oh? - Wed Oct  7 22:00:57 2015
<br><br><font color=teal>*Reguel(Airide) says: You, how's your injuries? - Wed Oct  7 22:00:57 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'll live. - Wed Oct  7 22:00:57 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: I see. - Wed Oct  7 22:00:57 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Anyone who is allowed to? - Wed Oct  7 22:01:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: The Raikage could probably make it a mission. - Wed Oct  7 22:01:48 2015
<br><br><font color=teal>*Reguel(Airide) says: Why would we allow a kid to exit the village without protection? - Wed Oct  7 22:01:48 2015
<br><br><font color=teal>*Reguel(Airide) says: Speaking of missions and kids. - Wed Oct  7 22:01:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: You don't believe their lies, do you? - Wed Oct  7 22:01:48 2015
<br><br><font color=teal>*Reguel(Airide) says: I need to go finish tutoring this other one. - Wed Oct  7 22:01:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: I wouldn't touch Gene. - Wed Oct  7 22:01:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: -- - Wed Oct  7 22:02:40 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: Ye', but it still stands. - Wed Oct  7 22:02:40 2015
<br><br><font color=teal>*Kaori(Coolm3) whispers: Hm? No, I was just making fun. Did it offend ya'? - Wed Oct  7 22:02:40 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Oh, Me? - Wed Oct  7 22:02:40 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: -..No.. I guess not.. - Wed Oct  7 22:02:40 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I'll be fine, jus' some aching. - Wed Oct  7 22:02:40 2015
<br><br><font color=teal>*Kaori(Coolm3) whispers: I'm sorry anyway, cheer up, huh? - Wed Oct  7 22:02:40 2015
<br><br><font color=teal>*Reguel(Airide) says: Good. - Wed Oct  7 22:03:31 2015
<br><br><font color=teal>*Reguel(Airide) says: Anyways I got a mission to complete. - Wed Oct  7 22:03:31 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: ..Nah, you made me look stupid in front of Kirie-Chan-Senpai-Sama-Dono.....  - Wed Oct  7 22:03:31 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: Now, I'm wounded. - Wed Oct  7 22:03:31 2015
<br><br><font color=teal>*Reguel(Airide) says: Kirie-Chan-Senpai-Sama-Dono. Wow you are stupid. - Wed Oct  7 22:04:22 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Wed Oct  7 22:04:22 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Shut up. - Wed Oct  7 22:04:22 2015
<br><br><font color=teal>*Reguel(Airide) says: I don't listen to idiots. - Wed Oct  7 22:04:22 2015
<br><br><font color=teal>*Kaori(Coolm3) whispers: Poor baby. Maybe you should be careful of what you say~. - Wed Oct  7 22:04:22 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) Simply shakes his head, he was sick of this on-going drama series. Turning around, he would calmly walk away.* - Wed Oct  7 22:04:22 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: Ima tell Gene. - Wed Oct  7 22:05:13 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) Having walked away from the small group of people who were, in his opinion, freaks, he would appear down at the bottom of the hill, looking around he would utter the same question he had asked up at the top of the hill, "Would anyone here happen to be able to direct me, or better yet, take me to Sunagakure? I don't exactly know the way myself." saying such with a blank face, and a monotone voice.* - Wed Oct  7 22:07:47 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: No point in going. - Wed Oct  7 22:08:38 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Oh? - Wed Oct  7 22:08:38 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Why is that? - Wed Oct  7 22:08:38 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: You'll be dropped by their guards. - Wed Oct  7 22:08:38 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Really? - Wed Oct  7 22:09:29 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Yes. - Wed Oct  7 22:09:29 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: They won't even let a traveler in? - Wed Oct  7 22:09:29 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Not associated with a village? - Wed Oct  7 22:09:29 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Unlikely. - Wed Oct  7 22:09:29 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Hmph. - Wed Oct  7 22:09:29 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Where are we going? - Wed Oct  7 22:23:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hii.~ - Wed Oct  7 22:43:37 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: So. - Wed Oct  7 22:43:37 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Have you seen. - Wed Oct  7 22:43:37 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: My Mixtape in stores? - Wed Oct  7 22:43:37 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: If I flirt with her, It's an investment for when she's' of age. - Wed Oct  7 22:43:37 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: Idea.. - Wed Oct  7 22:43:37 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Yeah. - Wed Oct  7 22:43:37 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Would you like some Candy Nina~? - Wed Oct  7 22:43:37 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -omit- - Wed Oct  7 22:43:37 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I want to train too.~ - Wed Oct  7 22:44:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Wed Oct  7 22:45:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Are you coming. - Wed Oct  7 22:45:20 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Man. - Wed Oct  7 22:49:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It seems. - Wed Oct  7 22:49:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: That. - Wed Oct  7 22:49:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: This was a bad idea.. You guy's don't drink. - Wed Oct  7 22:49:36 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Whose next? - Wed Oct  7 22:49:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: .... - Wed Oct  7 23:16:03 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: Meditating. - Wed Oct  7 23:16:03 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Idiot N.1 and N.2 - Wed Oct  7 23:16:03 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: Sometimes it is. - Wed Oct  7 23:16:54 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) thinks: Worthess people, and their worthless games. - Wed Oct  7 23:17:45 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: Indeed. It is. - Wed Oct  7 23:19:28 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: Ah...Give me a moment. - Wed Oct  7 23:20:19 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: >:C 0 - Wed Oct  7 23:22:01 2015
<br><br><font color=teal>*Kaori(Coolm3) says: . . . - Wed Oct  7 23:25:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: So, where were we? - Wed Oct  7 23:27:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: *Hiccup..* No more drinkush's? - Wed Oct  7 23:28:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Nighty night. - Wed Oct  7 23:28:00 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: . . . - Wed Oct  7 23:28:00 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) thinks: These people. . . - Wed Oct  7 23:28:51 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Hnnngehrahrahnhngfgjh.... - Wed Oct  7 23:28:51 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) thinks: How have you escaped death for so long? - Wed Oct  7 23:28:51 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: Ah...Right. What are yours? - Wed Oct  7 23:29:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: ....... - Wed Oct  7 23:29:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What are you doing? - Wed Oct  7 23:29:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And Why. - Wed Oct  7 23:29:42 2015
<br><br><font color=teal>*Kaori(Coolm3) says: You guys are a mess. - Wed Oct  7 23:29:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You have five seconds before something bad happens to you. - Wed Oct  7 23:29:42 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Ergh, I feel like shit.. - Wed Oct  7 23:31:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) whispers: Ah...I see. A good hobby I must say. - Wed Oct  7 23:32:16 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) thinks: These people are beyond understanding. - Wed Oct  7 23:32:16 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) would walk over a bit to an empty table to sit, and upon doing so, he would open his book and begin to read.* - Wed Oct  7 23:33:07 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I guess.. - Wed Oct  7 23:35:40 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'm going to.. - Wed Oct  7 23:35:40 2015
