<br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And it'd be a secret. - Tue Sep 29 04:43:18 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I'd rather not. - Wed Sep 30 02:01:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I am thinking about carving you up. - Wed Sep 30 02:01:36 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Carving me up? - Wed Sep 30 02:01:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yep. - Wed Sep 30 02:02:27 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I can do it with my blade. - Wed Sep 30 02:02:27 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Or my finger - Wed Sep 30 02:02:27 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I'd prefer you not to. - Wed Sep 30 02:03:18 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I do not care for what you prefer. - Wed Sep 30 02:04:09 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I could carve you up right now. - Wed Sep 30 02:04:09 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Which one do you prefer - Wed Sep 30 02:05:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You have to chose. - Wed Sep 30 02:05:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Blade or finger. - Wed Sep 30 02:05:52 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: What? - Wed Sep 30 02:05:52 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: For what? - Wed Sep 30 02:05:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You have ten seconds to decide before I decide for you. - Wed Sep 30 02:07:34 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: For what? - Wed Sep 30 02:08:25 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Finger, Finger. - Wed Sep 30 02:08:25 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Whatever. - Wed Sep 30 02:08:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Finger? - Wed Sep 30 02:09:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Alright then. - Wed Sep 30 02:09:16 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) placed her right foot up against her head to bend her foward exposing her back. She would grab the wire ends with one hand and would tighten them a bit more causing them to cut deeper into her skin. Extending out her right hand and index finger she would begin to focus chakra onto it then pressed it down onto Kohaku's back when enough chakra had been focused causing her skin to become branded where her finger was passing by "Hmmm." hummed Kirie as she moved her finger ro the right "What do you want me to write on your back? Your name? Any specific word? Tell me."* - Wed Sep 30 02:14:24 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) wasn't about to write her name on her back so she just begin carving it up the word 'B' 'I' 'T' 'C' 'H' on her back taking her sweet time carving out all the letters "So what else? Do you have a message for your new owner? Would you want me to carve anything for him to read as he probably will be fucking you over and over so he will need something to read." she would chuckle a bit then began focusing more chakra into her finger.

Bringing it down once again she would begin to carve straight lines down her back avoiding to hit the wires that were binding her down as she did not want to cut her loose on accident. "Tell me Kohaku, do you have any family? Anyone you care for?"* - Wed Sep 30 02:27:12 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) pushed her with her foot further to make her bend foward to the point where her ass was up in the air "Family all dead huh? Well that sucks I am not really sorry to do that as I am sure they all died to get away from you." she would then focus chakra onto her finger and would begin carving the words "No" "Entry" above her ass cheeks as a fun little joke at least it was fun for her since she was not the one getting the words carved into her body. "So Kenshin, Fujitora and Sanoke huh why those three huh? Kenshin is your teacher from what I can see but why Sanoke and Fujitora? Was it because Fujitora treated you to a meal? What about Sanako? Was it because he saw you naked? That is really perverted you know just like when you masturbated infront of Seisuke. Tell me did it turn you on? Did you enjoy it? I am sure you did."* - Wed Sep 30 02:43:24 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) finished carving the words and spanked her ass "Oh yes he was telling me something about those red eyes of yours being in his clan, so that would make you relatives of sorts meaning that you lied to me." she would then proceed to spank her again as punishment "You know lying is a bad thing to do." she would tease at her as she pulled tighter on the ninja wires that were coiled around her body "And as for the relationships you say you have let me tell you that I stoped myself from forming bonds with people because they only turn into pain. Think about it. How will Kenshin feel if he no longer saw you again? He would be sad I imagined which is why if I go missing no one will bother looking for me to save them the pain you know."

She would slap her ass once again "So that is the reason why I do not bother with relationships like those. The closest thing I've gotten to forming a bond is with Fujitora and even then I would not really expect him to go looking for me. Kinda sad don't you?" with that she would spank her other ass cheek "Did you parents even spank you as a child? Is that why you are so annoying? I think that is why you are so annoying dont you?" she would proceed to slap her ass once again "Yeah you know I think we are starting to know each other very well don't you?"* - Wed Sep 30 02:59:37 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) Tilted her head as she looked at Kohakus face riddled with pain, she would feel her body shaking due to the pain that was being inflicted "Oh? Did I hit you too hard?" she would ask teasingly at her as she brought her hand up to spank her once again "So I wont understand huh? Why not? Explain to me why I wont understand?  What don't I know? Please explain to me what I do not know and or understand I really want to see things from your point of view but if you do not tell me I will not be able to do so." She would then bring her hand down once again and slapped her ass again then held it there as she squeezed it and pulled it to the side a bit.

Letting go of her ass cheek she would then bring her hand up to Kohakus back and focused chakra onto her finger and began carving on her back once again "I am sure you were thinking about Kenshin, Fujitora or Sanoke when you were fingering yourself right? Man you sure are perverted for such a young girl." she would say this even though she herself was doing something that could have been considered perverted but she really did not care as once again this was not affecting her in any way shape or from "My bet is on Kenshin since he is your teacher."* - Wed Sep 30 03:23:31 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) stoped carving into her back as she saw what Kohaku was doing "Hmm? You know the tough girl act wont really work on me, as much as you might try to say that they are beauty marks we both know that you are hurting and I can tell this by the way your body is trembling so you have two options here. I can continue doing more things to you to prove that I can hurt you in more ways than you could imagine or you could submit and the suffering could possibly come to a halt. Up to you really." she would then reach for her tanto using the hand that was not holding the wires and unsheethed it.

With her other hand she would pull on the wires having them now actually cut into her skin all at ones probably causing her to feel inmense pain. She would then use the hilt of her tanto and began to slowly shove it up her ass to prove her point "You will not believe the amount of ways I can cause pain to you Kohaku, this is just one of them and I do hope that you tell me that you are enjoying it because that way I know that you are full of shit both figuratively and literally." The tanto began to slowly made its way inside of Kohakus body.* - Wed Sep 30 03:44:51 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: . . . - Wed Sep 30 03:48:16 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) released the wire a bit to where it was not cutting more into her skin and left the tanto where it was no longer pushing it in "See I knew you were full of shit Kohaku, you can act as tough as you want but we both know that well you are no where near being tough. Do you think being fast is going to help you out? Well news flash it wont as you can see here." Standing up she would walk around Kohaku still holding the wire endings on her left hand to make sure she could tighten them if she needed to "Now I will ask you again Kohaku, tell me what I do not know or what I do not undestand. It is as simple as that. Do it and I might stop this."

Finishing her walk around her she would once again begin to push the tanto in nice and slowly and would stop as it went a couple of centimeters in "To think that the day turned out like this is kind of surpricing don't you think? I mean here I thought I was going to kill you and dump your body into the ocean tied with a couple of rocks so that you would sink to the bottom but nope, here I am shoving a tanto up your ass after you have masturbated infront of Seisukes clone. Funny how life works huh?"* - Wed Sep 30 04:01:55 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Will power? - Wed Sep 30 04:08:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Don't make me laugh. - Wed Sep 30 04:08:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You are just clinging onto the illusion that you will be set free. - Wed Sep 30 04:09:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: If I were to remove that then were would your will power be? - Wed Sep 30 04:09:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I recall you told me earlier today that you had some training to do with Kenshin. - Wed Sep 30 04:09:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So I am guessing you are clinging onto that as well. - Wed Sep 30 04:10:27 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You running into Kenshin - Wed Sep 30 04:10:27 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Or him coming to your rescue. - Wed Sep 30 04:10:27 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Am I right? - Wed Sep 30 04:11:18 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: You'll..never..understand..Kirie.. - Wed Sep 30 04:11:18 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Then explain it to me. - Wed Sep 30 04:13:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It is as simple as that. - Wed Sep 30 04:13:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I can remove that tanto out of your ass to make you stop feeling that pain. - Wed Sep 30 04:13:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Will that work? - Wed Sep 30 04:13:00 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: What..do..you mean...? - Wed Sep 30 04:13:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You tell me what I do not seem to understand and I make the pain go away slowly - Wed Sep 30 04:15:34 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: You wouldn't..understand..Even if I explained...it all.. - Wed Sep 30 04:15:34 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) pushed the tanto a bit again "Try me."* - Wed Sep 30 04:16:25 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Hnng.. - Wed Sep 30 04:16:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I am waiting. - Wed Sep 30 04:17:16 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: It's..what drives you..And never lets you down..No matter..How much you take..your willpower wil always be there.. - Wed Sep 30 04:17:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You are still going on with your willpower shit? - Wed Sep 30 04:18:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Pitiful really. - Wed Sep 30 04:18:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: The only thing that should drive you is the will to survive. - Wed Sep 30 04:18:08 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) pushed the tanto a tad bit again.* - Wed Sep 30 04:18:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You already have Kohaku. - Wed Sep 30 04:19:50 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You just do not know it yet. - Wed Sep 30 04:19:50 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) walked to the side of Kohaku to look at her face and kneeled down "There is no hope for you. There never was really." She would make two two handseal Snake ---> Rat and would send out her chakra toward Kohaku's head in an attempt to place her inside of a genjutsu. If the genjutsu would go off she would be experiencing her worst nightmare right before her eyes without her being able to do much do to the fact that she would not form handseal thanks to the ninja wire binding her body down.* - Wed Sep 30 04:23:15 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) notes that Kohaku was right so the genjutsu would not have gone off because of the pain she would have been feeling so that was a dumb move on her own part.* - Wed Sep 30 04:36:03 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: You..can't..ever..break my..will..Kirie.. - Wed Sep 30 04:37:45 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: No matter..what you do. - Wed Sep 30 04:37:45 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I am sure I can. - Wed Sep 30 04:37:45 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: If I try hard enough - Wed Sep 30 04:37:45 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: But at the moment a tanto up your ass is good enough dont you agree? - Wed Sep 30 04:38:36 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: S-Sucks to be..you.. - Wed Sep 30 04:38:36 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: It's..better..then..worse.. - Wed Sep 30 04:38:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Right so you would not mind if I push it in deeper? - Wed Sep 30 04:39:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Since you seem to be enjoying it. - Wed Sep 30 04:39:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It seems to be about two inches into your ass. - Wed Sep 30 04:40:19 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I am sure that if I start moving it around you will enjoy it more yes? - Wed Sep 30 04:40:19 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Heh..It won't..really fit..anymore.. - Wed Sep 30 04:40:19 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You sure? - Wed Sep 30 04:40:19 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: We can test that right now. - Wed Sep 30 04:40:19 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Go..ahead.. - Wed Sep 30 04:40:19 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You sure? - Wed Sep 30 04:42:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: because I can do it. - Wed Sep 30 04:42:52 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: It won't..Feel any..Worse..Nothing will..You'll..never break me kirie..But..I won't have to see your face for a while..Once morning hits. - Wed Sep 30 04:42:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I can also take it out of you ass and shove it into you vagina. - Wed Sep 30 04:43:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I think you will enjoy that since you already fingered youself. - Wed Sep 30 04:43:44 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: You really are..A lesbian. - Wed Sep 30 04:43:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Or better yet. - Wed Sep 30 04:43:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I'll shove the sheeth while the tanto is in your ass. - Wed Sep 30 04:43:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: That would be the best option. - Wed Sep 30 04:44:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Lesbian no. - Wed Sep 30 04:44:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: But I do know what makes both male and females hurt. - Wed Sep 30 04:44:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I could circumcise you if I really wanted to but you would probably bleed out. - Wed Sep 30 04:44:35 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I'm being shipped off in the morning.. - Wed Sep 30 04:45:26 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Maybe you should..Stop? - Wed Sep 30 04:45:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And? - Wed Sep 30 04:46:17 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: The buyer did not really say we could not rough you up/ - Wed Sep 30 04:46:17 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Mmm.. - Wed Sep 30 04:46:17 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: If it wasn't for that I would have already killed you. - Wed Sep 30 04:46:17 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Shoved the tanto up your ass blade first. - Wed Sep 30 04:47:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Cut your intestines up nice and easy. - Wed Sep 30 04:47:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I could have finger carve sealed your vagina. - Wed Sep 30 04:47:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: That would have been fun. - Wed Sep 30 04:47:08 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Wed Sep 30 04:47:08 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: You sure like..Pain.. - Wed Sep 30 04:49:42 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Ever tried hurting yourself..? - Wed Sep 30 04:49:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I am not a fan of pain. - Wed Sep 30 04:50:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I like dishing it out though. - Wed Sep 30 04:50:33 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Mmm.. - Wed Sep 30 04:52:16 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Mind taking this..Tanto..out..? - Wed Sep 30 04:53:07 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Eh why not I am sure you have had enough. - Wed Sep 30 04:53:07 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: For now. - Wed Sep 30 04:53:07 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) walked over to the side and began to pull the tanto out slightly then pushed it in a bit more then finally pulled it out and tossed it away.* - Wed Sep 30 04:53:58 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hey Kirie. - Wed Sep 30 19:38:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yo - Wed Sep 30 19:38:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It seems like you had fun? - Wed Sep 30 19:38:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Not really. - Wed Sep 30 19:39:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I've never seen something in that hole before. - Wed Sep 30 19:39:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You would be surprised. - Wed Sep 30 19:39:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Grow up in the enviorment I grew up in and you learn many things - Wed Sep 30 19:39:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Have you gotten word on the buyer? - Wed Sep 30 19:39:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yep. - Wed Sep 30 19:39:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But before that. - Wed Sep 30 19:40:35 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: There's something I need you to do for me. - Wed Sep 30 19:40:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What is that? - Wed Sep 30 19:40:35 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Let me put a seal on you, It'll prevent you from talking about this even in the case of torture. - Wed Sep 30 19:40:35 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Anything that has occured here. - Wed Sep 30 19:40:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Wed Sep 30 19:41:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: With one condition. - Wed Sep 30 19:41:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm? - Wed Sep 30 19:41:26 2015
