<br><font color=teal>*Max(Roxas The Hokage) thinks: hehe. .  works everytime - Fri Oct  9 09:14:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'll take you on then.. - Fri Oct  9 09:14:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..I'm going to be completely honest. - Sat Oct 10 17:47:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I don't need a damn squad.. - Sat Oct 10 17:47:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I have people after my head. - Sat Oct 10 17:47:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: For? - Sat Oct 10 17:47:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Either I progress now and stand my own, or I play garbage man for this village and die. - Sat Oct 10 17:48:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You are being put into a squad. - Sat Oct 10 17:48:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: That is final, Ortho. - Sat Oct 10 17:48:48 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Unless you want to be put with me. - Sat Oct 10 17:48:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: What does Cypher do? - Sat Oct 10 17:48:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: As in, What is his abilities? - Sat Oct 10 17:48:48 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: So let me guess. - Sat Oct 10 17:49:39 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: The tank over there is also a Jounin. - Sat Oct 10 17:49:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Not yet. - Sat Oct 10 17:49:39 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) thinks: When we shove all the Jounin into combat. - Sat Oct 10 17:49:39 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) thinks: And they're all just tanks. - Sat Oct 10 17:49:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'll be classifying him as a chunin for now. - Sat Oct 10 17:49:39 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ...What can Cypher do..? - Sat Oct 10 17:49:39 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Alright. - Sat Oct 10 17:49:39 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..Tch.. - Sat Oct 10 17:49:39 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Then. - Sat Oct 10 17:49:39 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Everyone here who has the Lightning Element. - Sat Oct 10 17:50:30 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: I'll take into my squad. - Sat Oct 10 17:50:30 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Or--if you're a Taijutsu Specialist. - Sat Oct 10 17:50:30 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I have Lightning. - Sat Oct 10 17:50:30 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ...  - Sat Oct 10 17:50:30 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: And you're already two steps in. - Sat Oct 10 17:50:30 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: And all the other elements. - Sat Oct 10 17:50:30 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: And you're five steps in. - Sat Oct 10 17:50:30 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: I think you've already seen what I do. - Sat Oct 10 17:50:30 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: You're a Chuunin. - Sat Oct 10 17:50:30 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: So Hideki. - Sat Oct 10 17:50:30 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: And I can't stop you from rampaging like the Hokage. - Sat Oct 10 17:51:21 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Can you please tell me what Cypher specialises in..? - Sat Oct 10 17:51:21 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Taijutsu. - Sat Oct 10 17:51:21 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: What about the white-haired girl? - Sat Oct 10 17:51:21 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Genjutsu? - Sat Oct 10 17:51:21 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I can manipulate every chakra nature.. - Sat Oct 10 17:51:21 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Easily. - Sat Oct 10 17:51:21 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No idea, I've never seen her ability. - Sat Oct 10 17:51:21 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ...Ok thats not so bad but our squad is heavily elementalist based. - Sat Oct 10 17:52:12 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Both me and Ortho have the same abilities regarding ninjutsu. - Sat Oct 10 17:52:12 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: I focus my ice. . . - Sat Oct 10 17:52:12 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: .....Ice? - Sat Oct 10 17:52:12 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: And Kenjutsu. . . - Sat Oct 10 17:52:12 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: ......You fight using ice cubes? - Sat Oct 10 17:52:12 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) folds his arms across his chest, piercing his eyes through Hideki's soul.* - Sat Oct 10 17:53:04 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: That's interesting. - Sat Oct 10 17:53:04 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: You chuck ice cubes at people from long-range. - Sat Oct 10 17:53:04 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: And slash them at close-range. - Sat Oct 10 17:53:04 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) lolnoped that because fuck Itachi. However, anger was clear on his visage.* - Sat Oct 10 17:53:55 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: -omit- - Sat Oct 10 17:54:46 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm.. - Sat Oct 10 17:54:46 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Debating if I want to send them on a dangerous misson... - Sat Oct 10 17:55:37 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Or give them an easy one.. - Sat Oct 10 17:55:37 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm..... - Sat Oct 10 17:56:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: How do you feel about a B ranked mission, Zeus? - Sat Oct 10 17:57:20 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Easy. - Sat Oct 10 17:57:20 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Let's go. - Sat Oct 10 17:57:20 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: I'll take the Genin too. - Sat Oct 10 17:57:20 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: They can just take notes on their clipboards. - Sat Oct 10 17:57:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Sat Oct 10 17:57:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: This guy is cocky... - Sat Oct 10 17:57:20 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: what the fuck is this - Sat Oct 10 17:58:11 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: how is is this a brank mission - Sat Oct 10 17:58:11 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: u fucking faggot - Sat Oct 10 17:58:11 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: give a private lesson to a female ninja - Sat Oct 10 17:58:11 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: -omit- - Sat Oct 10 17:58:11 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) paced himself away from Shinjin.* - Sat Oct 10 17:58:11 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) thinks: I refuse to be apart of this shit... - Sat Oct 10 17:58:11 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: This.. is not what I had in mind.. Excuse me for being impatient, but the handing out of foddering missions does nothing for us. - Sat Oct 10 17:59:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You will do the missons. - Sat Oct 10 17:59:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No excuses. - Sat Oct 10 17:59:53 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Yes, it gives us experience, but it takes more than experie- - Sat Oct 10 17:59:53 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..Hell if I will.. - Sat Oct 10 17:59:53 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: It's a party now. - Sat Oct 10 17:59:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I guess I won't train you. - Sat Oct 10 17:59:53 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Sat Oct 10 18:00:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Until you finish this misson. - Sat Oct 10 18:00:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: mission* - Sat Oct 10 18:00:44 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: ..... - Sat Oct 10 18:00:44 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Mmm. Odd, I figured you would be taking over leadership in Kumogakure. - Sat Oct 10 18:00:44 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: What's changed there? - Sat Oct 10 18:00:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Kumogakure was to violent. - Sat Oct 10 18:01:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Says the one that killed Sabo... - Sat Oct 10 18:01:36 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Fair enough. I wonder then. . . What will become of that village. - Sat Oct 10 18:01:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: It will die. - Sat Oct 10 18:01:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No idea, I've sure they'll be fine. - Sat Oct 10 18:01:36 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: ..... - Sat Oct 10 18:01:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Misa is an idiot. - Sat Oct 10 18:01:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Anywho.. - Sat Oct 10 18:01:36 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Any Genin that want to come on this mission. - Sat Oct 10 18:01:36 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Follow. - Sat Oct 10 18:01:36 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: I don't care enough though. - Sat Oct 10 18:01:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: She told everyone to either help repair or leave. - Sat Oct 10 18:01:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: No questions asked. - Sat Oct 10 18:01:36 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) rolled his eyes, pacing himself after Shinjin.* - Sat Oct 10 18:02:27 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Sat Oct 10 18:02:27 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Misa. - Sat Oct 10 18:02:27 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Purple hair? - Sat Oct 10 18:02:27 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yes. - Sat Oct 10 18:02:27 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: She. . . actually became leader? - Sat Oct 10 18:02:27 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Name? - Sat Oct 10 18:02:27 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Ortho.. - Sat Oct 10 18:02:27 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: You can call me Zeus. - Sat Oct 10 18:03:18 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Right, right. - Sat Oct 10 18:03:18 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: So. - Sat Oct 10 18:04:09 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: You're the only one with me. - Sat Oct 10 18:04:09 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Don't die. - Sat Oct 10 18:04:09 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: I don't want to be held responsible. - Sat Oct 10 18:04:09 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Ditto. - Sat Oct 10 18:04:09 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: You also possess the Lightning Element, yes? - Sat Oct 10 18:05:00 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: What specific Jutsu are you capable of? - Sat Oct 10 18:05:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Earth Flash is the only one. - Sat Oct 10 18:05:52 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I am a combination specialist. - Sat Oct 10 18:05:52 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: I see. - Sat Oct 10 18:06:43 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: A combination specialist, huh? - Sat Oct 10 18:06:43 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Can you use Water at all? - Sat Oct 10 18:06:43 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Oh look. - Sat Oct 10 18:06:43 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yo, I'm coming if you don't mind. - Sat Oct 10 18:06:43 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Another ninja to enter the fray. - Sat Oct 10 18:06:43 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Correct. - Sat Oct 10 18:07:34 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: I don't mind. - Sat Oct 10 18:07:34 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I can. - Sat Oct 10 18:07:34 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: If both are you are elementalists. - Sat Oct 10 18:07:34 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: I'd stay at mid-range to do your jutsu while also being able to dodge. - Sat Oct 10 18:07:34 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Otherwise, if you're at close-range, you might not be able to afford dodging. - Sat Oct 10 18:07:34 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Alright, Ortho is fast than me at using jutsu so i'll try and work off him. - Sat Oct 10 18:08:25 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: faster* - Sat Oct 10 18:08:25 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: That's good. - Sat Oct 10 18:08:25 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: By the way. - Sat Oct 10 18:08:25 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Don't use any Earth Jutsu. - Sat Oct 10 18:08:25 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: My Jutsu home in on elements and bodies of earth. - Sat Oct 10 18:08:25 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) raised an eyebrow out of skepticism.* - Sat Oct 10 18:08:25 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: I don't want to accidentally kill you two. - Sat Oct 10 18:09:16 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: You're free to use anything else, though. - Sat Oct 10 18:09:16 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: I'm sure you two are skilled. - Sat Oct 10 18:09:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Thats fine, I can't use many earth jutsu anyway. - Sat Oct 10 18:09:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oi. - Sat Oct 10 18:15:15 2015
<br><br><font color=teal>*Gakuto(Brosis55) says: -- - Sat Oct 10 18:15:15 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) strolls up with Shinjin and Takeda. His eyes immediately poises on Gakuto, examining his frame.* - Sat Oct 10 18:16:06 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: What's your name, guy? - Sat Oct 10 18:16:06 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: . . . . . . . . - Sat Oct 10 18:17:48 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) slowly shook his head. He takes a good hit off of his blunt while scanning of Gakuto. "Listen, you can either tell us your name so we can be off or we force it out of you. Just like us, you probably don't have time to waste, so make it either on us both.."* - Sat Oct 10 18:22:56 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) slowly shook his head. He takes a good hit off of his blunt while scanning of Gakuto. "Listen, you can either tell us your name so we can be off or we force it out of you. Just like us, you probably don't have time to waste, so make it either on us both-.." Ortho was rudely interrupted, the handseals of Gakuto weaving themselves together as a massive ball of fire raged forward. In retaliation, and haste, Ortho would string together his own handseals and knead chakra within his stomach. By time the fireball was to make contact with them, Ortho would unleash a power torrent of water. Afterward, while he continued to clash with the fireball, Ortho would form a second handseal and allowed a shadow clone to spawn to his right.

Upon its creation, the clone would break off into the distance while forming his own succession of handseals. By this point, after kneading his own chakra, the clone would extend his arms with open palms and allowed a surge of lightning to pulsate toward Gukato.* - Sat Oct 10 18:28:03 2015
