<br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Bet. - Sun Dec  6 12:03:37 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) watched her as she chugged the soda down, a bit amazed at the sight. There were certain things he was looking for by making her do that and he liked what he came to find. He nodded in approval then slid the dice over to her.* - Mon Dec  7 08:34:59 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Erg... - Mon Dec  7 08:36:41 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hmph. - Mon Dec  7 08:37:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Ummmmm... - Mon Dec  7 08:39:15 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Dance for.. me? - Mon Dec  7 08:40:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: I have no idea how to do dares. - Mon Dec  7 08:40:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: I just keep thinking of gross stuff. - Mon Dec  7 08:40:06 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) stood up and sighed a bit. He goes over to the stereo system across the room and turned it on, not caring what song played.

https://45.media.tumblr.com/59eb7c90801d7325491baba17a7114ad/tumblr_nyrdj5d2gI1usy3edo1_500.gif

He didn't care whether or not he was on beat, he just did something.

https://45.media.tumblr.com/59eb7c90801d7325491baba17a7114ad/tumblr_nyrdj5d2gI1usy3edo1_500.gif* - Mon Dec  7 08:49:29 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) || https://www.youtube.com/watch?v=1lQtoRFaLsA* - Mon Dec  7 08:51:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...just...keep doing that.... - Mon Dec  7 08:52:54 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Forever. - Mon Dec  7 08:52:54 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) smirked and continued, just for her.* - Mon Dec  7 08:53:45 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: O-okay... - Mon Dec  7 08:55:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: M-maybe you should stop. - Mon Dec  7 08:55:28 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmmm? - Mon Dec  7 08:57:10 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) 's smirk grew wider.* - Mon Dec  7 08:57:10 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Alright.~ - Mon Dec  7 08:57:10 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Is that what he looked like while he was fucking me - Mon Dec  7 08:57:10 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: 8? - Mon Dec  7 08:57:10 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) walks back over to the table and sat down.* - Mon Dec  7 08:58:01 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Wh-who's turn was it? - Mon Dec  7 08:59:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmph.. Don't remember.. - Mon Dec  7 08:59:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I'll roll... - Mon Dec  7 08:59:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Have at it.~ - Mon Dec  7 08:59:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hmph. - Mon Dec  7 08:59:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Go ahead and ask. - Mon Dec  7 08:59:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmmmmm - Mon Dec  7 09:00:35 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Alright.. - Mon Dec  7 09:01:26 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Fuck... - Mon Dec  7 09:01:26 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: What to ask... - Mon Dec  7 09:01:26 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Fuckk.. I have nooothing.. - Mon Dec  7 09:02:17 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) || A lightbulb went off over his head.

"Why you wanted me to stop so soon?~"* - Mon Dec  7 09:03:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....stop you from what? - Mon Dec  7 09:03:08 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: What you just asked me to do. - Mon Dec  7 09:03:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...it...it reminded me... - Mon Dec  7 09:04:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It looked like that thing you were doing... - Mon Dec  7 09:04:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Ahh, say no more.~ - Mon Dec  7 09:04:00 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) took the dice.* - Mon Dec  7 09:04:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: With uh.. the poison...and nakedness....and..togeth=--- - Mon Dec  7 09:04:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Soon. Don't you worry yourself.~ - Mon Dec  7 09:04:51 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: U-uh...  - Mon Dec  7 09:05:42 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Are you really going to train while I'm gone? - Mon Dec  7 09:05:42 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Mhm. - Mon Dec  7 09:05:42 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I mean.. I'm going to half-ass it.. - Mon Dec  7 09:06:33 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: But yeah. - Mon Dec  7 09:06:33 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Okay. - Mon Dec  7 09:06:33 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Erg. - Mon Dec  7 09:06:33 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: D-do.... something you've wanted to do.......since... - Mon Dec  7 09:07:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmm.. Since I met you, huh? - Mon Dec  7 09:08:16 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Not like I've done everything possible. - Mon Dec  7 09:09:07 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) stood up and walked around to table and stood beside her. He takes her chin into his grasp and raised it a slightly. Just then, he'd lean in slowly and plant the softest kiss he can; keeping it under five seconds before returning to his seat and acting like nothing happened.* - Mon Dec  7 09:09:58 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) nodded his head. "Everything else we did the other day.. That kiss kind've out way everything else right now. Just to let you know you're not a piece of meat.~" He winks then grabbed for the dice.* - Mon Dec  7 09:14:14 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hmph. - Mon Dec  7 09:16:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I am really bad at this game. - Mon Dec  7 09:16:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Then let's skip to the fun part? - Mon Dec  7 09:17:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ---huh? - Mon Dec  7 09:17:39 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Forget about all this.. good girl, good boy stuff. - Mon Dec  7 09:17:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....what do you mean? - Mon Dec  7 09:18:30 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I have liquor in the door of the fridge.. We get that out and we 'really' have fun.. - Mon Dec  7 09:18:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... we can drink if you want but I like... your part of the game so far. - Mon Dec  7 09:18:30 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: We're going to continue playing, just the liquor is the frosting.~ - Mon Dec  7 09:19:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Sure sure, you can get it... and uhm.. let me think. - Mon Dec  7 09:19:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Uhhhhhhhhhhhhhhhhhhh... how about, if you could force me to stay in Kumo... and not go out on my mission would you? - Mon Dec  7 09:20:12 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) stood to his feet headed to the fridge. He gets the few bottles of liquor and heads back just in time to hear her question.

He was shocked.

Sogeki finds his seat and opens one of the bottles slides it in front of her then oepns his own.

"At first.. yes.. When I was in the hospital, yeah.. Now? I know this is something that you want to do and I want you to feel 'right'. So no and yes. Yes, before. No, now."* - Mon Dec  7 09:22:46 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Ugh. - Mon Dec  7 09:26:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: We should make a new game. - Mon Dec  7 09:26:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You get to dare or ask things and I just ask you things. I like that better. - Mon Dec  7 09:27:02 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Alright, sure. - Mon Dec  7 09:27:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Oh shit he went for it? - Mon Dec  7 09:27:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Wait really? - Mon Dec  7 09:27:02 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) takes a drink of his Hennessy, nodding his head.* - Mon Dec  7 09:27:53 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I don't see why not. - Mon Dec  7 09:27:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Okay so.... - Mon Dec  7 09:28:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Do the people in the village still call me a traitor? - Mon Dec  7 09:28:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: No. - Mon Dec  7 09:28:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Kay your turn, just roll one dice for dare or truth. - Mon Dec  7 09:29:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmm.. - Mon Dec  7 09:30:27 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Dare.. - Mon Dec  7 09:30:27 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) takes another drink, gulping two down this time around. He sly grin forms on his face as he pans over Kariudo's frame --- or as much of it he can see from how they were seated. "Come sit on my lap."* - Mon Dec  7 09:32:09 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) leans back as well, placing his free hand on her waist. He looks at the side of her face and slowly blinks, saying nothing.* - Mon Dec  7 09:33:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hm...  - Mon Dec  7 09:34:43 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Does it bother you that I don't strive for sex or kissing or whatever? That I'm disgusted by some things? - Mon Dec  7 09:34:43 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) placed his bottle on the table and gave a subtle shrug. "I haven't thought much about it. When I -do- think about it, it's more of a 'she's playing hard to get' type feeling rather than 'she wants nothing to do with any of this stuff'."* - Mon Dec  7 09:36:25 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hm.. okay. - Mon Dec  7 09:37:16 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) looked at the two dots on the dice and slowly shook his head. What he had in midn goes right back to what she -just- asked him, so he decided to hold off on that thought. Instead, he reaches for his liquor and offers it to her. "Take a sip."* - Mon Dec  7 09:38:59 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...nngng.. - Mon Dec  7 09:38:59 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Just a sip, don't have to gulp it. - Mon Dec  7 09:39:50 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) grabbed for the battle and took a drink, allowing it to flow down as if it was nothing. His demeanor, however, was becoming more and more relaxed and his movements were slightly slurred 

As she leans in to him, he'd wrap his complete arm around her and pull in more. "Aww come on, it's not that bad.~ You have to get used to it."* - Mon Dec  7 09:43:15 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I rather have the poison any day. - Mon Dec  7 09:44:06 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Ohh? - Mon Dec  7 09:44:06 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: It's really not bad once you get past the burning. - Mon Dec  7 09:44:57 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Besides.. my poison on you have special uses.~ - Mon Dec  7 09:44:57 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ---w-what? - Mon Dec  7 09:45:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Mhm.. Special uses. - Mon Dec  7 09:45:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: A-anyway... let's see. - Mon Dec  7 09:46:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Does it scare you to use the poison on me? The risk? - Mon Dec  7 09:46:40 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Sometimes I worry that you'll grow to sincerely 'hate' the poison.. but apart from that no. - Mon Dec  7 09:47:31 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ....what? - Mon Dec  7 09:47:31 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) diverts his eyes a bit, "I just want to make sure that you don't -grow- to hate it.. Like.. because of the things I want to do to you and you being anti-most things.." He brings the bottle to his lips and takes a drink. "Like.. Somewhere in me wants you to feel free and what not.. but another part -really- don't want you to stop liking it.."* - Mon Dec  7 09:50:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Mn.. kay, your turn.~ - Mon Dec  7 09:50:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmm. - Mon Dec  7 09:50:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: When I told you there is a little ownership when I say "claim".. does that make you think me different? - Mon Dec  7 09:51:47 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....it... - Mon Dec  7 09:52:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It makes me feel a lot of things. - Mon Dec  7 09:53:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It scares me, it excites me... it makes me feel loved... it makes things surprising.... and... it makes me feel safe. - Mon Dec  7 09:53:29 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) didn't.. know what to say. He simply grins a bit and takes a sip of his liquor.* - Mon Dec  7 09:55:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....was that okay - Mon Dec  7 09:56:54 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ? - Mon Dec  7 09:56:54 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Yeah.. It really was.. - Mon Dec  7 09:56:54 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: O-okay... uhm... when I'm under the poison... is there something you want to do that you haven't done yet? Like other than the ass thing you talked about. - Mon Dec  7 09:57:45 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: One thing.. - Mon Dec  7 09:58:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I thought of it earlier when we were by the mountain. - Mon Dec  7 09:58:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Remember when I said "we'll see when I put it in your face"? - Mon Dec  7 09:59:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....*nods* - Mon Dec  7 09:59:28 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I was.. thinking about.. in your mouth. - Mon Dec  7 09:59:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....p-put what in my mouth. - Mon Dec  7 10:00:19 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) uses the hand he has on her waist to subtly grind her against his member.* - Mon Dec  7 10:00:19 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Take a guess. - Mon Dec  7 10:01:10 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: O-oh...but...wouldn't that..... taste weird... - Mon Dec  7 10:02:01 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I.. don't know.. I mean there's only one way for -you- to find out. - Mon Dec  7 10:02:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Nng..but you -tasted-...the...stuff. - Mon Dec  7 10:03:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: God it makes me sick feeling just talking about it...so gooey... - Mon Dec  7 10:03:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I know.. and I liked it, but I don't know if -you- would. - Mon Dec  7 10:04:35 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Y-your turn. - Mon Dec  7 10:05:26 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmm. - Mon Dec  7 10:06:17 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Are you scared of me claimed you.. behind there to the point you don't want me to? - Mon Dec  7 10:07:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Not... exactly? - Mon Dec  7 10:17:23 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmm.. - Mon Dec  7 10:19:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Alright then.. - Mon Dec  7 10:19:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Don't know.. if that gives me the okay or not.. - Mon Dec  7 10:20:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I mean... I'm scared but .... I know that I want to try it eventually. - Mon Dec  7 10:20:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...for you at least. - Mon Dec  7 10:20:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: ..Really? - Mon Dec  7 10:22:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yeah. - Mon Dec  7 10:23:21 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Wow... - Mon Dec  7 10:25:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: A-Alright then.. - Mon Dec  7 10:25:04 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) took a sip of his liquor.* - Mon Dec  7 10:25:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Uhm... lets see here. So when you.. tried to take me by force and all that? What made you like decide to do that, like what moment was happening when you just decided you -had- to have me?? - Mon Dec  7 10:26:46 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Mmmm.. - Mon Dec  7 10:26:46 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I guess it was something that was built up.. like realizing you're a savage then seeing you laying there after freeing me.. Just a turn on after a turn on.. - Mon Dec  7 10:28:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...seeing me weak? - Mon Dec  7 10:28:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....unable to move? - Mon Dec  7 10:29:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I didn't- - Mon Dec  7 10:29:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I-.. - Mon Dec  7 10:29:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Why did you free me from the poison before doing it? - Mon Dec  7 10:30:11 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Because of the look on your face. - Mon Dec  7 10:30:11 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Felt bad deep down.. - Mon Dec  7 10:30:11 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: And I made a promise. - Mon Dec  7 10:30:11 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: You free me, I free you. - Mon Dec  7 10:31:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: So you felt bad...about making me defenseless...when you were about to make me the most defenseless I could possibly feel. Ironic. - Mon Dec  7 10:31:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Not trying to make you feel like shit... ---erg... that probably felt bad didn't it? I can talk about these things pretty easily... sorry. - Mon Dec  7 10:31:53 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Conflicted views.. - Mon Dec  7 10:31:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Get me back with a dare. - Mon Dec  7 10:32:44 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) slowly shook his head. "It's fine.. you're right. That much I can adm-," he looks at her, "a free dare?"* - Mon Dec  7 10:32:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...sure. - Mon Dec  7 10:33:36 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) bites down on his lower lip and pans over her body. "Off." He tugs on what she had on her upper body.* - Mon Dec  7 10:34:27 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: W-wha... - Mon Dec  7 10:34:27 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) 's eyes almost immediately went for her breasts. He bites down hard on his bottom lip as his left hand, the one on her waist, twitched. Sogeki slowly shook his head fought back the urge to reach up and cop a feel. Instead, he brings the bottle of liquor up to his mouth and wash down the temptation.* - Mon Dec  7 10:40:25 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I'll.. never get used to that.. - Mon Dec  7 10:40:25 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....to what? - Mon Dec  7 10:41:16 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Your body. - Mon Dec  7 10:42:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: O-oh. - Mon Dec  7 10:42:59 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Uh...where were we? - Mon Dec  7 10:45:32 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Your turn. - Mon Dec  7 10:46:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Oh. - Mon Dec  7 10:46:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hm. - Mon Dec  7 10:46:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You gonna always tell the truth right? - Mon Dec  7 10:46:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Yeah. - Mon Dec  7 10:47:15 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Do you let me win? - Mon Dec  7 10:47:15 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: With what? - Mon Dec  7 10:48:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: When we fight. - Mon Dec  7 10:48:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Cause either you are stupid, I'm super lucky, or I'm just seeing something wrong. - Mon Dec  7 10:48:57 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Or you are letting me win. - Mon Dec  7 10:48:57 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I hold back, yes. But your ability to target pressure points capitalize on the moment. - Mon Dec  7 10:49:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Why do you hold back? - Mon Dec  7 10:49:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Eh.. - Mon Dec  7 10:52:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I just don't want to fight you seriously. - Mon Dec  7 10:52:22 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....Hmph. - Mon Dec  7 10:52:22 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) didn't expect the hit, but he wasn't surprised. If anything, he didn't blame her. Instead of rebuttaling he'd take a drink and roll the dice, hoping for it to roll on evens.* - Mon Dec  7 10:56:38 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Hmph.. - Mon Dec  7 10:56:38 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmmm.. - Mon Dec  7 10:57:29 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Are you uncomfortable right now? - Mon Dec  7 10:57:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...no. - Mon Dec  7 10:58:20 2015
