<br><font color=teal>*Ortho(DhatBoiNick) says: I've been funding for some repairs. - Fri Nov  6 04:15:08 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) smirked. Index's presence felt harshly. Manda was now under Index's control and now Ortho was left in the dark. Fine, let's go ham. He faced Ikaro, taking his words into consideration. "Because it's what Hideki would want, and in turn what Erebus would want.. And in turn what Ushinawa would want.. And in turn.. What Tethys would want. Peace, ultimate peace. Understanding, serenity of understanding. That, Ikaro. Is why the previous biased generation of each village.. must die. Soon, my death of my generation will happen.. but until then, Lera must fall."

In a moment's notice, Ortho dashed full speed toward Lera, allowing two handseals to form. He keeps Ikaro in his peripherals while extending his left arm toward Lera. At that moment, with her dazed from shunshin, he'd have a multitude of snakes to creep from his limb and bit into the female's face.. inject paralysis venom.* - Fri Nov  6 21:39:37 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) saw the color of chakra within the manipulated water and knew exactly who was controlling it at his point; damn it Ikaro. Ortho's focus transitioned toward Index, growling. "Get the fuck out, Index! NOW!" With that, instead of going straight for Lera, he'd allow the snakes to retract into his body. With that, he'd formed a series of handseals. His lungs filled for just a brief moment.

Rage was filling within Ortho's mind as he expelled a powerful gust of wind. He placed all he had into it, wanting its concussive damage to hit everyone, ally or foe. "ALL I WANT! IS PEACE! THIS IS MY STEPPING STONE TO PEACE, EITHER YOU'RE WITH ME OR YOU'RE AGAINST ME!" On that, the wind raged through the entire area; from Ikaro way over to Manda's KOed body.* - Fri Nov  6 21:52:25 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) || "I've accepted the fact, Hideki. I've accepted the fact that not everyone can be as determined as I, and in turn not everyone can have the level of understand I have grasped. You told me that no man shall die peacefully if they do not die at the hands of fate, for it is fate that determines whether are goals are met. I stand here, right now Hideki, a man willing to die in the name of my way.. the name of my goals.. the name.. of Ortho."

Ortho hovers his right hand over his right bicep, applying chakra to the seal in the midst of his tattoo's. In an instant, a bulky bag is spawned and gripped. He brings the bag to his mouth and clamped down, holding it there. As the water came his way, he'd begin trailing toward Lera, hoping to evade the water. At this point, he'd form a series of handseals and allow a massive gust of wind expel forward. Right after, with the pouch now shot forward toward the dazed lera and the gust of wind making its presence felt, he'd form another handseal. This handseal was the activation of the fifteen exploding tags located in the backpouch. He was going to, literally, nuke the female.* - Fri Nov  6 22:18:52 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) || The water proved efficient. It managed to catch Ortho, but just as the final handseal was made to set the explosive tags off. Now that Ortho was trapped in the prison, he used the water to shield him from the concussive damage of the explosive tags; thank you Ikaro. The explosion would scatter the water and send Ortho flying back. "S-Stay out of this, Ikaro! This isn't your fucking business!"* - Fri Nov  6 22:40:12 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) left the group as soon as kilm died.* - Fri Nov  6 22:42:46 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: I was so interested in the fight that I forgot to poke people more. - Fri Nov  6 22:43:37 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) wasn't done by a long shot. Now that Lera was in the Mizukage's grasp, Ortho took his stand one more. Handseals were woven together and the kneading of his chakra commenced within his stomach. Just when the time was right, now that Lera harbored a layer of earth around her body, Ortho would send off a pulse of electricity to zap Lera. His intentions was not to kill her, but to knock her out.* - Fri Nov  6 23:04:06 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: If anyone dies then I guess I get to talk to someone and confess that i've been watching all this time. - Fri Nov  6 23:07:31 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) paced himself toward Lera, grabbing her limp body and falls to his knees. He places his hands around her neck and began to squeeze, watching her almost lifeless body submit to his efforts. However, as the process went on, tears began to pour down his cheeks. His view on Lera changed, like an out of body experience struck him.

How would he feel if it was someone else doing this to Nina? Lera was indeed loved by people, and that was proven here today. A massive brawl just for her death, despite the sins she have commited. Ortho slowly shook his head. "Damn it, Hideki. Why the fuck you have to make me see things the hard way even in death..?" Tears continue to pour down his face as Ortho released Lera neck and instead hovers them over her body, beginning the healing process to her.

"This.. isn't the way.."* - Fri Nov  6 23:13:29 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: Good job . . . - Fri Nov  6 23:15:12 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: You realized. - Fri Nov  6 23:15:12 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: Too bad I can't school you further. - Fri Nov  6 23:15:12 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: Ugh . . .  - Fri Nov  6 23:15:12 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: Sucks being unable to talk. - Fri Nov  6 23:15:12 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: FInally. . . - Fri Nov  6 23:15:12 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: God. - Fri Nov  6 23:19:28 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: Ugh, Sometimes I hate watching people fight. - Fri Nov  6 23:19:28 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) 's hands continue to hover of Lera's body, allowing his medical ninjutsu to continue healing her up. He stabilizes her wounds and sped her natural healing process up. "I warn you all.. don't fuck with me. I tell you, the day I decide to go rogue, all of you get fucked up.. I tried to play nice, I tried to stay in the background, but you fuckers kept pushing me.. Now, look you dumb bitch.. Forced to get healed by the person that fucked you up.."

Ortho's words were audible to the surrounding area, but it was clear who he was talking to. "You fucking owe you, you dumb skillet nose ass bitch.."* - Fri Nov  6 23:33:07 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: . . . - Fri Nov  6 23:34:49 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: I don't think she can hear you, mate. - Fri Nov  6 23:34:49 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: -omit- - Fri Nov  6 23:34:49 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) formed a handseal, allowing the seal on Manda to deactivate. The large snake begins to fidget in place before his eyes open and he raises his head a bit. 

Ortho: "Thanks for being loyal, Manda.."

Manda: "Shut up.. Blame Index.."* - Fri Nov  6 23:39:05 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: ..... - Fri Nov  6 23:39:05 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) turns his  head to look over at Index.* - Fri Nov  6 23:39:05 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) stood to hit feet, allowing his arms to drop to his side. Just like the gaze Index granted him, Ortho returned in. Lera was properly stabilized and just needed some rest. She'll be good to go in a few hours. "You have beef?" Ortho continues to stare at Index, his tone of voice lacking any form of emotions. "You jump into my business yet again, so you must have beef. Fuck everyone else here, let's settle this shit like men."

Ortho side steps everyone, setting himself in the open for Index and the others to see. "Come, Index. Tension been too high between you and I. You have that look in your eye that you're angry, release that anger. And you won't just be Katsune's BITCH."* - Fri Nov  6 23:51:53 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: Welp. - Fri Nov  6 23:57:52 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: Guess I'm meeting someone after this fight. - Fri Nov  6 23:58:43 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) || Begin.

Words weren't needed at this point. Words couldn't even properly fit in this puzzle of a standoff; it'll only reign as an understatement. Index against Ortho, Ortho against Index, two completely different views going at it. 

Ortho made the first move, breaking off southward, which was to his left, and began the process of weaving handseals. His eyes remain fixated on Index, not wanting any reaction to go unnoticed. The kneading of chakra was surprisingly apparent due to the intensity from his concentration. The chakra that was molding itself would flow to his lungs, merging with the air that he was taking in through his nostrils. At this point, with each step her took, Ortho would unleash two air bullets. By time he was done, Ortho managed to unleash twelve bullets forward.* - Sat Nov  7 00:03:50 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) || Betrayal is a word used too many times by these other greedy Uchiha's. They find every bit and piece of life where mistakes are present to deem something as betrayal, and it's for that reason why Index and Ortho are going at it. Two fine shinobi butting heads because one walks into something he knew nothing about and instantly deemed the actions as betrayal. It's pitiful for two people that shared the same sensei to go at it in the name of betrayal.

The mud wall did little to prevent Ortho from continuing his attack. The efforts of Nina and Ajisai were overlooked for just this moment; rage proving to cloud Ortho's mind. Another set of handseals were woven together, and with Index's line of sight being blocked by the wall, it was a matter of coming up with a counter. Upon the handseals completion, Ortho slammed his hands atop the ground, causing a dome of earth to quickly form around Index and the mud wall.

Afterwards, to continue the combination, Ortho weaves yet another set of handseals. Once again his hands slam on to the earth's surface, this time around spike rampage toward Index. Seeing as though the spikes were forming beneath the ground and protruding up, the whole point of the dome was to prevent the once 'brother' from evading. The only way possible to evade by normal means is to burrow beneath ground, and we know from how Violet and Elon died how that goes with these spikes.* - Sat Nov  7 00:17:29 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) thinks: Erg, Ortho, why aren't you listening... - Sat Nov  7 00:21:45 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) || A hole was pierced through the done, causing the spikes to easily be destroyed. Haste continues to guide Ortho as he takes a single step forward. His hands raise to chest level and quickly surge through a set of seals. The lightning from Index was nearing, but no hesitation was given in response.

Nina's jutsu managed to push Ortho back, sending him tumbling over with relative ease. This, however, didn't stop the enraged male. If anything, it only made him angrier. Despite this, however, he makes it to his feet and continues with his response. By this point, the lightning jutsu from Index was closing; Nina's Great Breakthrough weakening it just a tad bit.

Ortho his lungs with oxygen and puckers his lips, he would soon after unleash his own gust of wind. This, in turn was specifically aimed toward the hole Index made with his lightning. Following the gust of wind was another formation of handseals and the expulsion of a massive fireball. The initial wind was to negate the lightning and to aid the fireball closing trailing after.* - Sat Nov  7 00:36:16 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) broke off into a full sprint, aiming to close the distance between him and Index. Another set of handseals were woven together and his chakra rapidly kneaded within his stomach. Just as he puckered his lips to expel the jutsu he prepared Ajisai stepped right in the crossfire. It was one thing to launch jutsus at him from a distance to get him to stop, but even he had boundaries to not harm Nina and Ajisai when they stepped head first into the line of battle.

Ortho's frame stopped, his eyes momentarily transitioning from Index to the pale skinned female. It rests on her for a few seconds before panning the area for Nina. His anger was clouding his mind, but these two females in his life were acting as a united ray of light piercing through. His fists clenched and he placed his focus back on Index, saying nothing.* - Sat Nov  7 00:50:46 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) || "I've respected Index, I've come to terms with Index, I've eaten with Index, I've drank with Index.. Index is- was.. my brother. He is the only person after Hideki died that looked me in the face, told me like it is and made me understand myself. But he's a sellout! All he does is make movements to better his petty ass girlfriend. I basically asked him if he is still a rider because everything he does is for her. I get it, he loves her, that's his spouse. But how many times is he going to butt into my business and act like he knows anything about me when all he does is climb up Katsune's pussy when the tough gets going!? I've sat with myself day in and day out wondering how I should mold my goals and plans to make sure his and my path's don't cross! I've done everything physically, mentally and emotionally possible! Yet he looks at me with those eyes.. those eyes of hatred and anger when I didn't even do anything to HIM! No more, damn it..! I WON'T ALLOW HIM TO LOOK AT ME LIKE I'M SOME PIECE OF TRASH! LIKE I'M SOME.. ANIMAL!"

Ortho didn't even bother to let Index talk; he sidesteps Nina and Ajisai both. Using the chakra he had kneaded beforehand, he'd pucker his lips and unleashed another massive fireball.* - Sat Nov  7 01:13:48 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: So much for not being able to die. - Sat Nov  7 01:33:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Nov  7 01:54:46 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) || Is this really what it comes down to? Is this really what fate had in store of us as a shinobi? The whisper in the wind being the dying breath of someone that stepped in front of the bullet for a person that has done nothing but commit sins? The hopes of at the cost of her life, the next person would be able to open their eyes and transition into a serene state of mind? The hopes that as her soul left her body, a level of understanding and wisdom can be achieved to the next person? Is this really what it comes down to?

Ortho's eyes widened. He stumbles for words, but couldn't pull himself together to find them. He watches Ume's body go limp after her dying speech, a final cough made and blood trickle down the side of his mouth. Ortho would fall to his knees; positioning himself by Ume's lifeless body. His head slowly shook and his eyes swell with tears. "N-No.. not agai-.. No, damn it.. Ume, wake up-.. I'm sorry, Ume-.. UME! I SAID GET UP!"

He takes her by the shoulders and shook her; no response. Eventually the tears that swelled in his eyes would overflow and seep down his cheeks. "Get.. up, Ume.. get up.." Ortho's strength completely left his body as he leans forward, bowing his head over the body. "This.. wasn't supposed to happen, Ume.. I told you not to ever do that.. I was supposed to protect you two.. I'm.. sorry.."* - Sat Nov  7 02:00:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Ohoo?~ - Sat Nov  7 02:09:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Don't..laugh.. - Sat Nov  7 02:14:24 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) || "It's.. my fault." Ortho spoke, his voice was hoarse and low. "..m-my.. fault."

How could this happen? Where did he go wrong? What turn did he take in this life where everything would come crashing down on him? What decision did he make where everything he believed in, everything he felt was right.. turned out to be false and.. wrong? How can he turn back time, or even hit the reset button? Reset everything to the exact moment he made the wrong move, chose the wrong choice, said the wrong thing, did the wrong action. Just.. a reset.

"..it's.. my fau-..fault.."

Tears no longer trailed down his cheeks, that feat were no longer possible. His head went from slow shakes of denial to nods of acceptance. Acceptance that he was a screw up; acceptance that the path he chose was completely wrong. Acceptance of the fact that fate couldn't be changed, just postponed. Acceptance that no matter what he did or say he will eventually succumb to the darkness. Acceptance that no matter how far, or how fast, he runs darkness was inevitable.

Ortho would remain still, only moving to raise his head to look at Index. "..my.. fault." His eyes remained in their crimson state, the single tomoe swirling before resting at the corner. Despite this, it can be told Ortho no longer had a soul or peace of mind; he was just.. there. "my fault.." Ortho continues to absent mindedly stare of Index, doing nothing. Whether or not Index truly wished to kill Ortho didn't matter anymore. To Ortho, everything he stood for shattered. He just.. sat there at the mercy of fate..* - Sat Nov  7 02:30:36 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) || What did Ortho have left? What did Ortho have to look forward into? Index's words stirred anger in him, but he just didn't have the will to act on it. Index was just the ideal hypocrite. He had everything to ask for. He had a spouse that didn't have one foot out the door, yet he chose to intrude on something good Ortho had going. Index had riches while Ortho had to play bitch to multiple kages just to make a living. Index was simply put, a lie. He preach that Ortho's way was wrong and against Hideki, but everything Index did was for his own selfish gain. Ortho wasn't a saint, but he made movements that he knew Hideki would want. Index, on the other hand, did things that were best for him and the piece of vagina he was getting from Katsune.

Still, however, the complete blame was placed on Ortho. The riddle of life was solved and Ortho being the one to get the short stick out of the bunch. His eyes trailed after Index, watching him walk off. Ortho slowly shook his head, voiding himself of all thoughts that the man he wants loved like a brother was now his number one enemy. All for what though? That part has yet to be clear. Hell, it must've been some random ragefit that Index was going through while trying to reap what he didn't sow. Nevertheless, Ortho remain quiet. He lifts his head and stares at the skies above.

"..my.. fault.."* - Sat Nov  7 02:51:05 2015
