<br><font color=teal>*Zetseun, Cypher(Jjking218) says: So you could make a pill to give me green eyes or something? - Wed Oct  7 15:44:38 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Seventeen, Eighteen.. - Fri Oct  9 02:20:48 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ..... - Fri Oct  9 02:25:04 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Go fish. - Fri Oct  9 02:25:55 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: .... - Fri Oct  9 02:25:55 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: He..hehe... - Fri Oct  9 02:25:55 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) thinks: What the fuck is go fish? - Fri Oct  9 02:25:55 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ....... - Fri Oct  9 02:25:55 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: I do not have a fishing rodd with me at the moment... - Fri Oct  9 02:25:55 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: I can't....do that. - Fri Oct  9 02:25:55 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Sorry. - Fri Oct  9 02:25:55 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) thinks: This..stupid..motherfucker.. - Fri Oct  9 02:25:55 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: I dont even know how to fish. - Fri Oct  9 02:26:46 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) simply sat himself down and remained quiet, not bothering to do much of anything.* - Fri Oct  9 02:26:46 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Now -you're- the fucking fish! - Fri Oct  9 02:29:20 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: ....... - Fri Oct  9 02:29:20 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: *Muffled* *Muffled* *Muffled* - Fri Oct  9 02:30:11 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: .... - Fri Oct  9 02:30:11 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... *Face twitch.* - Fri Oct  9 02:31:53 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) 's eyes remained fixated on the table, the stare given to him by Ambrocio went unnoticed.* - Fri Oct  9 02:33:36 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: ...... - Fri Oct  9 02:35:18 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: You want to fight mate?! - Fri Oct  9 02:36:09 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: That is what I thought! - Fri Oct  9 02:36:09 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ...Yes.. - Fri Oct  9 02:38:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Fri Oct  9 02:39:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: .... - Fri Oct  9 02:39:34 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ..... - Fri Oct  9 03:28:12 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Mmnh.. - Fri Oct  9 03:30:46 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Fri Oct  9 03:35:02 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Meat pie?.. - Fri Oct  9 03:35:02 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Its human meat -omit- - Fri Oct  9 03:35:53 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What? - Fri Oct  9 03:35:53 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mhm...Chopped steak in a soft bread pie. - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Steak and cheese. - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Steamed and baked. - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Nevermind. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Baen it is good to see you here. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I need everyones help. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . . - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Will you help me? - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Who is Fujitora foolin. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Bitch, who are you? - Fri Oct  9 03:40:09 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: With what?..The crops not growing? - Fri Oct  9 03:41:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I can help fertilize. - Fri Oct  9 03:41:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Some herbs here. - Fri Oct  9 03:41:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Some water, so on. - Fri Oct  9 03:41:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You look better with the lights off. - Fri Oct  9 03:41:52 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Oh, what's good. - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Here trying to rebuild this place. - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Will you help me? - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Called me here to help rebuild? - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: He has a fight with Tetsujin to worry about..I don't really think he can help. - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I called you here because of the blades left on Tethy's will. - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I gave this place three million Yen, where did it al go? - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What can you offer me? - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: When was this? - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Before Tethys death...But in his will he left people TONS of money... - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: That money i gave him was meant for the village.. - Fri Oct  9 03:44:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It is gone. - Fri Oct  9 03:44:25 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Tsk.. - Fri Oct  9 03:44:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: The village was destroyed as you can se Fujitora. - Fri Oct  9 03:44:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I do not know anything about any money. - Fri Oct  9 03:44:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What would you want Baen? - Fri Oct  9 03:45:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: There is not much I can offer you. - Fri Oct  9 03:45:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I'm not even sure. I have no use for money. I'm already powerful. Tetsujin's giving me his title and by extension his life. - Fri Oct  9 03:45:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Speaking of the blades of the will... - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: How is Niza doing? - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Then there is nothing I can offer you. - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I read Tethys Will....Kiba Blades sound interesting. - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I do not know. - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I have been here. - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: But Kirie... - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Niza almost died. - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Kumogakure got destroyed essentially. - Fri Oct  9 03:46:59 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: ... - Fri Oct  9 03:46:59 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What? - Fri Oct  9 03:46:59 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I was there several days ago. - Fri Oct  9 03:46:59 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: This was very recent. - Fri Oct  9 03:47:50 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Kenshin came in and killed himself and a few people. - Fri Oct  9 03:48:41 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Almost killed Niza, but hey, shinobi life. - Fri Oct  9 03:48:41 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...... - Fri Oct  9 03:58:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hideki, where were you.... - Fri Oct  9 03:58:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I was kidnapped. - Fri Oct  9 03:58:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: People died, Hideki, a lot of them.... - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I couldn't do anything but run away... - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: And? - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I've lost a lot of people myself.. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You could've helped them, that's what! - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: That's life kid. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... Mmn. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ,,,,,,,Well, I'll get stronger so that I don't have to deal with that life. Watch me... - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I thought we lost this man.. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... *Face twitch.* - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Good luck Nina. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't need luck. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah you do. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I won't lose anyone else on my watch. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Keep thinking that. - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thought the same thing. - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Lost five friends. - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well, that won't happen to me. - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'll make friends, get teachers, become a better kunoichi in all. - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Fuck this guy.. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Taking her to the hospital. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) thinks: OneTwoThreeFour... - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) whispers: You guys said you were going ot the bathroom! - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: The hospital's messed up. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: I'm a shinobi of Kumogakure. I'm taking her to my house so she can rest. She's battered up. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: H-Hideki.... take me to your home.... - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Alright. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: I hope you didn't think I had malicious intentions. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You never know nowadays.. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: I'm loyal to Kumogakure. I never, and never will betray my comrades. - Fri Oct  9 04:04:03 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Easier said than done. - Fri Oct  9 04:04:03 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: That's a self-rule I'll abide by. Especially if I plan on becoming Raikage some day. - Fri Oct  9 04:04:03 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Right. - Fri Oct  9 04:04:03 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Come along, Ambrocio. - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: Mind if I tag along.. or? - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  9 04:49:16 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Yo. Katana guy. - Fri Oct  9 04:49:16 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Explain. - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Hm? - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: The situation. - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Explain it. - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Ahh.... - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I don't know. - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Two people died. - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: The Raikage injuryed. - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: ....Names. I need them. - Fri Oct  9 04:50:59 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Don't know them. - Fri Oct  9 04:50:59 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Well not two people. - Fri Oct  9 04:50:59 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Muda... - Fri Oct  9 04:50:59 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Other shinobi and citizens died too. - Fri Oct  9 04:50:59 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Also the mansion got destoryed. - Fri Oct  9 04:50:59 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: You're just stating the obvious now. - Fri Oct  9 04:51:50 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I know just about as much as you do. - Fri Oct  9 04:51:50 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Anyways. - Fri Oct  9 04:51:50 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: What I wanted to ask. - Fri Oct  9 04:52:41 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Is that do you want to invest in a new sword? - Fri Oct  9 04:52:41 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I do. - Fri Oct  9 04:52:41 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: How much you got. - Fri Oct  9 04:52:41 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I'm low on funds. And all my materials are like. - Fri Oct  9 04:53:32 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Gone. - Fri Oct  9 04:53:32 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I've got eight hundred thousand. - Fri Oct  9 04:54:24 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Ehh,,,,, - Fri Oct  9 04:55:15 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Thats not enough for anything special....... - Fri Oct  9 04:56:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Right. - Fri Oct  9 04:56:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: That's fine. - Fri Oct  9 04:56:06 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Whats your sword made out of? - Fri Oct  9 04:56:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: This blade? This isn't meant for combat. - Fri Oct  9 04:56:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: This is a practice blade. - Fri Oct  9 04:56:57 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Wait. So you don't have a sword at all? - Fri Oct  9 04:56:57 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Currently, no. - Fri Oct  9 04:56:57 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: How do I comfort her... - Fri Oct  9 04:56:57 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Oh. I can just make you one out of Iron. - Fri Oct  9 04:56:57 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I'll save my funds for now. - Fri Oct  9 04:57:48 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: It'll primarly cost around five hundred. - Fri Oct  9 04:58:40 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: --- - Fri Oct  9 04:58:40 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Just five hundred? - Fri Oct  9 04:58:40 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Yea? - Fri Oct  9 04:58:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: There is a place where pople gather. - Fri Oct  9 05:02:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Follow me Fujitora. - Fri Oct  9 05:02:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Aye..Thank you..I can probably heal him . - Fri Oct  9 05:03:47 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: ... - Fri Oct  9 05:11:28 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: ARMS! ARMOR!  - Fri Oct  9 06:36:48 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: I CAN MAKE IT ALL!  - Fri Oct  9 06:36:48 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: JUST STEP RIGHT UP! TO MY IMPRESSIVE STALL!  - Fri Oct  9 06:36:48 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: MAX THE BLACKSMITH, THIS IS MY NAME, CRAFTING LEGENDARY ITEMS IS MY AIM! - Fri Oct  9 06:37:39 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: . . .  - Fri Oct  9 06:41:04 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: COME ON COME ALL!  - Fri Oct  9 08:41:23 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: SEE MY WARES!  - Fri Oct  9 08:41:23 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: I, THE GREATEST BLACKSMITH OF ALL TIME! - Fri Oct  9 08:41:23 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Greatest?... - Fri Oct  9 08:42:14 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: Aye! Step up! Step up! See the greatest steel in all the land! - Fri Oct  9 08:42:14 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: What can make?? - Fri Oct  9 08:43:05 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: You name it! I can make it!  - Fri Oct  9 08:43:05 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Right...Make me a good katana.. - Fri Oct  9 08:43:56 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Mmm. . .! Can make hamme mo' betteah? - Fri Oct  9 08:43:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Carbon Steel.. - Fri Oct  9 08:43:56 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: Aye! Of course! I can make you a new Katana!  - Fri Oct  9 08:43:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: At what cost? - Fri Oct  9 08:44:48 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: as for your hammer. . PErhaps not. . That seems to be a weapon of evil. . I don't do evil.  - Fri Oct  9 08:44:48 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is no evil! Jus; stron'! - Fri Oct  9 08:44:48 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: . . Hmm. .  - Fri Oct  9 08:57:36 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: Yes. . I could likely make some armor! I am the greatest after all!  - Fri Oct  9 08:57:36 2015
<br><br><font color=teal>*Max(Roxas The Hokage) thinks: I Haven't made armor in years - Fri Oct  9 08:58:27 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: That hammer is a nice one.. - Fri Oct  9 08:58:27 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Take it you are well initiated for close up battles eh? - Fri Oct  9 08:59:18 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: Shoot kiddo - Fri Oct  9 09:02:43 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: What do you sell? - Fri Oct  9 09:02:43 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: Ten thousand ryo, for my best armor, and I sell just about everything kiddo. - Fri Oct  9 09:03:34 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Everything? Interesting. - Fri Oct  9 09:03:34 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: How much would your finest sword cost? - Fri Oct  9 09:04:25 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: . . .  - Fri Oct  9 09:04:25 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: My finest sword? Well. . That would cost. . eight thousand Ryo . . . - Fri Oct  9 09:04:25 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Oh? My that's pricy, mind if I ask what makes it worth that price? - Fri Oct  9 09:05:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm.. - Fri Oct  9 09:06:59 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: I should be going to the waterfall village... - Fri Oct  9 09:06:59 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: I am the greatest. . Simply put. .  - Fri Oct  9 09:09:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I see, I'm talking to the right person about this then. - Fri Oct  9 09:10:24 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I can assume your finest sword would be carbon steel correct? - Fri Oct  9 09:11:15 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: Yes indeed! - Fri Oct  9 09:12:06 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Very nice...Now would you be willing to haggle the price a little? - Fri Oct  9 09:13:48 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: So confident in my swords! Why I'd challange yon swordsmen to a duel to the death, my blade vs his to prove myself! - Fri Oct  9 09:13:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? - Fri Oct  9 09:13:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: No no, I truly believe you are the best. - Fri Oct  9 09:13:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Something as silly as that shouldn't need to happen. - Fri Oct  9 09:14:40 2015
