<br><font color=teal>*Momura(JustCallMeGnar) says: I-I used to live in k-kirigakure. - Mon Dec  7 03:51:40 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Perhaps I can offer you some night time medicine, if you know what I mean. - Tue Dec  8 06:22:17 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: ...? - Tue Dec  8 06:22:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ... What, Viagra? - Tue Dec  8 06:22:17 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: V-Viagara...? - Tue Dec  8 06:22:17 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . - Tue Dec  8 06:22:17 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-It's alright. - Tue Dec  8 06:23:08 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I don't need it. - Tue Dec  8 06:23:08 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Hanai doesn't need viagra, if he had it. He die in 30 minutes from his blood volume being too low -omit- - Tue Dec  8 06:23:08 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: It's a aphrodisiac. It'll make the both of you crazy, and make the nights pleasurable.  Trust me, I've tried it before. Wooh! Wild nights I tell you. - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: But, let's not speak more for there's children around. - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Don't take it. - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Oh. - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I m-mean.. - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: W-We don't need t-that. - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: An aphrodisiac makes you highly. . . susceptible to sexual acts. Often times, its hard to control. - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: So that wouldn't be wise. - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uh... - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: -- - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Your Katana is made, of course. - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Sweet.  - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: That'll be about. - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Actually if you lay her on the side, damage is pretty much impossible.-omit- - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: One-point-one million. - Tue Dec  8 06:24:51 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) pays him 1.5 million for his services * - Tue Dec  8 06:25:42 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Leave my friend alone, they're clearly not interested in any of your wares. Go bother someone else. - Tue Dec  8 06:25:42 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: It be more beneficial to go tell other people about your business anyways. - Tue Dec  8 06:25:42 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: You may go to pick it up at the shop. - Tue Dec  8 06:26:33 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: B-Baby clothes? - Tue Dec  8 06:26:33 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Thank you. - Tue Dec  8 06:26:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I was kiddin, I was kiddin.. - Tue Dec  8 06:26:33 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hey Marco. - Tue Dec  8 06:26:33 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Buddy pal. - Tue Dec  8 06:27:24 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) (ADMIN HELP)(Twerkin4Birkin)(Ryujin, Izanami): Gimmie my shit or i'll shit in yo cornflakes * - Tue Dec  8 06:27:24 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: We have a probably cheaper market place for that just over there. - Tue Dec  8 06:27:24 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: O-Oh..hm.. - Tue Dec  8 06:27:24 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I've limited stock, so what I have is what I have left. - Tue Dec  8 06:28:16 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: I really how this doesn't turn out to be another Kirigakure. - Tue Dec  8 06:28:16 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Anyway.. - Tue Dec  8 06:28:16 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Baby Clothes, that's fine. - Tue Dec  8 06:29:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: But tryin to sell someone an Aphrodisiac? Really? Heh.. - Tue Dec  8 06:29:07 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: D-Do you have watermelon clothing b-baby clothes? - Tue Dec  8 06:29:07 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Trilliam? - Tue Dec  8 06:29:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm.. So, not in the mood to spar, Chikyu? - Tue Dec  8 06:29:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: And.. Lera, how you doin? - Tue Dec  8 06:29:07 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Can you make me some light weight amour I feel since I take more crazy jobs due to  my promotion I'll need some. - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Hey, I have a little bit of everything.  I got to get someone's interest. - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: A quick one, if thats alright with you. - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: And I might have something. - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: H-Hm? - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) thinks: I-I'm hungry.. - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) thinks: K-Ketchup and k-kiwii sandwiches.. - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) thinks: Y-Yesss... - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Ah. I was supposed to make that. I'll get to you in a bit. - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Its fine take your time buddy have some fun all you do is work. - Tue Dec  8 06:30:49 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) goes to pick her shit up after paying Marco * - Tue Dec  8 06:30:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Let's head over' n. Yeah? - Tue Dec  8 06:30:49 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: E-Ehh.. - Tue Dec  8 06:35:05 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I-I dunno. - Tue Dec  8 06:35:05 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I-I think w-we're fine. - Tue Dec  8 06:35:05 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Eh? - Tue Dec  8 06:35:05 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: What, it's not your color? - Tue Dec  8 06:35:05 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: N-Nah - Tue Dec  8 06:36:48 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hmm. - Tue Dec  8 06:38:30 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi, Koji. - Tue Dec  8 06:39:21 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hey! - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: S-Sanoke-san. - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What up? - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: H-Hi. - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You're fat as hell. - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Tch. - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: All that training for nothing?? - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I-I'm not fat! - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Just to let yourself go?! - Tue Dec  8 06:41:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: U-Um. - Tue Dec  8 06:41:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: --Oh. - Tue Dec  8 06:41:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Momura-chan's pregnant. - Tue Dec  8 06:41:04 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hows it going Tor-tata. - Tue Dec  8 06:41:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Wait. You're pregnant. - Tue Dec  8 06:41:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yepp. - Tue Dec  8 06:41:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Kinda figured. - Tue Dec  8 06:41:04 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Been dead too long.. - Tue Dec  8 06:41:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh, hi. - Tue Dec  8 06:41:55 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Let'sw head to the manor, Rias. - Tue Dec  8 06:41:55 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Rias. - Tue Dec  8 06:41:55 2015
<br><br><font color=teal>*Rias(LionHunter) says: Ok... - Tue Dec  8 06:41:55 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Baby ohhh let me see it. - Tue Dec  8 06:41:55 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Alright. Come along. - Tue Dec  8 06:42:46 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yes hi Trill - Tue Dec  8 06:42:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Mirai, you want to come too? - Tue Dec  8 06:42:46 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: If he blows up the child, I'm killing him first. - Tue Dec  8 06:42:46 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) thinks: Is it gramps baby - Tue Dec  8 06:42:46 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Mhm. - Tue Dec  8 06:42:46 2015
<br><br><font color=teal>*Rias(LionHunter) says: Later... I have business - Tue Dec  8 06:42:46 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: S-SO. - Tue Dec  8 06:46:11 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: U-Uhm. - Tue Dec  8 06:46:11 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-Yes? - Tue Dec  8 06:47:02 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: H-How're you f-feeling? - Tue Dec  8 06:47:53 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: W-well. - Tue Dec  8 06:50:27 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: ... - Tue Dec  8 06:56:25 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You'll make it known that Konoha will not be standing with Kumogakure. In fact, it's standing -against- it. - Tue Dec  8 06:57:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: In addition, you'll send the demands that Raikage and any like-minded individuals remove themselves. - Tue Dec  8 06:57:16 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Shinobi. - Tue Dec  8 06:58:08 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: You mean farmers. - Tue Dec  8 06:58:08 2015
<br><br><font color=teal>*Rias(LionHunter) says: I understand... - Tue Dec  8 06:58:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Trilliam. - Tue Dec  8 06:58:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You're going. - Tue Dec  8 06:58:08 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Im going where? - Tue Dec  8 06:58:08 2015
<br><br><font color=teal>*Rias(LionHunter) says: Well Im off - Tue Dec  8 06:58:08 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) thinks: He sending me to hick vile - Tue Dec  8 06:58:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: To Konoha to serve as a protector. - Tue Dec  8 06:58:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And if there is any violent reaction? - Tue Dec  8 06:58:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Then you'll go to quell the threat. - Tue Dec  8 06:58:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: We're giving them a warning to stand done and leave. - Tue Dec  8 06:58:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: If not, force will be used. - Tue Dec  8 06:58:59 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm.. - Tue Dec  8 06:58:59 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: We're goin to war!? WOO! - Tue Dec  8 06:58:59 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Welp Rias looks like I get to come with you. - Tue Dec  8 06:59:50 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Hrm. . To send Koji or not. - Tue Dec  8 06:59:50 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Of course. - Tue Dec  8 06:59:50 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Oh! My scouting on my way home!~ - Tue Dec  8 06:59:50 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: The Raikage yelled at me to leave as soon as he saw me!~ - Tue Dec  8 07:00:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: He was quite rude, yes, yes! - Tue Dec  8 07:00:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm..~ - Tue Dec  8 07:00:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Sorry, sorry. - Tue Dec  8 07:00:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I'm all excited. - Tue Dec  8 07:00:41 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Koji, you'll go as well. - Tue Dec  8 07:00:41 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: F-Fighting?...S-Scary! NOPE, I'M OUT OF HERE!! - Tue Dec  8 07:00:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah.... - Tue Dec  8 07:01:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Gentlemen, you know. - Tue Dec  8 07:01:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And izanami. - Tue Dec  8 07:01:32 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Iza do me a favour. - Tue Dec  8 07:01:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: It could be said.... that I, like... war.. - Tue Dec  8 07:01:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm? - Tue Dec  8 07:01:32 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Whiile Im gone can you take over Green Hiro and Abra's traning for me. - Tue Dec  8 07:01:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You're being sent to Konoha to protect the village in the event Kumo retaliate againt their claim. - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yes myLord. - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Likewise. If violence persists in Kumogakure. - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Be super Hard on Abra okay. - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You guys are going there to end it. - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Guu - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: A-Are we l-leaving as yet, ma'am?... - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Understood? - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: He's in my school of earth. - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Jah, Mein Fuhrer! - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Mirai hold the fort down my Queen - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: It vill be done, Jah, Jah! - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm, alright.  - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yessir. - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Right to it, Kage. Ah... - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I will. - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: So, who am I goin with? - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I shall do my best. - Tue Dec  8 07:03:15 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Me, Koji, and..? - Tue Dec  8 07:03:15 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Me. - Tue Dec  8 07:04:06 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: RIAS! - Tue Dec  8 07:04:06 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Just the three of us? - Tue Dec  8 07:04:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*catches*> - Tue Dec  8 07:04:06 2015
<br><br><font color=teal>*Rias(LionHunter) says: Chikyu~ - Tue Dec  8 07:04:06 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: We at least bringin an army..? Or... any backup from Konoha? - Tue Dec  8 07:04:06 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: To Konoha. - Tue Dec  8 07:04:57 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yo, Chikyu. - Tue Dec  8 07:04:57 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I gotta go kill some idiots. Hold tight while I'm out, yeah? - Tue Dec  8 07:04:57 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Mitsu before you go, I like to talk to you real quick alone. - Tue Dec  8 07:05:48 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yes Chikyu he is my cutie~ - Tue Dec  8 07:05:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Eh..? Let's go of to the side. - Tue Dec  8 07:05:48 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Oh god...I  wish I could talk to you more Rias but all this going... on. I need to talk to Mitsu , and I'll visit Konoha soon. - Tue Dec  8 07:06:40 2015
<br><br><font color=teal>*Rias(LionHunter) says: Ok - Tue Dec  8 07:06:40 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Go get them, they're going  to leave - Tue Dec  8 07:08:22 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Please tell me we are not walking. - Tue Dec  8 07:09:13 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm... So, Rias. Beena  while. How you been? - Tue Dec  8 07:09:13 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: I-I don't know about.. you guys... B-But I'm running! - Tue Dec  8 07:09:13 2015
<br><br><font color=teal>*Rias(LionHunter) says: Im good... going home now - Tue Dec  8 07:10:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yeah, I'm comin. - Tue Dec  8 07:10:04 2015
<br><br><font color=teal>*Rias(LionHunter) says: Hush you... - Tue Dec  8 07:10:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Deployed with Iza and the others. - Tue Dec  8 07:10:04 2015
<br><br><font color=teal>*Rias(LionHunter) says: Ok - Tue Dec  8 07:10:04 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: B-But... I-I understand, ma'am. - Tue Dec  8 07:10:04 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: I'll deal with you when we get home. - Tue Dec  8 07:10:56 2015
<br><br><font color=teal>*Mikado(Gamer205) says: how u learn skills? - Tue Dec  8 07:13:29 2015
<br><br><font color=teal>*Jiki, Hayate(Assassin241) says: Suck deez nutz. - Tue Dec  8 07:13:29 2015
<br><br><font color=teal>*Jiki, Hayate(Assassin241) says: omit - Tue Dec  8 07:13:29 2015
<br><br><font color=teal>*Mikado(Gamer205) says: omit lol - Tue Dec  8 07:13:29 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: What. .? - Tue Dec  8 07:22:01 2015
<br><br><font color=teal>*Rias(LionHunter) says: Oh her Asteroth... - Tue Dec  8 07:22:52 2015
<br><br><font color=teal>*Rias(LionHunter) says: Get ready... there might me trouble... hide of you need to - Tue Dec  8 07:22:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Tue Dec  8 07:22:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Packed. - Tue Dec  8 07:23:44 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: I deserve this seat... - Tue Dec  8 07:23:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Tue Dec  8 07:24:35 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: This is awkward.. - Tue Dec  8 07:25:26 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: I wonder what can I sell to these people here. - Tue Dec  8 07:25:26 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: Weird. - Tue Dec  8 07:26:17 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: I should try to get information on the two while I'm here. I'm sure she'll know something. - Tue Dec  8 07:28:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Tue Dec  8 07:29:42 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Tue Dec  8 07:29:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What are all of these people here for, Lady Hokage? - Tue Dec  8 07:30:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ZE KRIEEEEGGGGG! - Tue Dec  8 07:30:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Seems as if she's still eating from the palm of Sunagakure.. - Tue Dec  8 07:32:16 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: So that's what this is all about. - Tue Dec  8 07:33:07 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: If I keep this up, I'll learn something. - Tue Dec  8 07:33:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Unecessary. - Tue Dec  8 07:33:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Kekekekek.. - Tue Dec  8 07:33:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe I was. - Tue Dec  8 07:33:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I still doubt there will be a war. - Tue Dec  8 07:33:07 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah.. maybe. - Tue Dec  8 07:33:07 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Anyway.. ah, Hokage-Sama... I'll talk to you later, then. I'll.. be around town, training. I'm.. certainly not ready to help with this kind of thing. - Tue Dec  8 07:33:58 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: War huh? - Tue Dec  8 07:33:58 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I guess I should start making some calls. Whoever has the better supplies will win in the end. - Tue Dec  8 07:33:58 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Wait... War?... Nope! Going to flee this village too! Nope Nope, NOT AT ALL! I WON'T BE DRAFTED!!!! - Tue Dec  8 07:33:58 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: ..... - Tue Dec  8 07:34:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: Gentlemen... - Tue Dec  8 07:34:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: I.... - Tue Dec  8 07:34:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: ... Like... - Tue Dec  8 07:34:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: War. - Tue Dec  8 07:34:49 2015
<br><br><font color=teal>*Rias(LionHunter) says: Thak you Trill, Yes this is my office... who are you again?; Osuda these are shinobi and guards from Suna to help us if we are attacked - Tue Dec  8 07:34:49 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: I kind of want in on this..I bet the others will want in on it too. It'll be an adventure! - Tue Dec  8 07:35:40 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Excuse me, may I have your name? I just can't keep looking at your beauty without knowing who you are. - Tue Dec  8 07:36:32 2015
