<br><font color=teal>*Engi, Ichiro(Master Roku) says: Get a cup. - Fri Nov 27 01:08:41 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: There's more than one guard. - Sat Nov 28 04:28:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Nov 28 04:28:48 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ---- - Sat Nov 28 04:28:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I had to stay with this little girl..for so long. - Sat Nov 28 04:28:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: .... - Sat Nov 28 04:28:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Who is it? - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...I am not a little girl. - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She's apparently Ichiro-kun's sister. - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You'd know, wouldn't you Sado-san? - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Shut it. - Sat Nov 28 04:29:39 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) brings her fist to her open palm as she hears the voice.

"Oh, it's her!"* - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: With all your flirtations. - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No one flirted with you. - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...... - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Master Sado. - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Oh so that's his sister. - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You were flirting with Ichiro's little sister? - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Ani-san, Sado-san is really such a tease. - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I thought she was cute too, don't worry. - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I was not. - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: It's okay, Master Sado. - Sat Nov 28 04:30:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: He could barely keep his hands off me. - Sat Nov 28 04:30:30 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sat Nov 28 04:30:30 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: What? - Sat Nov 28 04:30:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Honestly, I had to hold him back. - Sat Nov 28 04:30:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I think we should get married now. - Sat Nov 28 04:30:30 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I'm sure with six hands, you had no problem. - Sat Nov 28 04:30:30 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ....... - Sat Nov 28 04:30:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Well jeez, now you gotta kill the guads. - Sat Nov 28 04:30:30 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: That's... - Sat Nov 28 04:30:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: *guards - Sat Nov 28 04:30:30 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Kida, go ahead. - Sat Nov 28 04:30:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Nov 28 04:30:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I tried so hard to be a little sneaky snake. - Sat Nov 28 04:30:30 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: He did it to her too...didn't he... - Sat Nov 28 04:30:30 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What? - Sat Nov 28 04:30:30 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Kill the guards? - Sat Nov 28 04:30:30 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Yeah. - Sat Nov 28 04:30:30 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: In fact, if anymore come because of an alarm bell. - Sat Nov 28 04:31:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Listen. - Sat Nov 28 04:31:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Kill them off too. - Sat Nov 28 04:31:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I had nothing to do with this little girl. - Sat Nov 28 04:31:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Oh I wasn't serious, but hey... go ahead. - Sat Nov 28 04:31:21 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 04:31:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Master Sado. - Sat Nov 28 04:31:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sat Nov 28 04:31:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Did you penetrate her too? - Sat Nov 28 04:31:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No. - Sat Nov 28 04:31:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I have no need for children. - Sat Nov 28 04:31:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Anyhow, I'm just pestering him. He was going to do something but then he asked how old I was and chickened out. - Sat Nov 28 04:31:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ---- - Sat Nov 28 04:31:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I wasn't talking about that penetration, Master Sado. - Sat Nov 28 04:31:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Jeez. - Sat Nov 28 04:31:21 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 04:31:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I know what type of penentration you were speaking of. - Sat Nov 28 04:32:12 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You're so lewd and perverted. - Sat Nov 28 04:32:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sat Nov 28 04:32:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do not hint that I'm some sort of pedophile. - Sat Nov 28 04:32:12 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Aawww. - Sat Nov 28 04:32:12 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You're not, Master Sado. - Sat Nov 28 04:32:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I know.. - Sat Nov 28 04:33:04 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: After all, aren't you a necrophiliac?! - Sat Nov 28 04:33:04 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Hey. - Sat Nov 28 04:33:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe...I am. - Sat Nov 28 04:33:04 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That would explain some things. - Sat Nov 28 04:33:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Anyway, Ichiro-kun. I refuse to marry your sister. - Sat Nov 28 04:33:04 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Tell me what you're doing outside of Kumogakure, sis... - Sat Nov 28 04:33:04 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) attempts to elbow Kida in the ribs.* - Sat Nov 28 04:33:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You didn't touch me, you don't have to marry me. - Sat Nov 28 04:33:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I've held up my end, and now she owes me. - Sat Nov 28 04:33:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I'm here to see you. - Sat Nov 28 04:33:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Why else. - Sat Nov 28 04:33:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You should be happy. - Sat Nov 28 04:33:55 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 04:33:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I told you if you didn't come back I would come find you. - Sat Nov 28 04:33:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Man, you guys really talk loud. If a guard heard that I would be dead. - Sat Nov 28 04:33:55 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) elbows Kida in the ribs once again.* - Sat Nov 28 04:33:55 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: As long as you're safe. - Sat Nov 28 04:33:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Pet, I hear that you've kissed this young girl.. - Sat Nov 28 04:34:46 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ------------------ - Sat Nov 28 04:34:46 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I am perfectly saf---ohhhhhhhhhhhhh a pet? - Sat Nov 28 04:34:46 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) quickly clasps her hands together and portrays the image of a dying maiden. 

"Oh, sir, please, not I. It was Ichiro who done such wrong."* - Sat Nov 28 04:34:46 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: That's interesting, I didn't know you liked to pretend Shiro-chan.~ - Sat Nov 28 04:34:46 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . - Sat Nov 28 04:34:46 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 04:35:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Nov 28 04:35:37 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: When did I become a punching bag? - Sat Nov 28 04:35:37 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: What the fuck is happening... - Sat Nov 28 04:35:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I don't mind..just make sure to control it. - Sat Nov 28 04:36:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Now! Onto the real problems.. - Sat Nov 28 04:36:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I heard that you guys have gotten into a bit of trouble involving someone.. - Sat Nov 28 04:36:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Problem? What problem? - Sat Nov 28 04:36:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Trouble? - Sat Nov 28 04:37:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What do you mean? - Sat Nov 28 04:37:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Nov 28 04:37:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Are you saying that Lord Mizukage moved the both of you to Sunagakure for no reason? - Sat Nov 28 04:37:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Sat Nov 28 04:37:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: He only told us. - Sat Nov 28 04:38:11 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: To find you. - Sat Nov 28 04:38:11 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Oh that? Well, he just told us to find you. - Sat Nov 28 04:38:11 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: We were in the courtyard and then bam! We're in Suna. - Sat Nov 28 04:38:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: To be honest, if you're going to torture someone. Don't let them run all the way to Sunagakure to report about your acts. - Sat Nov 28 04:39:02 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Honestly... - Sat Nov 28 04:39:02 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Run away? - Sat Nov 28 04:39:02 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: It's a miracle... - Sat Nov 28 04:39:02 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: If he did that... - Sat Nov 28 04:39:02 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: We broke his legs, stabbed him, tore his eye and tongue out. - Sat Nov 28 04:39:02 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That is, if we're talking about the same person. - Sat Nov 28 04:39:53 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . - Sat Nov 28 04:39:53 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I hear Suna sent him back here. So, when I find him, I'm going to take more than an eye and tongue. - Sat Nov 28 04:39:53 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Yeah uh. - Sat Nov 28 04:40:44 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: What retard over here said. - Sat Nov 28 04:40:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ugh.. - Sat Nov 28 04:40:44 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Retard? Who? - Sat Nov 28 04:40:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm conflicted. - Sat Nov 28 04:40:44 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: About? - Sat Nov 28 04:40:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Between having to deal with this annoyance of a young girl, and apologizing for your mess.. - Sat Nov 28 04:40:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I don't know if I should be happy about you guys finally torturing someone, or to be very upset.. - Sat Nov 28 04:41:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Well they didn't torture him right apparently. - Sat Nov 28 04:41:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Shiro, how many missions have you completed? - Sat Nov 28 04:41:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Because he ended up reporting on your actions. - Sat Nov 28 04:41:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: --------- - Sat Nov 28 04:41:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Sat Nov 28 04:41:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I thought we were having fun, Sado-san. - Sat Nov 28 04:41:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Uhm - Sat Nov 28 04:41:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I did five. - Sat Nov 28 04:41:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 04:42:27 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Hey. - Sat Nov 28 04:42:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Did you now? - Sat Nov 28 04:42:27 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Stay pure, lil sis. - Sat Nov 28 04:42:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'll be sure to ask Lord Mizukage about it. - Sat Nov 28 04:42:27 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . - Sat Nov 28 04:42:27 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: 'Pure'. - Sat Nov 28 04:42:27 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I don't think she'll stay pure if she's around us. - Sat Nov 28 04:42:27 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Oh well. - Sat Nov 28 04:42:27 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: Fuck my life. - Sat Nov 28 04:42:27 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Sat Nov 28 04:42:27 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Look. - Sat Nov 28 04:42:27 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Just don't play with sticks. - Sat Nov 28 04:42:27 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Is all I mean. - Sat Nov 28 04:42:27 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ......hah. - Sat Nov 28 04:42:27 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Sticks. - Sat Nov 28 04:42:27 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Play with sticks? What is she? Five? - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ..... - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Right? - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Jeez. - Sat Nov 28 04:43:18 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) elbows Kida.* - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I mean Sado-san and I were having a great talk and fun before he asked me how old I was. - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Kida.... - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: How did you not... - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Nevermind. - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You guys can talk about sex later. Whoever she's going to be having it with. It won't be me. - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: It'll be Ichiro. - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Clearly. - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I approve incest, don't worry. - Sat Nov 28 04:44:09 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) pats Ichiro on the back.* - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yep....Clearly.. - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I don't. - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If that's what you're into. - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Question, Ichiri. - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: If I ordered you to fuck your sister. - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Would you do it? - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ................................. - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Tonguetied. - Sat Nov 28 04:45:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: I wonder if Makoto is screaming to be released.. - Sat Nov 28 04:45:00 2015
