<br><font color=yellow>*Ai(Sennalove) wants to join him but ain't it a bitch, Ai can't fly.* - Tue Sep 01 21:59:53 2015
<br><br><font color=yellow>*Ai(Sennalove) was not into the fighting thing even if she heard the word bomb. The others were more capable to take create of such problem so she moves away from them, creating her distance while playing with a sheet of paper..Yes, she was playing with paper.* - Tue Sep 01 22:23:47 2015
<br><br><font color=yellow>*Ai(Sennalove) was still playing with her paper--She was almost finish making a paper bird!* - Tue Sep 01 22:35:44 2015
<br><br><font color=yellow>*Ai(Sennalove) rapes this nigga and give him them nightmares [OMIT]* - Tue Sep 01 23:28:38 2015
<br><br><font color=yellow>*Ai(Sennalove) shook her head no.* - Tue Sep 01 23:31:12 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: So...How much for a all nighter? [Omit] - Tue Sep 01 23:44:51 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: I'll pray, don't worry, show me the goods first though [Omit] - Tue Sep 01 23:45:42 2015
<br><br><font color=teal>*Ai(Sennalove) says: ...? - Wed Oct  7 04:14:17 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: She i skilled haha. Probably better than me. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Anyone down to train? - Fri Oct  9 03:41:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Ah, oh well. - Fri Oct  9 03:44:25 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yo. - Fri Oct  9 03:52:06 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I haven't seen ya around. The name's Yan. - Fri Oct  9 03:52:06 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Susumu. - Fri Oct  9 03:52:57 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I tend to keep to myself. - Fri Oct  9 03:52:57 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I see. Well, it's nice to meet you. - Fri Oct  9 03:52:57 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: It's a pleasure to meet you to, Yan. - Fri Oct  9 03:53:48 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: What're you studying there? - Fri Oct  9 03:53:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Oh, just reading up on some information. - Fri Oct  9 03:54:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: By the way, Tetsumi, if you want Alastor's sand..I can get it for you. I have it hidden. - Fri Oct  9 03:54:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Wouldn't be of any use to me. - Fri Oct  9 03:54:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fair enough. - Fri Oct  9 03:55:31 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: We live on sand. - Fri Oct  9 03:55:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I thought maybe you'd want the gourd as back up.. - Fri Oct  9 03:55:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: In case something happens to yours. - Fri Oct  9 03:55:31 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Huh? - Fri Oct  9 03:56:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Izanami, you are now in my squadron. - Fri Oct  9 03:56:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Alongside Kilm and Bryson. - Fri Oct  9 03:56:22 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uhm. - Fri Oct  9 03:56:22 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Okay. - Fri Oct  9 03:56:22 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: New squad... great... our squad washit with unforseen circumstance - Fri Oct  9 03:58:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: New Squads?... - Fri Oct  9 03:58:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'd like a mission actually. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: . . . . . . . - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: Sorry. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Or...can we go on a mission? - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm.. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hello Lord Hassan, what task do you require of Ravenscrotum? - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I'd be useless on any mission. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: We have a mission to perform. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) thinks: Ravenscrotum? - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: ThunderChicken, you know your mission. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Would you like us to do it without Kilm? - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Grandpa.. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan catch them up on the task once you are outside of the village. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He's not completely necessary. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: These squad names are lame.. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *:T* - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Iza. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll give you three shoes. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Glad I'm not in one. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Two on your feet, and one in your ass. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. I'd like a mission. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm..Gourd guy. - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Wanna do a mission together? - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: With jumpman on probation, and denying his tai-jutsu training i would like to request a new member my Lord... - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: What squad will I be in, sir? - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Take Isshin with you. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Koji. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yes sir. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I want Revnscrotum to venture out north and kill the giant animal peope have been complaining about, Apparently it's a 20 foot scorpion. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I thought it would be fitting. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What are we going to do? - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Since you killed it's babies. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan will brief you. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Now move out. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Oh. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Alright. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *._.* - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: The mother shall know the taste of Ravenscrotum. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Killed its babies? - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Good. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Lets get go White Eyed Devil. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Exellent~. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: *Mr Burns style* - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Do we all have nicknames or something? - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: So, you are Sir Koji? - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: My name is Isshin. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: I will be working with you. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Do we need nicknames for missions? - Fri Oct  9 04:04:03 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Welcome Isshin, before we head out you mind telling me about yourself? Only a little I like to know the people I turn my back to. - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: Ah. - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Jiki. - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: Well. - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: I'm a ninja. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohhh I wanna try and nick name somethin Ishin you are now HorseShoe. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: I enjoy gardening in my spare time. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I want you to go to every ore mine and make sure they are stil able to mine ore without problems. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If you run into a bandit that hasnt aligned with us. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Kill them. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *sigh* All right. Easy enough. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I won't have anything more to do with these terrorists. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Can I be given a mission..or something? - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Go with Koji. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Scorpion? - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Mhm. - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I won't be able to do anything. - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohhhh we gonna name you Licorish - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Then no mission. - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: *Sigh* - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Fine. - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I wont have you getting smart with me child. - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Turn that frown up side down Licorish. - Fri Oct  9 04:07:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Does not hurt to try Licorish. - Fri Oct  9 04:07:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Move out, do your briefing outide o the village. - Fri Oct  9 04:08:19 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: you werent needed? - Fri Oct  9 04:18:33 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: No sir... they told be I would hinder the mission... I didnt want to be a bother so I came back - Fri Oct  9 04:19:24 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Gramps! - Fri Oct  9 05:08:03 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Lord Hassan, the mission is complete. - Fri Oct  9 05:08:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: My boredom.  . - Fri Oct  9 05:29:23 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Sigh* - Fri Oct  9 05:30:14 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Madam... - Fri Oct  9 05:36:12 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Sister... How is Kang? I assume you were still watching him in the hospital - Fri Oct  9 05:37:04 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ughhh Kang is dead, - Fri Oct  9 05:37:55 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: .... - Fri Oct  9 05:37:55 2015
<br><br><font color=teal>*Ai(Sennalove) says: Hm..? - Fri Oct  9 20:48:25 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Excue me. - Fri Oct  9 20:48:25 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Do you have a messenger bird? - Fri Oct  9 20:48:25 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: That I could borrow? - Fri Oct  9 20:48:25 2015
<br><br><font color=teal>*Ai(Sennalove) says: Uh? No, not yet. - Fri Oct  9 20:49:16 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Darn. - Fri Oct  9 20:49:16 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I saw Hassan at the gate . . . Not sure if he's still there . . . If he is then you should go ask him if he has a bird. - Fri Oct  9 20:50:08 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Also . . . Anyone up to do anything? - Fri Oct  9 20:52:41 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I'll assume the silence means no . . . Fair enough. - Fri Oct  9 20:55:15 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Nope. - Fri Oct  9 20:55:15 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Not there or he doesn't have it? - Fri Oct  9 20:55:15 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Not there. - Fri Oct  9 20:56:57 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Alright - Fri Oct  9 20:57:48 2015
<br><br><font color=teal>*Kilm(Vysasi) says: No one wants to hang out here though . . . Being bored can make people dull though . . . Don't want that to happen. - Fri Oct  9 20:57:48 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm. - Fri Oct  9 21:01:13 2015
<br><br><font color=teal>*Kilm(Vysasi) says: In your special clothing, Hassan? - Fri Oct  9 21:01:13 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Or I guess not - Fri Oct  9 21:01:13 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: 9for that - Fri Oct  9 21:02:04 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Do you have a messenger bird, Hassan-senpai? - Fri Oct  9 21:02:04 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah. - Fri Oct  9 21:03:47 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: May I borrow it? - Fri Oct  9 21:03:47 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I need to contact my aunt. - Fri Oct  9 21:03:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Fill out the nessisary documents. - Fri Oct  9 21:03:47 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: ...Hnng.. - Fri Oct  9 21:03:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Wait for Yan or Jiki to get back from their mission. - Fri Oct  9 21:03:47 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Well uh. - Fri Oct  9 21:03:47 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hassan, You're going to probably need another new squad if people keep coming. - Fri Oct  9 21:03:47 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Where do I get these documents? - Fri Oct  9 21:03:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Those two. - Fri Oct  9 21:04:38 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Kilm.. - Fri Oct  9 21:04:38 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Probably.. - Fri Oct  9 21:04:38 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I speak from my observations. - Fri Oct  9 21:04:38 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I know. - Fri Oct  9 21:06:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: And I've noticed that i've yet to prove myself to you . . . That's going to have to change. - Fri Oct  9 21:06:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'm sure it will. - Fri Oct  9 21:06:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: If you need something done, Talk to me, I'll be more than happy to help out. - Fri Oct  9 21:07:12 2015
<br><br><font color=teal>*Kilm(Vysasi) says: With or without a squad. - Fri Oct  9 21:07:12 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm. - Fri Oct  9 21:08:54 2015
<br><br><font color=yellow>*Ai(Sennalove) yawns.* - Fri Oct  9 21:10:36 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: So we need documents to send birds? - Fri Oct  9 21:11:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Definitely. - Fri Oct  9 21:14:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Susumu just be patient. - Fri Oct  9 21:14:01 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I know..but I need to contact my aunt, But I shall wait. - Fri Oct  9 21:17:26 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm.. - Fri Oct  9 21:20:00 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Wlep thats enough of that for now. - Fri Oct  9 21:27:40 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm.. - Fri Oct  9 21:44:44 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: So.. - Fri Oct  9 21:44:44 2015
<br><br><font color=teal>*Ai(Sennalove) says: ...? - Fri Oct  9 21:46:27 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: How is everyone today? - Fri Oct  9 21:46:27 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm . . . Good. - Fri Oct  9 21:46:27 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Speaking for myself though. - Fri Oct  9 21:46:27 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Bored as always but I'll live. - Fri Oct  9 21:46:27 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: That's good. - Fri Oct  9 21:46:27 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: You know, I've learned to relieve boredom, You should find something exciting. - Fri Oct  9 21:47:18 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I don't think our ideas of "exciting" are the same thing. - Fri Oct  9 21:48:09 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I've learned that to do something exciting, you must get your blood to pump. - Fri Oct  9 21:48:09 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: So, You should go smash some boulders. - Fri Oct  9 21:48:09 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Fri Oct  9 21:49:00 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Or..Read a book. - Fri Oct  9 21:49:00 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Whichever you'd prefer, those are both very good ways to relieve boredom. - Fri Oct  9 21:49:00 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Food is also a good cure, but then again..Sleep is as well. - Fri Oct  9 21:49:00 2015
<br><br><font color=teal>*Ai(Sennalove) says: ... - Fri Oct  9 21:54:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: ...I know why it's quiet. . . - Fri Oct  9 22:00:57 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It's because Sunagakure's on high alert. - Fri Oct  9 22:00:57 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . No one can relax these days . . . Ugh. - Fri Oct  9 22:00:57 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: -- No. - Fri Oct  9 22:00:57 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I just want to contact my aunt. - Fri Oct  9 22:01:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Point was, there's not much to talk about when there are no new faces and no crime. - Fri Oct  9 22:01:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: No we arent. - Fri Oct  9 22:01:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Oh. - Fri Oct  9 22:01:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: What's your favorite food Katsune? - Fri Oct  9 22:01:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Miso? Maybe? I guess. - Fri Oct  9 22:01:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Miso? - Fri Oct  9 22:01:48 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: Atleast we're starting to talk about somethin'. - Fri Oct  9 22:01:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: ....Yeah. - Fri Oct  9 22:02:40 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . I miss how quiet the world was when I was still working under Niklaus . . . - Fri Oct  9 22:02:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: I haven't been able to think about things like that in so long...I'm not sure I have a favorite food these days. - Fri Oct  9 22:02:40 2015
<br><br><font color=teal>*Ai(Sennalove) thinks: Paper cut..Son of a.... - Fri Oct  9 22:02:40 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Nothing too major was happening and the festival was the best. - Fri Oct  9 22:03:31 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: We should have some type of festival sometime soon. - Fri Oct  9 22:04:22 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Sittin' on my ass . . . Legs on the table in Kumogakure mansion as I don't care about anything when I have two friends back then and my boss has nothing for me. - Fri Oct  9 22:04:22 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: We should have a fetival here. - Fri Oct  9 22:05:13 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Come up with a name. - Fri Oct  9 22:05:13 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll have Yan organize it. - Fri Oct  9 22:05:13 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Hm. - Fri Oct  9 22:05:13 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) thinks: Yan is beccoming very reliable. - Fri Oct  9 22:05:13 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Festivals have names? - Fri Oct  9 22:05:13 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) thinks: I think ill pile more work on him. - Fri Oct  9 22:06:04 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: The sunny festival.. - Fri Oct  9 22:06:04 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Sure. - Fri Oct  9 22:06:04 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Since its always sunny here. - Fri Oct  9 22:06:04 2015
<br><br><font color=teal>*Kilm(Vysasi) says: The Desert Oasis Festival. - Fri Oct  9 22:06:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Sand-in-your-shoes festival....? Snakes-all-over-the-place-cause-it's-a-desert festival....? - Fri Oct  9 22:06:56 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: This isn't an oasis. - Fri Oct  9 22:06:56 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Nor are there any oasis around here. - Fri Oct  9 22:06:56 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Not-the-nicest-region-to-be-in festival....? - Fri Oct  9 22:06:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Doesn't matter . . . This village is like an oasis for people who live in this region. - Fri Oct  9 22:06:56 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I guess. - Fri Oct  9 22:06:56 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Sun-Sun festival. - Fri Oct  9 22:07:47 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Kat, You try too hard. - Fri Oct  9 22:07:47 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: She's going to hit me isn't she. - Fri Oct  9 22:07:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Hahahaha!. - Fri Oct  9 22:08:38 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You guys are bad at naming things. - Fri Oct  9 22:08:38 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Last time you did that . . . I was a ragdoll for a few short seconds. - Fri Oct  9 22:08:38 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Super Sun Beach Bleached Hyper Ex Festival of Festikalities. - Fri Oct  9 22:09:29 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I like that name. - Fri Oct  9 22:09:29 2015
