<br><font color=teal>*Sanoke(Gamuhz2) says: Hng. .  - Wed Oct  7 05:50:43 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: (Your NIC is up. J/s.) - Wed Oct  7 05:54:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I will say this too. - Sun Oct 11 20:29:39 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I've met Baen. - Sun Oct 11 20:29:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: THe little is apparently an eye witness. - Sun Oct 11 20:29:39 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He seemed like a nice guy. - Sun Oct 11 20:29:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Sun Oct 11 20:29:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: He once came here and tried to kill Taiga. - Sun Oct 11 20:29:39 2015
<br><br><font color=teal>*Mokutsu(LordxPatrick) says: Baen sounds mean! - Sun Oct 11 20:29:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Only let him live jus' cause it'd be fun. - Sun Oct 11 20:29:39 2015
<br><br><font color=teal>*Mokutsu(LordxPatrick) says: Should have killed Mr. Mean Man! - Sun Oct 11 20:30:30 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Susumu is still at the gates . . . Keeping them company for now. - Sun Oct 11 20:30:30 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I don't want to turn them down . . . Especially Nozumi. - Sun Oct 11 20:30:30 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Nozumi. . . - Sun Oct 11 20:31:21 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: If you let them in. Keeping them in check is your responsibility. - Sun Oct 11 20:31:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Baen helped Nozumi get here? - Sun Oct 11 20:31:21 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Yes. - Sun Oct 11 20:31:21 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Ya feel me? - Sun Oct 11 20:31:21 2015
<br><br><font color=teal>*Kilm(Vysasi) says: If Baen helped Nozumi then I have more respect for Baen. - Sun Oct 11 20:31:21 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Baen is a murderer. - Sun Oct 11 20:31:21 2015
<br><br><font color=teal>*Mokutsu(LordxPatrick) says: Meany Baen! - Sun Oct 11 20:31:21 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: He doesn't deserve any kind of respect for taking an innocent persons life. - Sun Oct 11 20:31:21 2015
