<br><font color=teal>*Engi, Ichiro(Master Roku) says: And miss out on funds. - Wed Dec  2 00:11:05 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: I really like how the red contrasts the white, though, mhrm. - Wed Dec  2 10:10:08 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Yeah... Well, my dad raised me like a boy for most of time. So I just tended to train without a shirt, and well.... when I started growing these. My dad forced me to wear something, and well... I just don't normally feel comfortable in something like that. - Wed Dec  2 10:10:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: Ah? Explains a lot... - Wed Dec  2 10:10:08 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Heh, is that so... Sadly the only thing else I have to wear is this maid outfit. - Wed Dec  2 10:10:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: As if you really mind that much, heh. - Wed Dec  2 10:10:59 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Anyway... It's gettin pretty late.  Anyone know if anyone moved into Yan's house after he died..? If not, I'll probably move in- I was living with the guy anyway, and... I'm kinda homeless otherwise, so.. - Wed Dec  2 10:11:50 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well... Give me a second. - Wed Dec  2 10:11:50 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .. Huh? - Wed Dec  2 10:12:41 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Koji stays in that house - Wed Dec  2 10:12:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yeah, but he was stayin in it back then, too. - Wed Dec  2 10:12:41 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Now its just Koji - Wed Dec  2 10:12:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Guess I'll need a new place to stay.. - Wed Dec  2 10:13:32 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Hmm Hassans house is old but usable, Aza's house is free, and um you can...... stay with me if you want. - Wed Dec  2 10:14:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Rather not die in my sleep, no thanks. - Wed Dec  2 10:14:24 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Thank god - Wed Dec  2 10:15:15 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Thats fine, doesnt bother me - Wed Dec  2 10:15:15 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: / - Wed Dec  2 10:16:57 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ....Wonder where Chikyu went.. - Wed Dec  2 10:16:57 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Changing I assume - Wed Dec  2 10:17:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Or looking for a home for you - Wed Dec  2 10:18:40 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: More lesbians.... why was I assigned to this village... - Wed Dec  2 10:21:13 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) thinks: Because you a priest, the only thing your laying down in the middle of the night with is the bible -omit- - Wed Dec  2 10:22:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) thinks: because I am secretly the Antichrist. - Wed Dec  2 10:22:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) thinks: mwahahahahah! - Wed Dec  2 10:22:04 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: My bible is in a protective case at night... it cost more than your life - Wed Dec  2 10:22:56 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Sure, let me lead the way. - Wed Dec  2 10:25:29 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Suddenly quiet. - Wed Dec  2 10:50:14 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hi paine-senpai. - Wed Dec  2 21:28:32 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: h-huh...oh...umm h-hey m-momora - Wed Dec  2 21:29:23 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: C-Can we t-train? - Wed Dec  2 21:30:14 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: u-umm sure... - Wed Dec  2 21:34:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: C-Can you teach me t-that uhm...w-whirlwind thingy you d-do a lot/ - Wed Dec  2 21:35:21 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: s-sure.. - Wed Dec  2 21:37:55 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: g-give me a m-moment - Wed Dec  2 21:37:55 2015
<br><br><font color=yellow>***Concealed Figure**(TheSecretary) would begin walking forwards before coming to a stop and turning around to face momura. They seemed to be standing infront of a large rock that always seemed to be there when they trained. "u-umm..stand h-here....and s-show me your k-kicks...." She stated as she awaited for to show her their skill in the arts of leaf whirlwind. They wanted to see their powers and how much they would of could have excelled in a short or long period of time before asking her such a thing.

"umm...and m-make sure..to g-go as fast as y-you can...and your p-power out put...m-must be s-strong....begin.."

She stated as she awaited for them to give it a try,* - Wed Dec  2 21:49:00 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Evening, Paine. - Wed Dec  2 21:57:32 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: u-umm...im l-leaving to v-visit a f-friend soon.....do you w-want to l-learn the t-technique i was s-showing m-momoura? - Wed Dec  2 22:00:06 2015
<br><br><font color=yellow>***Concealed Figure**(TheSecretary) would give a nervous smile towards Mirai* - Wed Dec  2 22:00:06 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: umm r-rias - Wed Dec  2 22:00:57 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: umm...u-use your u-uhh...leaf w-whirl w-wind kicks on this umm....r-rock.. - Wed Dec  2 22:01:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I see. . I wish you a safe travel! What were you showing--  - Wed Dec  2 22:01:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: That could. . Hurt. - Wed Dec  2 22:01:48 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: mm? - Wed Dec  2 22:02:40 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: a-are...your umm...s-sure..you d-dont wish to g-give it a t-try? - Wed Dec  2 22:02:40 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: umm...a-again...q-quicken your p-pace - Wed Dec  2 22:06:56 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: your m-moving...umm...t-to slow.. - Wed Dec  2 22:06:56 2015
<br><br><font color=yellow>***Concealed Figure**(TheSecretary) would nod her head as she watched both her student preform the technique that was directed towards them. A soft breathe of air would leave her lips as she thought for a moment before raising up her right hand and placing it on momuras shoulder softly....her mouth opening to say the word,"a-again....your w-wind...is b-bearly v-visable......r-remeber when h-hideo...was a-attacking..the r-rock the o-other day.......his w-wind was s-slowly becoming v-visable....with e-each s-strike he had d-done....so c-continue to do your s-strikes...and use k-kinami...m-mirai...and h-hideo as your e-example...and k-keep practiceing....even w-when your off...from the s-shop. " She would say after pausing for a few moments. 


Her gaze over to stare at mirai for a few moment before speaking. " y-your w-wind is v-visable...but there...is n-no c-control....t-try to be m-more balanced with your m-movements....and t-try it o-once more..." Staying on two feet and spinning was different from being off balance and spinning. She hoped that mirai would become better in doing both actions.* - Wed Dec  2 22:19:44 2015
<br><br><font color=yellow>***Concealed Figure**(TheSecretary) would give them both a nervous smile before she nodded rather slowly to herself.  Both of her students had used the skill with a novice level. Now all she had to do was teach this to hideo whom was close to mastering this skill. However...there would be slight difference between each of her students and the wind they produced given their different skill levels of taijutsu. "mm...umm i-its getting l-late...and umm....i would r-rather not t-travel when its d-dark......you two d-did a w-wonderfull job..." She would state before thinking for a moment. 

"mm..."

A soft hum would have left her lips as her almost dulled emerald eyes lowered slightly. She thought about wheither to take a cavern or to walk all the way to kohonoa. "A soft breath of air would leave her lips as she looked towards the exit of the area. Her mouth opened slowly as she said the words. "u-umm....w-when i r-return....il...umm...t-test your m-masteries...of t-the t-technique..." She would say before makeing her way towards the exit. "i w-will know......if you p-practiced or n-not....b-based on your w-wind....so p-please do s-so...on your f-free t-time..." 

She looked back for a moment to nervously smile towards them before looking back towards the road ahead of her....they were off to kohonoha and later her home.* - Wed Dec  2 22:52:09 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: 9qq - Wed Dec  2 22:55:34 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'll keep training.. - Wed Dec  2 22:58:08 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: p-please...r-remain...umm..s-safe.. - Wed Dec  2 22:58:59 2015
<br><br><font color=yellow>***Concealed Figure**(TheSecretary) takes a cavern to kohonoa* - Wed Dec  2 23:00:41 2015
<br><br><font color=yellow>***Concealed Figure**(TheSecretary) would have taken the cavern to kohonoa and when she had arrived at the village, she steped off the cavern and waved the driver a good bye while he gave the female a small smile and drove off. When the cavern had went far out of her vision, or well..far enough, her gaze went back upon the viillage as she stared at it in silence.  Workers went in and outwards with various materials trying to repair the reckage that was this village. Reaching into her cloak, her hand rose up to read the scroll saying the words, 'p-paine'.  Were, they mocking her nervousness....were...they..really just joking around...should she really be taking this to heart.

"mm..."

A soft breathe of air would leave her lips as she hummed softly....her mind wondering why she had not entered the gates yet...was it the momeries she had in the past...it had been long since zetsumo had died...but why did she still feel an ominous spirit within this village...why was her heart...no body...so unwilling to enter the village that rias so happily welcomed her to. "m-maybe...i shou-" She was suddenly pushed forwards by the crowd into the village and got out of it when they slightly went past the gate. Gasping for her slight loss of air, she looked back  around and forwards....noticing...finally noticing that she had actually went past the line that she was going to keep away from. Shaking her head slowly, they planned to disregard that feeling just for rias...she wanted to see how they were doing and how she was exactly holding up with the reconstruction and what not.

"w-where.....are...y-you...r-rias.." 

The nervous girl muttered under her breath as she walked forwards further into the village and felt the wind of the land of fire....blow against her....trying to keep her away...no trying to warn her...but the nervous female did not listen one  bit......just where or what exactly...was she going to get herself into now.* - Wed Dec  2 23:15:12 2015
<br><br><font color=yellow>***Concealed Figure**(TheSecretary) enters the office and stands next to rias.* - Wed Dec  2 23:18:36 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: This village is so dull sometimes.. - Thu Dec  3 00:09:48 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Huh... Paine..  - Thu Dec  3 00:10:40 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: What is she doing here.. - Thu Dec  3 00:10:40 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Whatever, I'm bored. Let's head out.. - Thu Dec  3 00:12:22 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Do something to entertainment before I go to bury myself in my studies. - Thu Dec  3 00:12:22 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: U-Uh Yes Ma'am. - Thu Dec  3 00:12:22 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Thu Dec  3 00:13:13 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I.. Stay here..  - Thu Dec  3 00:14:04 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . .  - Thu Dec  3 00:14:04 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: No. You're coming. - Thu Dec  3 00:14:04 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Thu Dec  3 00:14:04 2015
<br><br><font color=yellow>***Concealed Figure**(TheSecretary) would give them a nervous smile.* - Thu Dec  3 00:14:56 2015
<br><br><font color=yellow>***Concealed Figure**(TheSecretary) would blink for a moment.

"u-umm....mm.."

Her hand raise up rather slowly to zenaki before lowering her hand to her side. It couldnt possiblly have been them...then again...their voices seemed...oh so similar...mmm...maybe later. Her hand slowly went back to her side as she looked over to rias and sighed softly...how long was this girl going to sleep...mmm.* - Thu Dec  3 00:20:03 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hrm? - Thu Dec  3 00:55:53 2015
<br><br><font color=teal>*Ziare(Meekee) says: Who are you? - Thu Dec  3 00:55:53 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: c-concealed f-figure.. - Thu Dec  3 00:55:53 2015
<br><br><font color=teal>*Ziare(Meekee) says: I'm gonna need a legitamate answer.. - Thu Dec  3 00:55:53 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: c-concealed...f-figure.....im from s-suna....r-rias asked me...to c-come here... - Thu Dec  3 01:01:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: Figures. - Thu Dec  3 04:32:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Phew.. - Thu Dec  3 05:14:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hey, how are you both doing?~ - Thu Dec  3 05:15:18 2015
<br><br><font color=teal>*Rias(LionHunter) says: Im good how about yourself - Thu Dec  3 05:16:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm doing pretty good. - Thu Dec  3 05:17:00 2015
<br><br><font color=teal>*Rias(LionHunter) says: Anything to report? - Thu Dec  3 05:17:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Nope. - Thu Dec  3 05:18:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Everything has been pretty quiet. - Thu Dec  3 05:18:43 2015
<br><br><font color=teal>*Rias(LionHunter) says: Cool thats how I like it... Whats your personal opinion about Asteroth? - Thu Dec  3 05:19:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh.. - Thu Dec  3 05:19:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I can't really say.. - Thu Dec  3 05:19:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They're distant. - Thu Dec  3 05:19:34 2015
<br><br><font color=teal>*Rias(LionHunter) says: They are but as a seasoned shinobi can you assume things about her?  - Thu Dec  3 05:21:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Thu Dec  3 05:22:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Thu Dec  3 05:22:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well for one she has her own plans.. - Thu Dec  3 05:22:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I don't know what they'd want a hospital for. - Thu Dec  3 05:22:59 2015
<br><br><font color=teal>*Rias(LionHunter) says: I see... do you think I should keep an eye on her? - Thu Dec  3 05:23:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Potentially.. - Thu Dec  3 05:28:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No need to fear, I'll watch over here. - Thu Dec  3 05:28:57 2015
<br><br><font color=teal>*Rias(LionHunter) says: Good, im glad you have my bad on this - Thu Dec  3 05:29:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Of course. - Thu Dec  3 05:30:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm mainly interested in their purpose. - Thu Dec  3 05:31:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Plus, it should be fun. - Thu Dec  3 05:31:31 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: mmm.... - Thu Dec  3 05:31:31 2015
<br><br><font color=teal>*Rias(LionHunter) says: Paine!! - Thu Dec  3 05:31:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Thu Dec  3 05:34:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Paine? - Thu Dec  3 05:35:47 2015
<br><br><font color=yellow>***Concealed Figure**(TheSecretary) would be hugged by rias, but wasent all to ready since she was sleeping while standing up. A nervous blush would appare on her face  as a nervous smile formed...She felt her sufficating a little, but she began to grow used after having it been dont so much. Her head felt a little dizzy as she was still a little tired.

"mm...i u-umm...m-missed you t-too.."

She muffled.* - Thu Dec  3 05:40:03 2015
<br><br><font color=yellow>***Concealed Figure**(TheSecretary) nods as she reached into he pocket and pulled out the scroll.

"umm n-now sseemed....like u-umm...the b-best time.."

A small smile was given before her right hand raised to slightly cover her mouth and block off a soft yawn.* - Thu Dec  3 05:42:36 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: to t-take you u-up...on the umm v-visiting o-offer....before h-heading to my h-house.. - Thu Dec  3 05:43:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're not going to introduce me to your friend? - Thu Dec  3 05:44:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm hurt..~ - Thu Dec  3 05:44:19 2015
<br><br><font color=teal>*Rias(LionHunter) says: I see well welcome back Paine...  - Thu Dec  3 05:46:01 2015
<br><br><font color=teal>*Rias(LionHunter) says: Ans Osuda wait... you so impatient hun - Thu Dec  3 05:46:52 2015
<br><br><font color=teal>*Rias(LionHunter) says: Paine that guy is Osuda... he is one of my shinobi he was in Suna - Thu Dec  3 05:48:35 2015
<br><br><font color=teal>*Rias(LionHunter) says: And this is Paine - Thu Dec  3 05:48:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Nice to meet you.~ - Thu Dec  3 05:49:26 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: hmm...o-osuda? - Thu Dec  3 05:52:51 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: o-oh...i hope....i u-umm..r-remeber..in the f-futre.... - Thu Dec  3 05:52:51 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: y-your umm...n-name that is.. - Thu Dec  3 05:52:51 2015
<br><br><font color=yellow>***Concealed Figure**(TheSecretary) would give them a nervous smile.* - Thu Dec  3 05:53:42 2015
<br><br><font color=teal>*Rias(LionHunter) says: Anyway, as I said im currently rebuilding leaf and I would love if you came to help from time to time - Thu Dec  3 05:53:42 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: u-umm...i would u-uhh....l-love to umm...h-help..from time t-time..... - Thu Dec  3 06:00:32 2015
<br><br><font color=teal>*Rias(LionHunter) says: Thats great - Thu Dec  3 06:03:56 2015
<br><br><font color=teal>*Rias(LionHunter) says: Will you remain a Sunagakure shinobi? - Thu Dec  3 06:06:30 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: i umm...h-havent gone t-though...uhh....t-that p-process j-just yet... - Thu Dec  3 06:08:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh.. - Thu Dec  3 06:09:04 2015
<br><br><font color=teal>*Rias(LionHunter) says: Would you consider coming back? - Thu Dec  3 06:09:04 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: i w-would...c-concider coming b-back - Thu Dec  3 06:09:55 2015
<br><br><font color=teal>*Rias(LionHunter) says: Fantastic... I value you as a ally... If you need anything dont hesitate to let me know~ - Thu Dec  3 06:12:28 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: umm....t-thanks...il m-make sure to c-come.....to y-you first... - Thu Dec  3 06:13:20 2015
<br><br><font color=yellow>***Concealed Figure**(TheSecretary) lips would form a small smile as she began thinking about what exactly she was saying at the moment. Her almost completely dulled emerald eyes lowered slightly as she turned to face to exit. "mm...i w-wonder....w-will this v-village...r-really beable to p-prosper in the f-future." She said with slight uncertainty in ehr voice. "...i hope...i-it r-runs into n-no problems......but i-if you need a e-extra hand...p-please let m-me know..."* - Thu Dec  3 06:16:44 2015
<br><br><font color=teal>*Rias(LionHunter) says: I will shoot you a letter~ - Thu Dec  3 06:21:00 2015
<br><br><font color=yellow>***Concealed Figure**(TheSecretary) nods* - Thu Dec  3 06:21:00 2015
