<br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sat Oct 31 02:01:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ichiro-kun, I did like the bloodlust you were emitting. - Sat Oct 31 02:02:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Were you actually trying to kill me? - Sat Oct 31 02:02:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Possibly. - Sat Oct 31 02:06:17 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Ooo yay. - Sat Oct 31 02:06:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm. - Sat Oct 31 02:09:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Good..good.. - Sat Oct 31 02:09:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I might be able to get off to that.. - Sat Oct 31 02:10:33 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sat Oct 31 02:11:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sat Oct 31 02:16:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What do you mean..? - Sat Oct 31 02:16:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's like I said it.. - Sat Oct 31 02:16:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There's a time for being a priest, and then there's a time for pleasure. - Sat Oct 31 02:16:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sat Oct 31 02:21:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're judging me.. - Sat Oct 31 02:21:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Such a shame.. - Sat Oct 31 02:22:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I expect that from the Old Hag.. - Sat Oct 31 02:22:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sun Nov  1 00:38:49 2015
A forward push as his arms moved in tandem with his legs though. While he kept going, his head dropped and peered at the ground ahead of his steps, almost like it was thinking in a precognitive motion. His eyes and mind combined together layed out a pathway for him to travel on without problems in any sense while he looked for his way.

Easily, Ichiro continued to bring his body down the roadways, dodging the various people that stepped out into his way or seemed to be in the midst of working themselves. Ichiro's own eyes simply lifted from the ground while a single hand moved for his forehead. This hand swiped itself across the skin, leaving it sticky but ultimately without sweat layering it now.

His legs still carried him onwards, finding his movements to stay in rhythm. His jogging aptterns had simply become no joking matter as he easily accomplished his goal of obtaining a great pace. Without a doubt he was easily making turns and stops in due time, never messing up on any of his actions as he moved around. Everything happened perfectly, or so he thought.

Now as Ichiro continued to jog, he could set eyes upon the slums from his location, observing it without much problem as he moved. Of course hwoever, he was in no rush to reach the outer limits, considering they were pretty grungy and could only present problems for him once he sets foot in the area. All he could do for now was keep on moving.

His perception allowed him to note that he was getting extremely close to the outer rim of Amegakure. His stride remaining unchanging other than in speeed. He soon began to bring himself to a slow as he came to look over the buildings and nearby region as he passed them. Eventually however he proceeded to find himself crossing the fine line between poverty and rich.* - Wed Nov  4 07:56:09 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) now stood in the middle of Amegakure's slums. His arms rested on his waistband while he proceeded to take a couple of deep breaths. Standing still, he eventually found himself peering upon a rather dire situation. A young lady had seemed to stand still amidst a stray alleyway while a large group of males seemed to bombard her with questions. Their intentions seemed quite physical. Ichiro had simply moved directly over to them, pushing forward his fist to meet the nearest male. With ease he dropped the man as he looked to the rest. His eyes showed no curiosity, only purpose.

It didn't take long for the group to turn on Ichiro, presenting roughly ten individuals for him to apprehend. This wasn't apart of the job, but it was good practice. A training session for the hulking guard. His eyes easily set in on the one that seemed to be the leader, which expelled the first and only oder they needed. "GET'EM!" But it didn't matter. Ichiro was faster, stronger, and better in every way possible against these goons. He showed this by proceeding to make a movement inwards and brought his fist up again, allowing it to clash with the first goon while another to his right side produced a switchblade. Ichiro's muscles themselves had simply braced themselves for what was to come, turning his head a bit while his muscles tensed.

Without even as much as a flinch, Ichiro listened to the sound of the blade breaking against his tough exterior while he looked directly forward. The one who recently attacked him had immediately dipped, finding it to be too much for himself as he noticed the differnce between himself and Ichiro. Regardless of one less opponent, Ichiro proceeding to cast an open palm forward and allow himself to build up a golden spear in his right hand, holding it just in case. A step inwards again and he presented himself towards his opponents gain, listening to the grunts that had come from them as he planted his left fist into a single one, turning this enemy around and almost putting him down for the count.

The issue that was now left for Ichiro to deal with seemed to be a gathering of three goons, all moving forward to perform a joint attack. Moving backwards in his actions, Ichiro turned his upper body away from any upperbody strikes and sidestepped those aimed for the lower. While they were all greatly experieneced in their thug routine, Ichiro stood as one above the rest, taking advantage of his heightened threshold of power. He applied his weight again, thrusting into a punch as he struck one in the gut. A leg rasing up after as he performed a spinning kick to drop the other two. He was considerably, moving through the crowd without effort.

A dash forward and Ichiro attempted to skip over the goons and head straight for the leader, but it was obvious his underlings weren't going to give in so easily. He was close, only a few feet away from the enemy before being pulled back by several of the thugs, finding the tip of a blade aiming to cut into the small of his back. Yet, it still never worked. His opponents lacked the physical strength to break skin, let alone anything else underneath. His face remained stoic while another blade had broken against his backside and he only produced a scoff. Once again his muscles flexed and he brought his arms inward, one at a time.

His movements had brought each grappler forward and practically tossed them each in opposing directions. Ichiro then thrust back his right leg, planting it directly into his attackers gut. The force he applied throwing the attacker backwards as Ichiro now stood still, practically stabbing their boss with malice in his eyes. A few steps forward and Ichiro moved towards the leader with a slow stride, finding it to be rather incredible how little of a challenge the group had been. But of course, the leader was more formidable, tossing a fist forward at Ichiro.

The Engi's response being a movement of the head. It wasn't enough though as the strike passed into his cheak, bringing him back a considerable amount. And it seemed that this wasn't the end of the strike as he only found several more strikes coming in as body to body blows. Each strike doing minimal damage, but damage nonetheless. For the most part it only brought Ichiro a short distance away from him until he'd eventually turn back to meet him. He cocked back his right arm and grunted, thrusting it forward to send a cracking sound through the air around himself. With the introduction of his own right hook, he found the knees of his opponent buckling, the jaw cracking, and eventually he heard the thud of his body falling against the ground.

Ichiro had done his deed, looking upwards to see the rest of the goons making a hasty escape. He then turned to look at the damsel in distress. "I'll be taking you home now." And without awaiting a response, he lifted the girl with his own two arms. And of course she weighed considerably less than the men he'd just dealt with, but carried her on nonetheless. Almost like a kid, she sat on his shoulders while he exitted the alleyway, bringing himself back to the streets of Amegakure.

Now as he walked with the girl, he had no idea where to bring himself and only walked around aimlessly, being too stubborn to ask a question. His eyes guided him from one point to the next and he considered what province of Amegakure the female could be from. Ichiro used his knowledge of the village to ponder upon this, continuing to keep hold of her as he wondered where a girl of her nature could be from. Using a marxist view, he thought on the quality and cost of her clothing and believed that could be his best guide. At least until she spoke and said, "Central Amegakure."

He was taken aback by her words, but nonetheless grateful that she specified. He turned now, exitting the slums of Amegakure as he brought himself towards the direction of the center. Without a doubt, he was incredibly wary as he believed someone could potentially make an attempt at him or the girl once again. He was unsure of whether or not the men he let go would play rat and send more goons his way. But so far, things were good and the weight on his shoulders actually made him quite comfortable.

Suprisingly, he hadn't heard a word of protest from the girl. To Ichiro, he as sure she was quite relaxed and keeping up a great hold on his body. As Ichiro moved, he slowed a bit as he stated, "I need you to change holds." Then he came to a stop, lowering himself so the girl could drop. Afterwards, he raised up and allowed her to climb back on, although in a different format. Her arms wrapped around his neck and his hands took hold of her legs, carrying her piggyback style.

Now Ichiro set back on his path and continued to carry their combined body weights from one end of he village to the center. There was a considerable distance between the two, but he could make it of course. The task wasn't really doing much to his stamina really, but nonetheless after all the work he'd put in today there was the presence of sweat on him from the efforts he'd put into each and every single one of his tasks.

Ichiro moving onwards had noticed how many buildings they'd passed by, finding it incredible how quick time passed by. He figured it would've taken much longer for him to bring the girl to her home, but nonetheless that was the last step. He needed to know -where- the house was. Once he reached the middlepoint that made such a place the center of Amegakure, he asked the simple question of, "Which house?" However, he had no need to look in the direction she pointed as he could simply feel the shift in her weight. He turned like a hound dog and observed for a moment.

Nearing the building, he could see that the gril was nothing more than middle class, which didn't bother him but it made him wonder why she was so far out. Once at the doorway, Ichiro lowered himself once more as he felt the weight of gravity bring him down with the both of their combined weights and eventually rested one knee down. Remaining still, he felt the weight leave his form and the girl turning to thank him. It didn't matter though considering he just stood and began a short jog on his way away from the area. He left the female at a loss of words.* - Thu Nov  5 06:50:01 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) was now on another jogging expedition through Amegakure. He proceeded to deliver himself from the center and bring himself towards the outskirts of Amegakure now. He found himself in the zone that dictated the roots of hsi training. The place he'd spent so much time at, bashing his fists into a tree. Pausing his jogging motions, he found his palms meeting the coarse soil and grass before eventually letting his legs uphold himself.

His pose was strong, holding himself some considerable height off the ground as his eyes peered upon it. Eventually though, he pressed his body forward and brought it down upon the ground, hanging only a few inches from it as he initiated the starting push to access another form of training. Gracefully, he brought his body back upwards once he completed the push though, finding it rather easy even with his draiend stamina.

Now that he was suspended in the air, he expelled a short breath before going down once more. His arms arcing out to make a perfect right angle with the both of them. His eyes still trained on the dirt before himself, scanning the ground and judging the distance between his chest and the grass level. He understood how difficult pushups were for most but he was different. He was a powerhouse with no limits. He was going to do his best just to keep up his physical prowess, having no plans to lack in this world of dangers.

Ichiro's face had turned from one of an extremly calm, stern, and serious individual idirectly into the face of a savage. His body pumped up and down with incredible strength, moving wickedly fast as he now began to push past ten, twenty, and eventually thirty pushups. None of it being too taxing for the hulking guardian. Without a doubt he was doing incredibly well with his practices, raising his head to look at the area in front of him.

His eyes peered directly at the walls of one of the many homes in Amegakure while he upheld his strong position.  His arms stuck to being as sturdy as possible while his legs remained straight. Without any problems whatsoever, he lowered himself once again with his pure strength keeping him barely out of reach of the grass. In only a few seconds he was now passing fourty and nearly fifty, still progressing onwards.

An even stronger movement seemed to leave him with a great deal of sweat across hsi form. A look between both the ground and the building ahead of himself, he believed that the fruits of his labor would soon pay off. A considerably great amount of exhalation and he found his body pushing him over the limit, his own arms tiring now as his stamina got into the low reserves while he performed the same action.

A further push of his body and he was expending even more of his stamina as he pushed himself past his limits. His boundaries were broken now and he was a wounded man. He could feel the tendons in his body tearing and begging for him to come to a pause, although he simply followed his ambitions and proceeded onwards with his pushups, finding it to be more taxing than his prior efforts to push the ground and keep himself suspended within the air.

Ichiro however, pumped out a few more pushups, finding his stamina to come to a tough point. A point he'd never truly reached before as he felt the need for such to replenish. He simply sighed to himself and dropped himself once he passed the one hundred threshold. Now laying there, he felt his muscles beginning to relax from the force of gravity and the tension combined together.* - Fri Nov  6 01:59:28 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) had eventually finished resting up, although he could still feel a great bit of stress on his body. Rather than letting himself give into his punishment, he stood. As he stood now, he took a moment to register just how bad the feeling was before turning to face Amegakure once more. He'd done every excersize in the book, or at least, every one that was available to him. Eventually though, he caught wind of an idea and proceeded to find himself  a rope and some metal hooks along with a few troops. Guiding them to the outskirts, he had them all plant the hooks and cement their position in the ground with his help included. Ichiro then tied the ropes to each hook and proceeded to tug hard on them for a test before stepping back and setting himself up.

Now with a considerable distance between himself and the hooks, he let the two troops he'd brought along stand on the sidelines and watch for him. Just like the game of tug o' war, Ichiro had braced himself, setting his legs back while his upperbody seemed to lean into the action first. Eventually he pulled back, allowing a crack in his position as the upper portion cut from leaning forward to leaning backwards. He was allowing the rope to hold him up combined with his own strength as he pulled at the hooks. The intent to remove them from the ground and break their bolts and holdings.

Gritting his teeth, Ichiro could feel the strain of acessing his full strength as he did this, but he disregarded the fact and continued onwards. His arms holding the most pain in them as he eventually began to grunt and puff while he pulled. The troops on the sidelines watching with a certain sense of suprise in their eyes. It did nothing to change the Engi's demeanor however as he remained in his placement. The pull being incredibly strong.

His legs moved back a bit and he could feel the rebound of the rope, being almost like an elastic in the situation, which he figured would've been much better in the situation now that he thought about. Yet, it was too late and he continued to tug, watching as his elbows passed his abdomen, finding themselves tugging at the pinnacle of the rope. In the same instance, his head titled back and he looked at to the sky, letting out a roar of sorts as he continued to pull.

With the efforts he applied, he soon felt the hooks loosening, the reverberation of this flowing immediately through the ropes and allowing for him to identify the shift. He still continued to apply the same amount of strength as he pulled away of course, believing that he could potentially remove the hooks and tear away the ground as he hoped for his labors to prove. Ultimately, he just wanted to put his strength to the test and show it was great even in a weakened state.

Ichiro's teeth gripped each other even more, pulling away from the tethered point with his hands hanging onto the rope tightly. With each pull, he could feel the resistance considering the ropes began to slip from within his palms grasp. However, when he lost a great length of the rope, he would step forward and reset somewhat, doing so on the spot. Once he regained his grip in each attempt he would pull back even harder, finding it incredible with how he was performing the task. He of course remained on the same train of thought.

Eventually, as Ichiro pulled against the focal point of his ropes, he allowed his mind to begin shifting. A lock coming undone within the mind as he seemed to increase his strength ten-fold. It was nearly a repeat of his efforts in the tug o' war game except this time he was up against a rock in this situation. But nonetheless, he found it rather relaxing and simple for him to utilize this full power mode of sorts.

With a better grip now, tightening his hands aganst the ropes he easily pulled the hooks further from the ground and brought them closer. Although, they still tethered to the ground. However, the tension had released a bit more, giving him some more lee-way with his pulling. His power was great and the Earth had to bend to his will, allowing him a chance to overpower the earth and reveal to the world how incredible he could get. A smirk crossed his face, being one of the only ones he's ever had as he continued.

With the final pull, he made one strong tug as he watched the Earth ripple and crack. The connected rubble flying forward and moving in directly for him as he continued to hold the ropes. With the hooks coming in along with them, Ichiro did nothing but stand there and watched the two hooks come in and break against his superbly durable form. With ease, Ichiro had overpowered the two tools and found himself doing quite well as an outcome. He stood there for a mere moment as he waited, letting himself think of the next thing to do.

However, Ichiro left the hooks down in place for the two troops to handle them. That's what they were there for anyways. Regardless, he picked up his legs and carried himself off. He entered a jogging motion and brought himself directly unto Amegakure's limits. His movements aimed for the central point of social interaction as he planned to take his rest there as he normally did after his long training periods.* - Fri Nov  6 03:32:28 2015
