<br><font color=teal>*Heiwa(Wantpark) says: Yes. - Wed Dec  9 03:28:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You just like... adventured? It wasn't business? - Sat Dec 12 22:58:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: That just makes it worse that they left me behind. - Sat Dec 12 22:58:30 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Adventured..... - Sat Dec 12 22:59:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I guess. - Sat Dec 12 22:59:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: It was boring. - Sat Dec 12 22:59:21 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It was. I mean, we left acting like we were merchants. - Sat Dec 12 23:00:12 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I got close to killing him, but things happened. - Sat Dec 12 23:01:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...So it was all just to kill one boy? - Sat Dec 12 23:01:04 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Oh right, that Ryo kid, seems like he died from the injuries you gave him Shiro. - Sat Dec 12 23:01:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: If I knew that I would have just gone and killed him myself. - Sat Dec 12 23:01:04 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Mostly. Also, we owed Shiro an adventure. - Sat Dec 12 23:01:04 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Which, we never finished. Oh well.  - Sat Dec 12 23:01:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...right. - Sat Dec 12 23:01:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Uh... brother... - Sat Dec 12 23:01:55 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ---Oooh. - Sat Dec 12 23:02:46 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: He died because of my injuries? - Sat Dec 12 23:02:46 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Are you serious? - Sat Dec 12 23:02:46 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Didn't know I hit that hard. - Sat Dec 12 23:03:37 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yep. Well a mix of both, but mostly from yours. - Sat Dec 12 23:03:37 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: So. - Sat Dec 12 23:03:37 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: What's our plan and goal? - Sat Dec 12 23:03:37 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Let's recap. - Sat Dec 12 23:03:37 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Hm? - Sat Dec 12 23:03:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I have a boyfriend. - Sat Dec 12 23:04:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Well, I kind of want to mutilate that Bryson guy. He just pisses me off for some reason. - Sat Dec 12 23:04:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Just gonna put it out there, get it over with. - Sat Dec 12 23:04:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: And I rea-Wait what!? - Sat Dec 12 23:04:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Who? - Sat Dec 12 23:04:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What? When? - Sat Dec 12 23:04:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: How? - Sat Dec 12 23:04:28 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . . - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: A girl as cute as her? - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ...... - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Of course she'd have a girlfriend. - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: A boyfriend - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Er. - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Boyfriend. - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: A boyfriend. - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yes, a boyfriend. - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: A. - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Boy. - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Friend. - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: Ichiro's family isn't Arabian right? - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: -omit- - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yes. - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: You mean, a boy that is a friend, right? - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Don't fucking kill her boyfriend if that's what you're thinking. - Sat Dec 12 23:06:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: No, I mean a boy. Who I date and spend a lot of time with. - Sat Dec 12 23:06:11 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: We don't even know if he's an asshole or not. - Sat Dec 12 23:06:11 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) buries his face into the palms of his hands, groaning.* - Sat Dec 12 23:07:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I mean...he's an ass but in the good kind of way. Like you guys. - Sat Dec 12 23:07:02 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I wasn't going to kill him. - Sat Dec 12 23:07:02 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Dec 12 23:07:02 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: What's his name? - Sat Dec 12 23:07:02 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ......So....... - Sat Dec 12 23:07:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Plus he's a bad ass. - Sat Dec 12 23:07:53 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) whispers: More like break half of his bones and make him eat through a straw... - Sat Dec 12 23:07:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ---- - Sat Dec 12 23:07:53 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: It isn't the Raikage, is it?  - Sat Dec 12 23:07:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .....no. - Sat Dec 12 23:07:53 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So yeah..I thought you weren't into that stuff? - Sat Dec 12 23:07:53 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...Do you not like him? - Sat Dec 12 23:07:53 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What's his name? What does he look like? - Sat Dec 12 23:07:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I never said I wasn't into emotions. - Sat Dec 12 23:07:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I'm not telling you who he is until you've calmed your antics of trying to do anything to him. - Sat Dec 12 23:08:44 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'm pretty sure the whole concept of sex and relationships creeped you out. - Sat Dec 12 23:08:44 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ...... - Sat Dec 12 23:08:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: No, only sex. - Sat Dec 12 23:08:44 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: They aren't. - Sat Dec 12 23:08:44 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Killing your boyfriend. - Sat Dec 12 23:08:44 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Relax. - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I said I wouldn't kill him. - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: They aren't touching. - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Your boyfriend. - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I mean he sort of deserves some respect, killed a hundred and two people in my name and shit. - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . . - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ...... - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You aren't breaking his bones either. - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Tch. - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ............ - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: A hundred and two people? - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: He sounds pretty strong. - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yeah, cool right? - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .................. - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Now you've piqued my curiousity. - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Damn..I'm probably going to have to out do him. - Sat Dec 12 23:11:18 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Brother, you are very silent. - Sat Dec 12 23:11:18 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: He's probably thinking the same as me; rough him up a bit. - Sat Dec 12 23:12:09 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Not that I mind if you 'rough' him up. - Sat Dec 12 23:13:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I used to kick his ass but he easily surpassed me--probably because you guys left me alone for so long. - Sat Dec 12 23:13:00 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Long as he isn't dead or has every bone in his body destroyed. - Sat Dec 12 23:13:00 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sat Dec 12 23:13:00 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I have no idea who the hell you're talking about. - Sat Dec 12 23:13:00 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Maybe I know him. - Sat Dec 12 23:13:00 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Just spit it ou. - Sat Dec 12 23:13:00 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Now why would I break every bone in his body? - Sat Dec 12 23:13:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That's not fun. - Sat Dec 12 23:13:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Then he wouldn't be able to cry for help. - Sat Dec 12 23:13:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: And don't blame us for you getting your ass kicked.  - Sat Dec 12 23:14:43 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I'm waiting for my brother to speak before saying who he is. - Sat Dec 12 23:14:43 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Where's he from? - Sat Dec 12 23:14:43 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I got my ass kicked because I was training him, why else would he kick my ass? - Sat Dec 12 23:14:43 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ----Why did you think it was the Raikage? - Sat Dec 12 23:15:34 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I don't know. Maybe that's what turns you on. - Sat Dec 12 23:15:34 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Is it....that guy...the one that called you a liar? - Sat Dec 12 23:15:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...HAHAHAHAH NO WOAH. - Sat Dec 12 23:15:34 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Good. - Sat Dec 12 23:15:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: That's just Tsu-san, he's my friend. - Sat Dec 12 23:15:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I train with him too. - Sat Dec 12 23:15:34 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Better be. - Sat Dec 12 23:15:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It's Sogeki, in Kumogakure. - Sat Dec 12 23:16:25 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So you don't mind if tear an arm off? - Sat Dec 12 23:16:25 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Sogeki? - Sat Dec 12 23:16:25 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You aren't hurting him. - Sat Dec 12 23:16:25 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ....Never heard of him. - Sat Dec 12 23:16:25 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I know. - Sat Dec 12 23:16:25 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What's to stop me from doing so? If I wanted to, I'm sure I can find him. - Sat Dec 12 23:16:25 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: How deep is this relationship? - Sat Dec 12 23:16:25 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: So you can't have an opinion about him already except for what I've told yo--I will stop you from doing so, Kida. - Sat Dec 12 23:17:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...not to make that sound like a threat, but I will at least try. - Sat Dec 12 23:17:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: And what do you mean by how deep? - Sat Dec 12 23:17:16 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: As in...have you let him past first base? - Sat Dec 12 23:18:59 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....that's kind of private, why would I tell you guys that. - Sat Dec 12 23:19:50 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Especially knowing how I am. - Sat Dec 12 23:19:50 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sat Dec 12 23:19:50 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Alright. - Sat Dec 12 23:21:32 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I won't touch him. - Sat Dec 12 23:21:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....really? - Sat Dec 12 23:22:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Mhm. - Sat Dec 12 23:22:24 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I will. - Sat Dec 12 23:22:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Sat Dec 12 23:22:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: You won't. - Sat Dec 12 23:22:24 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Fine. - Sat Dec 12 23:22:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Now... - Sat Dec 12 23:22:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Excuse me for a moment. - Sat Dec 12 23:22:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....uh... okay. - Sat Dec 12 23:23:15 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) raises up, proceeding to make an exit from the room.* - Sat Dec 12 23:23:15 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) approaches one of the trees outside of the homestead. It was quite a distance away but Ichiro didn't care if the sound of what he was to do would carry out over some distance. His face breaks from his blank, hardened expression and turns into one of pure malice and evil. To carry out the act of his anger, he clenches his hand into a fist and stares immediately into the tree before him. This fist moves onwards and simply shoots itself directly into the wood.

With his massive level of strength, he finds himself breaking through the wood of the tree. This of course being a way to release his pent up anger. His thought process practically being that he wasn't mad that his sister found love, but that she was being so secretive about it. He was angered that he hadn't known the male either and especially the fact that he wasn't able to see some form of interaction between the two. Ichiro himself simply wanted to find sme insight to know that she'd be fine.

Regardless, following up on himsel breaking the tree before himself into two, he moves on to the next, finding himself standing before a second. His arm raises up once more, pushing forward and planting itself into the wood. An imprint takes place, and then more importantly, he applies more pressure.The application allowing him to push even further and beyond. A more concentrated force destroying the rest of the tree.

Following this, Ichiro simply remained still, his chest moving up and down as he seemed to be fuming. His eyes stared at the tree he'd easily taken down for now. An aggrovated tongue roll took place and now Ichiro seemed to move onwards, lifting a single end of the tree, starting from the trunk.

"Sogeki..."* - Sat Dec 12 23:30:56 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sat Dec 12 23:47:08 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Where'd my sister go? - Sat Dec 12 23:47:08 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: She took a nap. - Sat Dec 12 23:48:00 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Dec 12 23:48:00 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Where you ran off to? - Sat Dec 12 23:48:51 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Nowhere in particular. - Sat Dec 12 23:48:51 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Hm.. - Sat Dec 12 23:48:51 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So, should we bring her with us for our next adventure? - Sat Dec 12 23:49:42 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ....Sure. - Sat Dec 12 23:49:42 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: This time she won't complain about us leaving her. - Sat Dec 12 23:50:33 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Hm.. - Sat Dec 12 23:52:16 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I think I should get a large sword or something. - Sat Dec 12 23:53:07 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It'll make taking limbs easier. Don't you think? - Sat Dec 12 23:53:07 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Probably. - Sat Dec 12 23:53:07 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I wonder where can I get one though. - Sat Dec 12 23:53:58 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: A smith. - Sat Dec 12 23:53:58 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I don't know any. - Sat Dec 12 23:53:58 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Sunagakure probably has one. - Sat Dec 12 23:53:58 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Wait, there's Yuriko. I can probably buy one through her. - Sat Dec 12 23:53:58 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Oh right, that guy too. - Sat Dec 12 23:53:58 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Tch... - Sat Dec 12 23:54:49 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: She has her uses. - Sat Dec 12 23:54:49 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I know. - Sat Dec 12 23:54:49 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Oh right, I should let her know that we've made it back in one piece. - Sat Dec 12 23:57:23 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: When you see her... - Sat Dec 12 23:57:23 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I ran into her in Konoha too. - Sat Dec 12 23:58:14 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Ask her if she can provide some weights. - Sat Dec 12 23:58:14 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Weights huh? - Sat Dec 12 23:58:14 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: They'll benefit my leg strength. - Sat Dec 12 23:58:14 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I guess weights can help us all. - Sat Dec 12 23:58:14 2015
