<br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sheesh.. - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Oh...Okay./ - Sat Nov 14 05:39:37 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: Let us go then, - Sat Nov 14 05:41:20 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) turned his head a bit, looking at the girl as she approached. However, it didn't raise any suspicions within Ichiro. Rather than doing anything, he remained just as he did before. Standing tall and fearless like some sort of sculpture, meant to give off a protective appearance.* - Sat Nov 14 06:05:13 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) of course took notice of the girl falling, but never acted upon it. Rather, he simply stayed his place. It was of no concern to him what the girl did, and if she enjoyed carrying something too overbearing, then so be it. He simply stuck to his role, finding himself looking her over with the same stone-faced expression he always wore. Of course, he also remained as silent as ever.* - Sat Nov 14 06:12:54 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) turned his head, inclining it only a bit to see the girl take off. Although, he noticed how slow she was moving---assuming it was due to the gourd. And due to this assumption, he felt nothing for her. Now that he'd seen his daily share of social interaction though, he decided it was his turn to take leave as well, turning away from the girl and the village as a whole as he moved to enter wood.* - Sat Nov 14 06:17:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Damn, Ichiro-kun.. - Sun Nov 15 19:12:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Harlot-chan is pretty great. - Sun Nov 15 19:13:16 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Hrm. . ? - Sun Nov 15 19:14:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh? - Sun Nov 15 19:17:32 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sun Nov 15 19:18:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fickle-chan, you weren't here to meet Harlot. - Sun Nov 15 19:18:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She was so cute.~ - Sun Nov 15 19:18:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She even asked me to spar. - Sun Nov 15 19:21:48 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Ah. I feel as if that's a good thing.. - Sun Nov 15 19:23:31 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: If you like her, I'd hate her./ - Sun Nov 15 19:23:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's not very nice. - Sun Nov 15 19:23:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ichiro-kun likes her. - Sun Nov 15 19:24:22 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I never claimed to be nice. - Sun Nov 15 19:24:22 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sun Nov 15 19:25:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She spoke so fondly of Ichiro-kun. - Sun Nov 15 19:26:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ichiro you didn't tell her that we've trained before? - Sun Nov 15 19:26:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I accidentally killed her, though. - Sun Nov 15 19:26:04 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I've no idea. I left them alone. - Sun Nov 15 19:27:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fine.. - Sun Nov 15 19:27:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I didn't kill her.. - Sun Nov 15 19:27:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I did open her eyes, though. - Sun Nov 15 19:27:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She also made me quite happy. Each of her moves had the potential to subdue a man with ease. - Sun Nov 15 19:28:38 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Right. . And where is this 'Harlot-chan'? - Sun Nov 15 19:31:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh.. - Sun Nov 15 19:32:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She went to Suna. - Sun Nov 15 19:32:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She almost thought that we were a couple.~ - Sun Nov 15 19:33:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I had to squash that thought then and there. - Sun Nov 15 19:33:45 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Good boy. - Sun Nov 15 19:33:45 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: What's occured in my week vacation? - Sun Nov 15 19:33:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Meh.. - Sun Nov 15 19:35:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I did a few things.. - Sun Nov 15 19:35:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I went to Kirigakure, found out that the Mizukage died again.. - Sun Nov 15 19:35:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They now have a new one.. - Sun Nov 15 19:35:28 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Kirigakure. . What a mess. - Sun Nov 15 19:38:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh yeah, I'll need you to start giving my dear pet missions. - Sun Nov 15 19:38:52 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . .  - Sun Nov 15 19:38:52 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Your pet? - Sun Nov 15 19:38:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Tch getting hit by a torrent of water sure does make your muscles ache...~ - Sun Nov 15 19:38:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sun Nov 15 19:38:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yes, I told you about her. - Sun Nov 15 19:39:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Harlot-chan. - Sun Nov 15 19:39:44 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . You told me she went to Suna. I didn't think she'd come back. - Sun Nov 15 19:39:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sun Nov 15 19:46:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Of course she's coming back. - Sun Nov 15 19:46:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She's mine. - Sun Nov 15 19:46:33 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: And what's her actual name? - Sun Nov 15 19:53:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Shiro. - Sun Nov 15 19:55:05 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I see. - Sun Nov 15 19:56:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Also my men are resting in the hospital. - Sun Nov 15 19:56:48 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Fun. - Sun Nov 15 20:01:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: We went out on an expedition. - Sun Nov 15 20:01:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: anyway.. - Sun Nov 15 20:03:37 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sun Nov 15 20:05:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ichiro.. - Sun Nov 15 20:07:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Why didn't you mention our spar to her? - Sun Nov 15 20:07:53 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: It was irrelevant, and never asked of. - Sun Nov 15 20:22:24 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: 'Expedition'.. - Sun Nov 15 20:22:24 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You've better not have been causing trouble. - Sun Nov 15 20:22:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Sun Nov 15 20:23:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..The Gezo probably isn't happy. - Sun Nov 15 20:23:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That girl is taking way too long. - Sun Nov 15 20:24:06 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Perhap she's perished? - Sun Nov 15 20:42:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Perhaps. - Sun Nov 15 20:48:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sun Nov 15 20:48:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Sun Nov 15 21:25:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You guys are too quiet.. - Sun Nov 15 21:29:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Listen, Fickle-chan. - Sun Nov 15 21:29:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You've been slacking off. - Sun Nov 15 21:29:48 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Zzz - Sun Nov 15 21:34:04 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) turned his head a bit, allowing himself to look upon Kida. For a moment, he thought on whether or not he should wake the male up. But once again, this wasn't within his job or contract's guidelines and therefore he proceeded to keep to himself, remaining as silent as ever. Of course, his eyes still surveying the area before himself.* - Sun Nov 15 21:35:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ichiro! - Sun Nov 15 21:36:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Where is Shiro? - Sun Nov 15 21:36:38 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I do not know. - Sun Nov 15 21:36:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Tch.. - Sun Nov 15 21:36:38 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Likely dead. - Sun Nov 15 21:41:45 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Woe is Nigen.. - Sun Nov 15 21:41:45 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: His pet succumbing to the natural processes of life.. - Sun Nov 15 21:41:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sun Nov 15 21:42:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Shut your mouth. - Sun Nov 15 21:42:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're just jealous, that you're not my favorite. - Sun Nov 15 21:43:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe if you work hard enough, I'll love you. - Sun Nov 15 21:43:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ... - Sun Nov 15 21:45:10 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Huh? - Sun Nov 15 21:46:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: This.. - Sun Nov 15 21:47:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Whore standing next to me.. - Sun Nov 15 21:47:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Tell her..that she needs to pull her weight. - Sun Nov 15 21:47:44 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Um..Ok? - Sun Nov 15 21:50:17 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I feel like I'm forgetting something. - Sun Nov 15 21:50:17 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sun Nov 15 21:50:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: This ugly wretch is my wife. - Sun Nov 15 21:50:17 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: My life is a comedy, it seems. - Sun Nov 15 21:51:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yes. - Sun Nov 15 21:53:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Nov 15 21:53:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fickle-chan, give me a reason as to why I shouldn't mess with ya'. - Sun Nov 15 21:53:42 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Mmm. . . Besides the fact that I'm royalty? - Sun Nov 15 21:54:33 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Kida Rokujou. - Sun Nov 15 21:56:16 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Just a vagabond wandering around in search of a place to call home, and to gain fame. - Sun Nov 15 21:56:16 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Mostly power. You know the typical. - Sun Nov 15 21:56:16 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) noticably becomes more observant, tensing up a bit as he looked at the distance between Asteroth and Kida. He was preparing, just in case.* - Sun Nov 15 21:58:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't touch her. - Sun Nov 15 22:09:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She's infected. - Sun Nov 15 22:09:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't.. - Sun Nov 15 22:17:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Argh.. - Sun Nov 15 22:17:36 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What's the big deal? - Sun Nov 15 22:18:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Nov 15 22:27:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Of course it's fine. - Sun Nov 15 22:28:41 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I suppose. .  - Sun Nov 15 22:28:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't listen to her words, she's just a smelly old pig. - Sun Nov 15 22:28:41 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: She smells fine, and if this is what a pig looks like, I don't think I'd want to eat bacon. - Sun Nov 15 22:29:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Nov 15 22:29:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Heathen.. - Sun Nov 15 22:32:06 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Tch.. - Sun Nov 15 22:33:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I don't have to take this. - Sun Nov 15 22:33:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sun Nov 15 22:34:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Back so soon? - Sun Nov 15 22:34:40 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I had someone I needed to talk to, I wasn't able to on my last trip. - Sun Nov 15 22:35:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah. - Sun Nov 15 22:36:22 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Who is this? - Sun Nov 15 22:38:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No one. - Sun Nov 15 22:38:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Mind your business, Fickle-chan. - Sun Nov 15 22:39:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I keep telling you that my business is separate from yours unless he is here for you. - Sun Nov 15 22:39:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Which he might very well be. - Sun Nov 15 22:39:47 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I actually am here to speak with her. - Sun Nov 15 22:40:38 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: May we speak in private? - Sun Nov 15 22:40:38 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) raised a single eyebrow as he looked to the new arrival, then back to Asteroth. It was his way of silently questioning whether or not he would be needed.* - Sun Nov 15 22:42:20 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I don't do private. - Sun Nov 15 22:43:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Afraid? - Sun Nov 15 22:44:03 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hahahaha! - Sun Nov 15 22:44:03 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Not even for your own guard? - Sun Nov 15 22:44:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh yes, Brother-kun.. - Sun Nov 15 22:51:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: How good are your relations with Suna? - Sun Nov 15 22:51:44 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: None. - Sun Nov 15 22:52:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I see.. - Sun Nov 15 22:53:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's not so bad.. - Sun Nov 15 22:58:33 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Oh. - Sun Nov 15 22:58:33 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: It's you. - Sun Nov 15 22:58:33 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I suppose this is fine. - Sun Nov 15 22:58:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Nov 15 23:00:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'll be around. - Sun Nov 15 23:03:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Her meeting might still be going on.. - Mon Nov 16 00:53:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah.. - Mon Nov 16 00:53:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It appears they're done. - Mon Nov 16 00:54:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: That's a different girl from the one I met. - Mon Nov 16 00:56:19 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Assuming that's the 'Harlot' he spoke of. - Mon Nov 16 00:56:19 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Mon Nov 16 00:57:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Mon Nov 16 00:57:10 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Oh.~ - Mon Nov 16 00:58:01 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Ichiro is also here. - Mon Nov 16 00:58:01 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Mon Nov 16 00:58:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Do I know you? - Mon Nov 16 00:58:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's Harlot-chan. - Mon Nov 16 00:58:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Mon Nov 16 00:58:52 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Hai.~ - Mon Nov 16 00:58:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah.. - Mon Nov 16 00:59:44 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: You changed rather fast it seems. - Mon Nov 16 00:59:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You should thank Ichiro-kun for introducing us. - Mon Nov 16 00:59:44 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: And a lot at that. - Mon Nov 16 00:59:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Mon Nov 16 01:01:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Brother-kun.. - Mon Nov 16 01:01:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Did you fill her in? - Mon Nov 16 01:02:17 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: There was nothing to fill her in on. - Mon Nov 16 01:02:17 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I didn't change that much.~ - Mon Nov 16 01:03:08 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Only a little. - Mon Nov 16 01:03:08 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Here and there. - Mon Nov 16 01:03:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah. - Mon Nov 16 01:04:51 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Huh? - Mon Nov 16 01:05:42 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You mean if I'm willingly the baffoon's pet?  - Mon Nov 16 01:05:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Who is this 'baffoon'? - Mon Nov 16 01:06:33 2015
