<br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Mon Nov  2 21:43:53 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Nobody who is smart. - Tue Nov  3 16:00:25 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: It's nnot my time yet, they're not ready for me. I'll let them have a few years. - Tue Nov  3 16:01:16 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) thinks: Never let red hed over there and white haired boy become Mizukage. - Tue Nov  3 16:02:08 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I has to me my love Lera.. - Tue Nov  3 16:02:08 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: But... maybe we should give in to Hassan... he can helpwith the rebuilding of Kirigakure and be under his protection if w care about kirigakure that much - Tue Nov  3 16:09:48 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Give in to Hassan? - Tue Nov  3 16:20:54 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Its a suggestion - Tue Nov  3 16:22:36 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I just haven't heard about that. - Tue Nov  3 16:26:01 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: I'm better of moving to Sunagakure. - Tue Nov  3 16:27:44 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: Tch . . Sanoke told me to send a report, might as well do that now. - Tue Nov  3 16:28:35 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Wait.... there was no body at the mansion building... - Tue Nov  3 16:37:07 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Then where is it? - Tue Nov  3 16:37:07 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: .... - Tue Nov  3 16:42:14 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Miss are you knew? - Tue Nov  3 16:43:05 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: new* - Tue Nov  3 16:43:56 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) Would point to them, "Yes you, I havent seen you before... whats your name" she said softly* - Tue Nov  3 16:45:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Momura.. - Tue Nov  3 16:45:39 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Momura, are you aware of our situation? - Tue Nov  3 16:46:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Situation..? - Tue Nov  3 16:46:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: What do you m-mean..? - Tue Nov  3 16:46:30 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: We are a damaged village with no leader - Tue Nov  3 16:48:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh..? - Tue Nov  3 16:48:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But Mizukage-Senpai. - Tue Nov  3 16:48:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: She's the l-leader. - Tue Nov  3 16:49:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: She is believed to be dead - Tue Nov  3 16:49:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-S-She is..? - Tue Nov  3 16:49:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: But the correct term would be missing in action - Tue Nov  3 16:49:55 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-What happened..? - Tue Nov  3 16:50:46 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Last night while the kage was asleep apparaently her mansion exploded - Tue Nov  3 16:52:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-What.. - Tue Nov  3 16:55:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: E-E-E-Exploded...? - Tue Nov  3 16:55:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Why..? - Tue Nov  3 16:55:53 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I dont know - Tue Nov  3 16:55:53 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Haven't you guys looked a-at her? - Tue Nov  3 16:57:36 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: Love - Tue Nov  3 16:57:36 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I know... - Tue Nov  3 16:57:36 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I'm not sure what to do... - Tue Nov  3 16:57:36 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: She is no where to be found - Tue Nov  3 16:58:27 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: So she -disappeared-? - Tue Nov  3 16:58:27 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: Me neither... Nina just ran off...  - Tue Nov  3 16:58:27 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: She ran off...? - Tue Nov  3 16:58:27 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Ugh... - Tue Nov  3 16:58:27 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: And she took some guy with her... but she can handle herself I know that much - Tue Nov  3 16:59:18 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Haven't there been s-search parties..? - Tue Nov  3 17:00:09 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Orr...anything..? - Tue Nov  3 17:00:09 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: But about Kiries sword... it is with her body I presume... - Tue Nov  3 17:00:09 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Yes...I intend to retrieve it. - Tue Nov  3 17:01:00 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: (i need to find out from the admins if they survive, she had Hira + nuibari and Kabu sealed on her body) - Tue Nov  3 17:01:52 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: I will assist you - Tue Nov  3 17:01:52 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: Uptown is up rn - Tue Nov  3 17:02:43 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: () - Tue Nov  3 17:02:43 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: (Yeah, I AH'd) - Tue Nov  3 17:03:34 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) cuddled against Lera, "What are we goig to do," she stated with a heavy sigh* - Tue Nov  3 17:06:59 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I always intended to take the reigns one day...but not like this. Part of me says we should leave...lay low for a while. - Tue Nov  3 17:07:50 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: I dont want to leave Kirie ... I want it to rebuild... but I want to be with you more... My feelings for you conflict with my feelings for the village - Tue Nov  3 17:09:32 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I feel the same way....its just...I'm not ready yet...we're not ready yet. - Tue Nov  3 17:11:15 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) turned her face to the side and kissed Lera on the lips, then rested on her shoulder, "I understand... we need time... we need to get stronger... we need stable leadership... I wonder what Lord Hassan thinks?" she whispered to her partner* - Tue Nov  3 17:17:13 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I need to speak to him really...maybe he will help - Tue Nov  3 17:19:47 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: Maybe after his demands are met - Tue Nov  3 17:21:29 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: (I think I might go for dust and drop Samehada for now. I need strength fast) - Tue Nov  3 17:22:20 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Demands? - Tue Nov  3 17:22:20 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: He same here with strict demands for his economic plan but Kirie refused - Tue Nov  3 17:23:12 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Well....I'll ask him back then - Tue Nov  3 17:24:03 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: Ok - Tue Nov  3 17:24:03 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I need a bird...have one? - Tue Nov  3 17:25:45 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (pass me samehada - Tue Nov  3 17:26:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (i have no chakra but do it - Tue Nov  3 17:26:36 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: Yea - Tue Nov  3 17:27:28 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) pulls a scroll from her robes and hands it to her* - Tue Nov  3 17:28:19 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: Meet? Tch . . The nerve . . - Tue Nov  3 17:31:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Tue Nov  3 17:38:33 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So..uhm.. - Tue Nov  3 17:47:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-What now..? - Tue Nov  3 17:47:05 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Tue Nov  3 17:47:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Should we go f-find kirie..or s-something..S-She might b-be alive.. - Tue Nov  3 17:48:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: If she was inside the mansion...then she should've shown herself by now.. - Tue Nov  3 17:48:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Theres a high chance that she is indeed gone... - Tue Nov  3 17:49:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hnng.. - Tue Nov  3 17:50:30 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: We'll have to move on. - Tue Nov  3 17:51:21 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: What're we gonna do about a leader? If anyone found out that our Mizukage is dead, and if we have enemies, they'll surely strike. - Tue Nov  3 17:51:21 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm not yet sure... - Tue Nov  3 17:52:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Well..W-Who's the highest rank..A-At the moment..B-Besides M-Mizukage-Senpai...? - Tue Nov  3 17:53:04 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Rank doesn't matter. - Tue Nov  3 17:53:04 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: That's not the only factor. - Tue Nov  3 17:53:55 2015
<br><br><font color=teal>*Lera(Bailey42) says: Ikaro might be the best choice for strength...when he's here anyway... - Tue Nov  3 17:53:55 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Lera is the next strongest if not the strongest here  - Tue Nov  3 17:54:46 2015
<br><br><font color=teal>*Lera(Bailey42) says: I don't know about that... - Tue Nov  3 17:55:37 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Who's Nina by the way? - Tue Nov  3 17:55:37 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: My child - Tue Nov  3 17:56:28 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Okay, then. - Tue Nov  3 17:59:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm... - Tue Nov  3 18:00:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: Perhaps we should train... - Tue Nov  3 18:10:59 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Training? - Tue Nov  3 18:10:59 2015
<br><br><font color=teal>*Lera(Bailey42) says: It might not be the time...but I feel like I can't stop. - Tue Nov  3 18:11:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm..C-Could I join you two for training..? - Tue Nov  3 18:11:50 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: That'd be good. I need to learn how to expell genjutsu. - Tue Nov  3 18:11:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Three..I mean.. - Tue Nov  3 18:11:50 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm. I can teach you Kai - Tue Nov  3 18:12:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: In fact I can teach you a great deal of jutsu, dependant on your elements - Tue Nov  3 18:12:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: We should all strive to get stronger... - Tue Nov  3 18:12:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: And you Violet. I'm going to teach you how to fly. I have a feeling you'll need it - Tue Nov  3 18:13:32 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I don't know my elements, but I do have a special Kekkei Genkai. - Tue Nov  3 18:13:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Which is? - Tue Nov  3 18:14:24 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Flying? Do you think im ready? - Tue Nov  3 18:14:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm. it'll be difficult, but I believe you can learn it - Tue Nov  3 18:14:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-He's a b-bone man. - Tue Nov  3 18:15:15 2015
<br><br><font color=teal>*Lera(Bailey42) says: Bones? Like baen? - Tue Nov  3 18:15:15 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm. - Tue Nov  3 18:15:15 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Thanks... I will try - Tue Nov  3 18:15:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-How about we go to the a-academy basement..? - Tue Nov  3 18:16:06 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I uhm..M-Mizukage-Senpai taught me a t-technique..B-But I'm really n-new to it. - Tue Nov  3 18:16:06 2015
<br><br><font color=teal>*Lera(Bailey42) says: We should head somewhere more...outside. - Tue Nov  3 18:16:06 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Let's do it. - Tue Nov  3 18:16:57 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh..uhm.. - Tue Nov  3 18:16:57 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: There's that waterfall.. - Tue Nov  3 18:16:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yes. That'll do just fine. - Tue Nov  3 18:16:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: Alright. So what are your elements? - Tue Nov  3 18:17:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I d-don't know. - Tue Nov  3 18:17:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm... - Tue Nov  3 18:17:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well...I suppose we'll start with Kai. - Tue Nov  3 18:20:22 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ... - Tue Nov  3 18:21:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm...I can't go much further without knowing your elements... - Tue Nov  3 18:29:45 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Tue Nov  3 18:30:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Uhm.. - Tue Nov  3 18:30:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I don't u-use any elemental n-ninjutsu.. - Tue Nov  3 18:30:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But I'm a good f-farmer.. - Tue Nov  3 18:30:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Its good to learn a few though, just to back yourself u- - Tue Nov  3 18:30:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: A farmer? - Tue Nov  3 18:30:36 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I'm a fighter, I just don't use Ninjutsu. Elemental wise. - Tue Nov  3 18:31:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Tue Nov  3 18:31:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Tue Nov  3 18:31:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Then why are you a shinobi if you'd rather be a farmer? - Tue Nov  3 18:32:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh..Uhm.. - Tue Nov  3 18:32:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-Because it's f-fun to farm..and uhm..I-I like being a shinobi.. - Tue Nov  3 18:32:19 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...Its not an easy life - Tue Nov  3 18:32:19 2015
<br><br><font color=teal>*Lera(Bailey42) says: People die before even reaching their twentieth birthday. - Tue Nov  3 18:33:10 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well....Either way, I can teach a few taijutsu to you both. - Tue Nov  3 18:34:01 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Taijutsu? Good. - Tue Nov  3 18:34:01 2015
<br><br><font color=teal>*Lera(Bailey42) says: Right...then - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Attack me please. - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Taijutsu? - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yes Taijutsu. - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh uhm... - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright.. - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I'll g-go first..! - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Momura, coordinate attacks! - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well you can attack together if you want, but I just want to show you a few techniques. - Tue Nov  3 18:35:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright uhm... - Tue Nov  3 18:35:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You go after me. - Tue Nov  3 18:35:44 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: One technique I don't need to teach I guess...She's quite a speedy one too. - Tue Nov  3 18:38:17 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) is Lera's partner wtff?
* - Tue Nov  3 18:46:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: A battle maniac huh...well, I should probably tell you I'm actually an elementalist. Close combat is not my Forte....but...if you really want to play... - Tue Nov  3 18:53:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'll s-spar you...K-Kyubi. - Tue Nov  3 18:54:30 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Momura, attack her. Be aware of that sword! - Tue Nov  3 18:55:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Attack.? - Tue Nov  3 18:55:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Don't hold back..? - Tue Nov  3 18:55:21 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Don't. Hold. Back. - Tue Nov  3 18:56:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright.. - Tue Nov  3 18:56:12 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Lera let be handle it if me is close combat... - Tue Nov  3 18:59:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: You can play with the other guy. - Tue Nov  3 19:00:28 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: C'mon, I need more. - Tue Nov  3 19:00:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Ow.. - Tue Nov  3 19:05:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Youuu winnn... - Tue Nov  3 19:05:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hmm...You do need to get stronger. - Tue Nov  3 19:05:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Quite a bit stronger. - Tue Nov  3 19:05:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Here....I'm going to give you some Taijutsu techniques to practice. - Tue Nov  3 19:06:27 2015
<br><br><font color=teal>*Lera(Bailey42) says: Okay? - Tue Nov  3 19:06:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Okay.. - Tue Nov  3 19:08:09 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) heard him break out and flipped over her, she quickly unsheathed her sword in his direction swinging her blade in a wide cresent shaped slash... "Dont you want to play with me now~" she said licking her lips and her single sword drawn. If successful he would have a hard time evading and would be knocked back pretty far. Violet would get deep into her stance and be waiting to accept his next attack. "I want to see if I can cut you now..."* - Tue Nov  3 19:14:59 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (I can make vines come out of the ground with watermelons - Tue Nov  3 19:17:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (and bind people's feet i I want - Tue Nov  3 19:17:32 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: (thats pretty fun XD) - Tue Nov  3 19:17:32 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: (I get why you said farmer now) - Tue Nov  3 19:17:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (I can get carrots to - Tue Nov  3 19:19:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (and pineapple - Tue Nov  3 19:19:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (and more - Tue Nov  3 19:19:15 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) "Dont underestimate me..." she said using her her opposite hand to unsleathe and sheathe her opposite blade. The blade sent a shockwave out around her leaving him reeling back from his close proxsimity. "I dont want to hurt him so I will do the next best thing." she thought as she readied herself again fr the reletless man. But Violet was far stronger than the man and she had no problem repelling his attacks* - Tue Nov  3 19:26:04 2015
