<br><font color=teal>*Trent(Fang7777) says: Hi. - Fri Nov  6 17:38:08 2015
<br><br><font color=teal>*Mei(Fang7777) says: Changing into clothing I don't like. - Sat Nov  7 23:31:50 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Afraid I'll ruin them again? - Sat Nov  7 23:31:50 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: Damn Ume for ever talking me into this. - Sat Nov  7 23:48:03 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: He sounds tired. - Sat Nov  7 23:56:35 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: Jehan... - Sun Nov  8 00:01:42 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Mhm.~ - Sun Nov  8 00:01:42 2015
<br><br><font color=teal>*Mei(Fang7777) says: I don't trust her. - Sun Nov  8 00:02:33 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: That's fine. - Sun Nov  8 00:02:33 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I don't trust anyone. - Sun Nov  8 00:02:33 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Everyone is out to kill me as far as I am concerned. - Sun Nov  8 00:02:33 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . .Do me a favor. - Sun Nov  8 00:03:24 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Will you? - Sun Nov  8 00:03:24 2015
<br><br><font color=teal>*Mei(Fang7777) says: Sure. - Sun Nov  8 00:04:16 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Make me dinner again tonight? It was nice before. - Sun Nov  8 00:04:16 2015
<br><br><font color=teal>*Mei(Fang7777) says: Okay. - Sun Nov  8 00:04:16 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Sun Nov  8 00:06:49 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I think I'm going to take a break and go to the other room. - Sun Nov  8 00:07:40 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Care to join me? - Sun Nov  8 00:07:40 2015
<br><br><font color=teal>*Mei(Fang7777) says: Of course. - Sun Nov  8 00:07:40 2015
<br><br><font color=yellow>*Mei(Fang7777) Turns on her heals and appraoches the steps.* - Sun Nov  8 00:08:32 2015
<br><br><font color=teal>*Mei(Fang7777) says: I gues I'll cook dinner. - Sun Nov  8 00:10:14 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Eh. Alright. - Sun Nov  8 00:10:14 2015
<br><br><font color=yellow>*Mei(Fang7777) washes her hands then goes through the steps to prep dinner. She grabs some fish and goes through the steps to season it and place it on a pan so she coudl raost it. She does a few more things to make it a solid roast fish dish before placing it in the oven. she waits for it to cook thenr emoves it and grabds a few plates and moves to place a piece of fish one ach plate with a few of roasted vegetables..She hten sets the plates on the table with a nice glass of water with lemon in it.* - Sun Nov  8 00:12:48 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: I might get too used to this. - Sun Nov  8 00:13:39 2015
<br><br><font color=teal>*Mei(Fang7777) says: Its a roasted fish dish. - Sun Nov  8 00:14:30 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I see. - Sun Nov  8 00:14:30 2015
<br><br><font color=teal>*Mei(Fang7777) says: I hope you like it. - Sun Nov  8 00:14:30 2015
<br><br><font color=teal>*Mei(Fang7777) says: Thank you. - Sun Nov  8 00:16:12 2015
<br><br><font color=yellow>*Mei(Fang7777) would move to take the first bite chewing and swallowing. 

"Is there any thing ells you might want after dinner?"she asked* - Sun Nov  8 00:17:04 2015
<br><br><font color=teal>*Mei(Fang7777) says: I guess a nice nap. - Sun Nov  8 00:18:46 2015
<br><br><font color=teal>*Mei(Fang7777) says: But. - Sun Nov  8 00:19:37 2015
<br><br><font color=teal>*Mei(Fang7777) says: If you desire to have sex with me.  - Sun Nov  8 00:20:28 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: You really need to learn to crave it. - Sun Nov  8 00:20:28 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Or it won't be as fun for me. - Sun Nov  8 00:20:28 2015
<br><br><font color=teal>*Mei(Fang7777) says: I'm sorry. - Sun Nov  8 00:21:20 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'll just have to drive you to always want it~ - Sun Nov  8 00:21:20 2015
<br><br><font color=teal>*Mei(Fang7777) says: Well I guess It's time for me to prep. Please relax here I'll be back. - Sun Nov  8 00:23:02 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Eh? - Sun Nov  8 00:23:53 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: She obeys so well now.  - Sun Nov  8 00:23:53 2015
<br><br><font color=yellow>*Mei(Fang7777) stands up grabing her plate he walks to trash the left over food on then washes her plate and sets it to dry as she walks off to bed room. She closes the door behind her and began to undress and getting dressed into something better sutied for what was to happen. 

She puts on red high hills, wearing tight fishnet tpe legging type pants and long sleeve fish net type shirt. All very tight on her skin see threw of course. As in you can see her naked skin threw all holes in fish net type clothing. She puts on a choke type colar that has a leash attatch to it. Her hair is pulled up into a pony tail. after getting dressed into a very sexy looking out she opens the door to bed rom and walks out into living room slowly. 

"I hope this is pleasing."She said.* - Sun Nov  8 00:28:09 2015
<br><br><font color=yellow>*Mei(Fang7777) would get onto her hands and knees just kind of staring at the floor..

"full out.'she said hoping it would get this over with.* - Sun Nov  8 00:39:15 2015
<br><br><font color=yellow>*Mei(Fang7777) closes her eyes as the leash it pulled coking her a littl as well pulling her head back. She let out a little yelp of pain when she salpped on her butt. She then has flash backs to first time she at his mercy and didn't want that to happen again so she listens like a good little girl..

"Put it in me please, pretty please."she said* - Sun Nov  8 00:51:12 2015
<br><br><font color=yellow>*Mei(Fang7777) Feeling his touch on he rbreast would cause her to body to go num she falls over on the ground her eyes are kept closed. She is shaking a little and she feels completely cold..Her skin has tiny bump on it she was so cold feeling.

"It feels good..I want you to put inside me..."she said her voice kind of soft and scratchy.* - Sun Nov  8 01:04:00 2015
<br><br><font color=teal>*Mei(Fang7777) says: I'm sorry I don't know what to say. - Sun Nov  8 01:08:16 2015
<br><br><font color=teal>*Mei(Fang7777) says: but don't go.. - Sun Nov  8 01:09:07 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I've obviously done something terrible. - Sun Nov  8 01:09:07 2015
<br><br><font color=teal>*Mei(Fang7777) says: Hmm, tie me to the bed and ram my asshole. - Sun Nov  8 01:09:07 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: - - Sun Nov  8 01:09:07 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I thought you hated this? - Sun Nov  8 01:09:58 2015
<br><br><font color=teal>*Mei(Fang7777) says: No its fine.. - Sun Nov  8 01:09:58 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Then why? - Sun Nov  8 01:09:58 2015
<br><br><font color=teal>*Mei(Fang7777) says: It's fine im your pet. - Sun Nov  8 01:09:58 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Sun Nov  8 01:09:58 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: This is you last chance. - Sun Nov  8 01:11:40 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Do you want to stay my pet? - Sun Nov  8 01:11:40 2015
<br><br><font color=teal>*Mei(Fang7777) says: Yes. - Sun Nov  8 01:11:40 2015
<br><br><font color=teal>*Mei(Fang7777) says: i - Sun Nov  8 01:12:32 2015
<br><br><font color=teal>*Mei(Fang7777) says: I have no choice. - Sun Nov  8 01:12:32 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: - - Sun Nov  8 01:12:32 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Why do you say that? - Sun Nov  8 01:12:32 2015
<br><br><font color=teal>*Mei(Fang7777) says: If you let me out of your sight I'll tell every thing.. - Sun Nov  8 01:13:23 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Sun Nov  8 01:13:23 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Will you? - Sun Nov  8 01:13:23 2015
<br><br><font color=teal>*Mei(Fang7777) says: You are scum..You tricked me. - Sun Nov  8 01:13:23 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: - - Sun Nov  8 01:13:23 2015
<br><br><font color=teal>*Mei(Fang7777) says: and now you tease me with this nice guy act.. - Sun Nov  8 01:14:14 2015
<br><br><font color=teal>*Mei(Fang7777) says: as if you really want me to give you the answer thats in my heart. - Sun Nov  8 01:14:14 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I do. - Sun Nov  8 01:14:14 2015
<br><br><font color=teal>*Mei(Fang7777) says: your a monster. - Sun Nov  8 01:14:14 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: - - Sun Nov  8 01:14:14 2015
<br><br><font color=teal>*Mei(Fang7777) says: I..I..hate you.. - Sun Nov  8 01:14:14 2015
<br><br><font color=yellow>*Mei(Fang7777) being grabbed and brought closer to him only made her gaps a little. She oepns her mouth and screams out a little trying to get away but it happened he forced him self into her ass it hurt so bad that she trys to scream but no sound came out. She is then rappidly raped by his threads inher other holes nothing not even her will was going to help her get out of this one..

* - Sun Nov  8 01:24:28 2015
<br><br><font color=yellow>*Mei(Fang7777) sucks on his threads not really having much of a choice. Her mouth was just wide open frm all pain she was feeling and she couldnt help but pant from all thrusting and teasing happening to her. She closes her eyes during this all and trys to picture something better..<It'll end soon>she thought.. Her body being abused and used and she had no choice but to lay there and take it...* - Sun Nov  8 01:36:25 2015
