<br><font color=teal>*Rias(LionHunter) says: Whats happening? - Fri Nov  6 03:43:34 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) thinks: some defender of the weak. . I couldn't even keep up with Ortho. .  - Tue Nov 10 08:21:45 2015
<br><br><font color=teal>*Ziare(Meekee) says: I'd have a backup plan. - Tue Nov 10 08:22:36 2015
<br><br><font color=teal>*Rias(LionHunter) thinks: Maybe not oin our current skill level... but if we were on his... - Tue Nov 10 08:22:36 2015
<br><br><font color=teal>*Ziare(Meekee) says: I try to plan 3 startegies of nuetralizing a target. - Tue Nov 10 08:23:28 2015
<br><br><font color=teal>*Ziare(Meekee) says: I got you with one. - Tue Nov 10 08:23:28 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: yes. . You did very well today - Tue Nov 10 08:23:28 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I am proud to call you both my students. .  - Tue Nov 10 08:23:28 2015
<br><br><font color=teal>*Ziare(Meekee) says: I really failed. - Tue Nov 10 08:25:10 2015
<br><br><font color=teal>*Rias(LionHunter) says: I wish I was as strong... - Tue Nov 10 08:25:10 2015
<br><br><font color=teal>*Ziare(Meekee) says: I should have crated atleast 7. - Tue Nov 10 08:25:10 2015
<br><br><font color=teal>*Ziare(Meekee) says: My father says he can make up to 20 in a single minute. - Tue Nov 10 08:25:10 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yea, your dads pretty smart - Tue Nov 10 08:26:01 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: I can't tell him or he is going to kill him. - Tue Nov 10 08:26:01 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: You are young yet. .and should not deminish what you can acomplish. .  - Tue Nov 10 08:26:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: Alright, let me try this. - Tue Nov 10 08:26:52 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I am a private class shinobi . . and you managed to snag me good. - Tue Nov 10 08:26:52 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Oh, Ortho?  - Tue Nov 10 08:27:44 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Yo'? - Tue Nov 10 08:27:44 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Mind If I make a contract with your snake? - Tue Nov 10 08:27:44 2015
<br><br><font color=teal>*Ziare(Meekee) thinks: It's killing me to act like I care about training... - Tue Nov 10 08:27:44 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: My personal snakes I'm keeping to myself, but you can go a head and sign a contract with the snakes in general. - Tue Nov 10 08:28:35 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yeah i'm young. - Tue Nov 10 08:28:35 2015
<br><br><font color=teal>*Ziare(Meekee) says: Training and so on. - Tue Nov 10 08:28:35 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Expand your horizon then come back to me, Marrisa. - Tue Nov 10 08:29:26 2015
<br><br><font color=teal>*Rias(LionHunter) says: I guess I will follow your lead - Tue Nov 10 08:29:26 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: if you can't find anything, I'll let you sign. - Tue Nov 10 08:30:17 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Aye. .  - Tue Nov 10 08:30:17 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I'll keep at it then. . Thanks for being though on me L- Ortho. .  - Tue Nov 10 08:30:17 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: tough** - Tue Nov 10 08:30:17 2015
<br><br><font color=teal>*Ziare(Meekee) says: So... - Tue Nov 10 08:31:08 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: No problem, Marrisa. - Tue Nov 10 08:31:08 2015
<br><br><font color=teal>*Ziare(Meekee) says: Just practice the wire? - Tue Nov 10 08:31:08 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: You almost had me a few times, though. - Tue Nov 10 08:31:08 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Had to think on my feet. - Tue Nov 10 08:31:08 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: One day. .  - Tue Nov 10 08:32:00 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: One day you'll be able to end my life. - Tue Nov 10 08:32:00 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: ha. .  - Tue Nov 10 08:32:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: .... - Tue Nov 10 08:32:00 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I'll die before the day ever comes that I am forced to raise my hand to end your life.  - Tue Nov 10 08:32:51 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Alright, alright. - Tue Nov 10 08:33:42 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Enough talk of death. That's not coming for a while. - Tue Nov 10 08:33:42 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Let's not jinx it. - Tue Nov 10 08:33:42 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: hehe. . Yea. . Your proboly right. .  - Tue Nov 10 08:33:42 2015
<br><br><font color=yellow>*Rias(LionHunter) would look at the wire and tug on it. She tested the durability of it with weak strength. She couldnt break out of it but if her thinking was right then it could be extremely useful to her. She heard the conversation between the two and it seemed like the were in fact really close. She didnt look too deep into it, she just went back to examining the wire.

Rias was alittle jealous that Z was getting all of the reconition for his skills as he sparred and trained with everyone but she could not. I mean it wasnt like she couldnt spar but she was scared to be hurt. Ever since J hit her my accident one time while they were playing, she went to the hospital becasue she was alit more frail then she looked. She thought to herself while fidding with the wire and trying to find a place to put it.

She placed the spoll under wrist and looked at it...<I really need a place to put this...>she thought thinking about an interest in fuuinjutsu. As she placed it there and wrapped it around wrist and asked Marrisa. "Um, do you know anyone who knows fuuinjutsu? It might serve a good use for me." she asked while testing the weight and the aim of her knew wrist launcher... <I might need to make a few improvements on this> she thought.

She aimed it tried to push her chakra into the wire to push it out and about but didnt work. She would wonder what she was doing wrong... she had enough chakra but she wasnt focusing it right. She tried again to control her chakra. She would place her arms out with one arm holding her arm of the other. She build up her chakra and focused that chakra into her wrist where the spool was.

She concetrated on the wire and extended toward the gate.* - Tue Nov 10 15:10:30 2015
<br><br><font color=yellow>*Rias(LionHunter) Would go on to continue her practicing the technique. She might have a great idea for this jutsu, if it could be even call that. She would pour the chakra in to the wire and it acivated the it, making the wire come "alive". She wire shot out from her wrists and it shot to the gate. It stopped short of the gate and dropped to the ground. <Shoot... I guess I need alittle more work on this... Im a smart girl this shouldnt be that hard!> she thought.

Rias went to go pick up and reel back in the wire. while doing this she thought back to the spar. She was always taught not to tip her hand before playing it. Her jutsu would only work if no one knew about it. If they did know about it then it would be easier to catch them until she got higher ranked jutsu. She would reel the wire back in the spool while she was in her thinking mindset.

Rias focused her chakra once more after forming her hand seals. She would shoot out the wire from her wrist and the wire would fly out towards the gate once again. The wire would go to the gate and im pact it beforefalling to the ground again. <Ok, I hsave made progress... a few more tries and I think I got this thing down.> she thought reeling the wire back in.

Rias plan for the wires was to use it as a tether. A surefire traveling line for her conscience to move along to make sure her technique hits its mark. It would serve a great purpose for her. As she fully reeled back the wire once more she would aim to try to use it again. She would quickly form her hand seals and try to shoot the wire once more to its target hitting the gate and wrapping around a few of the links.

<So thats how it works. You have to keep channeling your chakra into the wire to control its movements. Ok so as long as I can channel chakra and I have chakra when the move should work.>She explained in her head to get the complete understanding of the jutsu. She would marvel at her success and with the wire and attempt to pull it back from the gate.

Pouring more chakra into the wire she would make the wire lax and slowly unwrap it from the gates. She would the think... <I really need to find a way to hide this... it will not a surpise if people can see it.> Rias sensed the area and left to find Z and J so she could stay by their side. "I should try that tea shop today with him. I wonder will I like it?" she thought. She had a feeling that he liked her and she did think he was cute but she wasnt looking for a relationship currently... She wanted to have fun alittle while longer.* - Tue Nov 10 16:14:30 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Hmm.. I disqualify going fishing. - Tue Nov 10 17:14:14 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Or cooking for that matter. - Tue Nov 10 17:14:14 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Hello... - Tue Nov 10 18:37:52 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: -- - Tue Nov 10 18:42:59 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I don't see you around alot. - Tue Nov 10 18:44:41 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: You stay in-doors? - Tue Nov 10 18:44:41 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: No. I'm just not often near the mansion. - Tue Nov 10 18:50:40 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Where do you hang around? - Tue Nov 10 18:51:31 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: The training grounds, recently. - Tue Nov 10 18:52:22 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Bleh. - Tue Nov 10 18:53:13 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I don't even train there anymore. - Tue Nov 10 18:53:13 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Where do you? - Tue Nov 10 18:53:13 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Too many people try and see what you're capable of. - Tue Nov 10 18:53:13 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Train? - Tue Nov 10 18:53:13 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm. - Tue Nov 10 18:53:13 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I haven't really .. - Tue Nov 10 18:54:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Done any training. - Tue Nov 10 18:54:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Lately. - Tue Nov 10 18:54:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I've been in - - Tue Nov 10 18:54:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) thinks: Okay, I'm lying. - Tue Nov 10 18:54:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) thinks: I always push people to train.. - Tue Nov 10 18:54:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Hm. - Tue Nov 10 18:54:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: No, that's a lie. - Tue Nov 10 18:54:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I have been training. - Tue Nov 10 18:54:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Just nowhere close. - Tue Nov 10 18:54:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I have my own secret training grounds. - Tue Nov 10 18:54:56 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Where I converse with a giant frog. - Tue Nov 10 18:54:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..I see. I often wait until the training fields are empty before I do anything there. - Tue Nov 10 18:55:47 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: That's the thing. - Tue Nov 10 18:55:47 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: And you don't know who's watching at your spot either. - Tue Nov 10 18:56:38 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Well, you could say. - Tue Nov 10 18:56:38 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I have a good idea of who's coming in and out. - Tue Nov 10 18:56:38 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: And hows that? - Tue Nov 10 18:58:20 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Tch. - Tue Nov 10 18:59:12 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Hm? - Tue Nov 10 19:17:58 2015
<br><br><font color=teal>*Ziare(Meekee) says: Did you piss everyone off again? - Tue Nov 10 19:18:49 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Hey. - Wed Nov 11 01:39:24 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Hello Daiki. - Wed Nov 11 02:04:09 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: How're you? - Wed Nov 11 02:04:09 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Ok I guess. - Wed Nov 11 02:04:09 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: You guess? Don't sound too sure. - Wed Nov 11 02:04:09 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I'm fine. - Wed Nov 11 02:05:00 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Mhm.. - Wed Nov 11 02:05:00 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Glad to hear it, Akira. - Wed Nov 11 02:05:00 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: How are you? - Wed Nov 11 02:06:43 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: I'm alright I suppose, pretty bored.. Considering I'm done with my boxing practice for today. - Wed Nov 11 02:07:34 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Thats good. - Wed Nov 11 02:10:08 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Kinda sucks that it's practically a ghost town here. - Wed Nov 11 02:10:08 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Yeah, it's a little boring at times - Wed Nov 11 02:12:41 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: A little? - Wed Nov 11 02:12:41 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: When will we get a new Hokage.. So I can get some missions.. or anything! - Wed Nov 11 02:13:32 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I don't know. - Wed Nov 11 02:13:32 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: No one is strong enough to be Hokage. - Wed Nov 11 02:13:32 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: And everyone is a genin. - Wed Nov 11 02:14:24 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: True.. Although. Surely we need someone there. - Wed Nov 11 02:14:24 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: We do. - Wed Nov 11 02:15:15 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: There just isn't anyone to take the place. - Wed Nov 11 02:15:15 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Shouldn't it just fall to the strongest person. In times like this? - Wed Nov 11 02:15:15 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Maybe. - Wed Nov 11 02:16:06 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: If that were the case though, it would probably fall to Ziare. - Wed Nov 11 02:16:06 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Ah. I wouldn't have a problem with that. - Wed Nov 11 02:16:57 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I would though. - Wed Nov 11 02:16:57 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: And so would he probably. - Wed Nov 11 02:16:57 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Hmm why? - Wed Nov 11 02:16:57 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well, He doesn't have the experience or the work ethic to be Hokage. - Wed Nov 11 02:17:48 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: And he himself said he wouldn't want a job like that. - Wed Nov 11 02:17:48 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Mhm.. - Wed Nov 11 02:18:40 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Well. I suppose we should all just work on bettering ourselves. - Wed Nov 11 02:20:22 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) thinks: If only Marrisa wasn't from Kirigakure.. She'd be great.. - Wed Nov 11 02:20:22 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: It's not like we can just elect new Jounin or Chuunin either. - Wed Nov 11 02:22:56 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Yeah.. Kinda sucks. - Wed Nov 11 02:24:38 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Are you any good? Or not? - Wed Nov 11 02:24:38 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Not really. - Wed Nov 11 02:25:29 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Plus I don't really want the job. - Wed Nov 11 02:25:29 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: That makes two of us.. haah! - Wed Nov 11 02:25:29 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: You wanna have a spar, to clear this boredom. - Wed Nov 11 02:25:29 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Or go get some food or something. - Wed Nov 11 02:25:29 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) thinks: Even though I have all this fish.. - Wed Nov 11 02:26:20 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Not really, I'm useless physically and don't know many jutsu. - Wed Nov 11 02:26:20 2015
