<br><font color=teal>*Reguel(Airide) says: He went somewhere with some girl. - Thu Oct  1 00:17:55 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I'd like to see something first. - Sat Oct  3 05:21:42 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: Tch. - Sat Oct  3 05:41:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: He blocked it somehow. - Sat Oct  3 05:41:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: That blade's huge. I can't believe he can carry it around so easily. - Sat Oct  3 05:41:20 2015
<br><br><font color=yellow>*Hideki(Assassin241) rolled in his wheel chair, one speed, is one fucking speed.* - Sat Oct  3 05:46:27 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: Fuck... my bones. - Sat Oct  3 05:47:18 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Almost there!! - Sat Oct  3 05:49:00 2015
<br><br><font color=yellow>*Hideki(Assassin241) continued to get closer.* - Sat Oct  3 05:58:24 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Did I mention...I really hate when Kuro talks about pece shit. - Sat Oct  3 06:02:40 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: peace* - Sat Oct  3 06:02:40 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Why is Kuro so much smarter than Hideki.... - Sat Oct  3 06:03:31 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 06:03:31 2015
<br><br><font color=teal>*Hideki(Assassin241) says: *Sneezes* - Sat Oct  3 06:04:22 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Fam - Sat Oct  3 06:06:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Sat Oct  3 06:06:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Give me time. - Sat Oct  3 06:11:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Sat Oct  3 06:11:12 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) whispers: [what do I get with my LC?] - Sat Oct  3 06:11:12 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: Whatever you want Misa lol) - Sat Oct  3 06:11:12 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: If only Hideki actually taught me jutsus... - Sat Oct  3 06:12:03 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sat Oct  3 06:12:03 2015
<br><br><font color=teal>*Hideki(Assassin241) says: *Sneezes* - Sat Oct  3 06:12:03 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I thought I was useless.. - Sat Oct  3 06:15:28 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: I'm as useless as Hideki... - Sat Oct  3 06:16:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Sat Oct  3 06:17:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: *Sneezes* - Sat Oct  3 06:17:10 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Atleast I'm not being sold on the blackmarket... - Sat Oct  3 06:17:10 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) thinks: Well since we are going to die anyway might as well make the most of it. - Sat Oct  3 06:17:10 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Skunk hair lookin ass..... - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: =omit= - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We did it! - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Woo! - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ------- - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Niza did. - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Nothing. - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I'm so glad I taught ya'll everything I know. - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Omit - - Sat Oct  3 06:20:35 2015
<br><br><font color=yellow>*Hideki(Assassin241) wheel'd back toward the wall, and continued to chill there.* - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It's fine... - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Ok guys! - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Party in the shower - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Mamoru, Chiharu. - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Orange head. - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: All of Kumogakure sat and looked instead of actually fighting... - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Fuck you. - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: omit - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: LOL - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: BITCH. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: FUCK YOU. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Err.... can I hold onto it..? There's something ominous about it.. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I was in a wheel chair. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: And coudn't do shit. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I trust you. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: And your family name. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: It's yours. - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I could... - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Use some help, yeah. - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: She is going to go suck his dick now. - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Probably. - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Is it over? - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Mamoru... - Sat Oct  3 06:24:51 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Kitchen.. - Sat Oct  3 06:24:51 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Misa obviously didn't know where his actual position was, which was all the way on the other side of the wall. So technically it wouldn't evne have reached him in time. He quickly did a set of handsigns and countered her fire run, with his own fire run. Colliding the two elements.* - Sat Oct  3 06:25:42 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: If that means I have to take a life. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Then so be it. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I sympathize. - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ... - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: Are you okay, Uncle Hideki? - Sat Oct  3 06:29:07 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: I'm fine, are you okay Heiwa? - Sat Oct  3 06:29:07 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: I'm okay..Who was that man? - Sat Oct  3 06:30:49 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: Said his name was Reign. - Sat Oct  3 06:30:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 06:34:14 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hold on.. - Sat Oct  3 06:38:30 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: She slurped him up yet? - Sat Oct  3 06:38:30 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: omit - Sat Oct  3 06:38:30 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: omit - Sat Oct  3 06:39:21 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: -omit- - Sat Oct  3 06:40:12 2015
<br><br><font color=yellow>*Hideki(Assassin241) wrote in a scroll, it was a message to Suitengu, after he wrote in the scroll he attached it to the messenger bird and send it out into the world to give the message to Suitengu.* - Sat Oct  3 06:40:12 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: .. How are birds even getting in here? - Sat Oct  3 06:44:28 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Hordes of nurses rushed him, giving him all these certain drugs, nursing him back to health. He got off of the chair, and kicked that shit.* - Sat Oct  3 06:55:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I feel good as fuck. - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: He feels good as fuck. - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: You were useless. - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: You crippled fuck. - Sat Oct  3 06:56:25 2015
<br><br><font color=yellow>*Hideki(Assassin241) headbutts* - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: But what if someone else tries to start problems? Do we not fi -  - Sat Oct  3 06:57:16 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: -omit- - Sat Oct  3 06:57:16 2015
<br><br><font color=yellow>*Hideki(Assassin241) omit* - Sat Oct  3 06:57:16 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Enters the room with no wheel chair.* - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I feel good as fuck. - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ....... - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hideki came to get top too. - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: omit - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ......................................... - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Why the hell aren't you in a wheelchair? - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I got healed. - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: -How- aren't you in a whe-... - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: How? - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I got healed. - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: By...? - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: .............. - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Suitengu, he's a close friend. - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Came in clutch. - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . . . - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: The fuck is a Suitengu. - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . .. - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ..... - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: He's scheming behind our backs. - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: RESTRAIN HIM GUARDS. - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: -omit- - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'll tell you later. - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: -omit- - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: .... - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Who's Suitengu? - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Are you... - Sat Oct  3 07:00:41 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Headbutts back, he plays no games.* - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Are you being hired by an old lady for money? - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ---Are you... - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Are you doing that sort of job? - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: What. - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . . - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: Shit. - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Who the fuck. - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: I need money. - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Is this guy. - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I think it's too crammed in here... - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm getting claustrophobic. - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I should be getting home anyways... - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Mamoru... - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yes? - Sat Oct  3 07:02:24 2015
<br><br><font color=yellow>*Hideki(Assassin241) stepped to the side.* - Sat Oct  3 07:02:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Alright... - Sat Oct  3 07:03:15 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll take the next Private Exams, once I heal up, Lord Niza. - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: .... - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm going... to go get some rest in the meantime. - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I see. - Sat Oct  3 07:04:06 2015
