<br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Thu Oct  8 22:10:46 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Even before Niza, theres been raikages that have done a good job in keeping Kumogakure in a golden age. - Fri Oct  9 18:28:28 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Through the use of military might, ignoring any other legistics that a country shouldn't be ignored. - Fri Oct  9 18:28:28 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Niza wanted peace for the world. - Fri Oct  9 18:28:28 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Do you think by military might, that will be accomplished. - Fri Oct  9 18:28:28 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: It will only be seen as tyranny. - Fri Oct  9 18:28:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ...... - Fri Oct  9 18:29:20 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: There is no policies anymore for this country. - Fri Oct  9 18:29:20 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: It has been forgotten. - Fri Oct  9 18:29:20 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: There is no grand law for this country. - Fri Oct  9 18:29:20 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Order. - Fri Oct  9 18:29:20 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: If there was, our security would be great. - Fri Oct  9 18:29:20 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Not even foreigners could have easy access to this country. - Fri Oct  9 18:29:20 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: To disrupt or destroy us from the inside. - Fri Oct  9 18:30:11 2015
<br><br><font color=teal>*Hideki(Assassin241) says: If people are to find out...Someone that isn't the Raikage is being commanded in the shadows, that shows weakness. Espeically if they find out the person in the shadows is weak and can't defend themselves. - Fri Oct  9 18:30:11 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Shadows? - Fri Oct  9 18:30:11 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It's obvious on what you're trying to do. - Fri Oct  9 18:30:11 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Shadows? What measly attempt at hiding from the world. - Fri Oct  9 18:30:11 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I'm putting my rule boldly for the world to know. - Fri Oct  9 18:31:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Mhm... - Fri Oct  9 18:31:02 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Do you trust yourself or someone else to become Raikage. - Fri Oct  9 18:31:53 2015
<br><br><font color=yellow>*Hideki(Assassin241) looked back at Sabo, he disabled the genjutsu, however, when he did so, it caused Sabo to go unconcious. He looked back at Genesis as he stood up. "We're done with this conversation, Genesis." a rather blank expression continued to stay on his face as he started to walk out of the room, he tapped Ambrocio's shoulder. "Let's get going.....Oh.......When Sabo wakes up, Tell him I said sorry." as he continued to walk out.* - Fri Oct  9 18:32:44 2015
<br><br><font color=yellow>*Hideki(Assassin241) stared at Sabo, as if his threat about removing his head from his shoulders had seemed to not effect him. He then looked at Genesis as she slammed her fist against the table. He continued to bore a blank expression on his face. "...You threaten me now, Sabo. But you're the one that's vulnerable right now.." He wielded several handsigns, as he molded chakra within his bodies system, holding the last handsign, as he lifted his arm up, his palm however faced Sabo.

A rather cold and emotionless look was on his face by this point, he's already lost everyone he's always loved and known, first it started with Hanabi, then Ushinawa, Mariana, Suitengu, and now Seisuke...His best fucking friend Seisuke was also lost, all over something stupid. Something he couldn't have prevented because he was weak, because he couldn't do a single thing to protect them at all.

Will he let that happen again?---Nay, he won't let that happen ever again, howeer he wanted to experiement on something, something that's been on his mind for a long time. But for now, 5 snakes came out of his sleeve, going toward Sabo. Out of the snakes mouths emerged kusanagi's like blades, all -aimed- for lethal areas. One snake aimed to fully stab Sabo in the brain, two aimed to stab into Sabo's left arm. The last remaining two stabbed into Sabo's right arm.

There was -no- emotion in Hideki's face by this point, he's made up his mind by this point, and he had his next target in his sights.* - Fri Oct  9 18:47:15 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ....... - Fri Oct  9 18:47:15 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: fuck dis shit im out - Fri Oct  9 18:57:29 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
The snake retracted there blades, and wrapped around Sabo's frame, retracting within his sleeves, as they brang Sabo's body forward toward Hideki. The held Sabo in place. Quickly Hideki took both of Sabo's lavender eyes. Hideki placed the eyes in his pockets. He didn't have shit to put them in, so he placed them there. However, he also looted Sabo's body for any money and such like that, and after he was done with that. He let Sabo's body fall flat on the wooden floor. He looked over toward Ambrocio. "We're leaving...Now!" * - Fri Oct  9 19:21:23 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: --- .... - Fri Oct  9 19:21:23 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  9 19:23:05 2015
<br><br><font color=teal>*Hideki(Assassin241) says: oLOl - Fri Oct  9 19:27:21 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: What have I...Walked into..? - Fri Oct  9 19:38:27 2015
<br><br><font color=yellow>*Hideki(Assassin241) quickly and effectively, formed handsigns, while jumping back, molding chakra within his bodies system,  he extended his arms outward, as five snakes once again, came out of his arm sleeve, three wrapped around Ambrocio, two others however wrapped around Ortho, they however -did- not bind there hands or anything like that. Hideki made his escape. "Ortho, watch my back." he stated as they started to take there leave. * - Fri Oct  9 19:46:08 2015
<br><br><font color=yellow>*Hideki(Assassin241) was no fool, he knew Misa would be enraged, and he did not plan on having his allies attacked, nor himself, however with a basic manevour done with his snakes that he had that was seemingly wrapped around his allies, he had it to where Ortho was not harmed by the arrow, and Hideki himself, was a very cautious and reflexive person, he knows better than to just run in a straight line, someone could be throwing jutsu at him, or kunai. He knew better. By now however, they made their escape through the doors. He took out two smoke bombs and threw them down on the ground, covering there escape.* - Fri Oct  9 20:04:03 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: 13O - Fri Oct  9 20:11:44 2015
<br><br><font color=yellow>*Hideki(Assassin241) escaped with his niggas by shunshining out the area.. Kush, Misa the real MVP for letting his nigga go.* - Fri Oct  9 20:21:07 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Yo. - Fri Oct  9 20:24:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..... - Fri Oct  9 21:18:17 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'm seriously.. getting tired of doing that.. - Fri Oct  9 21:18:17 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Hn. - Fri Oct  9 21:20:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Tired of what? Ortho. - Fri Oct  9 21:20:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Running.. - Fri Oct  9 21:20:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Well, to be honest. It's up to you if you want to continue to stay with us. - Fri Oct  9 21:20:51 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..That has nothing to do with the other. - Fri Oct  9 21:20:51 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I only have three jutsus to fight with.. - Fri Oct  9 21:21:42 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..tch.. - Fri Oct  9 21:21:42 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Then nows a perfect time.. - Fri Oct  9 21:21:42 2015
<br><br><font color=teal>*Hideki(Assassin241) says: To teach you. - Fri Oct  9 21:21:42 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..... - Fri Oct  9 21:23:24 2015
<br><br><font color=yellow>*Hideki(Assassin241) looked at Ortho, scanning him up and down. "What are your elements again?" he asked forgetting the young boys elements.* - Fri Oct  9 21:25:58 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Every.. - Fri Oct  9 21:27:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm.. - Fri Oct  9 21:28:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Would you like to learn genjutsu? - Fri Oct  9 21:28:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'd like to learn any and every thing. - Fri Oct  9 21:31:05 2015
<br><br><font color=yellow>*Hideki(Assassin241) nodded his head, as he started to form several handsigns, and upon forming the handsigns, he molded chakra within his bodies system, having it mold there for a little while. He finished the handsigns, as the area around Ortho however, didn't change much, that was until four eerie black ninja appeared around him. Hideki then spoke toward him. "This is a rather simple genjutsu, however, it can tire out your enemies if you were persay in the forest and hiding somewhere. It's a good way to distract your enemies, also there illusions, so whe they throw kunais at the opponet, it will phase through them, however if you throw a kunai while they throw a kunai at the same time. They won't know whats real or fake." he stated nodding his head.

He then crossed his arms as the eerie back ninja faded away from the natural area. "However, if anyone was to attack them or slice them, they multiple into more ninja. Which makes it even more of a challenge for the enemy. It's a great jutsu to use if you're going to try and get away."* - Fri Oct  9 21:35:21 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Yass? - Fri Oct  9 21:37:04 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Mind if I try as well? - Fri Oct  9 21:37:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Sure. - Fri Oct  9 21:38:46 2015
<br><br><font color=yellow>*Hideki(Assassin241) resisted that shit by using Genjutsu Kai. Fuck you mean. omit* - Fri Oct  9 21:44:44 2015
<br><br><font color=yellow>*Hideki(Assassin241) stretched slightly. "Well...I'll be right back...I have to go to  Konoha right quick." he stated seeing what the three of them would say.* - Fri Oct  9 21:53:16 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Ambrocio should be fine. - Fri Oct  9 21:54:08 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I hope atleast. - Fri Oct  9 21:54:08 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'll go look for something to do.. - Fri Oct  9 21:54:08 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Maybe gain some information. - Fri Oct  9 21:54:08 2015
<br><br><font color=yellow>*Hideki(Assassin241) was off to go to Konohagakure, ordering himself a caravan.* - Fri Oct  9 21:54:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ur fkin dun kid - Fri Oct  9 21:55:50 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Fri Oct  9 21:55:50 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Saw there was nothing in Konoha, took that caravan back to Kiri.* - Fri Oct  9 22:01:48 2015
<br><br><font color=yellow>*Hideki(Assassin241) pulled up to the scene.* - Fri Oct  9 22:03:31 2015
<br><br><font color=yellow>*Hideki(Assassin241) was bored and left, niggas were afk.* - Fri Oct  9 22:04:22 2015
<br><br><font color=yellow>*Hideki(Assassin241) omit* - Fri Oct  9 22:05:13 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . .  - Fri Oct  9 22:06:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: So uh.. - Fri Oct  9 22:10:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: How are things going here? - Fri Oct  9 22:10:20 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: How are things? - Fri Oct  9 22:11:12 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Can't you see? - Fri Oct  9 22:11:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ....Yeahhh.. - Fri Oct  9 22:11:12 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Death and destruction everywhere. - Fri Oct  9 22:11:12 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I just burried Genesis in an unmarked grave. - Fri Oct  9 22:11:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Fri Oct  9 22:12:03 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Misa was so ruthless. - Fri Oct  9 22:12:03 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm.. - Fri Oct  9 22:12:03 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Genesis made it all the way here huh? - Fri Oct  9 22:12:54 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Yeah. - Fri Oct  9 22:13:45 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: There was nothing that could be done for her. - Fri Oct  9 22:13:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: That's.....impressive. - Fri Oct  9 22:13:45 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Indeed. - Fri Oct  9 22:14:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You don't mind if I chill here with a couple of my friends? - Fri Oct  9 22:16:19 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: The more the merrier. - Fri Oct  9 22:17:10 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: But you will help clear otu the rubble. - Fri Oct  9 22:17:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Huh? - Fri Oct  9 22:17:10 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You will help me clear out the rubble of the village. - Fri Oct  9 22:18:52 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: If you want to stay. - Fri Oct  9 22:19:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Alright. - Fri Oct  9 22:19:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'll get my friends then. - Fri Oct  9 22:19:44 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Go for it. - Fri Oct  9 22:21:26 2015
<br><br><font color=teal>*Elon(Chevy Corolla) whispers: i'll fukn kiss u nigga - Fri Oct  9 22:37:39 2015
<br><br><font color=yellow>*Hideki(Assassin241) turned around upon hearing his name. His katana rested on the side of his waist, his three tomoe sharingan, glanced at Kush, Misa's face. He stood there, a blank expression on his face. "What"* - Fri Oct  9 22:56:25 2015
<br><br><font color=yellow>*Hideki(Assassin241) sighed.

"Why.......I ask myself that question every single freaking day. I ask myself, why did Ushinawa have to die, why did Mariana have to die, Why did Hanabi have to die, Why did Suitengu die, and why the hell did Seisuke die? I've lost, so much Misa, I really have.....However, Genesis was pushing my buttons, and Sabo was there and I knew if he was there he'd just get in my way, believe me I didn't want to do it, I really didn't want to. But however, I wanted to kill Genesis, and I knew with Sabo there I couldn't have gotten the chance to. So I killed him." he stated as he continued to look at Misa.* - Fri Oct  9 23:04:06 2015
<br><br><font color=yellow>*Hideki(Assassin241) gaze met Misa's gaze. "Here. Take these." he took out Sabo's eyes out of his pockets. He was going to toss them to her, but he'd wait to see her response before doing so, these eyes were probably loose change.* - Fri Oct  9 23:11:47 2015
<br><br><font color=yellow>*Hideki(Assassin241) closed his hand, keeping the rinnegan in his hand. Before placing them back in his pocket once more. "What other information can you give me about these eyes." as he stepped back further from Misa. He was being completely serious by this point.* - Fri Oct  9 23:17:45 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Umm..... - Fri Oct  9 23:18:36 2015
<br><br><font color=yellow>*Hideki(Assassin241) nodded his head.

"Alright.....Stay safe then, Misa." waiting for Heiwa to get next to him.* - Fri Oct  9 23:22:52 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) thinks: This better not come back to fuck me in the ass. - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Oi. - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: . . .? - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You are welcome to stay here if you like. - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: As you can see we need the help. - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: No. - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hideki.... - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I see. - Fri Oct  9 23:25:26 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Take care then. - Fri Oct  9 23:25:26 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I'll be staying with someone I haven't seen for a few years. - Fri Oct  9 23:25:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: .... - Fri Oct  9 23:25:26 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I see. - Fri Oct  9 23:25:26 2015
<br><br><font color=yellow>*Hideki(Assassin241) searches around the rumble, finding a jar. Grabbing that jar, and going somewhere where they have clean water. "I'll be back."* - Fri Oct  9 23:30:33 2015
<br><br><font color=yellow>*Hideki(Assassin241) went into a house, started to clean the jar, and with that he placed in some sort of liquid to keep the eyes all good and shit. He plopped the two rinnegan eyes in the jar, and closed it shut. And with that, he placed it back into his coat.* - Fri Oct  9 23:32:16 2015
<br><br><font color=yellow>*Hideki(Assassin241) sat on the bench. Obviously tired.* - Fri Oct  9 23:34:49 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Bench was destroyed, he sat on some damn rubble.* - Fri Oct  9 23:34:49 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I want you two to place your chakra into these papers. - Fri Oct  9 23:35:40 2015
<br><br><font color=yellow>*Hideki(Assassin241) got up and walked over to Kirie.* - Fri Oct  9 23:35:40 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hmm. I see. - Fri Oct  9 23:44:12 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: And you two will be staying here along with Hideki? - Fri Oct  9 23:45:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Mhm. - Fri Oct  9 23:45:04 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mhm.. - Fri Oct  9 23:45:04 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Oh dang. - Fri Oct  9 23:45:04 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Can't learn from ya' or even teach ya' - Fri Oct  9 23:45:55 2015
