<br><font color=teal>*Hideki(Assassin241) says: omit - Sun Oct  4 05:08:28 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Lead thre way. - Mon Oct  5 04:10:01 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Alright.. - Mon Oct  5 04:10:52 2015
<br><br><font color=yellow>*Hideki(Assassin241) looked at Misa, his sharingan scanning her, and then shortly after making eye contact with her. "Watch closely." he stated as he started to form several handsigns, molding the chakra needed within his bodies system, and after awhile of molding it, he lifted his arm forward, as five snakes came out of his arm sleeve and went forward, after reaching a certain distance the snakes poofed into white smoke. As Hideki then says "Simple." he stated, rather going against his own word about training with Misa.* - Mon Oct  5 04:12:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: None. - Mon Oct  5 04:16:51 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Mon Oct  5 04:22:49 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Would've made his way back to that house anyway, afterall he's lived there for majority of his life, after hearing the words fuck you and thanks in the same sentence from Misa, he just shrugged it off, and continued in that direction.* - Mon Oct  5 04:24:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Ur fkin dun kid - Mon Oct  5 04:24:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Mon Oct  5 04:24:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I promise to you. - Mon Oct  5 04:25:23 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You do your thing. - Mon Oct  5 04:25:23 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: And I will fulfill my promise to you. - Mon Oct  5 04:25:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: That's cute. - Mon Oct  5 04:25:23 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Heiwa is a truly good child. - Mon Oct  5 04:27:05 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Ineed. - Mon Oct  5 04:27:05 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I suppose I should get training. - Mon Oct  5 04:27:05 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Good luck, Mamoru. - Mon Oct  5 04:27:05 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Right. - Mon Oct  5 04:27:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Good luck to you too. - Mon Oct  5 04:27:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thanks. - Mon Oct  5 04:27:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Misa. - Mon Oct  5 04:29:39 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Hmm? - Mon Oct  5 04:29:39 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Treatment? - Mon Oct  5 04:29:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Mon Oct  5 04:30:30 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Of course. - Mon Oct  5 04:31:21 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Oh right. - Mon Oct  5 04:31:21 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Think I could get some more? - Mon Oct  5 04:31:21 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: My bone's been soft lately. - Mon Oct  5 04:32:12 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: This is taken way out of context. - Mon Oct  5 04:32:12 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: I can make your bones hard, don't you worry. - Mon Oct  5 04:32:12 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I owe you one. - Mon Oct  5 04:32:12 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Thanks, Misa. - Mon Oct  5 04:36:28 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: No worries, I can always give you some of my milk. - Mon Oct  5 04:36:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yooo'. Mammaries, did'ja get an answer? - Mon Oct  5 04:36:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I didn't get an answer from Chiharu yet. - Mon Oct  5 04:37:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I haven't gotten to speak to her today. - Mon Oct  5 04:37:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: And thanks, Misa. - Mon Oct  5 04:37:20 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Well damn. - Mon Oct  5 04:37:20 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Haha....Mammaries.. - Mon Oct  5 04:37:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll come by some other time for more of your milk. - Mon Oct  5 04:37:20 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: that wasn't a nice nickname... - Mon Oct  5 04:37:20 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Gehhh.. well, I'll come back another day then. - Mon Oct  5 04:38:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- I think we're like... - Mon Oct  5 04:39:02 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Bothering them. - Mon Oct  5 04:39:02 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: You think so? - Mon Oct  5 04:39:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ... - Mon Oct  5 04:39:02 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Ye'. - Mon Oct  5 04:39:02 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Huh.. Wonder why. - Mon Oct  5 04:39:53 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Ye', I'll come with ya'. Maybe we both got what we ordered. - Mon Oct  5 04:45:52 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: I think he's a cheap-ass who decided to keep your money, but I suppose I should lean towards that .... - Mon Oct  5 04:46:43 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: He is going to pull through. - Mon Oct  5 04:46:43 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Cool. - Mon Oct  5 04:46:43 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Nigga better not have bagged my 2mil.. - Mon Oct  5 04:46:43 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Heiwa. - Mon Oct  5 04:47:34 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll keep my promise to you. - Mon Oct  5 04:47:34 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: For your father and mother. - Mon Oct  5 04:47:34 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: And of course, for you bud. - Mon Oct  5 04:47:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: 0000 - Mon Oct  5 04:47:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----* - Mon Oct  5 04:47:34 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Did this nigga scuff my Jordans...? - Mon Oct  5 04:48:25 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: So what's happening? - Mon Oct  5 04:49:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Mon Oct  5 04:49:16 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Did this man Mamoru make Heiwa cry? - Mon Oct  5 04:49:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: LOOL - Mon Oct  5 04:50:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Mon Oct  5 04:50:08 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: That's actually sweet... - Mon Oct  5 04:50:08 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Hideki couldn't make him cry like that... - Mon Oct  5 04:50:59 2015
<br><br><font color=teal>*Hideki(Assassin241) says: How is your progress with the Fireball Jutsu coing along, Heiwa? - Mon Oct  5 04:50:59 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It's..okay. I..could show you what I've done with it.. - Mon Oct  5 04:52:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Sure. - Mon Oct  5 04:52:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Mon Oct  5 04:56:06 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: He's infront of me. - Mon Oct  5 04:56:06 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: What the fuck is this boy trying to do. - Mon Oct  5 04:56:06 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: This ain't safe. - Mon Oct  5 04:56:06 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Still ain't safe. - Mon Oct  5 04:56:57 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: ....Not safe. - Mon Oct  5 04:56:57 2015
<br><br><font color=yellow>*Hideki(Assassin241) continued to look at Heiwa, watching him preform the technique.* - Mon Oct  5 04:59:31 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Mon Oct  5 05:00:22 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ...My body was feeling better. So I thought I'd just come here. - Mon Oct  5 05:00:22 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Hi Mammy, where did you go? - Mon Oct  5 05:00:22 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Oh. I just headed to my house. - Mon Oct  5 05:01:13 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Mammy? - Mon Oct  5 05:01:13 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: He has some weird nicknames. - Mon Oct  5 05:01:13 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Admired the laminated poster on my wall and stuff.... I also had to fix the doorknob. - Mon Oct  5 05:01:13 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Did you add a lock? - Mon Oct  5 05:01:13 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: For more...privacy? - Mon Oct  5 05:01:13 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: No, why? - Mon Oct  5 05:01:13 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I probably should, huh. - Mon Oct  5 05:02:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hi. - Mon Oct  5 05:02:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: To anwser your question. - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: The last doton user I know, died in this village to unknown causes. - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You wouldn't happen to know if there are Doton users in this village would you? - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Oh? - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Mhm. - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Unfortunate. - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I am a Doton user. - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Oh. - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Mamoru you fuckboy. - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Excellent. - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Though I don't major in it. - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ----------- - Mon Oct  5 05:04:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Wait. - Mon Oct  5 05:04:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I know you. - Mon Oct  5 05:04:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You're from the Private Exams. - Mon Oct  5 05:04:38 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I am. - Mon Oct  5 05:04:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I know a Doton Technique, yes. - Mon Oct  5 05:04:38 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You are the guy with the weapon who was a person. - Mon Oct  5 05:04:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: But it's not my jurisdiction to pass them out. - Mon Oct  5 05:04:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You should ask Lord Niza. - Mon Oct  5 05:04:38 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Mammy did the Private Exam? I bet Hideki wasn't brave enough.. - Mon Oct  5 05:04:38 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmmm. - Mon Oct  5 05:05:29 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: If he gives permission, I would be happy to give you my repertoire. - Mon Oct  5 05:05:29 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Last time I was here Niza kicked me out. - Mon Oct  5 05:05:29 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I was affiliated with Kirigakure then so he did not want me causing an uproar here. - Mon Oct  5 05:05:29 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Ah, I see..... - Mon Oct  5 05:05:29 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Just try once more. - Mon Oct  5 05:05:29 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I think the rage has calmed down. - Mon Oct  5 05:05:29 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I mean no harm by the way. - Mon Oct  5 05:05:29 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I understand, don't worry. - Mon Oct  5 05:05:29 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I'll ask him when I see him. - Mon Oct  5 05:06:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Alright. - Mon Oct  5 05:06:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Do tell me when you get permission. - Mon Oct  5 05:06:20 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Leech. - Mon Oct  5 05:08:03 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: An even trade, right? - Mon Oct  5 05:08:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: I wonder if that Kirigakure girl would be ticked off. - Mon Oct  5 05:08:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: I hope she understands that it's because the villages are different. - Mon Oct  5 05:08:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll teach you, sure. - Mon Oct  5 05:08:54 2015
<br><br><font color=yellow>*Hideki(Assassin241) was played for a fool, he got on his hands and knees and looked up, seeing a massive fireball decending down upon his being, sweat dripping from his face, however Heiwa stopped the technique before it progressed any further, Hideki looked around, and scratched his head. He looked at Heiwa. "...I said the fireball jutsu.." he stated rather annoyed that his nephew played a trick on him this whole time. However Heiwa's genjutsu prowess was indeed good, better than his or Ushinwa's for that matter. Which was a good thing.* - Mon Oct  5 05:08:54 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Huh? - Mon Oct  5 05:10:36 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: No, we're good. - Mon Oct  5 05:10:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Mon Oct  5 05:10:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I see. - Mon Oct  5 05:10:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Misa, did you want me to teach you now? - Mon Oct  5 05:11:28 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Oh, if you want. - Mon Oct  5 05:12:19 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Girl do yo- Oh right. *smirk* - Mon Oct  5 05:12:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Well. - Mon Oct  5 05:13:10 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Com'on. - Mon Oct  5 05:13:10 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm? - Mon Oct  5 05:13:10 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Are we going to your house? - Mon Oct  5 05:13:10 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Huh? - Mon Oct  5 05:13:10 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Uh, sure. - Mon Oct  5 05:13:10 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Alright, Bye Heiwa-Dear! - Mon Oct  5 05:13:10 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Bye, Misa! - Mon Oct  5 05:13:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Mon Oct  5 05:13:10 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Heiwa knows Misa? - Mon Oct  5 05:14:01 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Damn, where have I been. - Mon Oct  5 05:14:01 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Let's go. - Mon Oct  5 05:14:01 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Thanks to Heiwa's effort, the genjutsu was disabled on him.* - Mon Oct  5 05:14:01 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see. - Mon Oct  5 05:14:01 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Rest though, Heiwa.. - Mon Oct  5 05:14:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Your chakra is low. - Mon Oct  5 05:14:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Certainly. - Mon Oct  5 05:15:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Good. Did you like it? Even..if it wasn't the fireball jutsu. - Mon Oct  5 05:16:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah, it was good. - Mon Oct  5 05:16:35 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Think dad would be happy with it? - Mon Oct  5 05:18:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Your dad would be happy, Heiwa. - Mon Oct  5 05:18:17 2015
<br><br><font color=yellow>*Hideki(Assassin241) he ruffled up Heiwa's hair a little bit, as he crouched down getting near the young boys height. "What was the promise Mamoru made to you?" he asked rather curious. He didn't mind Heiwa talking to Mamoru, he saw Mamoru as a close friend. Although he didn't like Misa, she gave off bad vibes.* - Mon Oct  5 05:19:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: I can see everything. - Mon Oct  5 05:20:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: That guy from Suna...pffttt I feel bad for him poor guy. - Mon Oct  5 05:20:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Oh.... - Mon Oct  5 05:21:42 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see. - Mon Oct  5 05:21:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Tetsujin? - Mon Oct  5 05:22:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Well.. - Mon Oct  5 05:22:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'll be going to see what all is happening at the village square, then I'll be going to bed for the night, Heiwa. - Mon Oct  5 05:23:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Okay. Can I stay with you again for the night, Uncle Hideki? - Mon Oct  5 05:24:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Certainly. - Mon Oct  5 05:24:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: So they are related - Mon Oct  5 05:24:16 2015
<br><br><font color=yellow>*Hideki(Assassin241) heard the zipping of pants.* - Mon Oct  5 05:24:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: That guy just got lucky. - Mon Oct  5 05:25:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hi. - Mon Oct  5 05:25:07 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Hi. - Mon Oct  5 05:25:07 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yo. - Mon Oct  5 05:25:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hey. - Mon Oct  5 05:25:07 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Hey. - Mon Oct  5 05:25:07 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yo. - Mon Oct  5 05:25:07 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Why is everyone coming here.. - Mon Oct  5 05:25:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Are you coming along, Heiwa? - Mon Oct  5 05:26:49 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Where you guys going. - Mon Oct  5 05:26:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Village square. - Mon Oct  5 05:26:49 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What's up with the cloak. - Mon Oct  5 05:27:40 2015
