<br><font color=teal>*Komaru(JustCallMeGnar) says: S-Stop being so mean.. - Wed Oct  7 03:47:50 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Oh, that's Heiwa Ambrocio, make sure he's not harmed either. - Fri Oct  9 04:39:02 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: .... - Fri Oct  9 04:39:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Stay here for now, Heiwa. - Fri Oct  9 04:39:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I have to go do something. - Fri Oct  9 04:39:53 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: W-What? - Fri Oct  9 04:39:53 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: But..Mister Raikage.. - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You stay here Lyala. That's final. - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Same with you Heiwa. - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: --- - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: But... - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No. - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: I have to go, you can't d-- - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: .... - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: You can't just leave... what if the village needs the second higher up in command? You.  - Fri Oct  9 04:41:36 2015
<br><br><font color=yellow>*Nina(Ninasky115) just sat in her depression ball, her face covered up. She wouldn't even try to go. He didn't even let his family or his girlfriend go, so she knew she didn't even have a bit of a chance."* - Fri Oct  9 04:41:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Take me to her....I do what I wish, woman. - Fri Oct  9 04:41:36 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Hideki... don't do nothing craz--- Agh....please, I cannot loose anymore people. - Fri Oct  9 04:42:27 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: Go to her on your own. I have business to attend to. Go ahead and add to the kill count, see just how worse Kumogakure gets from it. - Fri Oct  9 04:42:27 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: There're right in the other bedroom. - Fri Oct  9 04:43:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It's already gone down to shit since Ushinawa died. - Fri Oct  9 04:43:18 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: Don't know who that is. - Fri Oct  9 04:43:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Shame. - Fri Oct  9 04:43:18 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: Gonna go see who's alive. - Fri Oct  9 04:43:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I won't go, Heiwa. I promise. - Fri Oct  9 04:43:18 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...... - Fri Oct  9 04:45:52 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: .... - Fri Oct  9 04:48:25 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ....I need to go and train. - Fri Oct  9 05:02:04 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: .. No you need to stay here. - Fri Oct  9 05:02:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm sick of staying in here. I want to go outside. - Fri Oct  9 05:02:04 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: You can go outside later. - Fri Oct  9 05:02:04 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Train here for all I care.. - Fri Oct  9 05:02:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...Do you think Uncle Hideki is okay? - Fri Oct  9 05:02:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't want to train here. I want to train somewhere else. - Fri Oct  9 05:03:47 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: He has to be.. - Fri Oct  9 05:03:47 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: He can take care of himself. - Fri Oct  9 05:03:47 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Train here. - Fri Oct  9 05:03:47 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Or don't at all. - Fri Oct  9 05:03:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I want to go out and make friends, make family. I can't do that stuck in a box. - Fri Oct  9 05:03:47 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: She's trying to get laid at that age? - Fri Oct  9 05:03:47 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Make friends here. - Fri Oct  9 05:03:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Pretty sure no one here's trying to be friends with a nine year old child except Heiwa. - Fri Oct  9 05:04:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: And he might not even like me. - Fri Oct  9 05:04:38 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Then talk to him.. - Fri Oct  9 05:04:38 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: I'm your friend. - Fri Oct  9 05:04:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Sure you are.... - Fri Oct  9 05:05:29 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Look, just let me go, it's not that big of a deal. - Fri Oct  9 05:05:29 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: You are staying here and that's final. - Fri Oct  9 05:05:29 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ...Mm. - Fri Oct  9 05:06:20 2015
<br><br><font color=teal>*Nina(Ninasky115) thinks: I hate this place.... - Fri Oct  9 05:07:12 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So.......friends. - Fri Oct  9 05:08:03 2015
<br><br><font color=teal>*Nina(Ninasky115) says: How's it going? - Fri Oct  9 05:08:03 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Good.. just, worried. - Fri Oct  9 05:10:36 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Come over here, Heiwa.. - Fri Oct  9 05:12:19 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Hey, let him go... I want him to be besides me. - Fri Oct  9 05:13:10 2015
<br><br><font color=yellow>*Nina(Ninasky115) sat around being lonely and bored. She'd sigh and just look down at the ground.* - Fri Oct  9 05:13:10 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You don't have to force yourself to talk to me. I'm used to being alone. - Fri Oct  9 05:17:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Just me I swear. - Fri Oct  9 05:20:51 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ...Hnnngh.. - Fri Oct  9 05:20:51 2015
<br><br><font color=yellow>*Nina(Ninasky115) sighed as she stood up from her seated position, moving over to the woman. Instead of sitting as close as Heiwa was, she'd sit at the foot of the bed, ber back against the back of the bed, just sitting around looking sad and alone.* - Fri Oct  9 05:20:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ....... - Fri Oct  9 05:22:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I came. - Fri Oct  9 05:22:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: To fuck. - Fri Oct  9 05:22:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Lyala. - Fri Oct  9 05:22:33 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ---- - Fri Oct  9 05:22:33 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ---- - Fri Oct  9 05:22:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Fri Oct  9 05:22:33 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: -- - Fri Oct  9 05:23:24 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: MAN - Fri Oct  9 05:23:24 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Hideki, you are alright? - Fri Oct  9 05:24:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah. - Fri Oct  9 05:24:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Fujitora and Kirie are here though. - Fri Oct  9 05:25:07 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Who are they? - Fri Oct  9 05:25:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Fujitora is my cousin. - Fri Oct  9 05:25:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However, Kirie is just....a friend. - Fri Oct  9 05:25:07 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Ohhh, yeah you did mention him before. - Fri Oct  9 05:25:07 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Theres another survivor of our clan though. - Fri Oct  9 05:25:07 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: Good thing, he didn't go do anything crazy.. - Fri Oct  9 05:25:07 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...... - Fri Oct  9 05:25:58 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Kirie is the white haired lady, right? - Fri Oct  9 05:25:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah. - Fri Oct  9 05:25:58 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I'm surprised Ambrocio didn't break any bones yet. - Fri Oct  9 05:25:58 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: He's improving. - Fri Oct  9 05:25:58 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Which is good. - Fri Oct  9 05:25:58 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: He's RPing now, everybody take cover. - Fri Oct  9 05:26:49 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: omit - Fri Oct  9 05:26:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Fri Oct  9 05:26:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You good Ambrocio? - Fri Oct  9 05:26:49 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Fine. - Fri Oct  9 05:26:49 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...Can I go now? I feel out off place here. Nothing but family and friends here, and I feel like that random girl. - Fri Oct  9 05:27:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Besides, I need to train, pretty hard. - Fri Oct  9 05:27:40 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: But you are none of that, you are part of us now. - Fri Oct  9 05:27:40 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Fri Oct  9 05:27:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: If you want to train Nina, I suggest you be careful. - Fri Oct  9 05:27:40 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: A friend. - Fri Oct  9 05:27:40 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Bitch I ain't apart of you. - Fri Oct  9 05:27:40 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Omit - - Fri Oct  9 05:27:40 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: AMBROCIO IM GON FUCK YOU UP - Fri Oct  9 05:27:40 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: . - Fri Oct  9 05:27:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: For how long? - Fri Oct  9 05:28:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ....So, what am I apart of exactly? - Fri Oct  9 05:30:14 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: You are our friend. - Fri Oct  9 05:30:14 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: So, our group. - Fri Oct  9 05:30:14 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Yeah, sure. - Fri Oct  9 05:30:14 2015
<br><br><font color=teal>*Nina(Ninasky115) says: But I really would like to go and train, I'm not losing anyone else. - Fri Oct  9 05:30:14 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: If you want to train.. you can go. - Fri Oct  9 05:31:05 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: But just becareful, alright? - Fri Oct  9 05:31:05 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Be careful of whom? - Fri Oct  9 05:31:05 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: .... - Fri Oct  9 05:31:05 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Just, becareful. If you see anything suspicious or dangerous, send a letter or run to us. - Fri Oct  9 05:31:56 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: My iphone is not charged, so u cant call me. - Fri Oct  9 05:31:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Fri Oct  9 05:31:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Sorry, only galaxy's around me. - Fri Oct  9 05:31:56 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Nigga using Iphones, Get a Galaxy Note 5.  - Fri Oct  9 05:31:56 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: That shit is whats fly. - Fri Oct  9 05:31:56 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Omit - - Fri Oct  9 05:31:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Would anyone like to come with me? - Fri Oct  9 05:32:48 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ........ - Fri Oct  9 05:32:48 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ......................... - Fri Oct  9 05:32:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Anybody? It's more fun to train with more than one person. - Fri Oct  9 05:33:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You won't train with Ambrocio. - Fri Oct  9 05:33:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: And not with Heiwa either. - Fri Oct  9 05:33:39 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Fighting Heiwa would just be unfair. - Fri Oct  9 05:33:39 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) thinks: ..Heh.. - Fri Oct  9 05:33:39 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Lyala, is your arm better? - Fri Oct  9 05:33:39 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So what you're saying is I'm just not training with anyone, gotcha... - Fri Oct  9 05:33:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: For right now, you won't be. - Fri Oct  9 05:34:30 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Yeah... I'll be fine, Heiwa.~ - Fri Oct  9 05:34:30 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Just don't worry about me, much, mkay? - Fri Oct  9 05:34:30 2015
<br><br><font color=yellow>*Nina(Ninasky115) decided not to say anything. She simply stood up from her position and walked out towards the door, assuming she wouldn't be stopped.* - Fri Oct  9 05:34:30 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Omit - - Fri Oct  9 05:37:55 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I don't want anybody else to get hurt. - Fri Oct  9 05:37:55 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Fri Oct  9 05:41:20 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: JOHN CEEENAA! - Fri Oct  9 05:41:20 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: ....I feel so in charge. - Fri Oct  9 05:43:02 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Killing Himura has changed things. - Fri Oct  9 05:43:02 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Omit - - Fri Oct  9 05:43:02 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: You can sleep with, Hideki, Heiwa. - Fri Oct  9 05:43:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Fri Oct  9 05:43:53 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What about me?? - Fri Oct  9 05:43:53 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ... - Fri Oct  9 05:45:36 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: --- - Fri Oct  9 05:46:27 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: We ain't fina play who take what bed and shit. People in hell want icewater but they can't get it, so one of yall best get to the bed and sleep befo I fuck you all up. - Fri Oct  9 05:46:27 2015
<br><br><font color=yellow>*Nina(Ninasky115) was still wondering where she fit in in this family, where does she sleep at? Hopefully it isn't the closet.* - Fri Oct  9 05:47:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No, you sleep on the bed. Final answer Heiwa. - Fri Oct  9 05:47:18 2015
<br><br><font color=yellow>*Nina(Ninasky115) hops on the bed and curls up. She'd gladly take the bed because she was a weak, dependant white woman.* - Fri Oct  9 05:48:09 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hello. - Fri Oct  9 14:23:34 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hi Nina. - Fri Oct  9 14:23:34 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hiya. Want to help me train today? - Fri Oct  9 14:24:25 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Uh, Sure I guess. - Fri Oct  9 14:25:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: What do you want help with? - Fri Oct  9 14:25:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Umm... - Fri Oct  9 14:26:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't know. I mastered all of the jutsu I know.... - Fri Oct  9 14:26:08 2015
<br><br><font color=teal>*Nina(Ninasky115) thinks: Which was only one to begin with... - Fri Oct  9 14:26:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: What elements are you able to manipulate, Nina? - Fri Oct  9 14:26:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Apart from that wind jutsu. - Fri Oct  9 14:26:59 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Only wind, but Takeda said he'll help me learn another one!~ - Fri Oct  9 14:26:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: His arsenal is greater than mines so it's best you train with him. - Fri Oct  9 14:28:41 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Uh...Well i'm not sure that's true but... - Fri Oct  9 14:34:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I have still yet to train my own wind jutsu, So I can't teach you yet. - Fri Oct  9 14:35:31 2015
