<br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) Boxer and big eater* - Mon Nov  2 22:10:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: War. - Tue Dec  8 07:34:49 2015
<br><br><font color=teal>*Rias(LionHunter) says: Thak you Trill, Yes this is my office... who are you again?; Osuda these are shinobi and guards from Suna to help us if we are attacked - Tue Dec  8 07:34:49 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: I kind of want in on this..I bet the others will want in on it too. It'll be an adventure! - Tue Dec  8 07:35:40 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Excuse me, may I have your name? I just can't keep looking at your beauty without knowing who you are. - Tue Dec  8 07:36:32 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) says: .... - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Don't you think all of this is a little unecessary? - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Hrm? Asteroth. Why? - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm... I don't think so, little Izanami. - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Aww... the mean woman didn't kill him with her meanie rays!!!! - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: It'll be great!~ - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: What a beautiful name to match a splendid craft of human perfection. - Tue Dec  8 07:38:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: It's reasonable people will get angry. It's like Sunagakure is the adult that forcefully holds unto their childs hand and tells them what to do even though they are old enough to make their own decesions. - Tue Dec  8 07:38:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I don't think they should be punished for trying to be themselves. - Tue Dec  8 07:38:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: The real problem is why is Sunagakure still holding the hand of Kumogakure? - Tue Dec  8 07:38:14 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I recall a situation like this before a few years ago. Just the sides were switched. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: The way I see it, this is only making a problem bigger then it already is. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They clearly want their independence.. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Anyway, it's bad manners for me to not state my name. I'm Tetsu.  - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I say instead of trying to solve things violently, we come to a consensus and allow them their freedom. It's not another villages place to control another village..it only causes problems. - Tue Dec  8 07:39:56 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: From what my gramps told me Kumo is nothing but a lnad full of farmers. - Tue Dec  8 07:40:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah... a peaceful solution was the original plan. - Tue Dec  8 07:40:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Then Riots. - Tue Dec  8 07:40:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Anyway... - Tue Dec  8 07:40:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I don't much care what they want, anyway. - Tue Dec  8 07:40:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: It'll be fun if they resist... - Tue Dec  8 07:40:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *Sigh* - Tue Dec  8 07:40:48 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: I mean If that dont wanna farm no more then they should pay us for all the goods and stuff we provided. - Tue Dec  8 07:41:39 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Guess it can't be helped.. - Tue Dec  8 07:41:39 2015
<br><br><font color=teal>*Rias(LionHunter) says: Now we wait... - Tue Dec  8 07:41:39 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Wait for what exactly? - Tue Dec  8 07:42:30 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Kumo's response. - Tue Dec  8 07:42:30 2015
<br><br><font color=teal>*Rias(LionHunter) says: Wait for a rebuttle - Tue Dec  8 07:42:30 2015
<br><br><font color=teal>*Rias(LionHunter) says: Hopefully we will reach a peaceful agreement - Tue Dec  8 07:43:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They didn't ask to be invaded. - Tue Dec  8 07:43:21 2015
<br><br><font color=teal>*Rias(LionHunter) says: This is what happens when you face a powerful nation - Tue Dec  8 07:43:21 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: They didn't ask to be burried to the ground either, but it happened. War is war. - Tue Dec  8 07:43:21 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: It cant be helped. - Tue Dec  8 07:45:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: It's just human nature to want what you normally can't have.. - Tue Dec  8 07:45:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Dominance over others translates to security and power for other nations. - Tue Dec  8 07:45:04 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) says: comfty...-omit- - Tue Dec  8 07:47:37 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: So Rias this is what you do all day now? - Tue Dec  8 07:47:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Tue Dec  8 07:48:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So..that is how it is justified? - Tue Dec  8 07:49:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Pretty twisted, don't you think? - Tue Dec  8 07:49:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Does it need a justification? - Tue Dec  8 07:49:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: And if it's twisted, who cares..? - Tue Dec  8 07:49:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: It's the way the world is.~ - Tue Dec  8 07:49:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I suppose if that's how you want to see things.. - Tue Dec  8 07:50:11 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: War is war. - Tue Dec  8 07:50:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: With people like this..the world shall be stained..~ - Tue Dec  8 07:50:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Reality is a funny and fragile thing.  - Tue Dec  8 07:51:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: So susceptable to change yet so cemented in place.  - Tue Dec  8 07:51:53 2015
<br><br><font color=teal>*Rias(LionHunter) says: ... - Tue Dec  8 07:51:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Tue Dec  8 07:52:44 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) says: War is the father of al things... Heraclitus. - Tue Dec  8 07:54:27 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: War! Huh! Whaaat is it good for? The economy and science!  - Tue Dec  8 07:54:27 2015
<br><br><font color=teal>*Rias(LionHunter) thinks: Are you fucking serious? - Tue Dec  8 07:56:09 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Yet they don't listen again. - Tue Dec  8 07:57:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Typical. - Tue Dec  8 07:57:52 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: hows it oging Geo due. - Tue Dec  8 07:58:43 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: I thought youd be making Hiro crazy by now. - Tue Dec  8 07:58:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: They don't get it.. - Tue Dec  8 08:00:25 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'm not attacking. - Tue Dec  8 08:02:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I shall defend. - Tue Dec  8 08:02:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Great! - Tue Dec  8 08:02:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I shall by no means attack. - Tue Dec  8 08:02:59 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I wish to see not a single death among all of this. - Tue Dec  8 08:02:59 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) says: I understand Izanami. - Tue Dec  8 08:03:50 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Well, if you guys need any weapons, come to me. I've got contacts. - Tue Dec  8 08:03:50 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Tue Dec  8 08:04:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're..clearly troubled. - Tue Dec  8 08:04:41 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: The guy... was probably a spy.. Oh boy... they're really blind.. or really stupid.. - Tue Dec  8 08:04:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Maybe!~ - Tue Dec  8 08:04:41 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) says: Rias? Do you wish to aide us? - Tue Dec  8 08:04:41 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Trilliam, you must understand that if you attack these people. - Tue Dec  8 08:04:41 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You're only making things worse. - Tue Dec  8 08:04:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Izanami. - Tue Dec  8 08:04:41 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Worse for humanity. - Tue Dec  8 08:04:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Your personal feelings are second to our orders, y'know. - Tue Dec  8 08:04:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Sanoke has ordered us to attack. - Tue Dec  8 08:05:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: So... we're gonna attack. - Tue Dec  8 08:05:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Those orders stem from personal feelings. - Tue Dec  8 08:05:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hrm? Oh, Trill, you know this guy? Cool. - Tue Dec  8 08:05:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hrm?.. No, they stem from political decisions. - Tue Dec  8 08:05:32 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) says: Izanami if they wished for peace they would have sent an ambassador. - Tue Dec  8 08:05:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Not.. personal feelings. - Tue Dec  8 08:05:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You don't solve violence with more violence. - Tue Dec  8 08:05:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You're only adding more coal to the fire that has been slowly kindling. - Tue Dec  8 08:06:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yeah, but destroying the firewood and harvesting it's soul definitly stops the fire from being possible! - Tue Dec  8 08:07:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: These people deserve to make their own choices.  - Tue Dec  8 08:07:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: All this...bloodshed can be avoided. - Tue Dec  8 08:07:15 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) says: Negotiation is in order, but their threats threaten more than lives of the present, but the futre.. - Tue Dec  8 08:07:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: And Sunagakure isn't making threats back? - Tue Dec  8 08:07:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: That announcement Rias made was nothing other then a threat. - Tue Dec  8 08:08:06 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: How else would you expect them to respond? - Tue Dec  8 08:08:06 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Tue Dec  8 08:08:06 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Don't be a lap dog, look out for human life, not just the lives of those you know.  - Tue Dec  8 08:08:06 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) says: ..... - Tue Dec  8 08:08:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: That contrasts greatly from what she initially told me.. - Tue Dec  8 08:09:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: Gotta shut the bitch up. Gotta shut the bitch up. - Tue Dec  8 08:09:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: Holy shit I need to get to this war already. - Tue Dec  8 08:09:48 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) whispers: The letter asked me to request assistance from you.  - Tue Dec  8 08:09:48 2015
<br><br><font color=teal>*Rias(LionHunter) whispers: Hmm? - Tue Dec  8 08:10:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: --.... - Tue Dec  8 08:11:31 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) whispers: The Lord reuested your aide. But I presume that's your choice.  - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Rias(LionHunter) whispers: Aide where? - Tue Dec  8 08:13:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Tue Dec  8 08:13:13 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) whispers: Kumo.. we are heading there now. - Tue Dec  8 08:13:13 2015
<br><br><font color=teal>*Rias(LionHunter) whispers: Im coming... - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: Hah! The orders argument always works. - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Orders.... - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm.. - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Are we to abandon our posts? - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Lady Hokage.. - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: If you were ordered to slay your family. - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Would you? - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: We are not participating in this war, correct? - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: My family? - Tue Dec  8 08:14:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm.. - Tue Dec  8 08:14:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: It's an order..right? - Tue Dec  8 08:14:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I took the necessary precautions for that not to be a situation. - Tue Dec  8 08:14:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Correct. - Tue Dec  8 08:15:47 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Sanoke sent us a letter ordering us to mobilize. - Tue Dec  8 08:15:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: So everyone here, would you fit the mold...and kill because it was an order, no matter who it was?  - Tue Dec  8 08:15:47 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Izanami. - Tue Dec  8 08:15:47 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I am the wrong person to ask that. - Tue Dec  8 08:15:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I realize that now. - Tue Dec  8 08:15:47 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: 'Cus I kinda /want/ to do this. - Tue Dec  8 08:15:47 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) says: This is different. This an alliance.. Kumo has opted out sadly we can't afford that.  - Tue Dec  8 08:16:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They simply want their freedom. - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Too bad. - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They have served Sunagakure long enough.. - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Sanoke says they can't have it. - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: So they can't. - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Unless they can fight for it.. - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Unless they can struggle hard enough to earn it through sweat and blood.. - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: He's always crying... - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Freedom will elude them. - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: And even if they do..? - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Freedom is just an illussion. - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) says: If my word means anything if this was diplomatically done Sanoke would have no problem. - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Also true. Diplomacy was the plan until they started rioting violently in the streets.. Ah, well. - Tue Dec  8 08:18:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hokage. - Tue Dec  8 08:18:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: We meetin you at the gate to head out? - Tue Dec  8 08:18:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Got a time frame? - Tue Dec  8 08:18:20 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Kumo isnt far... just get ready and get there - Tue Dec  8 08:20:03 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hokage. - Tue Dec  8 08:20:03 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: We should all move at once. - Tue Dec  8 08:20:03 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: If we jsut trickle in? - Tue Dec  8 08:20:03 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: We'll be cut down one by one. - Tue Dec  8 08:20:03 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: No we will all leave Konoha at one - Tue Dec  8 08:20:54 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Atta Girl. - Tue Dec  8 08:20:54 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I do intend on helping. I owe a great deal to your village.. - Tue Dec  8 08:20:54 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I see. It'll be a pleasure and an honor working with you, the. - Tue Dec  8 08:20:54 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: ...... - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Nothing good will come of this...nothing... - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Osuda, I know we have differing opinions but I need you to protect village with your life  - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Lady Hokage.. - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: ..... - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: There is no will left in this room.. - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Yes? - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: We must talk.. - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Later ok? - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Iza... - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: This war is foolish.. - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Im not going to war... I telling you now... - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You told me that you wouldn't eat from the hand that raised you. - Tue Dec  8 08:24:19 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Please dont look at me like that. - Tue Dec  8 08:24:19 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Did.. She really leave me with the kid?.. Now she's going off to war? Ughhh... - Tue Dec  8 08:24:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You clearly are.. - Tue Dec  8 08:24:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If anything..you'll just serve as a distraction for Sunagakure. - Tue Dec  8 08:24:19 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Ma'am.. May I have a word with you before you go? Privately? - Tue Dec  8 08:24:19 2015
