<br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Fuckk.. I have nooothing.. - Mon Dec  7 09:02:17 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) slowed her pace a bit and back peddled as he easily avoided her attack, she was useless far away but if he got ahold of her she was fucked.* - Tue Dec  8 05:23:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Erg... - Tue Dec  8 05:25:58 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) kept running backwards, she didn't know what else to do.* - Tue Dec  8 05:28:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Ugh... - Tue Dec  8 05:31:05 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Fucking bullshit. - Tue Dec  8 05:31:05 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: This game sucks. - Tue Dec  8 05:31:05 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) just hung there doing nothing, it was pointless to fight back.* - Tue Dec  8 05:31:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hmph. - Tue Dec  8 05:31:56 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) looked up to him with a jutted out lower lip and felt the shiver of enjoyment as his hand rubbed over he cheek.* - Tue Dec  8 05:34:30 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) smiled faintly and weak as she pushed her forehead agains this own. "Did you miss me terribly?"* - Tue Dec  8 05:40:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Did you do any training? - Tue Dec  8 05:41:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Half ass'd like I said, but yeah. - Tue Dec  8 05:41:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: And no letteeeeeers. - Tue Dec  8 05:42:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: You are such a dick.~ - Tue Dec  8 05:42:11 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Aww come on.~ - Tue Dec  8 05:42:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: It's alright, it's oddly sweet...for us. - Tue Dec  8 05:43:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Savages don't write letters. - Tue Dec  8 05:43:02 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Mhm.~ - Tue Dec  8 05:43:53 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: They just make up for lost time. - Tue Dec  8 05:43:53 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) tried to lift off her heels to finish the kiss.* - Tue Dec  8 05:44:44 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) whined out and then kissed him deeply as a set of hands run up along his chest and behind his neck with the fingertips lingering into his hairline. Her other two sets of arms wrapping around his waist and holding onto his hips.  Pulling away not long after the kiss had began, "what do you want then, you won technically."* - Tue Dec  8 05:47:18 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) rubbed her lips together a bit, "You already had me silly.~"* - Tue Dec  8 05:53:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Sort of wasting your win.~ - Tue Dec  8 05:55:50 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) flushed faintly and looked away.* - Tue Dec  8 05:56:41 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: You know what to say if you get -that- feeling.. - Tue Dec  8 05:58:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: You're still in control right now.~ - Tue Dec  8 05:59:15 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I am? - Tue Dec  8 05:59:15 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Of course. - Tue Dec  8 06:00:06 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Right now.~ - Tue Dec  8 06:00:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: When are you going to take my control away? - Tue Dec  8 06:00:57 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Don't know yet. Soon though.~ - Tue Dec  8 06:01:48 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) flushed faintly, "Wh-where at?"* - Tue Dec  8 06:02:40 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Mmmmm.. - Tue Dec  8 06:04:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Don't know.. - Tue Dec  8 06:04:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Here is out of the question? - Tue Dec  8 06:05:13 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) shrugged weakly and looked away with a heavy blush.* - Tue Dec  8 06:05:13 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) widened her eyes and jerked against him in surprise at the pressing of his fingers between her clothing and her bum. She panted out a breath as he kissed her neck, "y-you want -that- don't you?"* - Tue Dec  8 06:08:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .. - Tue Dec  8 06:13:45 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Y-you know what I mean, S-sogeki. - Tue Dec  8 06:13:45 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) whined out faintly as he pulled her closer and she began to worry a bit.* - Tue Dec  8 06:13:45 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Mhm.~ - Tue Dec  8 06:17:10 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: S-so are you gonna stop playing around or say what you want? - Tue Dec  8 06:18:01 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I did though.~ - Tue Dec  8 06:19:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I said 'you'. - Tue Dec  8 06:19:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Okay, Mr. Vague. - Tue Dec  8 06:22:17 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) tried to pull away, "Maybe you don't get anything since you are being so cheeky with your games.~"* - Tue Dec  8 06:23:08 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) gasped as she was quickly spun and nearly tripped over her own feet out of surprise. When his head rested on her shoulder she peered at him from the corner of her eyes and gulped hard at his words with a sudden inhale of breath and a long shudder throughout her body.* - Tue Dec  8 06:26:33 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) began to breathe again at a slow pace. "Nngn.. I told you that you won, i-it's... okay.. but.. just be careful, I don't know about out here.. if someone saw us... I think I would die."* - Tue Dec  8 06:31:40 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) groaned and her knee's went weak as she pressed back into his body. She hadn't even realized his hands were halfway up her shirt by the time she came back to the ground from feeling high just from a simple kiss to her ear. As his hands cupped her bra covered breasts she parted her lips and leaned her head back against his chest as she tried to ignore the nerves and any sensations of wanting things to stop, she had for the most part entered a mentality that when Sogeki touched her it was okay... after all it had been a long time.* - Tue Dec  8 06:42:46 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) squirmed back against him as he slipped his hand down her pants and into her panties. She looked around nervously and kept a look out as her hands hung at her sides and one set was back and holding onto his hips as she panted out and gave tiny moans out. He was getting louder ones once and a while but as soon as he eased back she forced herself to quiet down so she could feel more. "Nngng..." groaning out as he continued to toy with her body and Kari whispered out in a forced whine, "I-i thought w-we weren't going to do it here?" Course, Sogeki never agreed to leave....* - Tue Dec  8 07:10:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: LOL - Tue Dec  8 07:57:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It sounds like a lot is going on.... - Tue Dec  8 08:05:32 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Yeah.. - Tue Dec  8 08:05:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Should we go up there?---...crap.. I can't help... - Tue Dec  8 08:05:32 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I'll.. go. - Tue Dec  8 08:05:32 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Just.. stay clear. - Tue Dec  8 08:06:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yeah, okay... - Tue Dec  8 08:06:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Stay safe. - Tue Dec  8 08:06:24 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) reached out for his hand and pulled him back for a deep kiss as she pressed up against him with passion and longing. After the kiss was given she gave him another small peck and whispered again, "be a savage for me, handsome."* - Tue Dec  8 08:07:15 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) rolled her eyes.* - Tue Dec  8 11:54:14 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: EH!? - Tue Dec  8 11:55:05 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ARE YOU REAL!? - Tue Dec  8 11:55:05 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .....yeah? - Tue Dec  8 11:55:05 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ............ - Tue Dec  8 11:55:05 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Prove it. - Tue Dec  8 11:55:05 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It's only been a week, Tsu-san. - Tue Dec  8 11:55:05 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ........... - Tue Dec  8 11:55:05 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Er... - Tue Dec  8 11:55:56 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Okay I'll believe you for now! - Tue Dec  8 11:55:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Are you high? - Tue Dec  8 11:55:56 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ------ - Tue Dec  8 11:55:56 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: Who told you about my stuff..? - Tue Dec  8 11:56:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Tue Dec  8 11:56:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: You should stop smoking, Tsu-san. - Tue Dec  8 11:56:48 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ..... - Tue Dec  8 11:56:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Bad for your brain. - Tue Dec  8 11:56:48 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: !!!!!!!!!!! - Tue Dec  8 11:56:48 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: Who told you that bullshit! - Tue Dec  8 11:56:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...No one? - Tue Dec  8 11:56:48 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I'm probably the smartest guy you know! - Tue Dec  8 11:56:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It's obvious how high you are. - Tue Dec  8 11:57:39 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ...Eh..? - Tue Dec  8 11:57:39 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Seriously..? - Tue Dec  8 11:57:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .....yeah. - Tue Dec  8 11:57:39 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) looked at his finger and then back to him. She veered back away from the finger, "what do you mean a bit more 'me'?"* - Tue Dec  8 12:00:12 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) leaned back more but then her head hit the vending machine and she was stuck. Squinting out to him she sneered at the boy's comment. "Are you trying to say I'm glowing...."* - Tue Dec  8 12:04:28 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) squinted and then aimed to headbutt him with her forehead against his bridge of nose.* - Tue Dec  8 12:07:53 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Mizumi likes it this rough!? - Tue Dec  8 12:12:09 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) yawned soon after revealing her very sharp canines.* - Tue Dec  8 12:12:09 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: She's.. dangerous! - Tue Dec  8 12:12:09 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Wait.. what if he leaned it to make me drool on her.. - Tue Dec  8 12:13:00 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: NO! I MISSED MY CHANCE! - Tue Dec  8 12:13:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....Redo? - Tue Dec  8 12:13:52 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Mhm! You tricked me and I missed my chance! - Tue Dec  8 12:13:52 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Redo! - Tue Dec  8 12:13:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...your chanc? - Tue Dec  8 12:13:52 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: MMMMM..HMMMMMMMMMMMMMM! - Tue Dec  8 12:13:52 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Wait... - Tue Dec  8 12:14:43 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Wait... - Tue Dec  8 12:14:43 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Why would headbutting me cause me to dro- - Tue Dec  8 12:14:43 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: WHOA! - Tue Dec  8 12:14:43 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: THEY PROBABLY KISSED! - Tue Dec  8 12:15:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ......you want to get headbutted again? - Tue Dec  8 12:15:34 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: THAT'S HOW HIS DROOL GOT ON HER! - Tue Dec  8 12:15:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Tue Dec  8 12:15:34 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: I thought.. we were friends.. - Tue Dec  8 12:18:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...we are? - Tue Dec  8 12:18:08 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: Then.. - Tue Dec  8 12:19:50 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: Why... - Tue Dec  8 12:19:50 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Do you.. - Tue Dec  8 12:19:50 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .............................. - Tue Dec  8 12:19:50 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) reached out and tried to slap him.* - Tue Dec  8 12:19:50 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: *sniff* *sniff* - Tue Dec  8 12:23:15 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Don't you DARE. - Tue Dec  8 12:23:15 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Give me shit right now. - Tue Dec  8 12:23:15 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ....... - Tue Dec  8 12:24:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I ain't go through the shit I go through to have little fuckers like you, friends or not, spouting about how I'm a liar. - Tue Dec  8 12:24:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .....did I make you cry? - Tue Dec  8 12:24:57 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: *sniff* ..n-no! - Tue Dec  8 12:25:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Shit..... - Tue Dec  8 12:25:48 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I.. *sniff*.. I.. just got something in my eye! - Tue Dec  8 12:25:48 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) grumbled and sighed out as she looked to the East away from him. "Sorry...."* - Tue Dec  8 12:25:48 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: No you're not! - Tue Dec  8 12:25:48 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I was just trying to get my chance back! - Tue Dec  8 12:26:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ..... - Tue Dec  8 12:26:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Look, a lot of shit happened. - Tue Dec  8 12:27:31 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I'm tired of being pointed at and having the words 'liar' screamed at me. - Tue Dec  8 12:27:31 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I didn't know..! I would've left you alone! I-I.. wouldn't do that to a friend! - Tue Dec  8 12:27:31 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You know I don't like you calling me a liar... I never had. - Tue Dec  8 12:28:22 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: *sniff* - Tue Dec  8 12:28:22 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: What 'chances'? - Tue Dec  8 12:29:13 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: You suggested that you wanted me to drool on you! Then when I asked you if you're sure, you head-.. you leaned in to give me my chance! But I didn't understand and I took the hit to my nose! - Tue Dec  8 12:29:13 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Then when I figured out that you leaning in was my chance, that must've been how Mizumi.. drooled on you! - Tue Dec  8 12:30:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .....I didn't say you could drool on me.... - Tue Dec  8 12:30:04 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ............................. - Tue Dec  8 12:30:04 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: B-But... - Tue Dec  8 12:30:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: And I leaned -away- from you. - Tue Dec  8 12:30:04 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: .....Eh..? - Tue Dec  8 12:30:56 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Did she lean away from me..? - Tue Dec  8 12:30:56 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Then what hit me!? - Tue Dec  8 12:30:56 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: You're not a liar! - Tue Dec  8 12:30:56 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I was tricked by a ghost or so- - Tue Dec  8 12:30:56 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: G-Ghost... - Tue Dec  8 12:30:56 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: G-G-Ghost!! - Tue Dec  8 12:31:47 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Dude are you alright? - Tue Dec  8 12:31:47 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: SHHH!!! - Tue Dec  8 12:31:47 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: They.. can hear us! - Tue Dec  8 12:31:47 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Tue Dec  8 12:32:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Stop acting crazy. - Tue Dec  8 12:32:38 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: Shhh! - Tue Dec  8 12:32:38 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: We have ghosts! - Tue Dec  8 12:32:38 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: That must've been what hit me! - Tue Dec  8 12:32:38 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: And make me think you the one that hit me! - Tue Dec  8 12:32:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: No -I- hit you. - Tue Dec  8 12:32:38 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: I know there's a medical term for it- - Tue Dec  8 12:32:38 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Eehh? - Tue Dec  8 12:33:29 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: But.. you just told me you leaned away.. - Tue Dec  8 12:33:29 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Wait... - Tue Dec  8 12:33:29 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: You have another head? - Tue Dec  8 12:33:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yeah I was leaning away a lot and then you leaned in and then you said something weird so I headbutted you. - Tue Dec  8 12:33:29 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ...Holy shit... - Tue Dec  8 12:34:20 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: So.. Wait- - Tue Dec  8 12:34:20 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Ohhhhhhhhh. - Tue Dec  8 12:34:20 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Okay, I understand. - Tue Dec  8 12:34:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Why are you SO stupid? - Tue Dec  8 12:34:20 2015
