<br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Doing what must be done.. It isn't just the people that want this, but the shinobi, and I. - Tue Dec  8 06:53:00 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: That's why he remain shut with the things he was doing as a kage and why he regret taking such a role...*sigh* - Fri Dec 11 04:48:51 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Who was Konoha's leader during that time? - Fri Dec 11 04:48:51 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: without an right arm - Fri Dec 11 21:54:04 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Mita. - Fri Dec 11 22:00:54 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Hmmm? - Fri Dec 11 22:01:45 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Up for some training? - Fri Dec 11 22:01:45 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Yea, Sure. - Fri Dec 11 22:01:45 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Any kind in particular? - Fri Dec 11 22:01:45 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Nope. - Fri Dec 11 22:01:45 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Spar it is then. - Fri Dec 11 22:02:36 2015
<br><br><font color=teal>*Mitsunara(SephirothCaged) says: ....Well, that was a mess.. - Sat Dec 12 02:10:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Well - Sat Dec 12 02:10:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Since that is said and done. - Sat Dec 12 02:10:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Tell me about it. . .  - Sat Dec 12 02:10:04 2015
<br><br><font color=teal>*Mitsunara(SephirothCaged) says: Well.. - Sat Dec 12 02:10:04 2015
<br><br><font color=teal>*Mitsunara(SephirothCaged) says: Everyone's Anus's secure? - Sat Dec 12 02:10:04 2015
<br><br><font color=teal>*Mitsunara(SephirothCaged) says: yeah? - Sat Dec 12 02:10:04 2015
<br><br><font color=teal>*Mitsunara(SephirothCaged) says: Then we're done here. - Sat Dec 12 02:10:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yup. - Sat Dec 12 02:10:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Guess so. - Sat Dec 12 02:10:56 2015
<br><br><font color=teal>*Mitsunara(SephirothCaged) says: Kazekage-Sama-Senpai-Sensei-San-Kun-Chan. - Sat Dec 12 02:10:56 2015
<br><br><font color=teal>*Mitsunara(SephirothCaged) says: Anything else need doin? - Sat Dec 12 02:10:56 2015
<br><br><font color=teal>***KazeKage**(Akainu_Hellhound) says: lagging hard - Sat Dec 12 02:10:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Rather quiet around here.. - Sat Dec 12 11:47:47 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: I wouldn't mind a quick match.. - Sat Dec 12 11:47:47 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: Is he talking to me? - Sat Dec 12 11:49:29 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Takuma.. - Sat Dec 12 13:21:39 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Care to spar? - Sat Dec 12 13:21:39 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Sure, was going to ask if someone could spar me for one of my missions. - Sat Dec 12 13:21:39 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Sat Dec 12 13:22:30 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . .Actually, give me like. . . - Sat Dec 12 13:22:30 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Thirty minutes. - Sat Dec 12 13:22:30 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Hey Rai-san. - Sat Dec 12 13:25:55 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hello, Menma. - Sat Dec 12 13:25:55 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: *Throat* - Sat Dec 12 13:28:28 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: How've you been? - Sat Dec 12 13:31:02 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I've been well. - Sat Dec 12 13:32:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You? - Sat Dec 12 13:32:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Bout time you show up! - Sat Dec 12 13:32:44 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: It would appear I am not th only one that greets him with agression. - Sat Dec 12 13:34:27 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Bout time you show up! - Sat Dec 12 13:37:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: afk - Sat Dec 12 13:37:00 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: STOP IN THE NaME OF aLL THaT IS GOOD! - Sat Dec 12 13:37:00 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Rebelling? Now why would they do that? - Sat Dec 12 13:52:22 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I've been under the impression we've been doing well. - Sat Dec 12 13:52:22 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Or perhaps I am wrong? - Sat Dec 12 13:52:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: It's moreso them trying to make a name for themselves.. in the wrong way. - Sat Dec 12 13:54:04 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ...Yeah, they'd have no reason to do so... They go about things all wrong.. If glory is what they truly desire they shouldve never become shinobi. - Sat Dec 12 13:54:04 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It seems the motto. - Sat Dec 12 13:54:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Serve from the shadows means nothing. - Sat Dec 12 13:54:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: To some it's the 'shadows' aspect. - Sat Dec 12 13:54:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: True. - Sat Dec 12 13:55:47 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Yo. - Sat Dec 12 13:56:38 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: He is a man. - Sat Dec 12 14:00:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Who I know little about. - Sat Dec 12 14:00:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: To be honest. - Sat Dec 12 14:00:03 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Yo, Raikage, been awhile. - Sat Dec 12 14:00:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It has. - Sat Dec 12 14:01:45 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I heard you put up a fight against Suna? - Sat Dec 12 14:02:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Fairly accurate. - Sat Dec 12 14:03:28 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Only it wasn't just me. - Sat Dec 12 14:03:28 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Oh? - Sat Dec 12 14:03:28 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You could say that it was my men who did most of the fighting, I only directed them. - Sat Dec 12 14:03:28 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I see. - Sat Dec 12 14:03:28 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Of course I fought as well. - Sat Dec 12 14:03:28 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I'm sorry I couldn't make it fast enough. - Sat Dec 12 14:04:19 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I was actually planning on coming to help you. - Sat Dec 12 14:04:19 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It's fine.. They are no longer a problem. - Sat Dec 12 14:04:19 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Tch. Perhaps I should have stayed in Kumo all those years ago. - Sat Dec 12 14:05:10 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: You guys seem to have all the fun. - Sat Dec 12 14:05:10 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: t - Sat Dec 12 14:06:01 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Not fun... - Sat Dec 12 14:06:01 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Oh? - Sat Dec 12 14:06:01 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Was a simple joke. - Sat Dec 12 14:06:01 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ...Mmm. - Sat Dec 12 14:07:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Where have you been all these years? - Sat Dec 12 14:07:44 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Everywhere of course. - Sat Dec 12 14:07:44 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Do you really think I'd hold myself to one place? - Sat Dec 12 14:07:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Yes. - Sat Dec 12 14:10:17 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: This is awkward. . .did I kill a conversation? - Sat Dec 12 14:11:08 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Eh? - Sat Dec 12 14:11:08 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Well. . . - Sat Dec 12 14:12:51 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: This is fun and all. . . - Sat Dec 12 14:12:51 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: I thought they'd be more lively now. - Sat Dec 12 14:12:51 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Still the same boring village I suppose. - Sat Dec 12 14:12:51 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: But, I guess I'll get going to my next stop. - Sat Dec 12 14:13:42 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Oi. - Sat Dec 12 14:14:33 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: They say travelers talk the most. - Sat Dec 12 14:15:24 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Huh? - Sat Dec 12 14:15:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: What do you thin? - Sat Dec 12 14:15:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: think* - Sat Dec 12 14:15:24 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Dunno. - Sat Dec 12 14:15:24 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I usually keep to myself. - Sat Dec 12 14:15:24 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I can't speak for others. - Sat Dec 12 14:15:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Uh huh. I see. - Sat Dec 12 14:16:16 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Tell me: why do arrows fly through the sky? - Sat Dec 12 14:16:16 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Sat Dec 12 14:16:16 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Is there any point to these questions? - Sat Dec 12 14:17:07 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Answer the question. - Sat Dec 12 14:17:07 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . .Dunno. - Sat Dec 12 14:17:07 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I see. - Sat Dec 12 14:17:07 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I'm not an arrow. - Sat Dec 12 14:17:07 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: *Chuckles* - Sat Dec 12 14:18:49 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Let him be off... There's no need. - Sat Dec 12 14:18:49 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Sat Dec 12 14:18:49 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Note to self, Kumo had gotten weird. - Sat Dec 12 14:19:40 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Stay away. - Sat Dec 12 14:19:40 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Well then. . . . - Sat Dec 12 14:19:40 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Note to self: Kill this traveler. - Sat Dec 12 14:19:40 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: He knows too much. - Sat Dec 12 14:19:40 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Not that I feel threatened or anything, but I'll be going then. - Sat Dec 12 14:19:40 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Safe travels. - Sat Dec 12 14:20:32 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Got any Missions Rai-san. - Sat Dec 12 14:22:14 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: ?* - Sat Dec 12 14:22:14 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I do, actually. - Sat Dec 12 14:23:05 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Oi. - Sat Dec 12 14:25:39 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Raikage-sama. - Sat Dec 12 14:25:39 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Where's Takuma's ass? - Sat Dec 12 14:25:39 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..... - Sat Dec 12 14:25:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm? - Most likely speaking to his Toads. - Sat Dec 12 14:25:39 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Damn.. my sensei gay? - Sat Dec 12 14:26:30 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Toads? - Sat Dec 12 14:27:21 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Ugh. - Sat Dec 12 14:27:21 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: I'm going to go look for 'em. - Sat Dec 12 14:27:21 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You should try his house. - Sat Dec 12 14:27:21 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: If not. - Sat Dec 12 14:27:21 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I have n- - Sat Dec 12 14:28:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I could always call him. - Sat Dec 12 14:28:12 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Call 'em. - Sat Dec 12 14:28:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Now for your missions. - Sat Dec 12 14:28:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Eiji was looking for you, Takuma-San. - Sat Dec 12 14:29:04 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Sat Dec 12 14:29:55 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Oh. - Sat Dec 12 14:29:55 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Sat Dec 12 14:30:46 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Yo, Takuma. - Sat Dec 12 14:32:28 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: You get any stronger? - Sat Dec 12 14:32:28 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Or you still weak as fuck? - Sat Dec 12 14:32:28 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Still weak as fuck. - Sat Dec 12 14:32:28 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Hah. - Sat Dec 12 14:33:20 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Takuma lemme give ur asshole a private lesson. - Sat Dec 12 14:35:02 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: -afk- - Sat Dec 12 14:35:02 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Chill. - Sat Dec 12 14:35:02 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hmmmmm, you are confident in your ability? - Sat Dec 12 14:35:02 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I wouldn't say that, just up for the challenge. - Sat Dec 12 14:35:53 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You must be certain you can win if you are to join. - Sat Dec 12 14:35:53 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Mmmm. - Sat Dec 12 14:36:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: True, true. - Sat Dec 12 14:36:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: In the mean time then, may we talk in private? - Sat Dec 12 14:36:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Of course. - Sat Dec 12 14:37:36 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Mita. - Sat Dec 12 14:37:36 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: If I become a private. - Sat Dec 12 14:37:36 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Could I borrow some money? - Sat Dec 12 14:37:36 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Huh? - Sat Dec 12 14:44:25 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: How much? - Sat Dec 12 14:44:25 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Ten to Twenty. - Sat Dec 12 14:51:15 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Ten dollars? - Sat Dec 12 14:57:13 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Ten yen* - Sat Dec 12 14:59:47 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Mill-i-on. - Sat Dec 12 14:59:47 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Takuma spar? - Sat Dec 12 15:04:03 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Maybe? - Sat Dec 12 15:04:03 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Ha. - Sat Dec 12 15:04:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Maybe later.  - Sat Dec 12 15:04:54 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Hahaha. - Sat Dec 12 15:04:54 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: You are very very funny. - Sat Dec 12 15:04:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I got some more training to do. - Sat Dec 12 15:04:54 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Am I Mita? - Sat Dec 12 15:04:54 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I'm serious. - Sat Dec 12 15:04:54 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I want to buy a expensive sword from the Gezo. - Sat Dec 12 15:04:54 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: I don't have that type of Yen. - Sat Dec 12 15:07:28 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Mhm... - Sat Dec 12 15:08:19 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: And I'm not using Shinko's funds for it either. - Sat Dec 12 15:09:10 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Mhm.. - Sat Dec 12 15:10:52 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Going to go sell my organs to make money then. - Sat Dec 12 15:14:17 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: - - Sat Dec 12 15:14:17 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: For a sword? - Sat Dec 12 15:14:17 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Mhm! - Sat Dec 12 15:14:17 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I wonder how much I'll get for a lung. - Sat Dec 12 15:15:08 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: You shouldn't even consider that..... - Sat Dec 12 15:15:08 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: It was a joke. - Sat Dec 12 15:16:00 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: But I am going to lay down and think of ways to get money. - Sat Dec 12 15:16:00 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Why not sell stuff? - Sat Dec 12 15:18:33 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: W-Why'd you poke me? - Sat Dec 12 17:17:10 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Just testing someone..Just in case someone Henge into you. - Sat Dec 12 17:18:01 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Ai. - Sat Dec 12 17:30:49 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Let's go spar. - Sat Dec 12 17:30:49 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: This is the power of the Gezo... - Sat Dec 12 17:37:39 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: She probably isn't even their highest. - Sat Dec 12 17:37:39 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: Jiki you'll pay for your tax evasions... Nows not the time... - Sat Dec 12 17:38:30 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Kyubishu, Koji, and Tetsumi Jiki. - Sat Dec 12 17:38:30 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: I see. - Sat Dec 12 17:38:30 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Three competitors in the Private Exams. - Sat Dec 12 17:39:21 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: I just need to know what villages you're from. - Sat Dec 12 17:39:21 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Konoha. - Sat Dec 12 17:40:12 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Kirigakure. - Sat Dec 12 17:40:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I hail from Sunagakure. I was named Kazekage 3 years ago. - Sat Dec 12 17:41:04 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Konoha, Kirigakure, and Sunagakure. - Sat Dec 12 17:41:04 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: I have all three villages here. - Sat Dec 12 17:41:04 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I believe I know you. I used to visit Sunagakure. - Sat Dec 12 17:41:04 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: .... - Sat Dec 12 17:41:55 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: Who the fuck?! - Sat Dec 12 19:31:08 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Wyn had a lot of sketchy shit0 - Sat Dec 12 20:05:16 2015
<br><br><font color=teal>*Kami(BlendedOrphans) says: i couldnt see your rp - Sat Dec 12 20:06:59 2015
<br><br><font color=teal>*Claudette(Kumaki) says: .. Like you know. Uh. Be part of the medic team again. - Sat Dec 12 20:30:01 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Maybe some sort of one of the bosses. - Sat Dec 12 20:30:01 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Or something. - Sat Dec 12 20:30:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Kiyoko is the boss. - Sat Dec 12 20:30:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You'd have to talk to her. - Sat Dec 12 20:30:52 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Whipped. - Sat Dec 12 20:30:52 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: -omit- - Sat Dec 12 20:30:52 2015
<br><br><font color=teal>*Claudette(Kumaki) says: ... Kiyoko still huh... - Sat Dec 12 20:32:35 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: 9there - Sat Dec 12 20:32:35 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I have no need         - Sat Dec 12 20:57:20 2015
<br><br><font color=teal>*Iwatobi(Kizuzan11) says: Hi. - Sat Dec 12 21:22:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..... - Sun Dec 13 00:48:35 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Alright, Takuma. - Sun Dec 13 00:48:35 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: It's time. - Sun Dec 13 00:48:35 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Sogeki. - Sun Dec 13 00:51:08 2015
<br><br><font color=teal>*Takuma(Brosis55) says: We're going on a mission. - Sun Dec 13 00:51:08 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Can I come on the mission? - Sun Dec 13 00:51:08 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Sure. - Sun Dec 13 00:51:08 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Alright, sure. - Sun Dec 13 00:51:08 2015
<br><br><font color=teal>*Takuma(Brosis55) says: You guys got the essiental stuff? - Sun Dec 13 00:51:08 2015
