<br><font color=teal>*Muhhamed Hassan(Ziare1) says: And wouldn't have endangered any. - Sun Nov  1 10:34:27 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I need the experience. - Tue Nov  3 05:05:04 2015
<br><br><font color=teal>*Shin(Yaori) says: Hmmm - Tue Nov  3 05:05:04 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey Yan I almost beat Testu the other day. - Tue Nov  3 05:05:04 2015
<br><br><font color=teal>*Shin(Yaori) says: You should take the first turn - Tue Nov  3 05:05:55 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I shreded through his sand thing. - Tue Nov  3 05:05:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Tetsu? Why you always lyin? Why the fuck you lyin'? - Tue Nov  3 05:05:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I have a hard time believing that man. - Tue Nov  3 05:05:55 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: You can ask him he scard the bejubs out of me too. - Tue Nov  3 05:06:46 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: His voice became all creepy. - Tue Nov  3 05:07:37 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Felt a chill go down my spine. - Tue Nov  3 05:07:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll have to.. - Tue Nov  3 05:07:37 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Tue Nov  3 05:32:22 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Testu. - Tue Nov  3 05:33:13 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Tell Yan how I almost wont. - Tue Nov  3 05:33:13 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ....?.... - Tue Nov  3 05:33:13 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ..... - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: won. - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: He doesn't belive me. - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: You.. didn't. - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I was close. - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: But if it means somethin' to you, you did win. I lost. - Tue Nov  3 05:34:56 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I didnt win I was close to winning but I got  to train alot more to even make up for how close I was. - Tue Nov  3 05:34:56 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I know the samething wont work twice, - Tue Nov  3 05:35:47 2015
<br><br><font color=teal>*Marrisa(Roxinea) thinks: I like this new fan.. IT's more durable. . and It's attached to me with a chain! No more worrying about loseing my shit. . Now I just need to get a hand. .  - Tue Nov  3 05:35:47 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: .... - Tue Nov  3 05:41:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Shin uses his clones like me...Interesting. - Tue Nov  3 05:42:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Wait. - Tue Nov  3 05:57:07 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ivel. - Tue Nov  3 05:57:07 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Did you..Just say gramps. - Tue Nov  3 05:57:07 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Welp Ivel Im your cousin. - Tue Nov  3 06:24:25 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Triilliam. - Tue Nov  3 06:24:25 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: The dude who left is your big brother Tetsu he is like super cool and super strong. - Tue Nov  3 06:24:25 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohh..And Unlce Fuji....... - Tue Nov  3 06:25:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Did I break my leg? - Tue Nov  3 06:26:59 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: What the hell is going on here? - Tue Nov  3 06:26:59 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hassan, do you have a mission for me? - Tue Nov  3 06:33:48 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Fuji if you want your blade just say: "I won't step foot on west side again" - Tue Nov  3 06:46:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: 13. - Tue Nov  3 06:48:19 2015
<br><br><font color=teal>*Shin(Yaori) says: Heh, don't worry about losing. You seem a bit tense about it. You're still young - Tue Nov  3 06:48:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm? - Tue Nov  3 06:48:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hi.~ - Tue Nov  3 06:48:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I will be fine. - Tue Nov  3 06:49:10 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Thanks though you helped me a lot. - Tue Nov  3 06:49:10 2015
<br><br><font color=teal>*Shin(Yaori) says: Same, now I know what this technique does. - Tue Nov  3 06:50:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yea it sucks. *laugh* - Tue Nov  3 06:50:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: A'hem, Hassan, you don't got a mission for me? - Tue Nov  3 06:51:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm.. - Tue Nov  3 06:52:35 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hi. - Tue Nov  3 06:52:35 2015
<br><br><font color=teal>*Shin(Yaori) says: It is interesting though - Tue Nov  3 06:53:26 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yea it is. - Tue Nov  3 06:54:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: But I want to know about those rocks you used to trap me. - Tue Nov  3 06:54:17 2015
<br><br><font color=teal>*Shin(Yaori) says: The Bamboo Shoots? - Tue Nov  3 06:55:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yea thatn - Tue Nov  3 06:55:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *that* - Tue Nov  3 06:55:08 2015
<br><br><font color=teal>*Shin(Yaori) says: They can be lethal, should the user decide to use them as an impact weapon - Tue Nov  3 06:55:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Can you show me? - Tue Nov  3 06:56:00 2015
<br><br><font color=teal>*Shin(Yaori) says: It simply converts all hardened earth nearby into pillars that fire at a single target from all sides, forcing them to jump - Tue Nov  3 06:56:00 2015
<br><br><font color=teal>*Shin(Yaori) says: In most cases that would lead to one's advantage - Tue Nov  3 06:56:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: The more you tell me about it the more I want to learn it. - Tue Nov  3 06:56:00 2015
<br><br><font color=teal>*Shin(Yaori) says: Hmmmm - Tue Nov  3 06:58:33 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: ... - Tue Nov  3 06:58:33 2015
<br><br><font color=teal>*Shin(Yaori) says: I don't know . . . how experienced are you - Tue Nov  3 06:58:33 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What does that have to do with using rocks? - Tue Nov  3 06:59:24 2015
<br><br><font color=teal>*Shin(Yaori) says: Its about chakra control - Tue Nov  3 07:00:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Tue Nov  3 07:00:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yea I'm not the greatest with chakra control. - Tue Nov  3 07:01:07 2015
<br><br><font color=teal>*Shin(Yaori) says: Hmmm, I'll teach you - Tue Nov  3 07:01:07 2015
<br><br><font color=teal>*Shin(Yaori) says: If you practice a bit of chakra control first - Tue Nov  3 07:01:07 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Great! - Tue Nov  3 07:01:07 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Tue Nov  3 07:01:07 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Right. - Tue Nov  3 07:01:07 2015
<br><br><font color=teal>*Shin(Yaori) says: You don't have to be an elite - Tue Nov  3 07:01:07 2015
<br><br><font color=teal>*Shin(Yaori) says: Just come see me when you can control your chakra at all - Tue Nov  3 07:01:58 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: R-Right. - Tue Nov  3 07:01:58 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Well, I guess no mission for me. - Tue Nov  3 07:01:58 2015
<br><br><font color=teal>*Shin(Yaori) says: Fujitora - Tue Nov  3 07:06:14 2015
<br><br><font color=teal>*Shin(Yaori) says: I have a question for you - Tue Nov  3 07:06:14 2015
<br><br><font color=teal>*Shin(Yaori) says: You told me something about a Labyrinth a while abck when we spoke on the roof - Tue Nov  3 07:07:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Well I will see you all later. - Tue Nov  3 07:07:56 2015
<br><br><font color=teal>*Shin(Yaori) says: Not long ago, we were locked in combat with on who called himself Labyrinth - Tue Nov  3 07:07:56 2015
<br><br><font color=teal>*Kuro(Ichigo10101) thinks: I wonder where Yukio went. Oh well, I'll just continue my own training until we meet again. - Tue Nov  3 07:07:56 2015
<br><br><font color=teal>*Shin(Yaori) says: Any correlation? - Tue Nov  3 07:07:56 2015
<br><br><font color=teal>*Shin(Yaori) says: Labyrinth - Tue Nov  3 07:08:48 2015
<br><br><font color=teal>*Shin(Yaori) says: Oldies? - Tue Nov  3 07:08:48 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Yo Yan. - Tue Nov  3 07:08:48 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Guard the gates. - Tue Nov  3 07:08:48 2015
<br><br><font color=teal>*Kuro(Ichigo10101) thinks: What are they talking about? - Tue Nov  3 07:08:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..You're joking, right? - Tue Nov  3 07:08:48 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: You tell me. - Tue Nov  3 07:09:39 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Dont frget to finish that paperwork. - Tue Nov  3 07:09:39 2015
<br><br><font color=teal>*Shin(Yaori) says: Could have been another? - Tue Nov  3 07:09:39 2015
<br><br><font color=teal>*Shin(Yaori) says: I only wish that you would allow me to enter - Tue Nov  3 07:10:30 2015
<br><br><font color=teal>*Shin(Yaori) says: Then perhaps times will change very soon - Tue Nov  3 07:12:12 2015
<br><br><font color=teal>*Shin(Yaori) says: I am a patient man. - Tue Nov  3 07:12:12 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Fuji. - Tue Nov  3 07:13:04 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: You want the sword right? - Tue Nov  3 07:13:04 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Say it. - Tue Nov  3 07:13:55 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: No...Say..."it" - Tue Nov  3 07:13:55 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I get to act strange, i'm always busy. - Tue Nov  3 07:13:55 2015
<br><br><font color=teal>*Shin(Yaori) says: . . . - Tue Nov  3 07:13:55 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Say you wont step foot on west side again. - Tue Nov  3 07:14:46 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Say it like you mean it. - Tue Nov  3 07:14:46 2015
<br><br><font color=teal>*Shin(Yaori) says: Uhm . . . - Tue Nov  3 07:14:46 2015
<br><br><font color=teal>*Shin(Yaori) says: Excuse me - Tue Nov  3 07:14:46 2015
<br><br><font color=teal>*Shin(Yaori) says: Mar-risa? - Tue Nov  3 07:14:46 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Less of the theatrics. - Tue Nov  3 07:15:37 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Say it like i'm threatening you. - Tue Nov  3 07:15:37 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Good. - Tue Nov  3 07:18:11 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: West side of Sunagakure - Tue Nov  3 07:18:11 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: That's where I live. - Tue Nov  3 07:18:11 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I saw some young children yelling it. - Tue Nov  3 07:18:11 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohhhhhhh wow. - Tue Nov  3 07:18:11 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: And making Ws witht their hands. - Tue Nov  3 07:18:11 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Im from the 6 side gramps - Tue Nov  3 07:18:11 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Yelling...WEST SIYEED!! - Tue Nov  3 07:18:11 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Something like that.. - Tue Nov  3 07:19:02 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: North East side of suna aka the Six side is where  it all goes down. - Tue Nov  3 07:19:02 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: West side. - Tue Nov  3 07:19:02 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Best side. - Tue Nov  3 07:19:02 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Dont listen to uncle Fuji gramps ..ANd no its all about the Six side. - Tue Nov  3 07:19:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Tue Nov  3 07:19:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: So weird. - Tue Nov  3 07:19:53 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: You want to be more of. . Us. .  - Tue Nov  3 07:21:36 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: You must train. .  - Tue Nov  3 07:21:36 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: but we are not going to fight . .  - Tue Nov  3 07:21:36 2015
<br><br><font color=teal>*Shin(Yaori) says: Then what are we doing? - Tue Nov  3 07:22:27 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: So weird.. - Tue Nov  3 07:23:18 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: It's time. .  - Tue Nov  3 07:24:09 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: For me to teach you and Iza. .  - Tue Nov  3 07:24:09 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: To be more. . Us - Tue Nov  3 07:24:09 2015
<br><br><font color=teal>*Shin(Yaori) says: . . . - Tue Nov  3 07:24:09 2015
<br><br><font color=teal>*Marrisa(Roxinea) thinks: one of us. . One of us - Tue Nov  3 07:24:09 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Come along Shin. .  - Tue Nov  3 07:28:25 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: ... - Tue Nov  3 07:29:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: A'hem. I completed my shift at guarding the gate, sir. - Tue Nov  3 07:31:50 2015
<br><br><font color=teal>*Labyrinth, Aklys(Sephiroth3000) says: I challenge this land to a tournament.. - Tue Nov  3 07:41:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Excuse me? - Tue Nov  3 07:42:04 2015
<br><br><font color=teal>*Labyrinth, Aklys(Sephiroth3000) says: I wonder who will be brave enough to step up.. - Tue Nov  3 07:42:04 2015
<br><br><font color=teal>*Labyrinth, Aklys(Sephiroth3000) says: And face me in honorable combat.. - Tue Nov  3 07:42:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Tue Nov  3 07:42:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'll face you.~ - Tue Nov  3 07:42:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .... - Tue Nov  3 07:42:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: But you have to answer a question for me. - Tue Nov  3 07:42:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Is there a prize? - Tue Nov  3 07:42:56 2015
<br><br><font color=teal>*Labyrinth, Aklys(Sephiroth3000) says: Perhaps. - Tue Nov  3 07:42:56 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohh  I wanna try. - Tue Nov  3 07:42:56 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh and Iza that guy over there is your bother enjoy. - Tue Nov  3 07:43:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I know. - Tue Nov  3 07:43:47 2015
<br><br><font color=teal>*Labyrinth, Aklys(Sephiroth3000) says: But you know.. - Tue Nov  3 07:43:47 2015
<br><br><font color=teal>*Labyrinth, Aklys(Sephiroth3000) says: Before a fight could begin... - Tue Nov  3 07:43:47 2015
<br><br><font color=teal>*Labyrinth, Aklys(Sephiroth3000) says: I'd like posters..Fliers... - Tue Nov  3 07:43:47 2015
<br><br><font color=teal>*Labyrinth, Aklys(Sephiroth3000) says: Letting each and everyone know! - Tue Nov  3 07:43:47 2015
<br><br><font color=teal>*Labyrinth, Aklys(Sephiroth3000) says: To face me! - Tue Nov  3 07:43:47 2015
<br><br><font color=teal>*Labyrinth, Aklys(Sephiroth3000) says: -Is EC btw- - Tue Nov  3 07:43:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Okay. - Tue Nov  3 07:43:47 2015
<br><br><font color=teal>*Labyrinth, Aklys(Sephiroth3000) says: Eh..Children...Not sure if I can take such buggers seriously... - Tue Nov  3 07:44:38 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: When's this suppose to be? - Tue Nov  3 07:45:29 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Is there seriously. . . another? - Tue Nov  3 07:45:29 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: If you play with fire you'll get burned. - Tue Nov  3 07:45:29 2015
<br><br><font color=teal>*Labyrinth, Aklys(Sephiroth3000) says: I wonder if you can take as much as you can dish. - Tue Nov  3 07:46:20 2015
<br><br><font color=teal>*Labyrinth, Aklys(Sephiroth3000) says: I came here for a fight..Not to play with children.. - Tue Nov  3 07:48:03 2015
<br><br><font color=teal>*Labyrinth, Aklys(Sephiroth3000) says: Bu if you insist.. - Tue Nov  3 07:48:03 2015
<br><br><font color=teal>*Shin(Yaori) says: It seems another one of these creatures has revesaled itself - Tue Nov  3 08:11:05 2015
<br><br><font color=teal>*Shin(Yaori) says: Hmph - Tue Nov  3 08:11:05 2015
<br><br><font color=teal>*Shin(Yaori) says: Hopefully I'll get to crush this one - Tue Nov  3 08:11:05 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I'm thinking of going next. - Tue Nov  3 08:13:39 2015
<br><br><font color=teal>*Shin(Yaori) says: If you aren't sure then IU've definitely called it - Tue Nov  3 08:13:39 2015
<br><br><font color=teal>*Shin(Yaori) thinks: This time, no holding back! - Tue Nov  3 08:14:30 2015
<br><br><font color=teal>*Shin(Yaori) thinks: I'll eradicate him look I woulda did to the last guy! - Tue Nov  3 08:14:30 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh Im sure I'm next he called me weak. - Tue Nov  3 08:15:21 2015
<br><br><font color=teal>*Shin(Yaori) says: Did you call next? - Tue Nov  3 08:16:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Huh. .? - Tue Nov  3 08:17:04 2015
<br><br><font color=teal>*Shin(Yaori) says: What an angry guy - Tue Nov  3 08:17:04 2015
<br><br><font color=teal>*Marrisa(Roxinea) whispers: I. . I think ORtho left me. .  - Tue Nov  3 08:17:04 2015
<br><br><font color=yellow>*Sanoke(Gamuhz2) blinks with mild surprise.

"Why?"* - Tue Nov  3 08:19:37 2015
<br><br><font color=teal>*Marrisa(Roxinea) whispers: He wanted me to retire.  .and I refused. .  - Tue Nov  3 08:20:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: Oh. . .Are you okay? - Tue Nov  3 08:20:28 2015
<br><br><font color=teal>*Marrisa(Roxinea) whispers: I don't know. . If you see him . . Make sure you tell him to come talk to me - Tue Nov  3 08:24:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: ALright. I'm sorry for your loss. If you need anything, let me know. - Tue Nov  3 08:29:52 2015
<br><br><font color=teal>*Marrisa(Roxinea) whispers: I will, Thank you Sanoke - Tue Nov  3 08:32:25 2015
<br><br><font color=yellow>*Sanoke(Gamuhz2) pats on shoulder.* - Tue Nov  3 08:32:25 2015
<br><br><font color=teal>*Shin(Yaori) thinks: She needs to tag out, that hit did quite a number on her. She'll get herself killed like this. - Tue Nov  3 08:45:13 2015
<br><br><font color=teal>*Shin(Yaori) says: Fujitora - Tue Nov  3 08:52:54 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Oh?.. - Tue Nov  3 08:53:45 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: She'll defeat Cell.. - Tue Nov  3 08:54:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Tue Nov  3 08:54:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: As I said...She knows best of what she's capable of..Believe in her ability.. - Tue Nov  3 08:55:28 2015
<br><br><font color=teal>*Shin(Yaori) says: . . . - Tue Nov  3 08:55:28 2015
<br><br><font color=teal>*Shin(Yaori) says: Is he blind? - Tue Nov  3 08:55:28 2015
<br><br><font color=teal>*Shin(Yaori) says: Seriously, is this guy blind? - Tue Nov  3 08:56:19 2015
<br><br><font color=teal>*Shin(Yaori) says: One hit had her coughing blood! - Tue Nov  3 08:56:19 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: They're both observing one another...If there was truly a gap, she'd of left already yes?...Let them have their fun..Neither of them seem too serious. - Tue Nov  3 08:57:10 2015
<br><br><font color=teal>*Shin(Yaori) says: That doesn't make any sense - Tue Nov  3 08:58:01 2015
<br><br><font color=teal>*Shin(Yaori) says: Observations are one thing - Tue Nov  3 08:58:01 2015
<br><br><font color=teal>*Shin(Yaori) says: But to not even make direct contact and have this girl stumbling over herself? - Tue Nov  3 08:58:01 2015
<br><br><font color=teal>*Shin(Yaori) says: Unheard of - Tue Nov  3 08:58:01 2015
<br><br><font color=teal>*Shin(Yaori) says: Tch - Tue Nov  3 09:04:00 2015
<br><br><font color=teal>*Shin(Yaori) says: What are you so excited for, beating up a kid - Tue Nov  3 09:04:00 2015
<br><br><font color=teal>*Labyrinth, Aklys(Sephiroth3000) says: Excited?...Am I cheering?..Heh..You are all children.. - Tue Nov  3 09:04:51 2015
<br><br><font color=teal>*Labyrinth, Aklys(Sephiroth3000) says: I wish for Hassan.. - Tue Nov  3 09:04:51 2015
<br><br><font color=teal>*Shin(Yaori) says: I don't care how much 'oblivion' you've got - Tue Nov  3 09:04:51 2015
<br><br><font color=teal>*Shin(Yaori) says: You don't stand a chance against anyone here - Tue Nov  3 09:04:51 2015
