<br><font color=teal>*Reguel(Airide) says: ... - Sun Nov  1 20:07:02 2015
<br><br><font color=teal>*Lera(Bailey42) says: Thanks. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: You're stuttering. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Lead the way. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And..? - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: A Kunoichi? - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: It's usually a nervous tick. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Hanae(Ej900) says: ... - Sun Nov  8 19:01:45 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: *Shrugs* - Sun Nov  8 19:01:45 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: ... - Sun Nov  8 19:03:28 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Oh, you must have the opposite of Gynophobia. - Sun Nov  8 19:03:28 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Gotcha - Sun Nov  8 19:03:28 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: ... - Sun Nov  8 19:04:19 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: ... - Sun Nov  8 19:05:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: .... - Sun Nov  8 19:05:10 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I shall name you .. Chickenru. - Sun Nov  8 19:05:10 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: ... - Sun Nov  8 19:06:01 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: You look pretty strong, Chickenru. - Sun Nov  8 19:06:01 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: *is still silent and not even looking in Shira's direction* - Sun Nov  8 19:06:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-He obviously d-doesn't wanna talk to you.. - Sun Nov  8 19:07:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You should leave him a-alone.. - Sun Nov  8 19:07:44 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: That's a girl.. - Sun Nov  8 19:07:44 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Is this... - Sun Nov  8 19:07:44 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: How Sunagakure is all the time? - Sun Nov  8 19:07:44 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'll have you know .. - Sun Nov  8 19:07:44 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Unfortunately. - Sun Nov  8 19:08:35 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Chickenru is my second best friend. - Sun Nov  8 19:08:35 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: Another c-creepp.. - Sun Nov  8 19:08:35 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: srs this nigga poisoned me and it aint even doing anything to my constitution - Sun Nov  8 19:08:35 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: -omit- - Sun Nov  8 19:08:35 2015
<br><br><font color=teal>*Shira(Osmanesanogo) thinks: Note, Red Head is a jerk. Noted. - Sun Nov  8 19:09:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Sun Nov  8 19:09:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But that sounds..l-like a mean name.. - Sun Nov  8 19:09:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I-I should go back to t-training.. - Sun Nov  8 19:14:33 2015
<br><br><font color=teal>*Shira(Osmanesanogo) thinks: Ew, it's a prostitute that looks like a loli-con. Freakin' creep. - Sun Nov  8 19:14:33 2015
<br><br><font color=teal>*Shira(Osmanesanogo) thinks: Ewwww. - Sun Nov  8 19:14:33 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Hmm.. - Sun Nov  8 19:15:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: Koji. I need to speak to you, if you would? - Sun Nov  8 19:47:50 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: No problem. In private? - Sun Nov  8 19:47:50 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm. - Sun Nov  8 19:48:41 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: (imma recruit you into the hokuma clan okok) - Sun Nov  8 19:52:06 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: (i kno you're a hyuuga lil nigga) - Sun Nov  8 19:52:06 2015
<br><br><font color=teal>*Kuro(Ichigo10101) whispers: [I'm not joining though - Sun Nov  8 19:52:57 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Force needed for-... *she paused her mind sparking with memory* Oh the guy who attacked me. - Sun Nov  8 20:04:03 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I put my hand on Chickenru's shoulder and she tries to cut me in half, and another one tries to kick me. - Sun Nov  8 20:04:54 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: It's a game. - Sun Nov  8 20:05:45 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: It doesn't sound like a game. - Sun Nov  8 20:05:45 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'unno. - Sun Nov  8 20:05:45 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Oh, I must be hearing things.. - Sun Nov  8 20:06:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Its okay!  - Sun Nov  8 20:06:36 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: mm.. - Sun Nov  8 20:07:28 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: But you shouldn't have used force aganst that man. I'm sure the situation could of been avoided through words. - Sun Nov  8 20:08:19 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well he had grabbed me, if I don't react I'll surelly be killed with knowing it. Just like my dad said. - Sun Nov  8 20:09:10 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: So your response to people grabbing you is to attack them? - Sun Nov  8 20:10:01 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What's going on? - Sun Nov  8 20:10:01 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: If I don't know them of course, and they come up without saying hello! - Sun Nov  8 20:10:52 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: A conflict arose and we have an unconscious fellow on the ground. - Sun Nov  8 20:10:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Someone be a little more specific... - Sun Nov  8 20:10:52 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: You'd have to ask one of these two females. - Sun Nov  8 20:11:44 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I didn't put enough strength behind the attack. It was only strong enough to knock him out. - Sun Nov  8 20:11:44 2015
<br><br><font color=teal>*Kurt(Zygman) says: Do you both hate him? - Sun Nov  8 20:11:44 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I don't -like- him.. but I don't like him either... - Sun Nov  8 20:12:35 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I wouldn't have gotten involved.... but I don't like unecessary bloodshed..... - Sun Nov  8 20:12:35 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If anyone puts their hands on you, and you don't know them, you have plenty of reason to use  reasonable force. - Sun Nov  8 20:12:35 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Kuro, you aren't a ranked ninja here. I appreciate your desire to do things peacefully, but this is a militaristic ninja village. - Sun Nov  8 20:13:26 2015
<br><br><font color=teal>*Kuro(Ichigo10101) thinks: Why are all of these shinobi so offensive? - Sun Nov  8 20:13:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Actions have consequences. - Sun Nov  8 20:13:26 2015
<br><br><font color=teal>*Kurt(Zygman) says: Is everyone in favor of a punishment towards this guy? - Sun Nov  8 20:13:26 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well, I'm alive so I don't care. My life was all I was worried about. - Sun Nov  8 20:14:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji will decide what's to be punished, as well as Hassan. - Sun Nov  8 20:14:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If you have a complaint about the guy, file that complaint with Koji and he'll handle it appropriately. - Sun Nov  8 20:14:17 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: All actions have consequences, it's the rule of the world.  If I take a step, the ground beneath me will get an imprint of my foot. - Sun Nov  8 20:14:17 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: However, to use force on an unsuspecting male when the situation could have been solved peacefully, is rather saddening. - Sun Nov  8 20:15:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I suggest everyone keeps their hands to themselves unless everyone involved is on the same page. - Sun Nov  8 20:15:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll be reporting this to Koji, though. - Sun Nov  8 20:17:42 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: So he will maybe question some people here over it. - Sun Nov  8 20:17:42 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well, I be open to talk when ever you need me too! - Sun Nov  8 20:18:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Right. - Sun Nov  8 20:21:58 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Same for me.. -@Yan- - Sun Nov  8 20:25:23 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Just a matt.  - Sun Nov  8 20:26:14 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Um.. Chikyu was it? I guess kenjutsu's your specialty....? - Sun Nov  8 20:26:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Matt. - Sun Nov  8 20:26:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Mattuku. - Sun Nov  8 20:26:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Mattukuoro. - Sun Nov  8 20:26:14 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Again with Kenjutsu, I just use this sword. No jutsus at all! - Sun Nov  8 20:27:56 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Do you know what elements you possess...? - Sun Nov  8 20:27:56 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Wood and water, but only because that was forced by the academy, Hahaha. - Sun Nov  8 20:28:48 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: its a m-meditative m-mat - Sun Nov  8 20:29:39 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Kurt. - Sun Nov  8 20:30:30 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Ah, it's good to see one. - Sun Nov  8 20:30:30 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I have three elements... Wind, Water and Lightning... - Sun Nov  8 20:30:30 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Whose idea was it? - Sun Nov  8 20:30:30 2015
<br><br><font color=teal>*Kurt(Zygman) says: I only have water. - Sun Nov  8 20:30:30 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I'm not sure if I can help but I may be able to teach you two Water-based jutsu... - Sun Nov  8 20:30:30 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: But that's if you want... - Sun Nov  8 20:30:30 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hehe thanks for the offer, but I intend to just focus on swords for now. I'm no good at jutsus anyways. - Sun Nov  8 20:31:21 2015
<br><br><font color=teal>*Kurt(Zygman) says: Did I take a toll on your chakra? - Sun Nov  8 20:31:21 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Alright.. - Sun Nov  8 20:31:21 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: im not s-sure.. - Sun Nov  8 20:31:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I have plenty to go around. - Sun Nov  8 20:32:12 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: i b-bought one when i was....umm...u-uh in k-kohooa - Sun Nov  8 20:32:12 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: kohonoa' - Sun Nov  8 20:32:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: Ah perfect. Uh, could you fill yan in Koji? - Sun Nov  8 20:33:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji..There is a knocked out guy over there. - Sun Nov  8 20:33:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He apparently put his hands on Chikyu and she responded with force. I don't blame her. - Sun Nov  8 20:33:04 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I aint no medic - omit - Sun Nov  8 20:33:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: People shouldn't be grabbing on other people unwarranted. - Sun Nov  8 20:33:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I've also noticed he's a pretty incompetent ninja. - Sun Nov  8 20:33:55 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm, was he attemptng rape? - Sun Nov  8 20:33:55 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: He was being creepy..... - Sun Nov  8 20:33:55 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I stopped her from killing him.. - Sun Nov  8 20:33:55 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I thought he was attempting to attack! I didn't even notice him to till he grabbed my shoulder. - Sun Nov  8 20:33:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I wouldn't say that, but he makes the kunoichi feel uncomfortable. If they press charges, it could easily be assault. - Sun Nov  8 20:33:55 2015
<br><br><font color=teal>*Lera(Bailey42) says: Right. - Sun Nov  8 20:34:46 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: You shouldn't have slashed at him though.... - Sun Nov  8 20:35:37 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Oi. - Sun Nov  8 20:36:28 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: "im black believe it" no jutsu is being performed by lera.. much wow. - Sun Nov  8 20:36:28 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I was told to go to you. - Sun Nov  8 20:36:28 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: -omit- - Sun Nov  8 20:36:28 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: But, he took a punch to the throat without a flinch. And, everyone else is so strong here. So, I assumed he was strong as well. - Sun Nov  8 20:36:28 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: By what's his face. - Sun Nov  8 20:36:28 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Still... - Sun Nov  8 20:36:28 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: shira is knocked out ignore him -omit- - Sun Nov  8 20:36:28 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: cept im not -omit- - Sun Nov  8 20:37:20 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: you fucking are bitch that took what 30 damage? -omit- - Sun Nov  8 20:37:20 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: lol no -omit- - Sun Nov  8 20:37:20 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Uhm.. so... can someone show me some stuff on Wind.. Water.. or maybe Lightning..? - Sun Nov  8 20:38:11 2015
<br><br><font color=teal>*Kurt(Zygman) says: I'm trying to look for water techniques myself. - Sun Nov  8 20:38:11 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: I could show her all three...but too lazy. - Sun Nov  8 20:38:11 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I know one lightning technique. - Sun Nov  8 20:38:11 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: YOU DONT HAVE KIRIN FAM NO - Sun Nov  8 20:39:02 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: -OMIT- - Sun Nov  8 20:39:02 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: If you guys are done withthe fighting and seek a medic. I'm at home.  - Sun Nov  8 20:39:53 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Huh..? - Sun Nov  8 20:39:53 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: l-later z-zenaki - Sun Nov  8 20:39:53 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Why are you pointing at the sky..? - Sun Nov  8 20:40:44 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I'm not pointing at the sky. - Sun Nov  8 20:41:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: He said he knew lightning jutsu, maybe hes doing it right now. - Sun Nov  8 20:41:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Is a bolt of lightning going to hit. *eyes sparkling* - Sun Nov  8 20:41:36 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: That sounds... interesting. - Sun Nov  8 20:42:27 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pew pew - Sun Nov  8 20:43:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: patchou - Sun Nov  8 20:43:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pew pew - Sun Nov  8 20:43:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: shlposh - Sun Nov  8 20:43:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pew pew u ded chikyu - Sun Nov  8 20:43:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pew pewp epwp ew - Sun Nov  8 20:43:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pewwwwwww. - Sun Nov  8 20:45:00 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pachow - Sun Nov  8 20:45:00 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Oh.. - Sun Nov  8 20:45:00 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pew pew pew - Sun Nov  8 20:45:00 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: vroooom. - Sun Nov  8 20:45:00 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Tets I need to speak with you if you havee time. - Sun Nov  8 20:45:52 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: vroooooom - Sun Nov  8 20:45:52 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: akakakak - Sun Nov  8 20:45:52 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Well.. could you demonstrate it.. or perhaps give me a scroll on it? I can return the favor to you... - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji..I think that guy is mentally ill. He needs a psyche check. - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Lera(Bailey42) says: Anyway...would you care to follow me Yan? I'll teach you the basics now. - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Can you have some guards get him and take him to the institution? - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Lera(Bailey42) says: And uh...That other girl. Mizora right? - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: nuk nuk nuk - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Lera(Bailey42) says: I can teach you all three of those elements. - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Huh..? - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Lera(Bailey42) says: If you're interested. - Sun Nov  8 20:47:34 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: vfffgfgfg - Sun Nov  8 20:47:34 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Well I'll take him to prison. We need a medic to diagnos him. - Sun Nov  8 20:47:34 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Er... sorry.. uhm... - Sun Nov  8 20:48:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: Then follow along. - Sun Nov  8 20:48:25 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: -@Kuro- - Sun Nov  8 20:48:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: Not its fine Jiki. - Sun Nov  8 20:48:25 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pew pew - Sun Nov  8 20:48:25 2015
<br><br><font color=teal>*Kurt(Zygman) says: Could I get some of your names here? I am interested in meeting all of you since i'm still pretty new. - Sun Nov  8 20:50:08 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: ackackack. - Sun Nov  8 20:50:08 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I'm Kuro. - Sun Nov  8 20:50:08 2015
<br><br><font color=teal>*Kurt(Zygman) says: My name is Kurt, Pleasure to meet you. - Sun Nov  8 20:50:59 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Pleasure to meet you as well. - Sun Nov  8 20:50:59 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm... Hey, Kurt. It's been a while. - Sun Nov  8 20:51:50 2015
<br><br><font color=teal>*Kurt(Zygman) says: Mhm, Hello again. - Sun Nov  8 20:51:50 2015
<br><br><font color=teal>*Kurt(Zygman) says: I am doing pretty good, What about you? - Sun Nov  8 20:52:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I am.. quite well. - Sun Nov  8 20:53:32 2015
<br><br><font color=teal>*Kurt(Zygman) says: I see you have taken a liking to Kenjutsu, Are you aiming to increase your skill in the usage of a Katana? - Sun Nov  8 20:53:32 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Um... Koji you know more techniques of our clan right? Do you have their descriptions written in a scroll or anything? - Sun Nov  8 20:54:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: You could say that. I think if you want to really understand why I'm carrying a sword, we'd have to spar. Heh. There is a fine arena not too far away.. - Sun Nov  8 20:54:24 2015
<br><br><font color=teal>*Kurt(Zygman) says: We can spar if you'd like then. - Sun Nov  8 20:54:24 2015
