<br><font color=teal>*Rokujou, Kida(Shiziru101) says: Say what? - Fri Nov 27 00:59:18 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) jumped off the bed and began to make his way towards the door. "It shouldn't take too long," he spoke, grinning at his ally. He'd walk out of the door, making his way to his destination.* - Sat Nov 28 02:03:44 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ... - Sat Nov 28 02:06:17 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) halted his stride towards the entrance of the village. His eyes trailed off towards the blonde individual. A friendly smile formed upon his face as he shifted his direction towards her. "Howdy," he called out, quickly stuffing his hands into his pockets. * - Sat Nov 28 02:08:00 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) removed his hands from his pockets and folded them before his chest. He'd lean forwards, eyeing the female. "Hm..Shy aren't we?", he called out.* - Sat Nov 28 02:09:42 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) shrugged his shoulders as he watched the female flee.  "I'm not that scary," he muttered. He'd stuff his hands into his pockets, continuing his stride towards the village gates.  * - Sat Nov 28 02:11:24 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: im...u-umm...r-rather not go...and s-see b-bodies being b-burned.... - Sat Nov 28 02:27:37 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: g-good..umm l-luck.. - Sat Nov 28 02:27:37 2015
<br><br><font color=teal>***KazeKage**(Gamuhz2) thinks: I just said buried.. - Sat Nov 28 02:28:28 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: i mean u-umm b-buried... - Sat Nov 28 02:29:20 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) lets out a loud yawn as he could see the village off in the distance.  "Finally, took long enough," he muttered to himself.  He'd continued his pace, stopping only when his path was obstructed by the guards that remained on duty. 

"Documents?", one asked.  Kida raised a brow, crossing his arms. "I got none.  I'm just looking for someone, and I figure I could be allowed," he retorted.  The guard looked at Kida, then over at his partner. There was silence for a brief moment.

"Soo?", he spoke, breaking the silence.  One of the guards could see the impatience in Kida's eyes, and hurried off to the village, seeking the proper personel.* - Sat Nov 28 02:29:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: On the bright side Iza, you can be Shanks for Holloween this year. - Sat Nov 28 02:31:02 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Sat Nov 28 02:31:02 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) was left with the guard out at the post. "I'm looking for someone named Sado.  Also, I figured I'd pay a visit to the Old Man. I didn't get the chance to actually talk to him when I was here last," he answered, throwing himself onto the ground.  His legs crossed as he awaited for what was to come.* - Sat Nov 28 02:32:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Don't you miss your arm atlease?.. - Sat Nov 28 02:34:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Sat Nov 28 02:34:27 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Seemed not at first young Skywalker.. - Sat Nov 28 02:35:18 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Sat Nov 28 02:35:18 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Seemed not at first young Ryu...Though you are mature for such an age. - Sat Nov 28 02:35:18 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Performing hand signs with one hand is possible. - Sat Nov 28 02:36:09 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: then came back to see this - Sat Nov 28 02:36:09 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I have a gift for you ,if or if not your arms heal soon. - Sat Nov 28 02:37:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mhm.. - Sat Nov 28 02:38:43 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Seen y' been working on lightning as well. - Sat Nov 28 02:38:43 2015
<br><br><font color=teal>*Kuro(Osmanesanogo) thinks: Ew that scank crying. - Sat Nov 28 02:48:06 2015
<br><br><font color=teal>*Kuro(Osmanesanogo) thinks: Tsk. - Sat Nov 28 02:48:06 2015
<br><br><font color=teal>*Kuro(Osmanesanogo) thinks: I swear. - Sat Nov 28 02:48:06 2015
<br><br><font color=teal>*Yuda(Booty Eater) thinks: The fuck's goin' on herre? - Sat Nov 28 02:48:06 2015
<br><br><font color=teal>*Kuro(Osmanesanogo) thinks: I'll slowly rise into power. - Sat Nov 28 02:48:06 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Rest well. - Sat Nov 28 02:48:06 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Hey! - Sat Nov 28 02:51:31 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Answer me man! - Sat Nov 28 02:51:31 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: What's goin' on? - Sat Nov 28 02:51:31 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm gotta write gramps. - Sat Nov 28 02:52:22 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) let out a long sigh. "No, I've never lived here. Sado is a priest or what ever. He wore a mask, a cloak, and had red hair.  And the old man is Old Man Hassan.  The last time I was here I was brought here out of no where. I don't have any papers or anything," he answered, growing annoyed from the wait.* - Sat Nov 28 02:52:22 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Let him know I got promoted. - Sat Nov 28 02:52:22 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: .... - Sat Nov 28 02:55:47 2015
<br><br><font color=teal>*Yuda(Booty Eater) thinks: Yo, fuck this village. - Sat Nov 28 02:55:47 2015
<br><br><font color=teal>*Yuda(Booty Eater) thinks: Unresponsive ass hoes. - Sat Nov 28 02:55:47 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: u-umm...a f-funeral.. - Sat Nov 28 02:58:20 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Hey. - Sat Nov 28 03:00:54 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Kazekage. - Sat Nov 28 03:00:54 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: I did that mission. - Sat Nov 28 03:00:54 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) made a sigh of relief as he stood up onto his feet. "Alright, alright," he answered, following the guard to the offices. He'd glance around, noting the situation of the village. "Wow, I wonder what happened here," he commented.* - Sat Nov 28 03:06:01 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Hey. - Sat Nov 28 03:06:01 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Give me another mission. - Sat Nov 28 03:06:01 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: With stabbing included please. - Sat Nov 28 03:06:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: 9sorry - Sat Nov 28 03:06:52 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: .... - Sat Nov 28 03:10:17 2015
<br><br><font color=teal>***KazeKage**(Gamuhz2) says: For now, take a rest, kid. - Sat Nov 28 03:10:17 2015
<br><br><font color=teal>*Yuda(Booty Eater) thinks: -Boy.- - Sat Nov 28 03:10:17 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: No. - Sat Nov 28 03:11:08 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Give me a mission. - Sat Nov 28 03:11:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Sat Nov 28 03:11:08 2015
<br><br><font color=teal>***KazeKage**(Gamuhz2) says: I just said no. - Sat Nov 28 03:11:08 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) was walking along the path from the main gate towards the square.  He'd look around, taking notice to the large gathering of individuals. His interest was piqued. 

"What's going on over here? Also, where's the offices?", he called out, tapping on Momura's shoulders.* - Sat Nov 28 03:11:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: .... - Sat Nov 28 03:11:08 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: The fuck kinda... - Sat Nov 28 03:11:08 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Whatever. - Sat Nov 28 03:11:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: H-He's mad.. - Sat Nov 28 03:11:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Do you have anything new that doesn't require handseals? - Sat Nov 28 03:11:08 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Looking for the office for a tourist visa. Know where I can go? - Sat Nov 28 03:12:00 2015
<br><br><font color=teal>***KazeKage**(Gamuhz2) says: Explain why you're here and how long you intend to stay. - Sat Nov 28 03:12:51 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Also, where's Old Man Hassan? - Sat Nov 28 03:12:51 2015
<br><br><font color=teal>***KazeKage**(Gamuhz2) says: Gone. - Sat Nov 28 03:13:42 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I'm going to finish learning this jutsu. See you guys. - Sat Nov 28 03:14:33 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: See ya. - Sat Nov 28 03:14:33 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Momura come with me. - Sat Nov 28 03:15:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But. - Sat Nov 28 03:16:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You'll just b-be mean again. - Sat Nov 28 03:16:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Oooo a rematch. - Sat Nov 28 03:16:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hiroshi c-come to. - Sat Nov 28 03:16:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'll make sure that doesn't happen Momu. - Sat Nov 28 03:16:16 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Okay then. - Sat Nov 28 03:16:16 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: You don't have to come, it's fine. - Sat Nov 28 03:16:16 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: No skin off my back. - Sat Nov 28 03:16:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm coming! - Sat Nov 28 03:16:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I want to come. - Sat Nov 28 03:16:16 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) let out a sigh.  He'd point over at the guard who was positioned next to him. "So many questions, so little action," he groaned. "Welp, I'm here to visit the old man, and look for someone named Sado.  Um..A week at most I'll be here. Depends on what I find.  And...I guess I'm here too because I've never really been to Sunagakure. So that's about all," he answered, placing his hands into his pockets.

A light bulb went off in his head. He recalled the males voice, but he couldn't really match it. Whoever he was, he obviously wasn't Hassan,.  Kida began to scratch his head, squinting his eyes at Sanoke. "We've met before right?", he added.* - Sat Nov 28 03:16:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I-I wish hanai made me "c-come" - Sat Nov 28 03:16:16 2015
<br><br><font color=teal>***KazeKage**(Gamuhz2) says: Wa-POOW! - Sat Nov 28 03:16:16 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: If BLue's going, I'm tagging along as well. I haven othing better to do. - Sat Nov 28 03:17:07 2015
<br><br><font color=teal>***KazeKage**(Gamuhz2) says: <*Screams like an african slave*> - Sat Nov 28 03:17:07 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Mmk. - Sat Nov 28 03:17:07 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: O shit Bones. - Sat Nov 28 03:17:07 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Come on. - Sat Nov 28 03:17:07 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Oh, you're that guy.  - Sat Nov 28 03:17:58 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Nothing much.  Well, like I just said, I'm just here to visit. - Sat Nov 28 03:18:49 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: No harm or anything. - Sat Nov 28 03:18:49 2015
<br><br><font color=teal>***KazeKage**(Gamuhz2) says: I see. Be careful, we're still on high alert. So people will give you wary stares. - Sat Nov 28 03:18:49 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So what happened to the Old Man? Retired, or 'gone gone'? - Sat Nov 28 03:19:40 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Both.. - Sat Nov 28 03:19:40 2015
<br><br><font color=teal>***KazeKage**(Gamuhz2) says: Retired. - Sat Nov 28 03:19:40 2015
<br><br><font color=teal>***KazeKage**(Gamuhz2) says: He left the village. - Sat Nov 28 03:19:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Ah. Didn't think he'd retire so quick. Oh well. - Sat Nov 28 03:20:32 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What's your name anyway? I never got it the last time I was here. - Sat Nov 28 03:20:32 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Hey Mizora. - Sat Nov 28 03:22:14 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: You seem tired. - Sat Nov 28 03:23:05 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Finally.. got to training. - Sat Nov 28 03:23:05 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Oh? How did that go? - Sat Nov 28 03:23:56 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Successful... but exhausting. - Sat Nov 28 03:23:56 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Drink water and relax a little. - Sat Nov 28 03:24:48 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Hm..I should train as well. - Sat Nov 28 03:27:21 2015
<br><br><font color=teal>***KazeKage**(Gamuhz2) says: Sanoke. - Sat Nov 28 03:29:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: And me at the same time. - Sat Nov 28 03:35:02 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: A three way battle royale, now lets go. - Sat Nov 28 03:35:02 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Yup. - Sat Nov 28 03:36:44 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Hm...I guess I should start looking around. - Sat Nov 28 03:49:32 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: And the name's Ki- Daki.. - Sat Nov 28 03:50:24 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It's Daki. - Sat Nov 28 03:50:24 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Almost forgot.. - Sat Nov 28 03:50:24 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) walked off for his search.* - Sat Nov 28 03:50:24 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Hey you. - Sat Nov 28 03:51:15 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) points over at Paine. "You used to visit Kumogakure right?", he asked, approaching the female.* - Sat Nov 28 03:51:15 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I remember you.  Anyway, have you seen someone named Sado around here? - Sat Nov 28 03:53:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Thanks. - Sat Nov 28 03:53:48 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: n-no...i have n-not...u-umm.... h-heard that n-name....u-uhh...in a y-year... - Sat Nov 28 03:55:31 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I see.. - Sat Nov 28 03:55:31 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What about someone named Kyubishu? - Sat Nov 28 03:55:31 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: He's a friend of mine and I heard he got into some trouble. - Sat Nov 28 03:55:31 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: What are you guys doing? - Sat Nov 28 03:55:31 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Is he from Kiri? - Sat Nov 28 03:56:22 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yeah.  - Sat Nov 28 03:56:22 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: We sent him back to Kiri. - Sat Nov 28 03:56:22 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: He was here? - Sat Nov 28 03:56:22 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Mhm. - Sat Nov 28 03:57:13 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What happened to him? I just heard he got in a fight, and was injured badly. - Sat Nov 28 03:57:13 2015
