<br><font color=teal>*Marrisa(Roxinea) says: Hello. .  - Thu Oct  1 05:32:48 2015
<br><br><font color=teal>*Domon(KazutoAyamu) says: Hi. - Thu Oct  1 05:34:30 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Unexpected...answer - Thu Dec 10 00:52:54 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Is it? - Thu Dec 10 00:52:54 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: No...I..just...didnt...know...what to say.. - Thu Dec 10 00:53:45 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I..do not...share that...view of..the world... - Thu Dec 10 00:54:36 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: What view do you share? And why...are you...talking...like ...this. - Thu Dec 10 00:56:19 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ..... - Thu Dec 10 00:56:19 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I...am...not..good....around people.. - Thu Dec 10 00:57:10 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Some might say I'm not good with people either, but I don't talk like a robot. - Thu Dec 10 00:58:52 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) quietly chuckled "What...happened..to you...to make..you not good...around..people?"* - Thu Dec 10 01:00:35 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I never was good around people but I am learning. - Thu Dec 10 01:04:00 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: It is hard to learn with so many new things in the world, sometimes things are not the same always and they change. - Thu Dec 10 01:04:00 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Also lies make things difficult to learn properly. - Thu Dec 10 01:04:51 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: The...more things change....the more they stay the same.. - Thu Dec 10 01:06:33 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: What..is your name? - Thu Dec 10 01:08:16 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) Glanced over at focusing his blue irises on her "Akito." he simply replied to her as her smile did not have any effect on him as he was just poker facing her "Would...you..care..for a spar?"* - Thu Dec 10 01:10:49 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Hmmm, why do you assume I am a fighter?~ - Thu Dec 10 01:16:48 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: A....female...of your complexion....could not..survive out in the world...unless...you knew how to defend..yourself. - Thu Dec 10 01:17:39 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: My complexion? Hm....  - Thu Dec 10 01:19:21 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Perhaps perhaps.~ - Thu Dec 10 01:19:21 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Yes... you..are..a rather..frail..looking..female... - Thu Dec 10 01:21:04 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I would...like to see...if what I think...is correct.. - Thu Dec 10 01:21:55 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Hmmmmmmmmm.~ - Thu Dec 10 01:21:55 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: What do I get if I do good? - Thu Dec 10 01:22:46 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I..cant..offer..much.. - Thu Dec 10 01:22:46 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: What...could..you..like? - Thu Dec 10 01:22:46 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mn..... I'm not certain, what do you want if you win? - Thu Dec 10 01:23:37 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Nothing...I do not...seek for...anything... - Thu Dec 10 01:24:28 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Hm.. okay... - Thu Dec 10 01:25:20 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: But what if I hurt you... - Thu Dec 10 01:25:20 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I don't know when to stop. - Thu Dec 10 01:25:20 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Then....it is...my own...fault.. - Thu Dec 10 01:26:11 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ...but I might kill you. - Thu Dec 10 01:26:11 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ..... - Thu Dec 10 01:26:11 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Will...you now... - Thu Dec 10 01:26:11 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: So when do I know to stop? - Thu Dec 10 01:27:02 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: If...I collapse...stop.. - Thu Dec 10 01:27:53 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Okay. - Thu Dec 10 01:35:34 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) walked over toward the center of the arena and stared at Yuriko keeping his sensing abilities on her "Ladies....first..." he said quietly as he brought one hand up to grab the zipper that held his coat closed >I wonder what she can do.< he thought to himself as he flexed his knees a bit to get ready to attempt to dodge anything that she might throw at him.* - Thu Dec 10 01:39:50 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) having kept his sensing abilities focused on the female he could have easily told that she was brewing something up within her stomach >What will she do?< he asked himself as he saw her clap her hands and begin to spew out a torront of water out of her mouth >Shit.< he continued as his body began to undergo a discrete transformation transformation that would cause him to grow a fin along the length of his spine and also gain deeper skin pores that would be under his eyes and along his body but the pores on his eyes would be the most noticeable since his atire covered most of his body. Quickly letting go of his zipper he began to weave five handseals Boar ---> Ram ----> Snake ---> Horse ---> Dragon and kneeded his chakra to the point where it was going out of his body and sparking on the ground bellow him. Sending that chakra out in a wave he would have it clash with the wave of water that was heading toward him.

The jutsu had something about it that seemed different about as it seemed to somewhat hone in on her as it used the water as a conductor that would speed up the jutsu as it traveled.* - Thu Dec 10 02:13:07 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) got reked in other words as he did not dodged and the combination of water and lightning fucked him up and he was also hit by a wave of mud that quickly followed right after.GG wp.* - Thu Dec 10 02:27:37 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: *Her panties were pure white and silky - Thu Dec 10 02:29:20 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) felt the heel on his chest and groaned as he has in pain due to the series of unfortunate events that had transpired second ago >Everything hurts.< he thought to himself as he slowly opened one eye and stared up at Yuriko not really knowing was he was seeing as things were blurry for him "I...received...my first...shock..when I was eight." he commented slowly and painfully as the foot on his chest was somewhat impeding his chest muscles to expand so that his lungs could get in more air in them. Also the spine fin on his back caused him some discomfort as fins were not made to be squished on layed on.

She would have been able to notice the abnormally large pores on skin that he had under his eyes at the distance that she was in.* - Thu Dec 10 02:34:27 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) (*Akito felt the heel on his chest and groaned as he has in pain due to the series of unfortunate events that had transpired second ago >Everything hurts.< he thought to himself as he slowly opened one eye and stared up at Yuriko not really knowing was he was seeing as things were blurry for him "I...received...my first...shock..when I was eight." he commented slowly and painfully as the foot on his chest was somewhat impeding his chest muscles to expand so that his lungs could get in more air in them. Also the spine fin on his back caused him some discomfort as fins were not made to be squished on layed on.

She would have been able to notice the abnormally large pores on skin that he had under his eyes at the distance that she was in.*) (REPOST)* - Thu Dec 10 02:37:52 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) continued to lay there on the ground and when his vision was finally beginning to return to normal she just had to go on ahead and move her leg. Turning his head to the side to follow her he would slowly begin to lift up his arm slowly to point a finger at her which was covered in bigger pores "Touch it and find out." he told her between stutters and pauses as he was still in pain.* - Thu Dec 10 02:42:08 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) had his hand grabbed and was surprised that she was unaffected by his electricity "Infuriating." he commented lowly as he stared at her and held her hand.* - Thu Dec 10 02:50:40 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Y-You..are not...human..either.. - Thu Dec 10 02:52:22 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: No, I am not human. - Thu Dec 10 02:52:22 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) was being pulled up by her and would help her as much as he could but he had received a beating by the combination of jutsus "What...are..you?" he asked her as he more or less tried to lean on her for support* - Thu Dec 10 02:56:38 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) found himself on the ground again only this time she was with him >Fuck.< he thought to himself as he tried to get up but couldn't "How do you not know?" he asked her between stutters and pants again "Everyone know what they are. Even if they are not human." He purposely avoided her question as he thought that with what had happened she would have paid more attention to it rather than her quesiton
* - Thu Dec 10 03:13:42 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Ma..ker? - Thu Dec 10 03:23:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Yeah. - Thu Dec 10 03:25:39 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Are you okay? - Thu Dec 10 03:25:39 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Yeah... - Thu Dec 10 03:27:21 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Pain... - Thu Dec 10 03:27:21 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Nothing..more..than pain.. - Thu Dec 10 03:27:21 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: You don't sound okay. - Thu Dec 10 03:27:21 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: No problem, just doing my job. - Thu Dec 10 03:27:21 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Alright. - Thu Dec 10 03:29:55 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ... - Thu Dec 10 03:29:55 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Can... - Thu Dec 10 03:29:55 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Are you going to keep laying on me? - Thu Dec 10 03:29:55 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: You take- - Thu Dec 10 03:29:55 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Oh... - Thu Dec 10 03:29:55 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: I think he's the first person not to be astonished how soft I am... maybe he can't feel? - Thu Dec 10 03:30:46 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) slowly rolled off her as he had not realized where he was "S-Sorry.."* - Thu Dec 10 03:30:46 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Can...you...take me...to my home.. - Thu Dec 10 03:31:37 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I..am rather..weak at the moment... - Thu Dec 10 03:31:37 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) seeing as she couldn't pick him up he more or less struggled to stand up and once he was on his feet he would constantly change his stance as he had trouble balancing on his two feet >This fucking hurts.< he thought to himself as he transformed back to his human state >Fuck.<* - Thu Dec 10 04:04:54 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) did as he was told and closed his eyes.* - Thu Dec 10 04:09:10 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) was a bit weary at first but in the end opened his mouth and began to chew whatever was in his mouth >What is this?< he thought to himself as it seems that he was chewing gum.* - Thu Dec 10 04:11:44 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: What...is this? - Thu Dec 10 04:16:00 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: A secret.~ - Thu Dec 10 04:16:00 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) conitnued on chewing and since she had placed the mystery substance that the female had given him and looked at her as he felt no pain now "Secret...." he would then bring up his hand to open up his coat just enough to reveal his mouth and the scar that was in the place where his cheek used to be revaling his teeth "So you do not know what you are?" he asked her in a normal voice now without the pauses.* - Thu Dec 10 04:27:05 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) brought his hand up to stop her from actually touching his scare "This wont heal." he said bluntly as he held her hand in his kind of squeezing a bit* - Thu Dec 10 04:31:21 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Because this is something that now many people have seen. - Thu Dec 10 04:57:48 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: More or less touch. - Thu Dec 10 04:58:40 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Unintensionally. - Thu Dec 10 05:10:36 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ....so then you won't let me touch it...yes? - Thu Dec 10 05:10:36 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Hmm. - Thu Dec 10 05:11:28 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I will- - Thu Dec 10 05:11:28 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: You won. - Thu Dec 10 05:11:28 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Go ahead. - Thu Dec 10 05:11:28 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) lets go of her hand.* - Thu Dec 10 05:11:28 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: But you don't -want- me to touch it. - Thu Dec 10 05:12:19 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: It does not matter. - Thu Dec 10 05:13:10 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: You won. - Thu Dec 10 05:13:10 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Will you answer me? - Thu Dec 10 05:14:01 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Particularly no - Thu Dec 10 05:18:17 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: But you won - Thu Dec 10 05:18:17 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: You get to have something you want from me - Thu Dec 10 05:18:17 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ... - Thu Dec 10 05:25:07 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I see. - Thu Dec 10 05:25:07 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Would you care for something to drink? - Thu Dec 10 05:25:07 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Sake? - Thu Dec 10 05:25:07 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I only drink sake. - Thu Dec 10 05:25:07 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Sure. - Thu Dec 10 05:25:58 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I think I have some in my house. - Thu Dec 10 05:25:58 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) continued on chewing the thing that she had given him and zipped up his coat once again then moved toward his home expecting her to follow him.
* - Thu Dec 10 05:30:14 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Woah, this is like the biggest house in this village! - Thu Dec 10 05:31:56 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) notes that his home is more or less a mess as it signifies a sad existance since it was more or less dirty and there were not many things in the home just the bare bone essentials. Leading her to the kitchen he offered her a seat as he walked over to a cabinet and pulled out two cups as he did not have saucers >Do I have any?< he asked himself as he closed that cabinet and began to search through the rest not really having any luck >Hmm.< he thought to himself as he walked over to the table and placed one cup infront of her then set on where he was seated and walked over to the fridge and in the very back a lonely white bottle stood there "You dont mind if it is cold do you?" he asked her as he pulled out the bottle.* - Thu Dec 10 05:38:46 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) would like to point out there even though the house was more or less a mess there were a -few- things that were clean like the dishes he used, the bathroom and his bed. Everything else he did not really care for and it showed. 

"There is a first time for everything." he replied to her as he served her a decent amount of sake but did not give himself any as he just placed the bottle on the table and sat down "If you want more help yourself."* - Thu Dec 10 06:03:31 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) shook his head as he brought his hand up to unzip his coat opening it fully as he was in the "comfort" of his home "It is rather hard for me to hold liquids in." he commented as he hoped that she would know what he was refering to."* - Thu Dec 10 06:11:12 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) shook his head once again "I avoid it as it is rather embarrassing to have to clean myself everytime I drink something or injest anything with fluid. I cannot eat Ramen for obvious reasons." The sake was not poisoned so she had nothing to worry about.* - Thu Dec 10 06:13:45 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) leaned forward and brought his hands up infront of his chest using his elbows to rest on the table and locked his hands together "Wierd? I would not say weird. You have the same amount of humanity I have so I would say that we are alike in some way shape or form."* - Thu Dec 10 06:24:00 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Are we speaking about humanity as a whole or the humanity that you keep inside you? - Thu Dec 10 06:28:16 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: And I did not say that we are something alike not fully. - Thu Dec 10 06:29:58 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I have some sort of humanity left as I do not transform when I need to. - Thu Dec 10 06:31:40 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Oh... well both I guess? Humanity is different than what I thought is all. - Thu Dec 10 06:33:23 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: So you are human most of the time? - Thu Dec 10 06:33:23 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Yes. - Thu Dec 10 06:33:23 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I chose when I can transform. - Thu Dec 10 06:33:23 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: And I can chose when I can change back. - Thu Dec 10 06:34:14 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: If you are done with the Sake in your cup you can get more. - Thu Dec 10 06:36:48 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: If you are done with the Sake in your cup you can get more. - Thu Dec 10 06:38:30 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Tingly? - Thu Dec 10 06:39:21 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: What do you mean by tingly? - Thu Dec 10 06:40:12 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Like numb and falling over and stuff. - Thu Dec 10 06:47:02 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I don't know you very well so I shouldn't drink that much. - Thu Dec 10 06:47:02 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Drunk? - Thu Dec 10 06:47:02 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: You mean you get drunk? - Thu Dec 10 06:47:02 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ...yes, that. - Thu Dec 10 06:47:02 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Drunk. - Thu Dec 10 06:47:02 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: New word. - Thu Dec 10 06:47:02 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: There is nothing word with that. - Thu Dec 10 06:47:02 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: wrong* - Thu Dec 10 06:47:53 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: It is something normal that happens. - Thu Dec 10 06:48:44 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Yes but it makes a person weak, makes it so you can't control chakra properly. - Thu Dec 10 06:48:44 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Does it? - Thu Dec 10 06:51:18 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Some people benefit from being drunk. - Thu Dec 10 06:51:18 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ...they do? - Thu Dec 10 06:52:09 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Yes. - Thu Dec 10 06:53:00 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: How? - Thu Dec 10 06:53:00 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Maybe you have not gotten drunk enough. - Thu Dec 10 06:53:00 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: They tend to be unpredictable. - Thu Dec 10 06:53:00 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ...but how? - Thu Dec 10 06:53:00 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: This just sounds like a trick to get me drunk. - Thu Dec 10 06:53:52 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Their movements become faster and unpredictable. - Thu Dec 10 06:54:43 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: They attack allies and foe alive. - Thu Dec 10 06:55:34 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Because they cant distinguish them. - Thu Dec 10 06:55:34 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ...Oh. - Thu Dec 10 06:58:08 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I don't think that would work for me. - Thu Dec 10 06:58:08 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I become slow and fall over a lot and things. - Thu Dec 10 06:58:08 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: You do not seem to be very well versed in taijutsu are you? - Thu Dec 10 06:58:08 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Not really no. - Thu Dec 10 06:58:59 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I see. - Thu Dec 10 06:58:59 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: So ninjutsu is your thing? - Thu Dec 10 06:59:50 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mhm. - Thu Dec 10 06:59:50 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Lots of chakra stuff. - Thu Dec 10 06:59:50 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I can sense that you have a high amount of chakra. - Thu Dec 10 06:59:50 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Makes sense. - Thu Dec 10 06:59:50 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Yes I do.~ - Thu Dec 10 07:00:41 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) raised a brow as he brought his hands down to his sides "Where do you come from?" he asked her as he continued to stare at her.* - Thu Dec 10 07:03:15 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Now or the beginning? - Thu Dec 10 07:04:57 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: The beginning. - Thu Dec 10 07:04:57 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Somewhere new Gezo. - Thu Dec 10 07:04:57 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I have nothing but- - Thu Dec 10 07:04:57 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Gezo huh? - Thu Dec 10 07:04:57 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: But not -in- Gezo. - Thu Dec 10 07:05:48 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Last time I told people they freaked out. - Thu Dec 10 07:05:48 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: The Gezo are not well liked by the shinobi - Thu Dec 10 07:05:48 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Yes, I know... they are not liked by me either. - Thu Dec 10 07:05:48 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Why is that? - Thu Dec 10 07:05:48 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: They abandoned me. - Thu Dec 10 07:05:48 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Pitty. - Thu Dec 10 07:06:40 2015
