<br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Doesn't even share. - Sun Oct  4 23:52:19 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I'm fine with it, I need to see if I can still get around correctly anyway. - Tue Oct  6 18:34:01 2015
<br><br><font color=teal>*Kilm(Vysasi) says: You really shouldn't ask to be hit by her Kang. - Tue Oct  6 18:34:01 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: It wouldn't be the first time. - Tue Oct  6 18:34:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Wouldn't it be the first time? - Tue Oct  6 18:35:44 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Eh. - Tue Oct  6 18:35:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'd hardly call headhunter jutsu followed by interrogation genjutsu hitting. - Tue Oct  6 18:36:35 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Then let's go. - Tue Oct  6 18:36:35 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I'm fine with it. - Tue Oct  6 18:36:35 2015
<br><br><font color=teal>*Kilm(Vysasi) says: It might turn into a game of who can hit kang the most if you say that Kang. - Tue Oct  6 18:37:26 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Once again, I'm fine with it. - Tue Oct  6 18:37:26 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . Something tells me you're a masochist. - Tue Oct  6 18:37:26 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Not really. - Tue Oct  6 18:37:26 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I simply don't care. - Tue Oct  6 18:38:17 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Tue Oct  6 18:39:08 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Seems Kat isn't up to punching me at the moment, you want to fill in Kilm? - Tue Oct  6 18:40:51 2015
<br><br><font color=teal>*Kilm(Vysasi) says: If I don't hold back, You'll wind up dead. - Tue Oct  6 18:41:42 2015
<br><br><font color=teal>*Kilm(Vysasi) says: And . . . I've had my fill of punching and jutsu today. - Tue Oct  6 18:41:42 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hm? What? - Tue Oct  6 18:42:33 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . . - Tue Oct  6 18:42:33 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Sorry, zoned out for a minute there. - Tue Oct  6 18:43:24 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Nevermind then. - Tue Oct  6 18:43:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: No, please explain. - Tue Oct  6 18:43:24 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Well, it would appear I need to be hit. While I also need to get active again. - Tue Oct  6 18:44:16 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Anyway. - Tue Oct  6 18:51:05 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: You up for it Taiga? - Tue Oct  6 18:51:05 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Or maybe you are Sanoke? - Tue Oct  6 18:51:56 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Anyone will do really. - Tue Oct  6 18:51:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Huh. .? - Tue Oct  6 18:53:39 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Long story short, fight me. - Tue Oct  6 18:53:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I can battle for a bit, I guess. Got something else on the agenda, though. - Tue Oct  6 18:54:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Let's see how Tetsu performs with his injury. - Tue Oct  6 18:57:55 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hey, Yan. - Tue Oct  6 18:59:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hm/ - Tue Oct  6 18:59:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Do you sell jutsu scrolls? - Tue Oct  6 18:59:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Do I sell jutsu scrolls...? - Tue Oct  6 19:00:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Like, for money. - Tue Oct  6 19:00:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: No. - Tue Oct  6 19:00:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I see. - Tue Oct  6 19:00:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Didn't know people did that... - Tue Oct  6 19:00:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I don't have much need for money anyways; I have enough to be comfortable. - Tue Oct  6 19:00:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Some do. I wouldn't but I like to take advantage when other people do. - Tue Oct  6 19:00:28 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Yo, Yan . . . I think we can make a good deal if you follow me . . . I've considered that offer. - Tue Oct  6 19:01:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Want to discuss it privately. - Tue Oct  6 19:01:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sure, sure. - Tue Oct  6 19:02:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Wonder how this clone is going to be used. - Tue Oct  6 19:03:53 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: In a world of shinobi, strangers always ignore common sense and try to touch you randomly. I think I will lose my mind some day. - Tue Oct  6 19:08:09 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: Mmm . . . Work has been cut out for me now. - Tue Oct  6 19:15:50 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: He has a point. - Tue Oct  6 19:15:50 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hm, hold up. - Tue Oct  6 19:17:32 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: How about I help Tetsu to make it fair? - Tue Oct  6 19:17:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Which jutsu did I give you again? - Tue Oct  6 19:18:24 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Stay out of it Taiga. - Tue Oct  6 19:18:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: You're wounded Tetsu. - Tue Oct  6 19:18:24 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: And? - Tue Oct  6 19:18:24 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I asked for this purposely. - Tue Oct  6 19:18:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Do you enjoy pain or something? - Tue Oct  6 19:18:24 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Not really. - Tue Oct  6 19:18:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Alright then. . - Tue Oct  6 19:19:15 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Earth Flash. - Tue Oct  6 19:19:15 2015
<br><br><font color=teal>*Kilm(Vysasi) says: What element jutsu would you like to learn right now? - Tue Oct  6 19:19:15 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmm do you have any more lightning if not earth willl do..Question what are all the elements you can use? - Tue Oct  6 19:20:57 2015
<br><br><font color=teal>*Kilm(Vysasi) says: No more lightning but I got earth jutsu. - Tue Oct  6 19:20:57 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Welp earth it is. - Tue Oct  6 19:21:48 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Subterranean Voyage good enough? - Tue Oct  6 19:21:48 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Never herd of it. - Tue Oct  6 19:25:13 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Well, Good time to learn it. - Tue Oct  6 19:25:13 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: After I learn it you'll teach me another right? - Tue Oct  6 19:26:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: We'll see. - Tue Oct  6 19:27:47 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Keep improving. - Tue Oct  6 19:27:47 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Wow! I hope that didn't intimidate you. - Tue Oct  6 19:30:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I was trying to summon a shell. - Tue Oct  6 19:30:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Not that. - Tue Oct  6 19:30:20 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: I should make a bet of some kind on that turtle. - Tue Oct  6 19:31:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Lamme. - Tue Oct  6 19:31:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What's goin' on? - Tue Oct  6 19:31:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Who won? - Tue Oct  6 19:35:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Tetsu. - Tue Oct  6 19:35:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You walkin' away like you are mad. - Tue Oct  6 19:35:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Should I go on a killing spree before this scroll-spreading goes too far? - Tue Oct  6 19:37:10 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Yes....? - Tue Oct  6 19:37:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Huh... - Tue Oct  6 19:37:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Alrighty. - Tue Oct  6 19:37:10 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: So. . . - Tue Oct  6 19:40:35 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Nice weather huh? - Tue Oct  6 19:40:35 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I haven't seen Ryuuga. - Tue Oct  6 19:40:35 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Has anyone? - Tue Oct  6 19:40:35 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Nope. - Tue Oct  6 19:40:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uh. I beat him. <@Yan> - Tue Oct  6 19:41:26 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Sanoke, How durable is your turtle? - Tue Oct  6 19:42:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Pretty tough. He can take most hits. - Tue Oct  6 19:42:17 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Wanna bet I can damage him? - Tue Oct  6 19:42:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Depends. How much you betting, and what do you deem 'damage'? - Tue Oct  6 19:42:17 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Burns. - Tue Oct  6 19:42:17 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I'll bet 50 thousand. - Tue Oct  6 19:43:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I mean. He's already burned, I ain't doubting that much. - Tue Oct  6 19:43:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I've seen Kilm burn himself. - Tue Oct  6 19:43:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: If you use fire, you get burned. - Tue Oct  6 19:43:08 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I've burned myself twice now . . . - Tue Oct  6 19:43:08 2015
<br><br><font color=teal>*Kilm(Vysasi) says: One time it was a few days ago . . . Had to escape death and burning myself was the only option. - Tue Oct  6 19:43:08 2015
<br><br><font color=teal>*Kilm(Vysasi) says: And today just recently against Yan. - Tue Oct  6 19:44:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . .  - Tue Oct  6 19:44:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Why did you burn yourself? - Tue Oct  6 19:44:00 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: He's clumsy. - Tue Oct  6 19:44:00 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Had to make an explosion happen or else I would have been trapped. - Tue Oct  6 19:44:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I am so confused.. - Tue Oct  6 19:44:51 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Since your turtle is already burned . . . How about I shock him hard instead? - Tue Oct  6 19:44:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I mean. Just 'cause he's super tolerant to damage doesn't mean he won't feel or be effected. I don't take losing bets. - Tue Oct  6 19:45:42 2015
<br><br><font color=teal>*Kilm(Vysasi) says: He has to take noticeable damage for me to win. - Tue Oct  6 19:45:42 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Not just after-effects. - Tue Oct  6 19:45:42 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . Is it too late now? - Tue Oct  6 19:46:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It was his decision really, he just left. - Tue Oct  6 19:47:24 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . Alright. - Tue Oct  6 19:47:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: There's been any news on that spooky new group? - Tue Oct  6 19:48:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What group? - Tue Oct  6 19:48:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*Fidgets glasses*> I wonder when they're going to come attack. I'unno. . . Some weird group I've heard rumors about. - Tue Oct  6 19:48:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Eh, nothing really. He's just strong physically. - Tue Oct  6 19:57:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Another taijutsu-user...my bread and butter. - Tue Oct  6 19:57:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anywho. When we gonna get that Doton trainin' in? I need that versatility. - Tue Oct  6 20:24:57 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Huh, Tonight. - Tue Oct  6 20:25:48 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Takes a bitch to know a bitch. - Tue Oct  6 20:30:56 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Oh? - Tue Oct  6 20:31:47 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I'm fine with that. - Tue Oct  6 20:31:47 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Okay then. - Tue Oct  6 20:31:47 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Taiga. - Tue Oct  6 20:32:38 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I got you a present. - Tue Oct  6 20:32:38 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: C'mere. - Tue Oct  6 20:33:29 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) blinks, turns around and walks over to Tetsu.* - Tue Oct  6 20:33:29 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . . - Tue Oct  6 20:36:03 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Really? - Tue Oct  6 20:36:03 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Yep. - Tue Oct  6 20:36:03 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) turns around and walks over to his previous spot. ''Keep them, don't need fish.''* - Tue Oct  6 20:36:03 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo, Tetsu. Were you really annoyed that you lost to me? - Tue Oct  6 20:38:36 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: No, as I said before, I got what I wanted out of it. There was no need to continue. - Tue Oct  6 20:38:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You walked away real angry. - Tue Oct  6 20:39:28 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I thought I walked away the same way I walk everywhere? - Tue Oct  6 20:39:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I suppose so. - Tue Oct  6 20:43:44 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: U-uh. - Tue Oct  6 20:52:16 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: Hi! - Tue Oct  6 20:52:16 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: Am I in Sunagakure? - Tue Oct  6 20:52:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmph. Anyone else up for a spar? - Tue Oct  6 21:05:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: If not...it's about time I go and find real violence. - Tue Oct  6 21:05:55 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: And theeeeen I went to this place called Konohagakure. - Tue Oct  6 21:11:53 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: ...Same thing happened. - Tue Oct  6 21:11:53 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: You mean crater? - Tue Oct  6 21:11:53 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: And now I'm here. - Tue Oct  6 21:11:53 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . .Uh. Pretty sure Konoha got destroyed. - Tue Oct  6 21:12:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Tue Oct  6 21:12:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And yeah, if you're a shinobi of a village, you shouldstay in one place. - Tue Oct  6 21:13:36 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: How come? - Tue Oct  6 21:13:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Rules and regulations, my boy. - Tue Oct  6 21:16:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Well. Unless you're a special shinobi like me. - Tue Oct  6 21:16:09 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: How do I know I'm special? - Tue Oct  6 21:17:00 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: What's so special about you Sanoke? - Tue Oct  6 21:17:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'unno. - Tue Oct  6 21:19:34 2015
<br><br><font color=teal>*Shin(Yaori) says: I'm hungry - Tue Oct  6 22:21:00 2015
<br><br><font color=teal>*Shin(Yaori) says: -omit- - Tue Oct  6 23:01:58 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Lera - Wed Oct  7 16:30:43 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm? - Wed Oct  7 16:30:43 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Can you teach me that technique now? - Wed Oct  7 16:31:34 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sure - Wed Oct  7 16:34:08 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Morning. - Wed Oct  7 16:38:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Bored. - Wed Oct  7 16:39:15 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Wed Oct  7 16:40:06 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: -omit- - Wed Oct  7 16:59:44 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I guess there are more people here than I thought... - Wed Oct  7 17:20:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: I saw that you use Doton...would you be willing to trade any scrolls? - Wed Oct  7 17:28:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Mm... - Wed Oct  7 17:29:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'd consider it. - Wed Oct  7 17:29:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: But...? - Wed Oct  7 17:29:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Just depends on whether or not you're offering something of equal value. - Wed Oct  7 17:29:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm, We can talk in private if you want. - Wed Oct  7 17:30:27 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: How is my favorite doctor today? - Wed Oct  7 17:31:18 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Hm..? - Wed Oct  7 17:31:18 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I guess I wil- oh Kirie... did you hear the news... - Wed Oct  7 17:32:09 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Oh. Uh. I'm quite fine. Hm. - Wed Oct  7 17:32:09 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What news? - Wed Oct  7 17:32:09 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Koeki, she passed - Wed Oct  7 17:32:09 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Also Zenaki I have some informatin that you might like~ - Wed Oct  7 17:33:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I know violet. - Wed Oct  7 17:33:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I burried her 'body' yesterday. - Wed Oct  7 17:33:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Alright, Kirie.  - Wed Oct  7 17:33:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It couldn't be called a body really. - Wed Oct  7 17:33:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Charred beyong recognition. - Wed Oct  7 17:33:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: She passed huh..  - Wed Oct  7 17:33:00 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ok... how were you able to get close? - Wed Oct  7 17:33:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm? - Wed Oct  7 17:33:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: When I arrived there the village was empty. - Wed Oct  7 17:33:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Destoryed. - Wed Oct  7 17:33:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Destroyed* - Wed Oct  7 17:33:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Not a single soul left there. - Wed Oct  7 17:33:52 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: There were posion mist every where especially where her "body" was - Wed Oct  7 17:33:52 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: And you are unharmed? - Wed Oct  7 17:34:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yes. - Wed Oct  7 17:34:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: When I heard the news - Wed Oct  7 17:34:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It took several days of travel to get there. - Wed Oct  7 17:34:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So anything or anyone that might have been there was gone - Wed Oct  7 17:35:34 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Could the mist have disapated when I left... - Wed Oct  7 17:35:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I also burried a guy with orange hair. - Wed Oct  7 17:35:34 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I am aware of him... - Wed Oct  7 17:36:25 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: was there another body? - Wed Oct  7 17:36:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Don't know who he was but he was burried beside Setsuna. - Wed Oct  7 17:36:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Just Koekis chared body - Wed Oct  7 17:36:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And that one guys. - Wed Oct  7 17:37:16 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: So did he escape? No.... no... he couldnt have.... - Wed Oct  7 17:37:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Were you looking fo someone? - Wed Oct  7 17:38:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Who is dead? - Wed Oct  7 17:40:41 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I do not play the pronoun game so well. - Wed Oct  7 17:40:41 2015
